ID2,title,amenityfeatures,description,streetaddress,type,city,state,unclear_address,Year,unclear type or question,notes,Last Modified
2334,Pour House,(D),"891-3980 8pm-2am Mon, Tues, Thurs & Sun, til 3am Wed, Fri & Sat",103 155th Pl.,Bars,Calumet City,IL,,1992,,,4/25/2023 9:32pm
5281,Five Points Depot,"(*),(B),(E),(P)","228-6988 piano bar, 4:30pm-1:30am Tues-Sat, noon-midnight Sun (Brunch)",103 S. 11th St.,Restaurants & Cafes,Nashville,TN,,1992,,,4/25/2023 9:32pm
3886,Joy's Books,,397-2907,103 Springbrook Ave.,Erotica,Lambertville,NJ,,1992,,,4/25/2023 9:32pm
2940,Fun Shop,,225-1308,103 Texas St.,Erotica,Shreveport,LA,,1992,,,4/25/2023 9:32pm
1548,Bookmart,,754-4819,104 Main St.,Erotica,Waterbury,CT,,1992,,,4/25/2023 9:32pm
4332,Whispers,"(D),(F),(S)",262-6200 11am-2am,104 Platt St.,Bars,Rochester,NY,,1992,,,4/25/2023 9:32pm
2791,Le 104,"(M),(NH)","583-2287 3pm-4am, clsd Sun",104 W. Main St,Bars,Louisville,KY,,1992,,,4/25/2023 9:32pm
214,Harvest House,(MX),"253-9363 B & B, full bkfst, priv baths & entrances, no-smoking, year round",104 Wall St.,Accomodations,Eureka Springs,AR,,1992,,,4/25/2023 9:32pm
181,"Sun Catcher B&B, The","(MW),(N),(SW)","885-0883 open year round, private baths, full bkfst, health club passes, see ad front section",105 N. Avenida Javalina,Accomodations,Tucson,AZ,,1992,,,4/25/2023 9:32pm
4935,Havana,"(MX),(E)","862-9897 11am-midnight, full bar til 2am",105 S. Main St.,Restaurants & Cafes,New Hope,PA,,1992,,,4/25/2023 9:32pm
5925,Romper Room,"(MX),(BW),(D),(V),(YC)","284-5003 ""Backdoor Night"" 4pm-2am Mon",106 First Ave. N.,Bars,Seattle,WA,,1992,,,4/25/2023 9:32pm
5886,"Whidbey Inn, The",(MX),"P.O. Box 156, 98260, 221-7115 B & B, full brkfst, on bluff over Saratoga Passage Waterway",106 First St.,Accomodations,Langley,WA,,1992,,,4/25/2023 9:32pm
5634,El Jardin,"(NH),(P),(YC),(S)",223-7177 noon-2am,106 Navarro St.,Bars,San Antonio,TX,,1992,,,4/25/2023 9:32pm
5641,One-O-Six Off Broadway,"(NH),(OC)",820-0906 noon-2am,106 Pershing St.,Bars,San Antonio,TX,,1992,,,4/25/2023 9:32pm
6013,North Bank Tavern,"(MX),(BW),(F)",695-3862 noon-2am,106 W. 6th St.,Cruising Areas,Vancouver,WA,,1992,,,4/25/2023 9:32pm
3069,Route 1 News Agency,,725-9671 24hrs,106 Washington Blvd,Erotica,Laurel,MD,,1992,,,4/25/2023 9:32pm
2952,Manor House Inn,(MX),"288-3759, May-Nov",106 West St.,Accomodations,Bar Harbor,ME,,1992,,,4/25/2023 9:32pm
5130,Dorrwar Books,,521-3230 general books with gay/lesbian section,107 1/2 Hope St.,Bookstore/Retail Shops,Providence,RI,,1992,,,4/25/2023 9:32pm
2615,Mark III Tap Room,"(MW),(D)","282-8273 11am-3am, clsd Sun",107 E. Main St.,Bars,Muncie,IN,,1992,,,4/25/2023 9:32pm
3938,Common Bond Community Center,,"P.O. Box 26836, 87125., 266-8041 (info line) volunteers 7pm-10pm Sun-Fri",107 Tulane St,Info Lines & Services,Albuquerque,NM,,1992,,,4/25/2023 9:32pm
582,Score,,"625-7382 Latino, 11am-2am",107 W. 4th St.,Bars,Los Angeles,CA,,1992,,,4/25/2023 9:32pm
1579,Renaissance,"(*),(MW),(D),(E),(F)","652-9435 10am-2am, Italian cuisine, dinner Wed-Sun",107 W. 6th St.,Bars,Wilmington,DE,,1992,,,4/25/2023 9:32pm
2591,"Olympiad Pub, The","(*),(MW),(D),(NH)","457-3177 4pm-3am Mon-Sat, clsd Sun",107 W. Sycamore St.,Bars,Kokomo,IN,,1992,,,4/25/2023 9:32pm
5704,Club 108,"(D),(PC),(S)",364-1618 10am-closing,108 S. 500 West,Bars,Salt Lake City,UT,,1992,,,4/25/2023 9:32pm
5043,Chumley's,"(*),(MW)","238-4446 6pm-2am Sun, 4pm-2am Mon-Sat",108 W. College,Bars,State College,PA,,1992,,,4/25/2023 9:32pm
4887,Safari Lounge,"(*),(D),(YC),(V)",837-9948 9pm-2am Mon-Sat,108 W. Pittsburgh St.,Bars,Greensburg,PA,,1992,,,4/25/2023 9:32pm
2037,Lighted Tree Garden Bar,"(*),(MW)","(Pass-a-Grill Beach) 360-0373 11am-2am, accomodations",109 8th Ave.,Bars,St. Petersburg Beach,FL,,1992,,,4/25/2023 9:32pm
4440,MCC Hickory,,(Unitarian Church) 323-3352 7pm Sun,109 11th Ave. N.W.,Religious Organization,Hickory,NC,,1992,,,4/25/2023 9:32pm
5922,"Off Ramp Cafe, Cocktails, & Disco","(MW),(D),(S),(E),(F),(AH)","628-0232 call for recorded info, opens 6pm",109 Eastlake E. ,Bars,Seattle,WA,,1992,,,4/25/2023 9:32pm
4333,Rochester Body Club,(PC),454-1074 24 hrs,109 Liberty Pole Way,Bars,Rochester,NY,,1992,,,4/25/2023 9:32pm
3896,Lesbians/Gays of New Brunswick,,(Quaker Meeting House) 247-0515 social group meets 8pm 2nd & 4th Tues,109 Nichol Ave.,Info Lines & Services,New Brunswick,NJ,,1992,,,4/25/2023 9:32pm
3899,Dignity New Brunswick,,(Quaker Meeting House) 819-0668 8pm 3rd Fri,109 Nichol Ave.,Religious Organization,New Brunswick,NJ,,1992,,,4/25/2023 9:32pm
4343,State St. Books,,263-9919 24hrs,109 State St.,Erotica,Rochester,NY,,1992,,,4/25/2023 9:32pm
1987,Fiesta Room,"(*),(MW),(D),(S)","763-9476 7:30pm-3am Sun-Thurs, til 4am Fri & Sat",110 Harrison Ave.,Bars,Panama City,FL,,1992,,,4/25/2023 9:32pm
1295,MCC of the Redwoods,,"Larkspur 927-2018, 6pm Sun",110 Magnolia Ave.,Religious Organization,San Rafael,CA,,1992,,,5/18/2023 8:35am
4787,Ember's Nightclub,"(*),(MW),(D),(AH),(E),(F)","222-3082 11am-2:30am Sun-Thurs, til 4am Fri & Sat",110 N.W. Broadway,Bars,Portland,OR,,1992,,,4/25/2023 9:32pm
4723,Penny's Lounge,"(MX),(NH)","583-9540 noon-midnight, if you want to party later you can",110 S. Rockford,Bars,Tulsa,OK,,1992,,,4/25/2023 9:32pm
5279,Victor Victoria's,"(D),(CW),(S)","244-7256 11am-3am Mon-Sat, opens noon Sun",111 8th Ave. N.,Bars,Nashville,TN,,1992,,,4/25/2023 9:32pm
2304,P'zaz,"(MX),(MW)","#133 cards & gifts, 10am-7pm Mon-Sat, noon-5pm Sun",111 Broadway ,Bookstore/Retail Shops,Boise,ID,,1992,,,4/25/2023 9:32pm
4194,Leather Man,,243-5339,111 Christopher St.,Erotica,Greenwich Village,NY,,1992,,,4/25/2023 9:32pm
3110,Chef Chandler's Commonwealth Grill,"(*),(MX)","353-0160 Cajun/Creole/Caribbean cuisine, lunch & dinner Mon-Sat, 5pm-10pm Sun",111 Dartmouth ,Restaurants & Cafes,Boston,MA,,1992,,,4/25/2023 9:32pm
2175,Foxes Video Showcase,,"(803) 279-7023, 24hrs",111 Jefferson Davis Hwy.,Erotica,Augusta,GA,,1992,,,4/25/2023 9:32pm
2134,"Pear Garden, The",(NH),(downtown) 659-4055 3pm-1:30am,111 Luckie St. ,Bars,Atlanta,GA,,1992,,,4/25/2023 9:32pm
5243,Chaps,"(D),(S),(CW),(L),(LV)","726-4767 patio, noon-3am, 2 bar complex",111 N. Claybrook,Bars,Memphis,TN,,1992,,,4/25/2023 9:32pm
693,Friar Tucks,"(MX),(BW)","265-9093, varied cuisine, clsd Mon & Tues, dinner only",111 N. Pine St.,Restaurants & Cafes,Nevada City,CA,,1992,,,4/25/2023 9:32pm
2819,Mirror Lounge,"(D),(S)",387-9797 2pm-2am  Mon-Sat,111 Riverside Mall,Bars,Baton Rouge,LA,,1992,,,4/25/2023 9:32pm
1714,Glow Lounge,(NH),522-5931,111 SW Broward Blvd.,Bars,Ft. Lauderdale,FL,,1992,,,4/25/2023 9:32pm
2374,Oasis Bar,,"321-0776 11am-2am, til 3am Sat",111 W. Hubbard St.,Bars,Chicago,IL,,1992,,,4/25/2023 9:32pm
2379,My Brother's Place,(MW),"(Oasis bar) 321-0776 continental, 6pm-10pm Sun-Thurs, til 11pm Fri & Sat",111 W. Hubbard St.,Restaurants & Cafes,Chicago,IL,,1992,,,4/25/2023 9:32pm
5626,Lambda AA,,#101 225-5611 meets 8:15pm,111 W. Laurel ,Info Lines & Services,San Antonio,TX,,1992,,,4/25/2023 9:32pm
2996,Congregation Bet Ha'am,,879-0028 gay friendly synagogue,111 Westscott St.,Religious Organization,Portland,ME,,1992,,,4/25/2023 9:32pm
4140,King Tut's Wah Wah Hut,"(MX),(NH)","254-7772 eclectic, 4pm-4am",112 Ave. 'A',Bars,Greenwich Village,NY,,1992,,,4/25/2023 9:32pm
5084,Bachelor Club,"(*),(MW),(D),(YC),(S),(E)",(Condado) 10:30pm-7:30am Thurs-Sun,112 Avenida Condado,Bars,San Juan,PR,,1992,,,4/25/2023 9:32pm
2675,Brass Garden,"(*),(MW),(D),(S)","6pm-2am Mon-Sat, 6pm-midnight Sun, beer garden",112 S.E. 4th St.,Bars,Des Moines,IA,,1992,,,4/25/2023 9:32pm
2836,Crystal's,"(MW),(D),(LV),(YC),(S)","433-5457 9pm-2am Wed, til 4am Fri (mostly men), til 2am Sat (mostly women)",112 W. Broad st.,Bars,Lake Charles,LA,,1992,,,4/25/2023 9:32pm
659,"Friendship, The","(*),(NH)",Santa Monica 454-9080 noon-2am,112 W. Channel Rd.,Bars,Los Angeles,CA,,1992,,,5/18/2023 8:35am
5044,Players,"(MX),(YC),(D),(V)",234-1031 more gay Sun,112 W. College,Bars,State College,PA,,1992,,,4/25/2023 9:32pm
3985,"Shed, The","(*),(MX)","982-9030 New Mexican , 11am-2:30pm Mon-Sat",113 1/2 E. Palace ,Restaurants & Cafes,Santa Fe,NM,,1992,,,4/25/2023 9:32pm
5809,Late Show,"(*),(MW),(PC),(D),(AH)",(Rear entrance) 623-3854 10pm til dawn,113 E. Princess Anne Rd.,Bars,Norfolk,VA,,1992,,,4/25/2023 9:32pm
4325,Gallery,"(MW),(NH)",232-1734 11am-2am,113 State St.,Bars,Rochester,NY,,1992,,,4/25/2023 9:32pm
5297,"Bookstore, The",,"482-5286 orders gay/lesbian books, 10am-5:30 Mon-Fri, til 4 Sat",113 Tyrone Rd.,Bookstore/Retail Shops,Oak Ridge,TN,,1992,,,4/25/2023 9:32pm
4258,Breadstix,"(V),(NH)",Forest Hills 263-0300 7pm-4am,113-24 Queens Blvd.,Bars,Queens,NY,,1992,,,5/18/2023 8:36am
4155,Ty's,"(*),(LV),(L)",741-9641 1pm-4am,114 Christopher St.,Bars,Greenwich Village,NY,,1992,,,4/25/2023 9:32pm
4768,MCC,,"770-7966, 10am Sun",114 E. 6th St.,Cruising Areas,Medford,OR,,1992,,,4/25/2023 9:32pm
5114,AA Gay/Lesbian,,(St. Stephen's Church) 438-8860 8pm Tues,114 George St.,Info Lines & Services,Providence,RI,,1992,,,4/25/2023 9:32pm
2937,Humpfrees,"(MX),(D),(E),(PC),(S)","227-0845/222-9827 7pm-2am, call for more info",114 Texas,Bars,Shreveport,LA,,1992,,,4/25/2023 9:32pm
2624,Pleasureland Museum,,259-6776,114 W. Mishawaka Ave.,Erotica,South Bend,IN,,1992,,,4/25/2023 9:32pm
3188,Provincetown Business Guild,(IGTA),487-2313 ,115 Bradford St.,Info Lines & Services,Provincetown,MA,,1992,,,4/25/2023 9:32pm
4161,Christopher's,,255-1660 Sun Brunch,115 Christopher St.,Restaurants & Cafes,Greenwich Village,NY,,1992,,,4/25/2023 9:32pm
38,Lola's,"(MW),(D),(S)",534-4297 7pm-2am,115 Clinton Ave.,Bars,Huntsville,AL,,1992,,,4/25/2023 9:32pm
3405,Brother's Bar,"(MW),(D),(S),(PC)",345-1960 2pm-2am,115 E. Michigan,Bars,Kalamazoo,MI,,1992,,,4/25/2023 9:32pm
2040,Club Park Avenue,"(*),(MX),(V),(S),(YC)","599-9143 9pm-2am, progressive music, some nights more gay, call Tues & Thurs",115 E. Park Ave.,Bars,Tallahassee,FL,,1992,,,5/11/2023 10:29am
5632,"County Club, The","(W),(CW),(D),(NH)","344-9720/9705 2pm-2am,, men welcome",115 General Krueger,Bars,San Antonio,TX,,1992,checked,,4/25/2023 9:32pm
4342,Clinton Book Mart,,325-9322 24hrs,115 N. Clinton,Erotica,Rochester,NY,,1992,,,4/25/2023 9:32pm
1560,New Bookstore,,"674-9644, 24hrs",115 N. DuPont Hwy,Erotica,Dover,DE,,1992,,,4/25/2023 9:32pm
5339,Buckles Saloon,"(*),(MW),(D),(CW),(LV)",478-5837 3pm-2am,115 San Jacinto ,Bars,Austin,TX,,1992,,,4/25/2023 9:32pm
3316,Flame Bar,"(*),(NH)",662-9680 7:30pm-2am,115 W. Washington St.,Bars,Ann Arbor,MI,,1992,,,4/25/2023 9:32pm
4462,Mickey Ratz,"(MW),(PC),(D),(E),(S),(YC)","251-1289 5:30pm-1:30pm (winter), til 2:30am",115-117 S. Front St.,Bars,Wilmington,NC,,1992,,,4/25/2023 9:32pm
4152,Tunnel Bar,"(*),(NH),(YC)","777-9232 cruisy, fun Thurs night",116 1st Ave.,"Bars,Cruising Areas",Greenwich Village,NY,,1992,,,4/25/2023 9:32pm
3201,Burch House,(*),"487-9170 B & B, seasonal",116 Bradford St.,Accomodations,Provincetown,MA,,1992,,,4/25/2023 9:32pm
1416,Garbo's,"(MW),(P),(E),(F)","837-8217 live jazz Mon/Tues, piano Wed-Sun, Fri more men",116 E. 9th Ave.,Bars,Denver,CO,,1992,,,4/25/2023 9:32pm
2695,Just A Bit Different,,Coralville 338-7978,116 E. 9th St.,Erotica,Iowa City,IA,,1992,,,5/18/2023 8:36am
2790,Discovery,"(*),(D)",585-1116 9pm-4am,116 E. Main St.,Bars,Louisville,KY,,1992,,,4/25/2023 9:32pm
2820,Hibiscus Book Store,,"387-4264 10am-3pm Mon-Fri, noon-6pm Sat & Sun",116 Main St.,Bookstore/Retail Shops,Baton Rouge,LA,,1992,,,4/25/2023 9:32pm
2523,Aquarius Books,,"336-0988 gay section, 11am-5:30pm Mon-Fri, til 5pm Sat, clsd Sun",116 N. Grant St.,Bookstore/Retail Shops,Bloomington,IN,,1992,,,4/25/2023 9:32pm
2094,"Place, The","(MW),(D),(NH),(S)","435-9478 5pm-4am Mon-Fri, 8pm-2am Sat, clsd Sun",116 S. Harding,Bars,Albany,GA,,1992,,,4/25/2023 9:32pm
2830,Ole Blue Note,"(D),(NH),(YC),(S)","234-9232 5pm-2am Mon-Fri, from 8pm Sat, 5pm-midnight Sun",116 Spring St.,Bars,Lafayette,LA,,1992,,,4/25/2023 9:32pm
104,Aradia Books,,779-3817 gay/lesbian books,116 W. Cottage,Bookstore/Retail Shops,Flagstaff,AZ,,1992,,,4/25/2023 9:32pm
9,Club 21,"(MX),(S),(D),(B)",322-0469 9pm-4am Thurs-Sat,117 1/2 21st St. N.,Bars,Birmingham,AL,,1992,,,4/25/2023 9:32pm
1418,Mike's,(NH),777-0193 11am-2am,117 Broadway ,Bars,Denver,CO,,1992,,,4/25/2023 9:32pm
4597,Tradewinds II,"(LV),(L)",461-4110 clsd Mon,117 E. Chestnut,Bars,Columbus,OH,,1992,,,4/25/2023 9:32pm
2643,Pleasure Palace Adult Books,,232-7717 24hrs,117 Kellogg,Erotica,Ames,IA,,1992,,,4/25/2023 9:32pm
2657,Good Times Too,,322-7860,117 N. 16th St.,Erotica,Council Bluffs,IA,,1992,,,4/25/2023 9:32pm
2773,Crossings,"(LV),(L)","233-7266 4:30pm-1am Mon-Sat, clsd Sun",117 N. Limestone St.,Bars,Lexington,KY,,1992,,,4/25/2023 9:32pm
5346,Vanities,"(W),(D),(S)","469-0030 4pm-2am, after hours Sat, men welcome",117 San Jacinto ,Bars,Austin,TX,,1992,,,4/25/2023 9:32pm
2988,"Chart Room, The","(MW),(D)","774-9262 4pm-1am, from 1pm Sat & Sun",117 Spring St.,Bars,Portland,ME,,1992,,,4/25/2023 9:32pm
6089,Shamrock Tavern,"(MW),(D),(F)",255-5029 11am-2am,117 W. Main St.,Bars,Madison,WI,,1992,,,4/25/2023 9:32pm
2479,Maneuvers,"(MW),(D)","727-7069 8pm-2am Sun-Thurs, til 3am Fri & Sat",118 E. Jefferson,Bars,Joliet,IL,,1992,,,4/25/2023 9:32pm
5994,World Wide Video,,"747-8268, 24hrs",118 N. Division,Erotica,Spokane,WA,,1992,,,4/25/2023 9:32pm
4953,Derks Rough Rider Bar & Restaurant,"(CW),(F),(E)",829-0660 7am-2am,118 S. 12th St.,Bars,Philadelphia,PA,,1992,,,4/25/2023 9:32pm
3937,Club 225,,"255-2226 club for lesbian/gay 12-step groups, 11:00am-9pm",118 Tulane NE,Info Lines & Services,Albuquerque,NM,,1992,,,4/25/2023 9:32pm
5149,Charleston Beach B & B,"(MW),(SW),(N)","Folly Beach 29439 588-9443 full bkfst, 8-person spa, Sun BBQ, year round",118 W. Arctic Ave.,Accomodations,Charleston,SC,,1992,,,5/18/2023 8:36am
5631,Club Stephanie's,"(MW),(D),(E),(V),(S)",341-5922 5pm-2am,119 El Mio Dr.,Bars,San Antonio,TX,,1992,,,4/25/2023 9:32pm
3104,One Nineteen Merrimac,"(NH),(LV)","367-0713 10:30am-2am Mon-Sat, from noon Sun",119 Merrimac St.,Bars,Boston,MA,,1992,,,4/25/2023 9:32pm
4663,Hooterville Station,"(CW),(LV),(L),(D)",241-9050 5:30pm-2:30am,119 N. Erie St.,Bars,Toledo,OH,,1992,,,4/25/2023 9:32pm
4151,Spike Bar,"(*),(LV),(L)",243-9688 Sun Brunch,120 11th Ave.,Bars,Greenwich Village,NY,,1992,,,4/25/2023 9:32pm
697,Bench & Bar,"(*),(D),(YC),(F),(P)","444-2266 3pm-2am Mon-Fri, 5pm-2am Sat, 11am-2am Sun",120 11th St.,Bars,Oakland,CA,,1992,,,4/25/2023 9:32pm
5668,Lyle's Deck - A Guesthouse,"(*),(SW),(N),(IGTA)","761-5953 cont'l breakfast, right on the gulf",120 E. Atol,Accomodations,South Padre Island,TX,,1992,,,4/25/2023 9:32pm
3119,Unicorn Books,,Arlington 646-3680 spiritual bookstore with gay/lesbian titles,120 Massachusetts Ave.,Bookstore/Retail Shops,Boston,MA,,1992,,,5/18/2023 8:36am
4801,Hobo's,"(*),(MX),(E)","224-3285 4pm-2am (10am Sun Brunch), cocktails",120 N.W. 3rd,Restaurants & Cafes,Portland,OR,,1992,,,4/25/2023 9:32pm
4789,Hobo's,"(MX),(E)","224-3285 4pm-2am, piano bar",120 N.W. 3rd Ave.,Bars,Portland,OR,,1992,,,4/25/2023 9:32pm
5964,Adult Entertainment Center,,622-9984,120 Pike,Erotica,Seattle,WA,,1992,,,4/25/2023 9:32pm
4975,Club Philadelphia,(PC),735-9568 24hrs,120 S. 13th St.,Gyms/Health Clubs,Philadelphia,PA,,1992,,,4/25/2023 9:32pm
2788,Connection Complex,"(*),(MW),(D),(E),(F)","585-5752 1pm-4am, 5 bars & restaurant",120 S. Floyd St.,Bars,Louisville,KY,,1992,,,4/25/2023 9:32pm
2774,Fleur de Lys,(MX),"252-7946 French cuisine, Tues-Sat 6pm-10pm",120 S. Upper St.,Restaurants & Cafes,Lexington,KY,,1992,,,4/25/2023 9:32pm
3929,Casa Lido,"(*),(MW),(D),(E),(F)","394-8158 11:30am-2am, lunch Mon-Fri",120 S. Warren St.,Bars,Trenton,NJ,,1992,,,4/25/2023 9:32pm
3366,Chosen Books,,"Royal Oak 543-5758 gay/lesbian bookstore, noon-10pm",120 W. 4th St.,Bookstore/Retail Shops,Detroit,MI,,1992,,,5/18/2023 8:36am
3303,"Wildwood Inn, The",(MX),"697-7798 B & B, priv. & hared baths, open year round",121 Church St.,Accomodations,Ware,MA,,1992,,,4/25/2023 9:32pm
3981,Cafe Pasqual's,(MX),983-9340 brkfst lunch & dinner,121 Don Gaspar,Restaurants & Cafes,Santa Fe,NM,,1992,,,4/25/2023 9:32pm
4674,"Place, The","(MX),(NH),(F)",393-0311 8am-2:30am Mon-Sat,121 S. Pine St.,Bars,Warren,OH,,1992,,,4/25/2023 9:32pm
4817,In Touch Travels,(IGTA),224-3580,121 S.W. Morrison St.,Travel & Tour Operators,Portland,OR,,1992,,,4/25/2023 9:32pm
3700,Rocky Adult Book Store,,723-7218,121 W. Broadway,Erotica,Butte,MT,,1992,,,4/25/2023 9:32pm
5013,Essex,,681-1944 cards & gifts,122 Meyran Ave.,Bookstore/Retail Shops,Pittsburgh,PA,,1992,,,4/25/2023 9:32pm
2150,Shakespeare & Company Books,,"296-4088 lesbian/gay section, call for hours",122 N. Avondale Rd.,Bookstore/Retail Shops,Atlanta,GA,,1992,,,4/25/2023 9:32pm
2575,"Unicorn Club, The","(*),(PC),(D),(S)",262-9195 6pm-3am Mon-Sat,122 W. 13th St.,Bars,Indianapolis,IN,,1992,,,4/25/2023 9:32pm
5121,Galaxy,"(*),(D),(S),(L),(LV)",831-9206,123 Empire St.,Bars,Providence,RI,,1992,,,4/25/2023 9:32pm
2949,"Riverfront, The","(MW),(D)","941-1213 7pm-1am Wed-Sat, til midnight Sun",123 Franklin St.,Bars,Bangor,ME,,1992,,,4/25/2023 9:32pm
4048,Deluxe Books,,734-9656,123 Lake St.,Erotica,Clifton Park,NY,,1992,,,4/25/2023 9:32pm
2497,MCC,,224-2800 6pm Sun,124 1/2 N. Fifth,Religious Organization,Quincy,IL,,1992,,,4/25/2023 9:32pm
1550,Faces,"(MW),(D)","447-1610 4pm-1am Sun-Thurs, 8pm-2am Fri & Sat",124 Boston Post Rd.,Bars,Waterford,CT,,1992,,,4/25/2023 9:32pm
5034,Studio 124,"(MX),(D),(YC)","374-5551 9pm-2am Wed-Mon, 2flrs, downstairs more gay",124 N. 4th St.,Bars,Reading,PA,,1992,,,4/25/2023 9:32pm
2495,Irene's Cabaret,"(MW),(D)",222-6292 7pm-1am,124 N. 5th St.,Bars,Quincy,IL,,1992,,,4/25/2023 9:32pm
6118,M & M Club,"(MW),(F),(E)","347-1962 11am-2am Sun-Fri, noon-2:30am Sat",124 N. Water St.,Bars,Milwaukee,WI,,1992,,,4/25/2023 9:32pm
5124,Yukon Trading Co.,"(*),(D),(LV),(L)","274-6620 opens 5pm, T-dance Sun",124 Snow St.,Bars,Providence,RI,,1992,,,4/25/2023 9:32pm
1792,MCC,,358-6747 9am & 11am Sun & 7pm Wed,126 E. 7th St.,Religious Organization,Jacksonville,FL,,1992,,,4/25/2023 9:32pm
1298,AA Gay/Lesbian,,(at Gay/Lesbian Center Rm. A18) 963-3636 meets 11am Sun,126 E. Haley St.,Info Lines & Services,Santa Barbara,CA,,1992,,,4/25/2023 9:32pm
1299,Gay/Lesbian Center,,963-3636 10am-4pm Mon-Fri,126 E. Haley St.,Info Lines & Services,Santa Barbara,CA,,1992,,,4/25/2023 9:32pm
4851,AA Gay/Lesbian,,(CADA BLdg) 434-0614 (AA#) 8pm Thurs,126 N. 9th St.,Info Lines & Services,Allentown,PA,,1992,,,4/25/2023 9:32pm
6069,Gay/Lesbian Support Group,,784-7600 1st & 3rd Sun 7:30pm,126 N. 17th St.,Info Lines & Services,La Crosse,WI,,1992,,,4/25/2023 9:32pm
511,Dignity LA,," 344-8064, 5:30pm Sun",126 S. Avenue 64,Religious Organization,Los Angeles,CA,,1992,,,4/25/2023 9:32pm
4528,Birds Cafe,(MX),"381-2473 full bar, til 2:30am Sun-Thurs, til 3am Fri & Sat",126 W. 6th St.,Restaurants & Cafes,Cincinnati,OH,,1992,,,4/25/2023 9:32pm
4262,Hatfields,"(MW),(D),(S)",Kew Gardens 261-8484 9m-4am,126-10 Queens Blvd.,Bars,Queens,NY,,1992,,,5/18/2023 8:36am
3846,Ocean House,,345-8203 open year round,127 S. Ocean Ave.,Accomodations,Atlantic City,NJ,,1992,,,4/25/2023 9:32pm
4748,"Community Outreach, Inc.",,"758-3000 non-gay crisis line with gay resources, 24 hours",128 S.W. 9th,Info Lines & Services,Corvallis,OR,,1992,,,4/25/2023 9:32pm
6054,Adult Book & Novelty,,835-7292,129 N. Barstow,Erotica,Eau Claire,WI,,1992,,,4/25/2023 9:32pm
2994,Woodford's Cafe,(MX),"772-1374 11am-11pm Sun-Thurs, till 2am Fri & Sat",129 Spring St.,Restaurants & Cafes,Portland,ME,,1992,,,4/25/2023 9:32pm
3655,Faces Complex,"(D),(LV),(L),(E),(S),(AH)","E. St. Louis, IL (618) 271-7410, 3 level complex, from 3pm",130 4th,Bars,East St. Louis,IL,,1992,,,5/18/2023 10:51am
4130,Chelsea Transfer,(MW),929-7183 4pm-4am,131 8th Ave.,Bars,Greenwich Village,NY,,1992,,,4/25/2023 9:32pm
5935,Giorgina's Pizza,(MX),"329-8118 opens 11am Mon-Fri, opens 4pm Sat & Sun",131 15th Ave. E.,Restaurants & Cafes,Seattle,WA,,1992,,,4/25/2023 9:32pm
5284,MCC,,320-0288 11am & 7pm Sun,131 15th Ave. N. ,Religious Organization,Nashville,TN,,1992,,,4/25/2023 9:32pm
3128,MCC,,437-0420 7pm Sun,131 Cambridge St.,Religious Organization,Boston,MA,,1992,,,4/25/2023 9:32pm
4172,All American Boy,,242-0078,131 Christopher St.,Bookstore/Retail Shops,Greenwich Village,NY,,1992,,,4/25/2023 9:32pm
1182,Charpe's Grill,(MX),"621-6766 American cuisine, 5:30-10pm Sun-Thurs, til 10:30 wknds, Sun brunch",131 Gough St.,Restaurants & Cafes,San Francisco,CA,,1992,,,4/25/2023 9:32pm
3446,Newnham Inn,"(MW),(SW)","857-4249 B&B, hot tub, private baths, year round",131 Griffith,Accomodations,Saugatuck,MI,,1992,,,4/25/2023 9:32pm
5812,Uncle Louie's,(MX),480-1225 11am-10pm,132 E. Little Creek Rd.,Restaurants & Cafes,Norfolk,VA,,1992,,,4/25/2023 9:32pm
1515,"Andrews, The","(MW),(D),(E),(F)","826-7722 clsd Mon, lunch & dinner",132 Main St.,Bars,New Britain,CT,,1992,,,4/25/2023 9:32pm
2194,Connections,"(MW),(NH),(D)","242-2092 8pm til ? Mon-Thurs, opens 7pm Fri & Sat",132 N. Ashley ,Bars,Valdosta,GA,,1992,,,4/25/2023 9:32pm
3790,Five Star Saloon,"(*),(D),(LV),(NH),(F)",329-2878 24hrs,132 West St.,Bars,Reno,NV,,1992,,,4/25/2023 9:32pm
3265,Gallerani's,"(*),(MW),(BW)","487-4433 breakfast, lunch & diner",133 Commercial St.,Restaurants & Cafes,Provincetown,MA,,1992,,,4/25/2023 9:32pm
4662,Caesar's Show Bar,"(MW),(D),(S),(AH)",241-5140 7pm-2:30am Wed-Sun,133 N. Erie St.,Bars,Toledo,OH,,1992,,,4/25/2023 9:32pm
3987,"Ark, The",,"988-3709 new age, gay/lesbian section 9:30-7 Mon-Fri, 10-6 Sat, 11am-5pm Sun",133 Romero St.,Bookstore/Retail Shops,Santa Fe,NM,,1992,,,4/25/2023 9:32pm
4986,Danny's Adam & Eve,,"925-5041, 24 hrs",133 S. 13th St.,Erotica,Philadelphia,PA,,1992,,,4/25/2023 9:32pm
1247,Aunt Charlie's Lounge,,441-2922 6am-2am,133 Turk St.,Bars,San Francisco,CA,,1992,,,4/25/2023 9:32pm
3033,Icebreakers,"(MW),(CW),(D),(F)","783-0080 4pm-2am, from 11am Sat & Sun, brunch Sun",133 W. North Ave.,Bars,Baltimore,MD,,1992,,,4/25/2023 9:32pm
