auto#,title,amenityfeatures,type,description,streetaddress,city,state,unclear_address,unclear type or question,notes,Year,Last Modified
1561,The J Patrick House B&B,"(GF),(NS)",Accommodations,"(1/2 mile off Hwy 1) 805/927-3812, 800/341-5258 log cabin, fireplaces",2990 Burton Dr,Cambria,CA,,,,2002,9/29/2023 4:27pm
1562,The Madonna Inn,(GF),Accommodations,"805/543-3000, 800/543-9666 theme rms",1000 Madonna Rd,San Luis Obispo ,CA,,,,2002,9/29/2023 4:27pm
1563,Palomar Inn,"(GS),(GO)",Accommodations,805/773-4204 nr nude beach,1601 Shell Beach Rd,Shell Beach,CA,,,,2002,9/29/2023 4:27pm
1564,Linnea's Cafe,,Cafes,"(at Marsh) 805/541-5888 7am-midnight, till 7pm Sun",1110 Garden ,San Luis Obispo ,CA,,,,2002,5/20/2024 11:13am
1565,Big Sky Cafe,,Restaurants,"(at Marsh) 805/545-5401 7am-10pm, 8am- 9pm Sun",1121 Broad,San Luis Obispo ,CA,,,,2002,5/20/2024 11:13am
1567,Coalesce Bookstore & Garden Wedding Chapel,,Bookstores,"805/772-2880 10am-5:30pm, I1am-4pm Sun, Igbt section",845 Main St,Morro Bay,CA,,,,2002,5/20/2024 11:13am
1568,Volumes of Pleasure,"(WC),(GO)",Bookstores,"805/528-5565 10am-6pm, noon- 5pm Sun, general, Igbt section",1016 Los Osos Valley Rd,Los Osos,CA,,,,2002,5/20/2024 11:13am
1569,Twisted Orbits ,,Retail Shops,"(Higuera) 805/782-0278 11am- 7pm, clsd Sun, clothing, cards, Igbt gifts",1022 Morro St,San Luis Obispo ,CA,,,,2002,5/20/2024 11:13am
1575,Pacific Pride Foundation,,Info Lines & Services,"#A-11 805/963-3636, 805/965-2925 (crisis hotline only) 10am-5pm Mon-Fri, social/educational & support services, youth groups",126 E Haley St,Santa Barbara,CA,,,,2002,5/20/2024 11:13am
1576,Blue Dolphin Inn,"(GS),(NS),(WC),(GO)",Accommodations,"805/965-2333, 877/722-3657 1900s Victorian",420 W Montecito St,Santa Barbara,CA,,,,2002,9/29/2023 4:27pm
1577,Glenborough Inn,"(GS),(NS)",Accommodations,"(at Sola) 805/966-0589, 888/966-0589 different homes w/6 different personalities, full brkfst, hot tubs",1327 Bath St,Santa Barbara,CA,,,,2002,5/20/2024 11:13am
1578,Ivanhoe Inn,"(GF),(NS)",Accommodations,805/963-8832 kitchens,1406 Castillo St,Santa Barbara,CA,,,,2002,9/29/2023 4:27pm
1579,Old Yacht Club Inn,(GF),Accommodations,"805/962-1277, 800/676-1676 only B&B on beach",431 Corona Del Mar Dr,Santa Barbara,CA,,,,2002,9/29/2023 4:27pm
1580,Gold Coast,"(MW),(NH),(D),(WC)",Nightclubs,(at State) 805/965-6701 4pm-2am,30 W Cota,Santa Barbara,CA,,,,2002,9/29/2023 4:27pm
1581,Hot Spot Espresso Bar & Reservation Service,,Cafes,805/564-1637 24hrs,36 State St,Santa Barbara,CA,,,,2002,9/29/2023 4:27pm
1582,Mousse Odile,,Restaurants,"805/962-5393 brkfst, lunch & dinner, clsd Sun, French, patio",18 E Cota St,Santa Barbara,CA,,,,2002,5/20/2024 11:13am
1583,Sojourner Cafe,"(BW),(WC)",Restaurants,"(at Santa Barbara) 805/965-7922 11am-11pm, till 10pm Sun",134 E Canon Perdido,Santa Barbara,CA,,,,2002,9/29/2023 4:27pm
1584,Zelo's,"(*),(D),(E)",Restaurants,"(at Ortega) 805/966-5792 lunch & dinner, clsd Mon, full bar, also nightclub, from 10pm",630 State,Santa Barbara,CA,,,,2002,5/20/2024 11:13am
1585,Chaucer's Books,,Bookstores,"(at Las Positas) 805/682-6787 9am-9pm, till 10pm Fri-Sat, till 6pm Sun, Igbt section",3321 State St,Santa Barbara,CA,,,,2002,5/20/2024 11:13am
1586,For Adults Only,,Erotica,805/963-9922 23hrs,223 Anacupa,Santa Barbara,CA,,,,2002,9/29/2023 4:27pm
1587,The Riviera Adult Superstore,,Erotica,805/967-8282 pride items,4135 State St,Santa Barbara,CA,,,,2002,9/29/2023 4:27pm
1591,Tinker's Damn (TD's),"(M),(D)",Nightclubs,"(at Stevens Creek) 408/243-4595 3pm-2am, 1pm- 2am wknds",46 N Saratoga ,Santa Clara,CA,,,,2002,5/20/2024 11:13am
1592,Borderline,,Erotica,"(at Stevens Creek) 408/241-2177 toys, videos",36 N Saratoga Ave,Santa Clara,CA,,,,2002,5/20/2024 11:13am
1593,L'Amour Shoppe,,Erotica,408/296-7076,2329 El Camino Real,Santa Clara,CA,,,,2002,9/29/2023 4:27pm
1595,The Diversity Center,,Info Lines & Services,831/425-5422 call for info,1328 Commerce Ln,Santa Cruz,CA,,,,2002,9/29/2023 4:27pm
1596,Chateau Victorian B&B Inn,"(MW),(NS)",Accommodations,831/458-9458,118 First St,Santa Cruz,CA,,,,2002,9/29/2023 4:27pm
1597,Compassion Flower Inn,"(GS),(WC)",Accommodations,831/466-0420 medical marijuana-friendly,216 Laurel St,Santa Cruz,CA,,,,2002,5/20/2024 11:13am
1598,Blue Lagoon,"(GF),(D),(A),(TG),(V),(WC)",Nightclubs,831/423-7117,923 Pacific Ave,Santa Clara,CA,,,,2002,9/29/2023 4:27pm
1599,Dakota,"(MW),(D),(WC)",Nightclubs,"(at Soquel) 831/454-9030 noon-2am, salsa Mon, men's night Th",1209 Pacific Ave,Santa Clara,CA,,,,2002,5/20/2024 11:13am
1600,Costa Brava Taco Stand,,Restaurants,"831/423-8190 8am-11pm, till 10pm Sun-Mon",505 Seabright,Santa Clara,CA,,,,2002,9/29/2023 4:27pm
1601,Crêpe Place,(WC),Restaurants,"(at Seabright) 831/429-6994 11am-midnight, 10am- 1am Fri-Sat, full bar, garden patio",1134 Soquel Ave,Santa Clara,CA,,,,2002,5/20/2024 11:13am
1602,Saturn Cafe,(GO),Restaurants,"(at Pacific) 831/429-8505 11am- 2:30am, till 3:30am Fri-Sat",145 Laurel ,Santa Clara,CA,,,,2002,5/20/2024 11:13am
1603,Book Loft,,Bookstores,"(at Seabright) 831/429-1812 10am- 10pm, till 6pm Mon, noon-6pm Sun, mostly used",1207 Soquel Ave,Santa Clara,CA,,,,2002,5/20/2024 11:13am
1604,Bookshop Santa Cruz,(WC),Bookstores,"831/423-0900 9 am -11 pm, general, Igbt section",1520 Pacific Garden Mall,Santa Clara,CA,,,,2002,9/29/2023 4:27pm
1606,Heartwood Spa Hot Tub & Sauna Garden,(GF),Gyms & Health Clubs,"A (off Soquel, behind hospital) 831/462-2192 noon-11 pm, women only Sun eve",3150 Mission Dr,Santa Clara,CA,,,,2002,9/29/2023 4:27pm
1607,Kiva Retreat House Spa,,Gyms & Health Clubs,"(at Ocean) 831/429-1142 noon- 11 pm, till midnight Fri-Sat, women only 9am- 1:30pm Sun",702 Water St,Santa Clara,CA,,,,2002,5/20/2024 11:13am
1609,'Pacific Pride' Gay/Lesbian Resource Center,,Info Lines & Services,(at Depot) 805/349-9947 9am-5pm Mon-Fri,819 W Church St,Santa Maria,CA,,,,2002,9/29/2023 4:27pm
1610,Cafe Monet,(WC),Cafes,"(at Battles) 805/928-1912 6am-9pm, 6:30am-5pm Sat, 7:30am-3pm Sun",1555 S Broadway,Santa Maria,CA,,,,2002,5/20/2024 11:13am
1611,Book Adventure,(AYOR),Erotica,(btwn Cook & Cypress) 805/928-7094,306 S Blosser Rd,Santa Maria,CA,,,,2002,5/20/2024 11:44am
1612,Diamond Adult World,,Erotica,(at Western) 805/922-2828,938 W Main St,Santa Maria,CA,,,,2002,9/29/2023 4:27pm
1614,Aroma Roasters,"(MW),(WC),(GO)",Cafes,"(Railroad Sq)  707/576-776 5 6am- 11pm, till midnight Fri-Sat, 7:30am- 10:30pm Sun",95 5th St,Santa Rosa,CA,,,,2002,5/20/2024 11:13am
1615,Syrah,,Restaurants,"707/568-4002 lunch & dinner, clsd Sun-Mon",205 5th St,Santa Rosa,CA,,,,2002,9/29/2023 4:27pm
1616,North Light Books,(GO),Bookstores,"707/792-4300 9am- 9pm, till 10pm Fri-Sat, 10am-8pm Sun, strong Igbt emphasis, also coffeehouse",500 E Cotati Rd,Cotati,CA,,,,2002,5/20/2024 11:13am
1617,Sawyer's News,,Bookstores,"(btwn 'D' ft 'E') 707/542-1311 7am-9pm, till 10pm wknds",733 4th St,Santa Rosa,CA,,,,2002,9/29/2023 4:27pm
1619,Santa Rosa Adult Books,,Erotica,707/542-8248,3301 Santa Rosa Ave,Santa Rosa,CA,,,,2002,9/29/2023 4:27pm
1620,Coffee Catz,"(E),(WC)",Cafes,"(at Hwy 116) 707/829-6600 7am-6pm, till 10pm Th-Sat",6761 Sebastopol Ave,Sebastopol,CA,,,,2002,5/20/2024 11:13am
1621,The Sensuality Shoppe,,Erotica,"707/829-3999 open daily, toys, books, videos, woman-owned/run",2371 Gravenstein Hwy S,Sebastopol,CA,,,,2002,9/29/2023 4:27pm
1622,Organic Gardens B&B,"(GF),(NS),(GO)",Accommodations,559/561-0916 5 miles from entrance to Sequoia Nat'l Park,44095 Dinely Dr,Three Rivers,CA,,,,2002,5/20/2024 11:13am
1623,Gaige House Inn,"(GF),(SW)",Accommodations,"707/935-0237, 800/935-0237 in the Wine Country",13540 Arnold Dr,Glen Ellen,CA,,,,2002,9/29/2023 4:27pm
1625,Paradise,"(MW),(D),(E),(YC)",Nightclubs,"209/477-4724 6pm-2am, from 3pm Sun",10100 N Lower Sacramento Rd,Stockton,CA,,,,2002,9/29/2023 4:27pm
1626,Jaybird Books,,Erotica,(at Miner) 209/941-8607,332 N California,Stockton,CA,,,,2002,9/29/2023 4:27pm
1627,Orr Hot Springs,"(GF),(N)",Accommodations,"707/462-6277 hostel-style cabins, private cottages, campsites, guests must bring own food",13201 Orr Springs Rd,Ukiah,CA,,,,2002,5/20/2024 11:13am
1628,Perkins St Grill,"(GF),(D)",Bars,"707/462-0327 lunch & dinner, clsd Mon, Californian",228 E Perkins St,Ukiah,CA,,,,2002,5/20/2024 11:13am
1631,Oasis,"(M),(D),(WC)",Nightclubs,"#H (at Grove) 909/920-9590 7pm-2am Wed-Sat, from 8pm Sun, drag Th (18+)",1386 Foothill Blvd ,Upland,CA,,,,2002,5/20/2024 11:13am
1632,Mustang Books,,Erotica,(at Foothill) 909/981-0227 24hrs,961 N Central,Upland,CA,,,,2002,9/29/2023 4:27pm
1633,The Toy Books,,Erotica,(at Central) 909/920-1135 24hrs,1999 W Arrow Rte,Upland,CA,,,,2002,9/29/2023 4:27pm
1636,Nobody's Place,"(MW),(D),(WC)",Nightclubs,"(at Sonoma Blvd) 707/645-7 2 98 noon-2am, patio",437 Virginia St,Vallejo,CA,,,,2002,9/29/2023 4:27pm
1637,Black Spring Books,,Bookstores,"707/556-9766 10:30am-8pm, clsd Sun",503 Georgia St,Vallejo,CA,,,,2002,9/29/2023 4:27pm
1639,Diamond Adult World,,Erotica,(at Victory) 818/997-3665 24hrs,6406 Van Nuys Blvd,Van Nuys,CA,,,,2002,9/29/2023 4:27pm
1640,AA Gay/Lesbian,,Info Lines & Services,805/389-1444,739 E Main,Ventura,CA,,,,2002,9/29/2023 4:27pm
1641,Gay/Lesbian Community Center,,Info Lines & Services,"805/339-6340 9am-9pm, clsd wknds",3503 Arundell Cir,Ventura,CA,,,,2002,9/29/2023 4:27pm
1642,Paddy McDermott's,"(MW),(D),(K),(S)",Bars,(at Ventura) 805/652-1071 2pm-2am,2 W Main St,Ventura,CA,,,,2002,9/29/2023 4:27pm
1643,Three Star Books,,Erotica,805/653-9068 24hrs,359 E Main St,Ventura,CA,,,,2002,9/29/2023 4:27pm
1646,West Side 15,(MW),Bars,"(off 1-15) 760-243-9600 3pm-2am, from 2pm Sun",16868 Stoddard Wells Rd,Victorville,CA,,,,2002,9/29/2023 4:27pm
1647,Oasis Adult Dept Store,,Erotica,760/241-0788,14949 Palmdale Rd,Victorville,CA,,,,2002,9/29/2023 4:27pm
1650,AA Gay/Lesbian ,,Info Lines & Services,(at St Paul’s Church) 925/939-4155 8:30pm Fri & 5:30pm Sat,193 Mayhew Wy,Walnut Creek,CA,,,,2002,5/20/2024 11:13am
1651,Club 1220,"(MW),(D),(WC)",Nightclubs,(at Civic Dr) 925-938-4550 4pm-2am,1220 Pine St,Walnut Creek,CA,,,,2002,9/29/2023 4:27pm
1653,Together in Pride AA,,Info Lines & Services,at the church) 562-696-6213 (church #) 7:30pm Th,11931 Washington Blvd,Whittier,CA,,,,2002,9/29/2023 4:27pm
1654,Purple Thistle,,Restaurants,"707/459-4750 4pm-8pm,Japanese",50 S Main St,Willits,CA,,,,2002,9/29/2023 4:27pm
1655,Skunk Train California Western,,Entertainment & Recreation,707/459-5248,299 E Commercial St,Willits,CA,,,,2002,9/29/2023 4:27pm
1656,Leaves of Grass,,Bookstores,"707/459-3744 10am-5:30pm, noon-5pm Sun, alternative",630 S Main St,Willits,CA,,,,2002,5/20/2024 11:13am
1659,The Homestead,"(GF),(NS)",Accommodations,559/683-0495 cottages,41110 Rd 600,Ahwahnee,CA,,,,2002,9/29/2023 4:27pm
1660,The Lakehouse B&B at Bass Lake,"(GF),(NS)",Accommodations,"(at Hill) 559/683-8220 full brkfst, hot tub",39131 Lake Drive,Bass Lake,CA,,,,2002,9/29/2023 4:27pm
1665,Cottonwood Inn,"(GF),(NS)",Accommodations,"719/589-3882, 800/955-2623",123 San Juan Ave,Alamosa,CO,,,,2002,9/29/2023 4:27pm
1667,Aspen Mountain Lodge,"(GF),(SW)",Accommodations,"970/925-7650, 800/362-7736",311 W Main,Aspen,CO,,,,2002,9/29/2023 4:27pm
1668,Hotel Lenado,(GF),Accommodations,"970/925-6246, 800/321-3457 full brkfst, hot tub, bar",200 S Aspen St,Aspen,CO,,,,2002,9/29/2023 4:27pm
1669,Sardy House,"(GF),(SW)",Accommodations,"970/920-2525, 800/321-3457 hot tub",128 E Main St,Aspen,CO,,,,2002,9/29/2023 4:27pm
1670,Hotel Aspen,"(GF),(SW),(NS)",Accommodations,"970/925-3441, 800/527-7369 hot tub",110 W Main St,Aspen,CO,,,,2002,9/29/2023 4:27pm
1671,Snow Queen Victorian B&B/Cooper St Lofts,(GF),Accommodations,"970/925-8455 1880s Victorian, hot tub",124 E Cooper,Aspen,CO,,,,2002,9/29/2023 4:27pm
1672,Double Diamond,"(GF),(S)",Bars,"970/920-6905 seasonal, 9pm-2am",450 S Galena,Aspen,CO,,,,2002,9/29/2023 4:27pm
1673,Jimmy's ,,Restaurants,"(at Hopkins) 970/925-6020 5:30pm-11pm, also bar",205 S Mill St,Aspen,CO,,,,2002,9/29/2023 4:27pm
1674,Syzygy,"(E),(WC)",Restaurants,"970/925-3700 6pm- 10pm, bar till 2am",520 E Hyman,Aspen,CO,,,,2002,9/29/2023 4:27pm
1675,Explore Booksellers & Bistro,"(F),(WC)",Bookstores,"(at Aspen) 970/925- 5336 10am-8pm, also veggie restaurant",221 E Main,Aspen,CO,,,,2002,9/29/2023 4:27pm
1676,WYSIWYG Cabin,"(GS),(GO)",Accommodations,"214/912-1100 private cabin, 45 min west of Denver",1412 Clark Rd,Bailey,CO,,,,2002,9/29/2023 4:27pm
1678,Boulder Victoria Historic B&B,(GF),Accommodations,(at 13th) 303/938-1300,1305 Pine St,Boulder,CO,,,,2002,9/29/2023 4:27pm
1679,The Briar Rose B&B,"(GF),(NS)",Accommodations,(at 22nd) 303/442-3007,2151 Arapahoe Ave,Boulder,CO,,,,2002,9/29/2023 4:27pm
1680,The Foundry,"(GF),(D),(S),(WC)",Bars,"303/447-1803 11am-1:30am, also cafe from 6am",1109 Walnut,Boulder,CO,,,,2002,5/20/2024 11:13am
1681,The Yard,"(MW),(D),(WC)",Nightclubs,"#C (at Bluff) 303/443-1987 4pm-2am, from 2pm wknds",2690 28th St,Boulder,CO,,,,2002,5/20/2024 11:13am
1682,Walnut Cafe,"(*),(WC)",Cafes,"(at 30th) 303/447-2315 7am-4pm, patio",3073 Walnut,Boulder,CO,,,,2002,5/20/2024 11:13am
1683,Left Hand Books,,Bookstores,"lower level (E of Broadway) 303/443-8252 10am-9pm, noon-6pm Sun",1200 Pearl St,Boulder,CO,,,,2002,5/20/2024 11:13am
1684,Word Is Out,(WC),Bookstores,"(btwn Canyon & Arapahoe) 303/449-1415 10am-7pm, noon-5pm Sun, Igbt sections",1731 15th St,Boulder,CO,,,,2002,5/20/2024 11:13am
1685,Aria,(WC),Retail Shops,"(at Spruce) 303/442-5694 10am-6pm, noon- 5pm Sun, gifts",2043 Broadway,Boulder,CO,,,,2002,5/20/2024 11:13am
1686,The News Stand,,Erotica,(at Grove) 303/442-9515,1720 15th St,Boulder,CO,,,,2002,9/29/2023 4:27pm
1694,Blue Skies Inn B&B,(GS),Accommodations,"(at Mayfair) 719/685-3899, 800/398-7949 Gothic Revival, full brkfst",402 Manitou Ave,Manitou Springs,CO,,,,2002,5/20/2024 11:13am
1695,Chalice House,(GS),Accommodations,"(Uintah) 888/475-7505, 719/475-7505 full brkfst, hot tub",1116 Wahsatch Ave,Colorado Springs,CO,,,,2002,5/20/2024 11:13am
1696,Old Town Guest House B&B,"(GF),(WC)",Accommodations,"719/632-9194, 888/375-4210 full brkfst, hot tub",115 S 26th St,Colorado Springs,CO,,,,2002,5/20/2024 11:13am
1698,Quality Inn-Garden of the Gods,"(GF),(SW)",Accommodations,719/593-9119,555 W Garden of the Gods,Colorado Springs,CO,,,,2002,9/29/2023 4:27pm
1699,Hide & Seek Complex,"(*),(MW),(D),(F),(CW),(S),(YC),(WC)",Nightclubs,"(at Walnut) 719/634-9303 10:30am -2am, till 5am Fri-Sat, 5 bars",512 W Colorado,Colorado Springs,CO,,,,2002,5/20/2024 11:13am
1700,Dale Street Cafe,,Restaurants,"719/578-9898 11am-9pm, clsd Sun",115 E Dale,Colorado Springs,CO,,,,2002,9/29/2023 4:27pm
1702,First Amendment Adult Bookstore,,Erotica,719/630-7676,220 E Fillmore,Colorado Springs,CO,,,,2002,9/29/2023 4:27pm
1703,Las Vegas Video Palace III,,Erotica,(off 'B' St) 719/538-9675,1613 La Shelle Wy,Colorado Springs,CO,,,,2002,9/29/2023 4:27pm
1704,XXX-Treme Mature Fantasy Store,,Erotica,719/638-0200,620 Peterson Rd,Colorado Springs,CO,,,,2002,9/29/2023 4:27pm
1710,Lesbian/Gay/Bisexual Community Service Center of Colorado,(WC),Info Lines & Services,"(at 2nd Ave) 303/733-7743, 303/837-1598 (TDD) 10am-6pm Mon-Fri, extensive resources & support groups",234 Broadway,Denver,CO,,,,2002,5/20/2024 11:13am
1711,Rainbow Alley,,Info Lines & Services,"303/832-2260 drop-in center for Igbt youth, social/support groups, also medical clinic",919 E 14th Ave,Denver,CO,,,,2002,5/20/2024 11:13am
1713,Elyria's Western Guest House,"(M),(NS)",Accommodations,"(nr I-70 & Brighton) 303/291-0915 hot tub, historic neighborhood",1655 E 47th Ave,Denver,CO,,,,2002,5/20/2024 11:13am
1714,"The Gregory Inn, LoDo","(GF),(GO)",Accommodations,"(at 25th St) 303/295-6570, 800/925-6570 jacuzzis",2500 Arapahoe St,Denver,CO,,,,2002,9/29/2023 4:27pm
1715,Hotel Monaco,(GF),Accommodations,"(at 17th) 303/296-1717, 800/397- 5380 gym, spa, also Italian restaurant",1717 Champa St,Denver,CO,,,,2002,5/20/2024 11:13am
1716,Radisson Hotel Denver Stapleton Plaza,"(GF),(F),(SW),(WC)",Accommodations,"(at 35th) 303/321-3500, 800/333-3333",3333 Quebec St,Denver,CO,,,,2002,9/29/2023 4:27pm
1717,Royal Host Motel,"(GF),(WC)",Accommodations,(at Ogden) 303/831-7200 next door to 'Charlie's Denver',930 E Colfax Ave,Denver,CO,,,,2002,9/29/2023 4:27pm
1718,Victoria Oaks Inn,"(GS),(GO)",Accommodations,(at 16th) 303/355-1818,1575 Race St,Denver,CO,,,,2002,9/29/2023 4:27pm
1719,BJ's Carousel,"(*),(GS),(NH),(TG),(F),(K),(S),(WC),(GO)",Bars,,1380 S Broadway St,Denver,CO,,,,2002,5/20/2024 11:13am
1720,Brick's,"(M),(NH),(WC)",Bars,"(at Franklin) 303/377-5400 10am- 2am, lunch Mon-Fri, brunch wknds",1600 E 17th Ave,Denver,CO,,,,2002,5/20/2024 11:13am
1721,The Brig,"(M),(NH),(S)",Bars,"(btwn 1st & 2nd Aves) 303/777-9378 noon-2am, male dancers",117 Broadway ,Denver,CO,,,,2002,5/20/2024 11:13am
1722,C's,"(W),(D)",Bars,"(at Trenton) 303/322-4436 5pm-midnight, till 2am Fri-Sat",7900 E Colfax Ave,Denver,CO,,,,2002,5/20/2024 11:13am
1723,Cafe Cero,"(GS),(NH),(F)",Bars,(btwn Arkansas & Florida) 303/282-1446 4 pm -1:30am Tue-Sat,1446 S Broadway ,Denver,CO,,,,2002,9/29/2023 4:27pm
1724,Charlie's ,"(*),(M),(D),(CW),(WC)",Bars,"(at Emerson) 303/839-8890 I1am-4am, also restaurant",900 E Colfax Ave,Denver,CO,,,,2002,5/20/2024 11:13am
1725,Club Stud,"(M),(NH)",Bars,(at Byers) 303/733-9398 7am-2am,255 S Broadway,Denver,CO,,,,2002,9/29/2023 4:27pm
1726,The Compound,"(M),(NH),(D),(A)",Bars,"(at 2nd Ave) 303/722-7977 7am-2am, from 8am Sun",145 Broadway,Denver,CO,,,,2002,9/29/2023 4:27pm
1727,The Den,"(MW),(NH),(WC)",Bars,"(at Sheridan) 303/623-7998 11am-2am, from 10am wknds, also restaurant, dinner nightly, brunch Sun",5110 W Colfax Ave,Denver,CO,,,,2002,5/20/2024 11:13am
1728,Denver Detour,"(*),(MW),(E),(F),(WC)",Bars,"(at Pearl, use back entrance) 303/861-1497 11am-2am",551 E Colfax Ave,Denver,CO,,,,2002,5/20/2024 11:13am
1729,The Denver Wrangler,"(M),(B),(WC)",Bars,"(at 17th Ave) 303/837-1075 11 am-2am, levi/ bear cruise bar",1700 Logan Ave,Denver,CO,,,,2002,9/29/2023 4:27pm
1730,Down Under,"(MW),(NH),(F),(V)",Bars,"(at Alameda, enter on alley) 303/777-4377 3pm-2am, from 11am wknds, piano bar, live jazz wknds",266 S Downing,Denver,CO,,,,2002,5/20/2024 11:13am
1731,Fox Hole,(MW),Bars,(at 20th St) 303/298-7391 clsd Mon-Tue,2936 Fox St ,Denver,CO,,,,2002,9/29/2023 4:27pm
1732,The Grand,"(M),(E),(WC)",Bars,"(at Pearl) 303/839-5390 3pm-2am, from 6pm wknds, upscale piano bar",538 E 17th Ave,Denver,CO,,,,2002,5/20/2024 11:13am
1733,The Longhorn,"(MW),(NH),(S),(WC)",Bars,"(at St Paul) 303/321-6627 7am-2am, strippers",3014 E Colfax Ave,Denver,CO,,,,2002,9/29/2023 4:27pm
1734,Mr Bill's,"(M),(NH)",Bars,(at 11th) 303/534-1759 10am-2am,1027 Broadway,Denver,CO,,,,2002,9/29/2023 4:27pm
1735,The Old Tequila Rose,"(M),(NH),(MR-L)",Bars,303/295-2819 noon-2am,5190 Brighton Blvd,Denver,CO,,,,2002,9/29/2023 4:27pm
1736,R&R Denver,"(MW),(NH)",Bars,"(at Elm) 303/320-9337 1pm- 2am, from 11am wknds",4958 E Colfax Ave,Denver,CO,,,,2002,5/20/2024 11:13am
1737,Safari Bar,"(MW),(D)",Bars,(at 31st) 303/298-7959 noon-2am,500 Denargo St,Denver,CO,,,,2002,9/29/2023 4:27pm
1738,The Triangle,"(M),(L)",Bars,"(at 20th Ave] 303/293-9009 3pm- 2am, till 4am wknds, from 11am Sun",2036 Broadway,Denver,CO,,,,2002,5/20/2024 11:13am
1739,The Zu,"(MW),(D),(K),(S),(WC)",Bars,(at Bayaud) 303/777-0193 2pm-2am,60 S Broadway,Denver,CO,,,,2002,9/29/2023 4:27pm
1740,Amsterdam,"(*),(GS),(D)",Nightclubs,(at 29th) 303/405-4458 after-hrs wknds,2901 Walnut,Denver,CO,,,,2002,9/29/2023 4:27pm
1741,La Rumba,"(GF),(D),(E)",Nightclubs,"(at Broadway) 303/572-8006 9pm- 2am, clsd Mon-Wed, salsa dancing",99 W 9th Ave,Denver,CO,,,,2002,5/20/2024 11:13am
1742,Pure,"(GS),(D)",Nightclubs,"(btwn 26th & 27th) 303/298-7873 9pm-close, clsd Mon-Tue",2637 Welton,Denver,CO,,,,2002,5/20/2024 11:13am
1743,The Raven,(MR),Nightclubs,"(at 22nd) no phone, unconfirmed",2217 Welton St,Denver,CO,,,,2002,9/29/2023 4:27pm
1744,Rock Island,"(GF),(D),(A),(YC),(WC)",Nightclubs,"(at Wazee) 303/572-7625 9pm- 2am, call for events",1614 15th St,Denver,CO,,,,2002,5/20/2024 11:13am
1745,Tracks 2000,"(*),(M),(D),(WC)",Nightclubs,"(btwn 20th & Chestnut) 303/292-6600 8pm-2am, from 5:30pm Fri, clsd Sun-Tue, 18+ Th",2975 Fox St,Denver,CO,,,,2002,5/20/2024 11:13am
1746,The Wave Nightclub,"(MW),(D),(S)",Nightclubs,(at 21st) 303/299-9283 8pm-close Wed-Sat,2101 Champa St,Denver,CO,,,,2002,5/20/2024 11:13am
1747,Bump & Grind Cafe,,Cafes,"(at Pennsylvania) 303/861-4841 7am-5:30pm, wknd brunch, clsd Mon",439 E 17th Ave,Denver,CO,,,,2002,5/20/2024 11:13am
1748,Diedrich Coffee,(*),Cafes,(at Downing) 303/837-1275,1201 E 9th,Denver,CO,,,,2002,9/29/2023 4:27pm
1749,Java Creek,(WC),Cafes,"(at 3rd Ave) 303/377-8902 7am-6pm, 9am-4pm Sun",287 Columbine St,Denver,CO,,,,2002,5/20/2024 11:13am
1750,The Avenue Grill,,Restaurants,(at Washington) 303/861-2820,630 E 17th Ave,Denver,CO,,,,2002,9/29/2023 4:27pm
1751,Basil Ristorante,"(*),(BW),(WC)",Restaurants,"(at Bayaud) 303/832-8009 lunch Mon-Fri, dinner nightly, nouvelle Italian",846 Broadway,Denver,CO,,,,2002,5/20/2024 11:13am
1752,Benny's,,Restaurants,"(at Grand St) 303/894-0788 8am-11pm, Mexican",301 E 7th Ave ,Denver,CO,,,,2002,9/29/2023 4:27pm
1753,Dazzle,,Restaurants,"(at 9th) 303/839-5100 lunch & dinner, clsd Mon, also lounge",930 Lincoln St,Denver,CO,,,,2002,5/20/2024 11:13am
1754,Janleone,"(E),(WC)",Restaurants,"(at Colfax) 9303/863-8433 dinner, also Sun brunch, clsd Mon, patio",1509 Marion,Denver,CO,,,,2002,5/20/2024 11:13am
1755,Las Margaritas ,"(*),(WC)",Restaurants,"303/777-0194 11am-close, bar till 2am, Mexican",1066 Old S Gaylord St,Denver,CO,,,,2002,5/20/2024 11:13am
1756,McCole,,Restaurants,"(btwn Florida & Arkansas) 9303/744-1940 6pm- 10pm, from 5pm Fri-Sat, clsd Sun-Mon, full bar",1469 S Pearl,Denver,CO,,,,2002,5/20/2024 11:13am
1757,Painted Bench,,Restaurants,"(at Logan) 303/863-7473 lunch & dinner, clsd Sun",400 E 20th Ave,Denver,CO,,,,2002,5/20/2024 11:13am
1758,Paris on the Platte,,Restaurants,"(at 15th) 303/455-2451 7am-1am, till 3am wknds, popular after-hrs",1553 Platte,Denver,CO,,,,2002,5/20/2024 11:13am
1759,Racine's,,Restaurants,"(btwn 8th & 9th) 9303/595-0418 brkfst, lunch, dinner & Sun brunch, full bar",850 Bannock St,Denver,CO,,,,2002,5/20/2024 11:13am
1760,Wazee Supper Club,(BW),Restaurants,"(at Wazee) 303/623-9518 11am- 2am, noon-midnight Sun",1600 15th St,Denver,CO,,,,2002,5/20/2024 11:13am
1761,Zaidy's Deli,,Restaurants,"(at First) 303/333-5336 7am-4pm Mon-Tue, till 8pm Wed-Fri, 8am-4pm wknds",1210 Adams,Denver,CO,,,,2002,5/20/2024 11:13am
