Auto#,title,unclear_address,streetaddress,description,amenityfeatures,type,city,state,notes,unclear type or question,Year,Last Modified
3035,AA Gay/Lesbian,,23rd & Woodlawn,(First Cong. Church) 344-6611 8pm Sun & Tue,,Info Lines & Services,Boise,ID,,,1998,2/12/2024 4:55pm
5566,Lucky Cheng's,,24 1st Ave,"(at 2nd St.) 473-0516, 6pm-midnight, Chinese, full bar, live shows",(*),Restaurants,New York City,NY,"Listed under ""N.Y.C. -- Soho, Greenwich & Chelsea""",,1998,7/2/2024 3:53pm
1829,Weber's Travel Services,,24 Cedar St,229-4846,,Travel Agents,New Britain,CT,,,1998,2/8/2024 10:54am
1153,24 Henry,,24 Henry St,"864-5686/(800) 900-5686 also 1-bdrm apt. avail., 1 blkfrom guesthouse","(M),(NS),(TA)",Accommodations,San Francisco,CA,"Listed under ""S.F.-Castro & Noe Valley""",,1998,2/8/2024 10:54am
2050,Follies,,24 O St SE,upstairs 484-0323 24hrs,,Erotica,Washington,DC,,,1998,7/2/2024 6:23pm
7520,Idle Isle,,24 S Main St," Brigham City  734-2468 11am-8pm, til 9pm Fri-Sat, clsd Sun","(*),(NS)",Restaurants,Brigham City,UT,"Listed under ""Salt Lake City, UT""",,1998,7/2/2024 6:19pm
114,Obelisk the Bookstore,,24 W Camelback Rd ,"#A 266-2665 10am-10pm, noon-8pm Sun, lesbigay",(WC),Bookstores & Retail Shops,Phoenix,AZ,,,1998,7/2/2024 4:15pm
112,JK Dwellings,,24 W Camelback Rd ,#B 248-4959,,Bookstores & Retail Shops,Phoenix,AZ,,,1998,7/2/2024 4:15pm
2049,GHC (The Gloryhole),,24O St SE,863-2770 24hrs,,Men's Clubs,Washington,DC,,,1998,7/2/2024 6:23pm
3944,Bob's Livery & Tour,,25 Alton St,"773-5135 transportation to Portland, Ogunquit, Boston, Logan Airport & other New England areas",,Info Lines & Services,Portland,ME,,,1998,7/2/2024 3:53pm
4398,Skin Deep ,,25 Bank Street Sq ,349-1300 body care products ,,Bookstores & Retail Shops,Wellfleet,MA,,,1998,7/2/2024 3:53pm
5749,Park Ave. Travel,,25 Buckingham St,256-3080,(TA),Travel Agents,Rochester,NY,,,1998,7/2/2024 3:53pm
1916,Sydney’s Side Street Restaurant & Blues Place,,25 Christian St,"227-1339 5pm-1am, from 11am Sun, clsd Mon-Tues, full bar, patio",(E),Cafes,Rehoboth Beach,DE,,,1998,2/8/2024 10:54am
4066,Acropolis,,25 E Main St,Frostburg 689-8277 4pm-10pm,,Restaurants,Cumberland,MD,,checked,1998,7/2/2024 3:53pm
7549,Common Ground ,,25 Elliott St,"257-0855 lunch & dinner, clsd Tue, vegetarian/local fish ",(BW),Restaurants,Brattleboro,VT,,,1998,7/2/2024 3:53pm
4112,Citywide Reservation Service,,25 Huntington Ave ,#500 267-7424/(800) 468-3593 covers most of New England,,Accommodations,Boston,MA,,,1998,7/2/2024 4:15pm
5077,The Virginia Hotel,,25 Jackson St,"884-5700/(800) 732-4236 also 'The Ebbitt Room' restaurant, seafood/cont'I","(GF),(TA)",Accommodations,Cape May,NJ,,,1998,7/2/2024 3:53pm
8119,Chadwick Inn B&B,,25 N 8th Ave,743-2771,(GF),Accommodations,Sturgeon Bay,WI,,,1998,7/2/2024 3:53pm
4224,House of Orange,,25 Orange St,"228-9287 seasonal, old captain's home",(GF),Accommodations,Nantucket,MA,,,1998,7/2/2024 3:53pm
6850,St. Peter's & Andrew’s Episcopal Church ,,25 Pomona Ave ,"272-9649 8am & 10am Sun, 7pm Wed (healing service)","(*),(NS)",Spiritual Groups,Providence,RI,,,1998,
5783,Aquarius Travel,,25 Rockledge Ave ,#603 682-5663,(TA),Travel Agents,White Plains,NY,,,1998,7/2/2024 4:15pm
4049,Safe Harbors Travel,,25 South St,547-6565/(800) 344-5656,,Travel Agents,Baltimore,MD,,,1998,7/2/2024 3:53pm
5790,Acorn Cottage B&B,,25 St Dunstans Cir,253-0609/(800) 699-0609 full brkfst,"(GF),(NS)",Accommodations,Asheville,NC,,,1998,7/2/2024 3:53pm
1124,New Conservatory Theatre Center,,25 Van Ness Ave,Lower Lobby 861- 8972 gay theater in historic Masonic bldg.,,Entertainment & Recreation,San Francisco,CA,"Listed under ""S.F.-Overview""",,1998,7/2/2024 4:43pm
1855,Triangle Community Center,,25 Van Zant St ,"#7-C, E Norwalk 853-0600 7:30pm-9:30pm Mon-Fri",,Info Lines & Services,Norwalk,CT,,,1998,7/2/2024 4:15pm
4237,The Grotto,,25 West St,586-6900 5pm-1am,"(MW),(D),(F),(E)",Bars & Nightclubs,Northampton,MA,,,1998,7/2/2024 3:53pm
5089,United Video Adult World,,25 White Horse Park,965-1110,,Erotica,Egg Harbor City,NJ,,,1998,
5305,Cathode Ray,,26 Allen St,"884-3615, lpm-4am","(M),(NH),(V),(WC)",Bars & Nightclubs,Buffalo,NY,,,1998,
1910,Dream Cafe,,26 Baltimore Ave,"226-2233 espresso bar & gourmet deli, full brkfst menu",,Cafes,Rehoboth Beach,DE,,,1998,
4303,Lamplighter Inn ,,26 Bradford St ,487-2529/(800) 263-6574 ,(MW),Accommodations,Provincetown,MA,,,1998,7/2/2024 3:53pm
4111,Chandler Inn,,26 Chandler St,482-3450/(800) 842-3450,"(GF),(TA)",Accommodations,Boston,MA,,,1998,7/2/2024 3:53pm
4155,Waterstones Booksellers,,26 Exeter,859-7300 9am-11pm,(WC),Bookstores & Retail Shops,Boston,MA,,,1998,6/16/2024 9:20pm
3580,Silky's Restaurant & Bar,,26 N Mosley,"267-1309 11am-9pm, til 2am Th-Sat, til 6pm Sun, food til 10pm, DJ Sat, karaoke Th","(GF),(D),(F)",Bars & Nightclubs,Wichita,KS,,,1998,7/2/2024 3:53pm
4631,Murray's,,26 S 6th S, Minneapolis 339-0909 meat & potatoes,,Restaurants,Minneapolis,MN,"Listed under ""Minneapolis/St Paul, MN""",,1998,7/2/2024 6:19pm
210,Ermilio's ,,26 White,"253-8806 5pm-8:30pm, clsd Th, Italian, plenty veggie",,Restaurants,Eureka Springs,AR,,,1998,
4123,Chaps,,27 Huntington Ave,"266-7778 noon-2am, Wed Latino night","(M),(D),(V),(WC),(*)",Bars & Nightclubs,Boston,MA,,,1998,7/2/2024 3:53pm
3930,Maxwell's Pub,,27 Main St,"646-2345 seasonal, noon-1am, patio","(GF),(F)",Bars & Nightclubs,Ogunquit,ME,,,1998,7/2/2024 3:53pm
4529,Mirage,,27 N Walnut,"954-1919 4pm02am, live shows","(MW),(D)",Bars & Nightclubs,Mount Clemens,MI,,,1998,7/2/2024 3:53pm
6358,Nova Travel ,,27 S State St ,#230  697-4460,(TA),Travel Agents,Lake Oswego,OR,,,1998,7/2/2024 4:15pm
3659,Hawley Cooke Books,,27 Shelbyville Rd ,"Plaza, 893-0133",,Bookstores & Retail Shops,Louisville,KY,,,1998,7/2/2024 3:53pm
5600,West Side Club,,27 W 20th St,"2nd fir 691-2700, 24hrs","(M),(PC)",Men's Clubs,New York City,NY,"Listed under ""N.Y.C. -- Soho, Greenwich & Chelsea""",,1998,7/2/2024 3:53pm
6606,Ember’glo Gifts,,27 W Mechanic St,"862-2929 11am-6pm, wknds only (winters)","(*),(NS)",Bookstores & Retail Shops,New Hope,PA,,,1998,7/2/2024 3:53pm
6944,Chuck's II,,27-1/2 W Main,"265-5405 6pm-1am, til 3am Fri-Sat, patio
","(MW),(NH),(D),(CW),(OC)",Bars & Nightclubs,Chattanooga,TN,,,1998,7/2/2024 3:53pm
5602,The Vault,,28 10th Ave,"(at 13th St.) 255-6758, safer sex club, call for events",(L),Sex Clubs,New York City,NY,"Listed under ""N.Y.C. -- Soho, Greenwich & Chelsea""",,1998,
4339,Westwinds,,28 Commercial St,"487-1841 seasonal, apts & cottages","(MW),(SW)",Accommodations,Provincetown,MA,,,1998,7/2/2024 3:53pm
5337,Rocking Duck Inn,,28 Genesee Pkwy,"968-3335, full brkfst; also Aunt Minnie's Tavern'",(GF),Accommodations,Cuba,NY,,,1998,7/2/2024 3:53pm
6808,David’s,,28 Prospect Hill St,"847-9698 5pm-1am, from 2pm wknds, Sun T-dance, patio, see ad page 586","(NH),(D),(*),(MW)",Bars & Nightclubs,Newport,RI,,,1998,7/2/2024 3:53pm
6513,Moose Lounge/Stonewall,,28-30 N 10th St,432-0706 4pm-2am,"(D),(F),(E),(K),(S),(V),(*),(MW)",Bars & Nightclubs,Allentown,PA,,,1998,7/2/2024 3:53pm
5490,Bar d'O,,29 Bedford St,(at Downing St.) 627-1580 7:30pm-3am,"(GF),(S)",Bars & Nightclubs,New York City,NY,"Listed under ""N.Y.C. -- Soho, Greenwich & Chelsea""",,1998,7/2/2024 3:53pm
5115,The Frog and the Peach,,29 Dennis St,"846-3216 11:30am-11pm, til 1am Th-Sat",(WC),Restaurants,New Brunswick,NJ,,,1998,7/2/2024 3:53pm
4191,Brandt House,,29 Highland Ave,774-3329/(800) 235-3329 full brkfst,(GF),Accommodations,Greenfield,MA,,,1998,7/2/2024 3:53pm
5172,Hateful Missy & Granny Butch's Boudoir & Manure Emporium,,29 lara Millo Loop," Vequita 243-7063/(800) 397-2482 full brkfst, hot tub, 30 mi. from Albuquerque",(MW),Accommodations,Vequita,NM,"Listed under ""Albuquerque, NM""",,1998,7/2/2024 6:19pm
1869,The Brownstone,,29 Leavenworth St ,"597-1838 5pm-1am, til 2am Fri-Sat, clsd Mon; also restaurant","(MW),(S),(WC)",Bars & Nightclubs,Waterbury,CT,,,1998,2/8/2024 10:54am
4167,"Homebase Abroad, Ltd.",,29 Mary s Ln,545-5112,(TA),Travel Agents,Scituate,MA,,,1998,7/2/2024 3:53pm
2372,K & E's,,29 S Dixie Hwy,"533-6020 4pm-2am, from 2pm wknds","(MW),(F)",Bars & Nightclubs,Lake Worth,FL,,,1998,1/29/2024 3:24pm
4101,Bisexual Resource Center,,29 Stanhope St 3rd flr,424-9595,,Info Lines & Services,Boston,MA,,,1998,7/2/2024 3:53pm
5785,Golden Notebook,,29 Tinker St,"679-8000 10:30am-7pm, til 9pm (summers), lesbigay section",(WC),Bookstores & Retail Shops,Woodstock,NY,,,1998,7/2/2024 3:53pm
4157,Wordsworth,,30 Brattle St,"354-5201 9am-11pm, 10am-10pm Sun",,Bookstores & Retail Shops,Cambridge,MA,,,1998,7/2/2024 3:53pm
4399,Outer Cape Travel Agency ,,30 Briar Ln ,349-3794 ,(TA),Travel Agents,Wellfleet,MA,,,1998,7/2/2024 3:53pm
4143,Casa Romero,,30 Gloucester St,"536-4341 5pm-10pm, til 11pm wknds",,Restaurants,Boston,MA,,,1998,7/2/2024 3:53pm
3923,Old Village Inn,,30 Main St,646-7088,"(GF),(F)",Accommodations,Ogunquit,ME,,,1998,7/2/2024 3:53pm
4392,A&D Travel ,,30 Main St, W Springfield  737-5706,(TA),Travel Agents,West Springfield,MA,"Listed under ""Springfield, MA""",,1998,7/2/2024 6:19pm
5721,Blair's Tavern,,30 Marion St,"561-9071, 4'pm-2am, from 6pm wknd;","(MW),(D)",Bars & Nightclubs,Plattsburg,NY,,,1998,7/2/2024 3:53pm
1900,Summer Place Hotel,,30 Olive Ave,226-0766/(800) 815-3925,(GF),Accommodations,Rehoboth Beach,DE,,,1998,
1703,Basil's Cafe,,30 S Broadway,"698-1413 lunch & dinner, clsd Sun, nouvelle Italian, plenty veggie","(*),(BW),(WC)",Cafes,Denver,CO,,,1998,2/8/2024 10:54am
1529,Gold Coast,,30 W Cota,965-6701 4pm-2am,"(M),(D),(WC)",Bars & Nightclubs,Santa Barbara,CA,,,1998,1/16/2024 2:27pm
3960,Zootz,,31 Forest Ave,773-8187 9pm-1am,"(GF),(D),(A),(E)",Bars & Nightclubs,Portland,ME,,,1998,7/2/2024 3:53pm
5304,Buddies,,31 lohnson Park,"855-1313, lpm-4am","(MW),(D),(E),(WC)",Bars & Nightclubs,Buffalo,NY,,,1998,
5484,Incentra Village House,,32 8th Ave,(at W. 12th St.) 206-0007,(MW),Accommodations,New York City,NY,"Listed under ""N.Y.C. -- Soho, Greenwich & Chelsea""",,1998,7/2/2024 3:53pm
5762,Guion House,,32 Cayuga St,"(315) 568-8129/631-8919 full brkfst bistro, full bar","(GF),(NS)",Accommodations,Seneca Falls,NY,,,1998,7/2/2024 3:53pm
7550,Peter Haven's ,,32 Elliott St ,"257-3333 6pm-10pm, clsd Sun-Mon, cont'l ","(*),(NS)",Restaurants,Brattleboro,VT,,,1998,7/2/2024 3:53pm
7514,The Vortex,,32 Exchange Pl,"521-9292 (;30pm-2am, patio ","(GF),(D),(A),(WC)",Bars & Nightclubs,Salt Lake City,UT,,,1998,7/2/2024 3:53pm
7561,Howden Cottage B&B,,32 N Champlain St ,864-7198,"(MW),(NS)",Accommodations,Burlington,VT,,,1998,7/2/2024 3:53pm
6807,The Prospect Hill Guest House,,32 Prospect Hill St , 847-7405 ,"(MW),(NS)",Accommodations,Newport,RI,,,1998,
3946,Gays in Sobriety,,32 Thomas St,(Williston W. Church) 774-4060 6:30pm Sun & 8pm Th,,Info Lines & Services,Portland,ME,,,1998,7/2/2024 3:53pm
5694,Amnesia,,32-03 Broadway,"(at 32nd St.), Astoria 204-7010","(GF),(D)",Bars & Nightclubs,Astoria,NY,"Listed under ""N.Y.C. -- Queens""",,1998,
5382,Crossroads Restaurant,,33 Broadway,"11:30am-10pm, ktichen til 9pm, clsd Mon, piano bar",,Restaurants,Kingston,NY,,,1998,
3094,Illini Video Arcade,,33 E Springfield Ave,359-8529,,Erotica,Champaign,IL,"Listed under ""Champaign/Urbana""",,1998,2/12/2024 5:34pm
1848,Heroes,,33 Golden St,442-4376 4pm-1am,"(MW),(NH),(D)",Bars & Nightclubs,New London,CT,,,1998,2/8/2024 10:54am
6173,Cold Beer & Cheeseburgers,,33 Jefferson St,"222-2337 11am-11pm, noon-8pm Sun, full bar",(WC),Cafes,Dayton,OH,,,1998,7/2/2024 3:53pm
1843,Fairmont Theatre,,33 Main St,467-3832,,Erotica,New Haven,CT,,,1998,2/8/2024 10:54am
4495,The Apartment ,,33 Sheldon ,"451-0815 11am-2am, from 1pm Sun","(M),(NH),(WC)",Bars & Nightclubs,Grand Rapids,MI,,,1998,6/25/2024 2:09pm
3963,Street & Co.,,33 Wharf St,"775-0887 5:30pm-9:30pm, til 10pm Fri-Sat, seafood","(*),(BW),(WC)",Restaurants,Portland,ME,,,1998,7/2/2024 3:53pm
5292,Squiggy's,,34 Chenango St,"722-2299 5pm-lam, til 3am Fri-Sat,from 8pm Sun, Men’s Night Sun","(MW),(D)",Bars & Nightclubs,Binghamton,NY,,,1998,7/2/2024 3:53pm
5736,Club Quintana,,34 Glide St,"464-9446, 9pm-lam Th only, unconfirmed","(MW),(D)",Bars & Nightclubs,Rochester ,NY,,,1998,
1842,MCC,,34 Harrison St ,(United Church) 389-6750 9:30am & 4pm Sun,,Spiritual Groups,New Haven,CT,,,1998,7/2/2024 4:27pm
6867,1854 B&B,,34 Montagu St,723-4789,(MW),Accommodations,Charleston,SC,,,1998,7/2/2024 3:53pm
6164,1470 West,,34 N Jefferson St,"461-1470 9pm-2:30am, til 4am Fri-Sat, clsd Mon-Wed","(*),(MW),(D),(S),(V),(WC)",Bars & Nightclubs,Dayton,OH,,,1998,7/2/2024 3:53pm
1871,Paradise Travel,,34 Waterbury Rd, Prospect 758-6132,(TA),Travel Agents,Prospect,CT,"Listed under ""Waterbury, CT""",,1998,7/2/2024 6:19pm
5699,Krash,,34-48 Steinway St,Astoria 366-2934,"(MW),(D),(MR),(S)",Bars & Nightclubs,Astoria,NY,"Listed under ""N.Y.C. -- Queens""",,1998,
1901,The Blue Moon,,35 Baltimore Ave,"227-6515 4pm-2am, dinner","(*),(MW)",Bars & Nightclubs,Rehoboth Beach,DE,,,1998,2/8/2024 10:54am
4173,Dignity,,35 Bowdin St,421-1915 5:30pm Sun,,Spiritual Groups,Boston,MA,,,1998,7/2/2024 3:53pm
4383,Mussel Beach ,,35 Bradford St ,487-0001 6am-9am ,(MW),Gyms & Health Clubs,Provincetown,MA,,,1998,7/2/2024 3:53pm
5486,13 Bar & Lounge,,35 E 13th St,(at University Pl.) 979-6677 ,(GF),Bars & Nightclubs,New York City,NY,"Listed under ""N.Y.C. -- Soho, Greenwich & Chelsea""",,1998,7/2/2024 3:53pm
6197,Bulldog Lounge,,35 N 3rd St,345-9729 7pm-2:30am,"(MW),(NH)",Bars & Nightclubs,Newark,OH,,,1998,7/2/2024 3:53pm
1828,Cruisetime,,35 Point Beach Dr,877-6967/(800) 427-9402,(TA),Travel Agents,Milford,CT,,,1998,2/8/2024 10:54am
6825,Mirabar,,35 Richmond St,331-6761 3pm-1am,"(M),(D),(E),(S),(WC)",Bars & Nightclubs,Providence,RI,,,1998,7/2/2024 3:53pm
4164,Blue Hill Travel,,35 Sea St,N. Weymouth 337-3774,(TA),Travel Agents,Weymouth,MA,included a neighborhood (N. Weymouth),checked,1998,7/2/2024 3:53pm
4845,The Leaf & Bean,,35 W Main,,"(S),(WC)",Cafes,Bozeman,MT,,,1998,7/2/2024 3:53pm
1819,Danny's Adult World,,35 W Service Rd,549-1896,,Erotica,Hartford,CT,,,1998,2/8/2024 10:54am
6096,Courtyard by Marriott,,35 W Spring St,228-3200/(800) 321-2211,"(GF),(WC)",Accommodations,Columbus,OH,,,1998,7/2/2024 3:53pm
99,St. Elmo's,,36 Brewery Gulch Ave,"432-5578 l0am-lam, live bands
Fri-Sat","(GF),(E)",Bars & Nightclubs,Bisbee,AZ,,,1998,2/8/2024 10:54am
5479,Commerce House B&B,,36 Commerce St,741-0126 1841 brick row house,(GF),Accommodations,New York City,NY,"Listed under ""N.Y.C. -- Soho, Greenwich & Chelsea""",,1998,7/2/2024 3:53pm
1889,At Melissa's B&B,,36 Delaware Ave ,227-7504/(800) 396-8090,(GF),Accommodations,Rehoboth Beach,DE,,,1998,2/8/2024 10:54am
5428,The Painted Word,,36 Main St,"256-0825 10am-10pm, til 6pm Sun-Mon, lesbigay; also cafe",(WC),Bookstores & Retail Shops,New Paltz,NY,,,1998,7/2/2024 3:53pm
1543,Borderline,,36 N Saratoga Ave,"241-2177 toys, videos",,Erotica,Santa Clara,CA,,,1998,1/16/2024 3:14pm
6178,The Spaghetti Warehouse,,36 W 5th St,461-3913 more gay Mon w/ 'Friends of the Italian Opera',,Restaurants,Dayton,OH,,,1998,7/2/2024 3:53pm
3898,White Barn Inn,,37 Beach St,967-2321,"(GF),(F)",Accommodations,Kennebunkport,ME,,,1998,7/2/2024 3:53pm
3893,Country at heart B&B,,37 Bow St,865-0512 full brkfst,(GF),Accommodations,Freeport,ME,,,1998,7/2/2024 3:53pm
5272,Video Central,,37 Central Ave,"463-4153 lOam-lOpm, lesbigay books & magazines",,Bookstores & Retail Shops,Albany,NY,,,1998,7/2/2024 3:53pm
5349,Island Properties,,37 Fire Island Blvd,"597-6900 weekly, monthly, & seasonal rentals; also properties for sale",,Accommodations,Fire Island,NY,,,1998,
7602,Country Garden Inn B&B ,,37 Main St, Quechee 295-3023 full brkfst ,"(GF),(SW)",Accommodations,Quechee,VT,"Listed under ""Woodstock, VT""",,1998,7/2/2024 6:19pm
7705,Oz Dive/Passport to Paradise ,,37 Pidgeon Hill Dr ,#150 406-2703,(TA),Tour Operators,Sterling,VA,,,1998,7/2/2024 4:15pm
3931,Cafe Amoré,,37 Shore Rd,646-6661 from 7:30am daily,(WC),Cafes,Ogunquit,ME,,,1998,7/2/2024 3:53pm
1915,Savannah's,,37 Wilmington Ave ,227-1994 5pm-1am (seasonal),(MW),Cafes,Rehoboth Beach,DE,,,1998,2/8/2024 10:54am
3890,Brewster Inn,,37 Zion Hill,924-3130 historic mansion,(GF),Accommodations,Dexter,ME,,,1998,6/5/2024 8:50pm
6317,Ashland Bakery/Cafe ,,38 E Main ,482-2117 7am-9pm,(WC),Cafes,Ashland,OR,,,1998,7/2/2024 3:53pm
5794,The Barber SHop/Hairspray Cafe,,38 N French Broad Ave,"258-2027 7pm-2am; also 'Club Metropolis,' from 10pm Th-Sat","(MW),(D),(E),(PC)",Bars & Nightclubs,Asheville,NC,,,1998,7/2/2024 3:53pm
5784,Woodstock Inn,,38 Tannery Brook Rd,679-8211,"(GF),(SW),(WC)",Accommodations,Woodstock,NY,,,1998,7/2/2024 3:53pm
5700,Lucho's Club,,38-19 69th St,"Woodside 899-9320, 9pm-2am, clsd Mon-Tue","(M),(MR),(L)",Bars & Nightclubs,Woodside,NY,"Listed under ""N.Y.C. -- Queens""",,1998,
813,The Sundance Saloon,,38-737 Cathedral Canyon Dr, Cathedral City 321-0031 2pm-2am,"(M),(D),(S)",Bars & Nightclubs,Cathedral City,CA,"Listed under ""Palm Springs, CA""",,1998,7/2/2024 6:19pm
1920,Lambda Rising ,,39 Baltimore Ave,"227-6969 10am-midnight (seasonal), lesbigay bookstore",(WC),Bookstores & Retail Shops,Rehoboth Beach,DE,,,1998,2/8/2024 10:54am
1904,Lori's ,,39 Baltimore Ave,"226-3066 8am-10pm, til midnight Fri-Sat",,Cafes,Rehoboth Beach,DE,,,1998,2/8/2024 10:54am
6806,The Melville House Inn ,,39 Clark St,"847-0640/(800) 711-7184, see ad page 587
",(MW),Accommodations,Newport,RI,,,1998,
757,Fisherman's Grotto,,39 Fisherman's Wharf ,#1 375-4604 11am-9pm,,Restaurants,Monterey,CA,,,1998,7/2/2024 4:15pm
3029,Risque II Theatre,,39 N Hotel St,(upstairs) 531-7318 24hrs,,Erotica,"Honolulu, Oahu",HI,"Listed under ""Oahu""",,1998,2/12/2024 4:53pm
6177,Samuel Johnson Coffee House,,39 N Main St,"228-1948 9am-8pm, till 11pm Fri-Sat, til 7pm Sun, til 2:30pm Mon",(WC),Cafes,Dayton,OH,,,1998,7/2/2024 3:53pm
5440,Identity House,,39 W 14th St ,"#205 243-8181 walk-in 6pm-10pm Sun-Tue, peer-counseling, info & referrals",,Info Lines & Services,New York City,NY,"Listed under ""N.Y.C. -- Overview""",,1998,7/2/2024 4:15pm
1887,Camp Rehoboth,,39-B Baltimore Ave ,"227-5620 10am-5pm, clsd wknds, info service for lesbigay business; also newsletter w/ extensive listings",,Info Lines & Services,Rehoboth Beach,DE,,,1998,2/8/2024 10:54am
3953,The Inn By The Sea,,40 Bowery Beach Rd, Cape Elizabeth 799-3134 condo-style suites,(GF),Accommodations,Cape Elizabeth,ME,"Listed under ""Portland, ME""",,1998,7/2/2024 6:19pm
5118,MCC Christ the Liberator,,40 Davidson Rd,"(St. Michael's Chapel), Piscataway 846-8227 5:30pm Sun",,Spiritual Groups,New Brunswick,NJ,,,1998,7/2/2024 3:53pm
5635,The Web,,40 E 58th St,"(at Park Ave.) 308-1546, 4pm-3am","(M),(D),(MR-A)",Bars & Nightclubs,New York City,NY,"Listed under ""N.Y.C. -- Midtown""",,1998,
6116,Trends,,40 E Long St,461-0076 5pm-2:30 am,"(*),(M),(D),(WC)",Bars & Nightclubs,Columbus,OH,,,1998,7/2/2024 3:53pm
4408,MB Lounge ,,40 Grafton St ,799-4521 3pm-2am ,"(M),(L),(WC)",Bars & Nightclubs,Worcester,MA,,,1998,7/2/2024 3:53pm
1895,Rehoboth Guest House,,40 Maryland Ave,"227-4117, beach house","(MW),(NS)",Accommodations,Rehoboth Beach,DE,,,1998,2/8/2024 10:54am
144,Judi's,,40 Soldier Pass Rd ,282-4449,,Restaurants,Sedona,AZ,,,1998,2/8/2024 10:54am
3924,Rockmere Lodge B&B,,40 Stearns Rd,646-2967,(GF),Accommodations,Ogunquit,ME,,,1998,7/2/2024 3:53pm
5739,Muthers,,40 SUnion,"325-6216, 3pm-2am, Sun T-Dance from 5pm, patio","(MW),(F)",Bars & Nightclubs,Rochester ,NY,,,1998,7/2/2024 3:53pm
5799,Laughing Seed Cafe,,40 Wall St,"252-3445 11:30am-9pm, til 10pm Th-Sat, clsd Sun, vegetarian/vegan, patio","(BW),(WC)",Restaurants,Asheville,NC,,,1998,7/2/2024 3:53pm
5702,Music Box,,40-08 74th St,"(at Roosevelt Ave.), Jackson Hts. 429-9356, 4pm-4am","(M),(MR),(L)",Bars & Nightclubs,Jackson Heights,NY,"Listed under ""N.Y.C. -- Queens""",,1998,
5391,Chameleon,,40-20 Long Beach Rd,"Long Beach 889-4083 9pm-4am, clsd Mon-Wed, unconfirmed","(*),(MW),(D)",Bars & Nightclubs,Long Island,NY,,,1998,7/2/2024 3:53pm
847,Gold's Gym,,40-70 Airport Center Dr,322-4653,(GF),Gyms & Health Clubs,Palm Springs,CA,,,1998,2/8/2024 10:54am
2803,Veni Vidi Vici,,41 14th St,"lunch&dinner, upscale Italian, some veggie ",,Restaurants,Atlanta,GA,,,1998,2/8/2024 11:06am
4271,Bradford House & Motel ,,41 Bradford St,487-0173,(GF),Accommodations,Provincetown,MA,,,1998,7/2/2024 3:53pm
1853,Loon Meadow Farm,,41 Loon Meadow Dr,542-6085 full brkfst,(GF),Accommodations,Norfolk,CT,,,1998,2/8/2024 10:54am
4072,Headquarters,,41 N Potomac,"797-1553 5pm-2am, til midnight Sun","(MW),(D),(F),(S)",Bars & Nightclubs,Hagerstown,MD,,checked,1998,7/2/2024 3:53pm
5792,The Bird's Nest B&B,,41 Oak Park Rd,252-2381 on the second flit of a turn-of-the-century home,(MW),Accommodations,Asheville,NC,,,1998,7/2/2024 3:53pm
5978,Akron Steam & Sauna,,41 S Case,784-0777,"(MO),(PC)",Men's Clubs,Akron,OH,,,1998,7/2/2024 3:53pm
3863,Paradize,,41 W 24th St, Kenner 461-0000,,Erotica,Kenner,LA,"Listed under ""New Orleans, LA""",,1998,7/2/2024 6:19pm
1909,Dos Locos,,42 1/2 Baltimore Ave,"227-5626 5pm-11pm, Mexican, some veggie, full bar, patio",,Cafes,Rehoboth Beach,DE,,,1998,
192,Cliff Cottage B&B Inn,,42 Armstrong St ,"253-7409/(800) 799-7409 full brkfst, 1892 'Painted Lady', ruises gourmet dinner","(GF),(NS)",Accommodations,Eureka Springs,AR,,,1998,2/8/2024 10:54am
5568,Mary's Restaurant,,42 Bedford St,(at 7th Ave.) 741-3387,,Restaurants,New York City,NY,"Listed under ""N.Y.C. -- Soho, Greenwich & Chelsea""",,1998,
1790,Goulash Place,,42 Highland Ave,"744-1971 lunch & dinner, Hungarian",(BW),Restaurants,Danbury,CT,,,1998,2/8/2024 10:54am
1721,Category Six,,42 S Broadway,"777-0766 10am-6pm, 11am-5pm wknds, exclusively gay men's titles",(WC),Bookstores & Retail Shops,Denver,CO,,,1998,2/8/2024 10:54am
5101,York Street House B&B,,42 York St,397-3007 1909 Manor house,"(GF),(NS),(TA)",Accommodations,Lambertville,NJ,,,1998,7/2/2024 3:53pm
6597,York Street House B&B,,42 York St,Lambertville NJ (609) 397-3007 1909 Manor house,"(GF),(TA)",Accommodations,Lambertville,NJ,"Listed under ""New Hope, PA""",,1998,7/2/2024 4:23pm
1269,Ginger's Too,,43 6th St,"10am-2am, sketchy area, 543-3622","(M),(NH),(F),(OC)",Bars & Nightclubs,San Francisco,CA,"Listed under ""S.F.-South of Market""",,1998,2/8/2024 10:54am
5308,Mickey’s,,44 Allen St,"886-9367, 10am-4am","(GF),(NH)",Bars & Nightclubs,Buffalo,NY,,,1998,
5575,Universal Grill,,44 Bedford St,"(at 7th Ave.) 989-5621, lunch, dinner & Sun brunch","(*),(MW)",Restaurants,New York City,NY,"Listed under ""N.Y.C. -- Soho, Greenwich & Chelsea""",,1998,
4338,A West End Inn,,44 Commercial St,487-9555/(800) 559-1220 seasonal,(M),Accommodations,Provincetown,MA,,,1998,7/2/2024 3:53pm
1794,Bookends,,44 Enfield St ,(Rte 5) 745-3988,,Erotica,Enfield,CT,,,1998,7/2/2024 4:27pm
