Auto#,title,amenityfeatures,description,streetaddress,type,city,state,unclear_address,unclear type or question,notes,Year,Last Modified
5020,Yankee Clipper Travel,(IGTA),(800) 624-2664/354-6400 contact Jim,260 Saratoga Ave,Travel/Tour Operators,Los Gatos,CA,,,,1997,12/16/2023 5:25pm
4952,Pauline's Pizza Pie,"(*),(MW),(BW)","552-2050 dinner only, clsd Sun-Mon",260 Valencia St,Restaurants & Cafes,San Francisco,CA,,,,1997,12/16/2023 5:25pm
4930,City Lights Bookstore,,"North Beach 362-8193, 10am-midnight, historic beatnik bookstore, many progressive titles",261 Columbus Ave,Bookstores/Retail Shops,San Francisco,CA,,,,1997,12/16/2023 5:25pm
9476,The Westbury,"(M),(NH),(F),(WC)","546-5170 10am-2am, dinner til 10pm, til 11pm wknds",261 S 13th ,Bars,Philadelphia,PA,,,,1997,12/16/2023 5:25pm
8531,Noose,,"807-1789, clsd Mon",261 W 19th St,Erotica,Manhattan,NY,,,,1997,12/16/2023 5:25pm
9478,10th Street Pour House,,"922-5626, 7:30am-11pm, from 9am Sat, 10am-8pm Sun, cafe",262 S 10th St,Restaurants & Cafes,Philadelphia,PA,,,,1997,12/16/2023 5:25pm
9634,Sigmund Travel,,735-0090,262 S 12th St,Travel/Tour Operators,Philadelphia,PA,,,,1997,12/16/2023 5:25pm
9479,16th Street Bar & Grill,,"735-3316, 11:30am-11pm, from til 2am",264 S 16th St,Restaurants & Cafes,Philadelphia,PA,,,,1997,12/16/2023 5:25pm
7529,Rhinoceros,(E),"259-2208 11:30am-2am, American, jazz club",265 Riopelle,Restaurants & Cafes,Detroit,MI,,,,1997,9/29/2023 4:24pm
10762,Wreck Room,"(*),(M),(L)","273-6900 3:30pm-2am, til 2:30am wknds",266 E Erie St,Bars,Milwaukee,WI,,,,1997,12/16/2023 5:25pm
8549,Stella's,"(M),(S)",(8th Ave.) 974-9073 noon-4am,266 W 47th St,Bars,Manhattan,NY,,,,1997,12/16/2023 5:25pm
8509,Chelsea Gym,"(MO),(PC)",255-1150 ,267 W 17th St,Gyms & Health Clubs,Manhattan,NY,,,,1997,12/16/2023 5:25pm
8521,Islander's Kennedy Travel,(IGTA),(800) 237-7433,267-10 Hillside Ave,Travel/Tour Operators,Manhattan,NY,,,,1997,12/16/2023 5:25pm
9397,Neptune's Lounge,"(*),(M),(NH)","233-3078 4pm-2am, from 2pm Sun, dinner menu 5pm-9pm",268 North St,Bars,Harrisburg,PA,,,,1997,12/16/2023 5:25pm
9402,Paper Moon,(MW),"233-0581 5pm-9pm, till 11pm wknds",268 North St,Restaurants & Cafes,Harrisburg,PA,,,,1997,12/16/2023 5:25pm
8467,Meow Mix,"(*),(W),(D),(E)",254-1434 clsd Mon,269 E Houston St,Bars,Manhattan,NY,,,,1997,12/16/2023 5:25pm
9195,G.G.G. (Gorge Gay Group),,"97207, social group for gay men in & around Columbia Gorge",269 W Arlington ,Info Lines & Services,Gladstone,OR,,,,1997,12/16/2023 5:25pm
7955,Faces,"(MW),(D)",588-2333 4pm-4am,270 Kingsbury Grade,Bars,Lake Tahoe,NV,,,,1997,9/29/2023 4:24pm
4105,Faces,"(MW),(D)",(702) 588-2333 4pm-4am,270 Kingsbury Grade,Bars,Stateline,NV,,,,1997,9/29/2023 4:24pm
6294,Pleasant Holiday Isle Hotel,"(GF),(SW)",923-0777/(800) 222-5642 1 blk from the world-famous  Waikiki beach,270 Lewers St,Accommodations,"Honolulu, Oahu",HI,,,,1997,12/16/2023 5:25pm
10232,Rio Grande Cafe,(*),"364-3302 lunch & dinner, Mexican, full bar",270 S Rio Grande,Restaurants & Cafes,Salt Lake City,UT,,,,1997,12/16/2023 5:25pm
8869,Gargoyles,"(MW),(D),(E)","384-1447 9pm-3am, clsd Tue, strippers",271 S Main,Bars,Akron,OH,,,,1997,12/16/2023 5:25pm
9159,Rose Cottage,(MW),(805) 684-5953 open April-Sept,272 N 1st St,Accommodations,Ashland,OR,,,,1997,12/16/2023 5:25pm
8290,Underground,"(M),(D)","855-1040 4pm-4am, from noon wknds",274 Delaware Ave,Bars,Buffalo,NY,,,,1997,12/16/2023 5:25pm
8643,Rochester Custom Leathers,(*),"442-2323/(800) 836-9047 11am-9pm, also lesbigay magazines & videos",274 N Goodman St,Bookstores/Retail Shops,Rochester,NY,,,,1997,12/16/2023 5:25pm
8239,Cafe Hollywood,"(GF),(NH),(V)",472-9043 3pm-3am,275 Lark St,Bars,Albany,NY,,,,1997,12/16/2023 5:25pm
8255,MCC of the Hudson Valley,(WC),"(Emmanuel Baptist Church), 785-7941 1pm Sun",275 State St,Travel/Tour Operators,Albany,NY,,,,1997,12/16/2023 5:25pm
8449,Barracuda,"(M),(E)","(8th Ave.), 645-8613 4pm-4am",275 W 22nd St,Bars,Manhattan,NY,,,,1997,12/16/2023 5:25pm
5362,Brownstone Travel Agency,,342-3450/(800) 888-4169,278 Main St,Travel/Tour Operators,Portland,CT,,,,1997,12/16/2023 5:25pm
7290,Xposure,"(GF),(D)","685-9911 9pm-2am Fri, til 1am Sat only",280 Merrimack St,Bars,Methuen,MA,,,,1997,12/16/2023 5:25pm
7469,MB Lounge,"(M),(L),(WC)",799-4521 6pm-2am,282 Main St,Bars,Worcester,MA,,,,1997,12/16/2023 5:25pm
8989,Imagination Too,"(GF),(D)",224-2407,283 E Spring St,Bars,Columbus,OH,,,,1997,12/16/2023 5:25pm
9191,Global Affair,(IGTA),343-8595/(800) 755-2753,285 E 5th Ave,Travel/Tour Operators,Eugene,OR,,,,1997,12/16/2023 5:25pm
9658,Kings & Queens,"(MW),(NH),(D)","762-9538 7pm-1am, til 2am Fri-Sat",285 Front St,Bars,Woonsocket,RI,,,,1997,12/16/2023 5:25pm
6090,Forty Watt Club,"(GF),(A),(E),(WC)",549-7871 theme nights,285 W Washington St,Bars,Athens,GA,,,,1997,12/16/2023 5:25pm
5233,Java Creek,"(E),(WC)","377-8902 7am-10pm, till 5pm Sun, coffeehouse",287 Columbine St,Restaurants & Cafes,Denver,CO,,,,1997,12/16/2023 5:25pm
4001,San Francisco Bay Times,(*),"94103, (415) 626-8121 bi-weekly, a 'must read' for Bay Area resources & personals",288 7th St,Publications,San Francisco,CA,,,,1997,12/16/2023 5:25pm
4758,San Francisco Bay Times,(*),"94103, 626-8121 bi-weekly, a 'must read' for Bay Area resources & personals",288 7th St,Publications,San Francisco,CA,,,,1997,12/16/2023 5:25pm
8245,Cafe Lulu,(BW),"436-5660 11am-midnight, til 1am Fri-Sat",288 Lark St,Bars,Albany,NY,,,,1997,12/16/2023 5:25pm
4872,Hole in the Wall Saloon,"(*),(M),(NH)","(at Folsom), 431-4695 noon-2am, 'a nasty little biker bar'",289 8th St,Bars,San Francisco,CA,,,,1997,12/16/2023 5:25pm
8249,Yono's,,"436-7747, 4:30pm, clsd Sun, Indonesian/cont'l ",289 Hamilton St,Restaurants & Cafes,Albany,NY,,,,1997,12/16/2023 5:25pm
8682,Cinema Art Show World,,274-7708,289 River St,Erotica,Troy,NY,,,,1997,12/16/2023 5:25pm
8473,Rome,"(M),(S)","(24th St.), 242-6969",290 8th Ave,Bars,Manhattan,NY,,,,1997,12/16/2023 5:25pm
9164,Bloomsbury Books,,"488-0029, 8am-10pm, from 9am Sat, 10am-9pm Sun, full brkfst",290 E Main St,Bookstores/Retail Shops,Ashland,OR,,,,1997,12/16/2023 5:25pm
8246,Debbie's Kitchen,,"463-3829, 10am-9pm, 11am-6pm Sat, clsd Sun",290 Lark St,Bars,Albany,NY,,,,1997,12/16/2023 5:25pm
6523,Ed-Harri-Mere B&B,(GF),,290 N Page St,Accommodations,Nauvoo,IL,,,,1997,12/16/2023 5:25pm
7410,Town House,"(*),(MW),(F),(E),(OC)",487-6424 11am-1am,291 Commercial St,Bars,Provincetown,MA,,,,1997,12/16/2023 5:25pm
7374,Provincetown Reservations System,(IGTA),"#5, 487-2400/(800) 648-0364",293 Commercial St,Accommodations,Provincetown,MA,,,,1997,12/16/2023 5:25pm
9348,The Bay Inn,(MW),368-5766/(800) 229-1394,294 Hall St,Accommodations,Wheeler,OR,,,,1997,12/16/2023 5:25pm
5375,Beach Club,"(MW),(D),(F),(SW),(WC)","937-8100 also bar, opens 4pm",295 Beach St,Accommodations,West Haven,CT,,,,1997,12/16/2023 5:25pm
7368,Lotus Guest House,(MW),487-4644 seasonal,296 Commercial St,Accommodations,Provincetown,MA,,,,1997,12/16/2023 5:25pm
8704,The Inn on Montford,(GF),"254-9569/(800) 254-9569 full brkfst, English cottage",296 Montford Ave,Accommodations,Asheville ,NC,,,,1997,9/29/2023 4:24pm
4505,Haven Coffeehouse & Gallery,(E),"623-0538 11am-11pm, sandwiches & salad",296 W 2nd St,Restaurants & Cafes,Pomona,CA,,,,1997,12/16/2023 5:25pm
6095,Espresso Royale Cafe,,"613-7449, 7am-midnight, from 8am wknds, best coffee in Athens",297 E Broad St,Restaurants & Cafes,Athens,GA,,,,1997,12/16/2023 5:25pm
7036,Paris Book Store,,783-6677,297 Lisbon St,Erotica,Lewiston,ME,,,,1997,12/16/2023 5:25pm
5306,The Eatery,"(E),(WC)","627-7094 lunch Mon-Fri, dinner nightly",297 S Main St,Restaurants & Cafes,East Windsor,CT,,,,1997,12/16/2023 5:25pm
9593,Grey Oaks Bed & Breakfast,(MO),829-7097,298 E South St,Accommodations,Wilkes-Barre,PA,,,,1997,12/16/2023 5:25pm
9161,Will Reste,(MW),"97250, 482-4394 spa",298 Hargadine St,Accommodations,Ashland,OR,,,,1997,12/16/2023 5:25pm
5140,Skunk Train California Western,,"459-5248, scenic train trips",299 E Commercial St,Travel/Tour Operators,Willits,CA,,,,1997,12/16/2023 5:25pm
8250,Romeo's,,"434-4014, 11am-9pm, noon-5pm Sun",299 Lark St,Restaurants & Cafes,Albany,NY,,,,1997,12/16/2023 5:25pm
5519,LLEGO Information,,"4th flr., 544-0092, latino newsletter",300 'I' St NE,Publications,Washington,D.C,,,,1997,12/16/2023 5:25pm
10448,Bush House Country Inn,(GF),793-2312/(800) 428-2874 restaurant & cocktail lounge,300 5th St,Accommodations,Index,WA,,,,1997,12/16/2023 5:25pm
5834,Abbey Hotel,,531-0031/Fax: 672-1663 studios with kitchens,300 21st St,Accommodations,Miami Beach/South Beach,FL,,,,1997,12/16/2023 5:25pm
3838,Castle Boutique,,"266-3348, 24hrs, also 5501 E. Washington, 231-9837, 8802 N. Black Canyon Fwy, 995-1641",300 E Camelback,Erotica,Phoenix,AZ,,,multiple addresses within this entry,1997,12/16/2023 5:25pm
8754,300 East,,"332-6507, 11am-11pm, New American, some veggie also full bar",300 East Blvd,Restaurants & Cafes,Charlotte,NC,,,,1997,12/16/2023 5:25pm
7564,Reconciliation MCC,,"364-7633, 10am Sun",300 Graceland NE,Spiritual Groups,Grand Rapids,MI,,,,1997,9/29/2023 4:24pm
9804,Chez Collette,"(W),(NH)",256-9134 4pm-3am,300 Hermitage Ave,Bars,Nashville,TN,,,,1997,12/16/2023 5:25pm
9332,Sneakers Bar & Dance Club,"(MW),(D),(F),(E),(K),(WC)",363-0549 4pm-2:30am (restaurant clsd Sun-Mon),300 Liberty St SE,Restaurants & Cafes,Salem,OR,,,,1997,12/16/2023 5:25pm
8855,Fargo's Fryn Pan,"(*),(WC)",293-9952 24hrs,300 Main St,Restaurants & Cafes,Fargo ,ND,,,,1997,12/16/2023 5:25pm
9401,Colonnade,,"234-8740, 6am-8:30pm, from 7am Sat, clsd Sun",300 N 2nd St,Restaurants & Cafes,Harrisburg,PA,,,,1997,12/16/2023 5:25pm
6547,Expo I Books,,544-5145,300 N 5th St,Erotica,Springfield,IL,,,,1997,12/16/2023 5:25pm
8751,Mythos,"(*),(GF),(D),(A),(S),(PC),(WC)","375-8765 10pm-3am, til 4am wknds, more gay Wed-Th",300 N College St,Bars,Charlotte,NC,,,,1997,12/16/2023 5:25pm
6637,Live & Let Live AA,,"(at Grace Church), 284-3331 7:30pm Mon",300 S Madison,Info Lines & Services,Muncie,IN,,,,1997,12/16/2023 5:25pm
7013,Dignity Bangor,,6pm 2nd & 4th Sun,300 Union St,Travel/Tour Operators,Bangor,ME,,,,1997,12/16/2023 5:25pm
10053,Numbers,"(GF),(D),(YC)",526-6551,300 Westheimer,Bars,Houston,TX,,,,1997,9/29/2023 4:24pm
4013,Carter House Victorians,"(GF),(WC)","444-8062/(800) 404-1390, enclave of 4 unique inns, full brkfst",301 'L' St,Accommodations,Eureka,CA,,,,1997,12/16/2023 5:25pm
8427,Colorlife,,"Box 287, 10026, 222-9794, focuses on lesbians/gays of color",301 Cathedral Park Wy,Publications,New York City,NY,,,unsure if this is the address or where the PO Box is,1997,12/16/2023 5:25pm
10825,Country Cove,(WC),"856-9813 6am-4pm, clsd Sun",301 E Main,Restaurants & Cafes,Riverton,WY,,,,1997,12/16/2023 5:25pm
10109,Newsland,,"753-4167, 9am-6pm, clsd Sun",301 E Marshall,Bookstores/Retail Shops,Longview,TX,,,,1997,12/16/2023 5:25pm
9803,Boots,"(M),(NH)","254-8037 5pm-1am, til 3am Fri & Sat, csld Mon",301 Second St,Bars,Nashville,TN,,,,1997,12/16/2023 5:25pm
7786,Classic Cup Cafe,(WC),"753-1840 7am-midnight, til 1am Fri-Sat",301 W 47th St,Restaurants & Cafes,Kansas City,MO,,,,1997,12/16/2023 5:25pm
5013,Buck's,"(MW),(NH),(D)","286-1176 noon-2am, from noon Fri til 2am Sun",301 W Stockton Ave,Bars,San Jose,CA,,,,1997,12/16/2023 5:25pm
9365,The Lark,,"(Rte. 202 N) 275-8136 8pm-2am, dinner served ",302 Dekalb St,Bars,Bridgeport,PA,,,,1997,12/16/2023 5:25pm
10669,Wolf's Den,"(M),(NH)",832-9237 3:30pm-2:30am,302 E Madison,Bars,Eau Claire,WI,,,,1997,12/16/2023 5:25pm
10452,The Gallery Suite B&B,(GF),221-2978 art gallery,302 First St,Accommodations,Langley,WA,,,,1997,12/16/2023 5:25pm
8662,Electric Dreams,"(MW),(D)",362-4063,302 N Main St,Bars,Spring Valley,NY,,,,1997,12/16/2023 5:25pm
3965,Vintage Towers B&B,(GF),"894-4535 Queen Anne mansion, full brkfst",302 N Main St,Accommodations,Clearlake,CA,,,,1997,12/16/2023 5:25pm
6046,Impulse Channelside Village,"(M),(D),(V),(YC),(WC)","223-2780 3pm-3am, patio, Sunday T-dance",302 S Nebraska Ave,Bars,Tampa,FL,,,,1997,12/16/2023 5:25pm
9320,Spartacus Leather,,"224-2604, 10am-11pm, til 8pm Sun",302 SW 12th Ave,Erotica,Portland,OR,,,,1997,9/29/2023 4:24pm
10608,Chinaberry Hill,(GF),272-1282 full brkfst,302 Tacoma Ave N,Accommodations,Tacoma,WA,,,,1997,12/16/2023 5:25pm
7425,Post Office Cafe Cabaret,"(MW),(E)","(upstairs), 487-3892 8am-midnight (breakfast til 3pm) ",303 Commercial St,Restaurants & Cafes,Provincetown,MA,,,,1997,12/16/2023 5:25pm
7487,Sweet Lorraines,(WC),"665-0700 11am-10pm, til midnight Fri-Sat, Modern American, full bar, patio",303 Detroit St,Restaurants & Cafes,Ann Arbor,MI,,,,1997,12/16/2023 5:25pm
7488,Borders Book Shop,,"668-7652, 9am-9pm, 11am-6pm Sun",303 S State St,Bookstores/Retail Shops,Ann Arbor,MI,,,,1997,12/16/2023 5:25pm
5622,Wild Cactus Cafe,,"784-1445, 5:30pm-11pm, clsd Sun & Mon, Tex-Mex",303 SW 6th St,Restaurants & Cafes,Pompano Beach,FL,,,,1997,12/16/2023 5:25pm
5588,Adventures,"(MW),(NH),(F),(WC)",782-9577 2pm-2am,303 SW 6th St,Bars,Pompano Beach,FL,,,,1997,12/16/2023 5:25pm
9313,Club Portland,"(*),(MO),(18+),(PC)",227-9992 24hrs,303 SW 12th Ave,Men's Clubs,Portland,OR,,,,1997,9/29/2023 4:24pm
7788,Metropolis,"(MW),(F),(WC)","753-1550 lunch & dinner, clsd Sun",303 Westport Rd,Restaurants & Cafes,Kansas City,MO,,,,1997,12/16/2023 5:25pm
10668,The Trading Company,"(M),(S)",838-9494,304 Eau Claire St,Bars,Eau Claire,WI,,,,1997,12/16/2023 5:25pm
8242,Oh Bar,"(M),(NH),(MRC),(V)",463-9004 2pm-2am,304 Lark St,Bars,Albany,NY,,,,1997,12/16/2023 5:25pm
9567,MCC of Pittsburgh,,"(church), 683-2994, 7pm Sun",304 Moorewood Ave,Spiritual Groups,Pittsburgh,PA,,,,1997,12/16/2023 5:25pm
8676,My Sister's Words,,"428-0227, 10m-6pm, til 8pm Th-Fr, clsd Sun (except Dec)",304 N McBride St,Bookstores/Retail Shops,Syracuse,NY,,,,1997,12/16/2023 5:25pm
9904,Copa,"(*),(MW),(D),(S),(WC)",832-4206 9pm-2am,304 Orleans St,Bars,Beaumont,TX,,,,1997,12/16/2023 5:25pm
6546,MCC Faith Eternal,,"525-9597, 10am & 6pm Sun",304 W Allen,Spiritual Groups,Springfield,IL,,,,1997,12/16/2023 5:25pm
3748,La Sex Shoppers/Ace's,,"522-1987, 24hrs",305 W Diamond Blvd,Erotica,Anchorage,AK,,,,1997,12/16/2023 5:25pm
9809,Jungle Lounge & Restaurant,"(M),(D),(F),(S)","256-9411 11am-3am, patio",306 4th Ave S,Bars,Nashville,TN,,,,1997,12/16/2023 5:25pm
6816,Murphy's Place,"(M),(NH),(WC)","587-8717 11am-4am, popular Tue",306 E Main St,Bars,Louisville,KY,,,,1997,12/16/2023 5:25pm
6821,The Upstairs,"(MW),(D)","587-1432 9pm-4am, clsd Mon",306 E Main St,Bars,Louisville,KY,,,,1997,12/16/2023 5:25pm
6545,The Station House,"(GF),(NH)","525-0438 7am-1am, from noon Sun",306 E Washington,Bars,Springfield,IL,,,,1997,12/16/2023 5:25pm
6710,Gentleman's Bookstore,,556-9313,306 Main St,Erotica,Des Moines,IA,,,,1997,12/16/2023 5:25pm
6418,The Generator,"(MW),(D),(A),(MRC-AF),(WC)","243-8889 9pm-4am, clsd Mon-Tue",306 N Halsted,Bars,Chicago,IL,,,,1997,12/16/2023 5:25pm
6120,Atlanta Eagle,"(*),(M),(D),(L)","5pm-4am, S/M fetish bar, also 'Mohawk' leather store",306 Ponce de Leon Ave NE,Bars,Atlanta,GA,,,,1997,12/16/2023 5:25pm
5089,Book Adventure,,928-7094,306 S Blosser Blvd,Erotica,Santa Maria,CA,,,,1997,12/16/2023 5:25pm
9056,X-Centricities,"(MW),(D),(S)","624-8118 4pm-2:30pm, from 1pm wknds (winter)",306 W Water St,Bars,Sandusky,OH,,,,1997,12/16/2023 5:25pm
4466,Moonlighting,,"323-8830, 6pm-2am, til 6am Th-Sun",307 E Arena,Bookstores/Retail Shops,Palm Springs,CA,,,,1997,12/16/2023 5:25pm
6968,Old Dog New Trick Cafe,(WC),"522-4569 11am-9pm, vegetarian",307 Exchange Alley,Restaurants & Cafes,New Orleans,LA,,,,1997,9/29/2023 4:24pm
10597,Emmanuel MCC,,"838-0085, 10:30am Sun & 7pm Wed (412 S. Bernard)",307 W 4th,Spiritual Groups,Spokane,WA,,checked,there is a second address given in the entry,1997,12/16/2023 5:25pm
7717,Gay/Lesbian Community Center,,"396-3333, 1pm-9pm, from 5pm Sun-Wed",308 Caillavet St,Info Lines & Services,Biloxi,MS,,,,1997,12/16/2023 5:25pm
4087,The Cottage,,"494-3023, 7am-9:30am, til 10:30 Sat-Sun",308 N Coast Hwy,Restaurants & Cafes,Laguna Beach,CA,,,,1997,12/16/2023 5:25pm
9908,Club,"(*),(MW),(D),(S)",823-6767 9pm-2am,308 S Bryan St,Bars,Bryan,TX,,,,1997,12/16/2023 5:25pm
8346,ABC Cafe,(BW),"277-4770 lunch & dinner, wknd brunch, clsd Mon, vegetarian",308 Stewart Ave,Restaurants & Cafes,Ithaca,NY,,,,1997,12/16/2023 5:25pm
4650,Kickers,"(M),(D),(CW),(WC)",491-0400 7pm-2am,308 University Ave,Bars,San Diego,CA,,,,1997,12/16/2023 5:25pm
4670,Hamburger Mary's,(WC),"491-0400 11am-10pm, from 8am wknds, American, some veggie, also full bar",308 University Ave,Restaurants & Cafes,San Diego,CA,,,,1997,12/16/2023 5:25pm
9561,Bon Ami Travel Service,(IGTA),478-2000/(800) 426-6264,309 1st Ave,Travel/Tour Operators,Apollo,PA,,,,1997,12/16/2023 5:25pm
8581,The Roost,"(GF),(NH)",788-9793 noon-2am,309 7th Ave,Bars,Brooklyn,NY,,,,1997,12/16/2023 5:25pm
8570,Candle Bar,"(*),(M),(NH)",(74th St.) 874-9155 2pm-4am,309 Amsterdam,Bars,Manhattan,NY,,,,1997,9/29/2023 4:24pm
3861,Catalina Park,(GF),"792-4541/(800) 792-4885 fullbrkfst, smokefree, kids 10+ okay, stylish environment of understated elegance & comfort",309 E 1st St,Accommodations,Tucson,AZ,,,,1997,12/16/2023 5:25pm
8569,Bridge Bar,,"233-9104, 4pm-4am",309 E 60th St,Bars,Manhattan,NY,,,,1997,12/16/2023 5:25pm
9846,Sassy's,"(MW),(D),(A)",374-3029 5pm-2am,309 W 6th St,Bars,Amarillo,TX,,,,1997,12/16/2023 5:25pm
10147,The New Crew,"(M),(NH),(WC)",222-0310 11am-2am,309 W Market St,Bars,San Antonio,TX,,,,1997,12/16/2023 5:25pm
8828,White Rabbit Books,(WC),"856-1429 11am-9pm, til 7pm Sat, 1-6pm Sun, lesbigay, gifts",309 W Martin St,Bookstores/Retail Shops,Raleigh ,NC,,,,1997,12/16/2023 5:25pm
7843,Redel's,(WC),367-7005 hours vary,310 Debaliviere,Restaurants & Cafes,St. Louis,MO,,,,1997,9/29/2023 4:24pm
7652,Gay/Lesbian Community Action Council,,"822-0127/(800) 800-0350, 9am-5pm Mon-Fri",310 E 38th St,Info Lines & Services,Minneapolis,MN,,,,1997,12/16/2023 5:25pm
5763,Rooftop Cafe,(E),"294-2042 American/Caribbean, cocktails",310 Front St,Restaurants & Cafes,Key West,FL,,,,1997,12/16/2023 5:25pm
7845,Boxer's,,"454-0209, 11am-6pm, 1pm-5pm Sun, men's underwear",310 N Euclid Ave,Bookstores/Retail Shops,St. Louis,MO,,,,1997,12/16/2023 5:25pm
8078,Red Baron Adult Books,,"767-1525, 24hrs",310 Rte 73 S,Erotica,Berlin,NJ,,,,1997,12/16/2023 5:25pm
7728,Somerset Cottage,(GF),252-4513,310 S Cedar Hills Rd,Accommodations,Holly Springs,MS,,,,1997,12/16/2023 5:25pm
6404,Illinois Tourist Information Center,,"Ste. 108, (800) 822-0292",310 S Michigan ,Travel/Tour Operators,Chicago,IL,,,,1997,12/16/2023 5:25pm
9874,Bitter End Bistro & Brewery,,"478-2337, wood baked pizza",311 Colorado St,Restaurants & Cafes,Austin,TX,,,,1997,12/16/2023 5:25pm
8420,Evangelicals Concerned,,"c/o Dr. Ralph Blair #1G, 10021, 517-3171",311 E 72nd St,Spiritual Groups,New York City,NY,,,,1997,12/16/2023 5:25pm
3865,Hotel Congress,"(GF),(F)",622-8848/(800) 722-8848,311 E Congress,Accommodations,Tucson,AZ,,,,1997,12/16/2023 5:25pm
6306,The Jungle,"(D),(E),(WC)","922-7808 pasta, full bar",311 Lewers St,Restaurants & Cafes,"Honolulu, Oahu",HI,,,,1997,12/16/2023 5:25pm
9727,Studio One Book Store,,"332-9316, 24hrd",311 N Dakota Ave,Erotica,Sioux City,SD,,,,1997,12/16/2023 5:25pm
6372,Once Upon a Time (O.U.T),,"828-3998, 1pm-8pm, 10am-8pm Sat, noon-5pm Sun, clsd Mon, lesbigay",311 N Main,Bookstores/Retail Shops,Bloomington,IL,,,,1997,12/16/2023 5:25pm
9317,Hard Times Video,,"223-2398, 24hrs",311 NW Broadway,Erotica,Portland,OR,,,,1997,9/29/2023 4:24pm
10236,Olympus Tours & Travel,,"Ste. 110, 521-5232/(800) 338-9661",311 S State St,Travel/Tour Operators,Salt Lake City,UT,,,,1997,12/16/2023 5:25pm
9909,Dudley's Draw,"(GF),(NH),(WC)",846-3030 11am-1am,311 University,Bars,College Station,TX,,,,1997,9/29/2023 4:24pm
7120,Coconuts Cafe,"(W),(D),(WC)","383-6064 11am-2am, from 4pm wknds, clsd Mon",311 W Madison,Bars,Baltimore,MD,,,,1997,12/16/2023 5:25pm
5146,Aspen Bed & Breakfast Lodge,"(GF),(SW)",925-7650/(800) 362-7736,311 W Main,Accommodations,Aspen,CO,,,,1997,12/16/2023 5:25pm
10023,Kon Tiki Club,"(*),(MW),(D),(S)","763-6264 4pm-2am, from 2pm wknds",312 23rd St,Bars,Galveston,TX,,,,1997,12/16/2023 5:25pm
7405,Governor Bradford,"(GF),(F),(S)","487-9618 11am-1am, check schedule for ""Space Pussy"" performance times",312 Commercial St,Bars,Provincetown,MA,,,,1997,12/16/2023 5:25pm
7890,AA Gay/Lesbian,,"KC Hall, 523-7799, 9:30pm Wed",312 E Pine,Info Lines & Services,Missoula,MT,,,,1997,12/16/2023 5:25pm
10049,Lazy J.,"(M),(S),(OC),(WC)","528-9343 10am-midnight, til 2am Fri-Sat",312 E Tuam,Bars,Houston,TX,,,,1997,12/16/2023 5:25pm
9125,Oklahoma City Religious Society of Friends (Quakers) ,,"631-4174, 10am Sun",312 SE 25th St,Spiritual Groups,Oklahoma City,OK,,,,1997,12/16/2023 5:25pm
9638,Turchetta's,,"861-1800, Italian",312 Wickenden St,Restaurants & Cafes,Providence,RI,,,,1997,12/16/2023 5:25pm
10184,Hard Tymes,(M),"778-9604 9pm-2am, military clientele",313 S 1st St,Bars,Temple,TX,,,,1997,12/16/2023 5:25pm
8979,Club Deion,"(MW),(D),(MRC-AF)",221-2804,313 S Fifth St,Bars,Columbus,OH,,,,1997,12/16/2023 5:25pm
8819,CC,"(M),(D),(E),(18+),(PC),(WC)","755-9599 8pm-?, from 4pm Sun, piano bar",313 W Hargett,Bars,Raleigh ,NC,,,,1997,12/16/2023 5:25pm
9878,Momma's Diner,,"474-5730, 24hr",314 Congress,Restaurants & Cafes,Austin,TX,,,,1997,9/29/2023 4:24pm
5218,Metro Express,"(*),(MW),(D),(E),(V),(WC)","894-0668 4pm-2am, from 2pm Sun, patio",314 E 13th Ave,Bars,Denver,CO,,,,1997,12/16/2023 5:25pm
10518,The Seattle Eagle,"(M),(L),(WC)","621-7591 2pm-2am, patio",314 E Pike St,Bars,Seattle,WA,,,,1997,12/16/2023 5:25pm
10692,Best Buy Books,,784-6350,314 Jay St,Erotica,LaCrosse,WI,,,,1997,12/16/2023 5:25pm
7480,\'aut\ Bar,"(MW),(F),(WC)","994-3677 4pm-2am, from 11am Sun (brunch), patio, American/Mexican, pronounced 'out'",315 Braun Ct,Bars,Ann Arbor,MI,,,,1997,12/16/2023 5:25pm
9594,Rumors Lounge,"(*),(MW),(D),(F),(WC)","825-7300 5pm-2am, from 8pm Mon-Tue",315 Fox Ridge Plaza,Bars,Wilkes-Barre,PA,,,,1997,9/29/2023 4:24pm
6721,Pleasure Palace Adult Books,,"351-9444, 24hrs",315 Kirkwood Ave,Erotica,Iowa City,IA,,,,1997,12/16/2023 5:25pm
5113,Vacaville Book Co. & Coffeehouse,,"449-0550, 9am-6pm, til 9pm Fri, from 8am Sat, clsd Sun",315 Main St,Bookstores/Retail Shops,Vacaville,CA,,,,1997,12/16/2023 5:25pm
9406,Rural Book & News,,255-9121,315 Market St,Erotica,Harrisburg,PA,,,,1997,12/16/2023 5:25pm
7643,Thorwood & Rosewood Inn,(GF),437-3297 full brkfst,315 Pine St,Accommodations,Hastings,MN,,,,1997,12/16/2023 5:25pm
8779,Power Company,"(MW),(D),(S),(PC),(WC)",683-1151 9pm-?,315 W Main St,Bars,Durham,NC,,,,1997,12/16/2023 5:25pm
4397,Midnight Videos,,"757-7832, 24hrs",316 3rd St,Erotica,Oceanside,CA,,,,1997,12/16/2023 5:25pm
