"title","amenityfeatures","description","streetaddress","type","city","state","unclear_address","Year","notes","full.address","lon","lat","geoAddress","status","ID"
"The Open Quest Institute, TOQI","","(800)444-9999, 24 hour Crisis Hotline","","Info Lines & Services","Chicago","IL","checked",1992,"",", IL",-87.629798,41.878114,"unclear_coded_by_hand","General Coordinates Used","1992-IL-2375"
"AA Meatmarket","(L),(LV),(F)","528-2933 noon-2am, til 3am Sat","2399 N. Lincoln Ave","Bars","Chicago","IL",NA,1992,"","2399 N. Lincoln Ave ,  Chicago ,  IL",-87.6485568,41.9255101,"2399 n lincoln ave, chicago, il 60614, usa","Geocoded","1992-IL-2376"
"Annex 3","(MW),(V)","327-5969 noon-2am Sun-Fri, til 3am Sat","3160 N. Clark St.","Bars","Chicago","IL",NA,1992,"","3160 N. Clark St. ,  Chicago ,  IL",-87.650256,41.9392119,"3160 n clark st, chicago, il 60657, usa","Geocoded","1992-IL-2377"
"Berlin","(*),(MW),(D),(V),(S)","348-4975 4pm-4am Sun-Fri, til 5am Sat","954 W. Belmont","Bars","Chicago","IL",NA,1992,"","954 W. Belmont ,  Chicago ,  IL",-87.653701,41.9400986,"954 w belmont ave, chicago, il 60657, usa","Geocoded","1992-IL-2378"
"Big Red's","(MW),(NH)","525-1200 11am-2am Mon-Fri, 8am-3am Sat & Sun","3729 N. Halsted St.","Bars","Chicago","IL",NA,1992,"","3729 N. Halsted St. ,  Chicago ,  IL",-87.6493637,41.9499406,"3729 n halsted st, chicago, il 60613, usa","Geocoded","1992-IL-2379"
"Buck's Saloon","(NH)","525-1125 patio, 10am-2am Mon-Sat, from noon Sun","3439 N. Halsted St.","Bars","Chicago","IL",NA,1992,"","3439 N. Halsted St. ,  Chicago ,  IL",-87.6491918,41.9447684,"3439 n halsted st, chicago, il 60657, usa","Geocoded","1992-IL-2380"
"Buddies","(MW),(F)","477-4066 5pm Mon-Fri, from 11am Sat & Sun","3301 N. Clark St.","Bars","Chicago","IL",NA,1992,"","3301 N. Clark St. ,  Chicago ,  IL",-87.6520537,41.941982,"3301 n clark st, chicago, il 60657, usa","Geocoded","1992-IL-2381"
"Bulldog Road","(*),(V)","525-6550 7am-2am Mon-Sat, from noon Sun","2914-2916 N. Broadway St","Bars","Chicago","IL","checked",1992,"","2914-2916 N. Broadway St, IL",-87.644432,41.935434,"unclear_coded_by_hand","Found","1992-IL-2382"
"Cheeks","(*),(MW),(D)","348-3400 7am-4am Mon-Sat, from noon Sun","2730 N. Clark St.","Bars","Chicago","IL",NA,1992,"","2730 N. Clark St. ,  Chicago ,  IL",-87.6448784,41.9321591,"2730 n clark st, chicago, il 60614, usa","Geocoded","1992-IL-2383"
"Closet","(*),(MW),(V)","477-8533 2pm-4am Mon-Fri, opens noon Sat & Sun","3325 N. Broadway St.","Bars","Chicago","IL",NA,1992,"","3325 N. Broadway St. ,  Chicago ,  IL",-87.6442871,41.9426667,"3325 n broadway, chicago, il 60657, usa","Geocoded","1992-IL-2384"
"Company","(MW),(NH)","348-8881 2pm-2am Mon-Fri, noon-3am Sat & Sun","2683 N. Halsted St.","Bars","Chicago","IL",NA,1992,"","2683 N. Halsted St. ,  Chicago ,  IL",-87.6487292,41.9314392,"2683 n halsted st, chicago, il 60614, usa","Geocoded","1992-IL-2385"
"L.A. Connection","(*),(V),(F),(AH)","549-3701 noon-2am Sun-Thurs, 24hrs Fri & Sat","3700 N. Halsted St.","Bars","Chicago","IL",NA,1992,"","3700 N. Halsted St. ,  Chicago ,  IL",-87.6497252,41.9492609,"3700 n halsted st, chicago, il 60613, usa","Geocoded","1992-IL-2386"
"Little Jim's","(*),(NH)","871-6116 9am-4am Mon-Fri, til 5am Sat, noon-4am Sun","3501 N. Halsted St.","Bars","Chicago","IL",NA,1992,"","3501 N. Halsted St. ,  Chicago ,  IL",-87.6491902,41.9455805,"3501 n halsted st, chicago, il 60657, usa","Geocoded","1992-IL-2387"
"Loading Dock's","(*),(D),(V)","929-6108 patio, 11pm-4am Sun-Fri, 11pm-5am Sat","3702 N. Halsted St.","Bars","Chicago","IL",NA,1992,"","3702 N. Halsted St. ,  Chicago ,  IL",-87.6498756,41.9493268,"3702 n halsted st, chicago, il 60613, usa","Geocoded","1992-IL-2388"
"Lucky Horseshoe","(S)","880-5511 patio, 2pm-2am Mon-Fri, noon-3am Sat, noon-2am Sun","3169 N. Halsted St.","Bars","Chicago","IL",NA,1992,"","3169 N. Halsted St. ,  Chicago ,  IL",-87.649118,41.939783,"3169 n halsted st, chicago, il 60657, usa","Geocoded","1992-IL-2389"
"Manhandler","(*),(CW)","871-3339 patio, noon-4am Sun-Fri, til 5am Sat","1948 N. Halsted St.","Bars","Chicago","IL",NA,1992,"","1948 N. Halsted St. ,  Chicago ,  IL",-87.6487196,41.9174452,"1948 n halsted st, chicago, il 60614, usa","Geocoded","1992-IL-2390"
"Manhole","(*),(M),(D),(V)","975-9244 call for hours","3458 N. Halsted","Bars","Chicago","IL",NA,1992,"","3458 N. Halsted ,  Chicago ,  IL",-87.6496395,41.9453449,"3458 n halsted st, chicago, il 60657, usa","Geocoded","1992-IL-2391"
"Medusa's","(MW),(D),(V),(E)","935-3635 non-alcoholic, 9am-2am Wed-Fri, 11pm-3am Sat","3257 N. Sheffield Ave.","Bars","Chicago","IL",NA,1992,"","3257 N. Sheffield Ave. ,  Chicago ,  IL",-87.6540055,41.941574,"3257 n sheffield ave, chicago, il 60657, usa","Geocoded","1992-IL-2392"
"Men's Room","(NH)","929-1022 4pm-2am Mon-Fri, 2pm-2am Sat, til 3am Sun","3359 N. Halsted St.","Bars","Chicago","IL",NA,1992,"","3359 N. Halsted St. ,  Chicago ,  IL",-87.649038,41.9434863,"3359 n halsted st, chicago, il 60657, usa","Geocoded","1992-IL-2393"
"Nine-O-Five Club","(NH)","281-8098 7am-2am Mon-Sat, from noon Sunn","905 W. Belmont Ave.","Bars","Chicago","IL",NA,1992,"","905 W. Belmont Ave. ,  Chicago ,  IL",-87.6518112,41.93976,"905 w belmont ave, chicago, il 60657, usa","Geocoded","1992-IL-2394"
"Normandy","","348-9806  8pm-2am","3401 N. Sheffield Ave.","Bars","Chicago","IL",NA,1992,"","3401 N. Sheffield Ave. ,  Chicago ,  IL",-87.654009,41.9437848,"3401 n sheffield ave, chicago, il 60657, usa","Geocoded","1992-IL-2395"
"North End, The","(NH)","477-7999 4pm-2am Mon-Fri, 2pm-2am Sat & Sun","3733 N. Halsted St.","Bars","Chicago","IL",NA,1992,"","3733 N. Halsted St. ,  Chicago ,  IL",-87.6493772,41.9501082,"3733 n halsted st, chicago, il 60613, usa","Geocoded","1992-IL-2396"
"Piggen's Club","(MW),(NH),(AH)","929-7876 noon-4am Sun-Fri, til 5am Sat","674 W. Diversey Pkwy.","Bars","Chicago","IL",NA,1992,"","674 W. Diversey Pkwy. ,  Chicago ,  IL",-87.6464979,41.933027,"674 w diversey pkwy, chicago, il 60614, usa","Geocoded","1992-IL-2397"
"Rick's Retreat","(NH)","281-3336 noon-2am","3445 N. Halsted St.","Bars","Chicago","IL",NA,1992,"","3445 N. Halsted St. ,  Chicago ,  IL",-87.6491738,41.9449721,"3445 n halsted st, chicago, il 60657, usa","Geocoded","1992-IL-2398"
"Roscoe's","(*),(MW),(NH),(D),(V),(F)","281-3355 patio, 2pm-2am Mon-Fri, noon 3am Sat & Sun","3354-3356 N. Halsted St.","Bars","Chicago","IL",NA,1992,"","3354-3356 N. Halsted St. ,  Chicago ,  IL",-87.649697,41.943454,"3354 n halsted st, chicago, il 60657, usa","Geocoded","1992-IL-2399"
"Shipping & Receiving Room","(L)","(at AA Meatmarket bar) 528-2933 seriously-into-leather only","","Bars","Chicago","IL","checked",1992,"same address as 2382",", IL",-87.662217,41.935198,"unclear_coded_by_hand","Found","1992-IL-2400"
"Sidetrack","(*),(V)","477-9189 video varies nightly, always crowded, call for info","3349 N. Halsted St.","Bars","Chicago","IL",NA,1992,"","3349 N. Halsted St. ,  Chicago ,  IL",-87.6491605,41.9431809,"3349 n halsted st, chicago, il 60657, usa","Geocoded","1992-IL-2401"
"Smart Bar/Cabaret Metro","(MX),(D),(E)","549-4140 9:30pm-4am Tues-Sun","3730 N. Clark St.","Bars","Chicago","IL",NA,1992,"","3730 N. Clark St. ,  Chicago ,  IL",-87.6589377,41.9498373,"metro / smart bar, 3730 n clark st, chicago, il 60613, usa","Geocoded","1992-IL-2402"
"Union Nite Club","(MX),(E),(D)","525-5055 7pm-2am, til 3am Sat","3101 N. Sheffield Ave.","Bars","Chicago","IL",NA,1992,"","3101 N. Sheffield Ave. ,  Chicago ,  IL",-87.6538341,41.9382618,"3101 n sheffield ave, chicago, il 60657, usa","Geocoded","1992-IL-2403"
"Ann Sather's","(MX)","348-2378 Swedish/American, 7am-11pm","929 W. Belmont Ave.","Restaurants & Cafes","Chicago","IL",NA,1992,"","929 W. Belmont Ave. ,  Chicago ,  IL",-87.6526783,41.9397196,"929 w belmont ave, chicago, il 60657, usa","Geocoded","1992-IL-2404"
"Buddies","(MW)","477-4066 cocktails","3301 N. Clark Ave.","Restaurants & Cafes","Chicago","IL",NA,1992,"","3301 N. Clark Ave. ,  Chicago ,  IL",-87.6520537,41.941982,"3301 n clark st, chicago, il 60657, usa","Geocoded","1992-IL-2405"
"Cornelia's","(MX)","248-8333 5pm-10pm Mon-Fri, 5:30-11pm Sat & Sun, cocktails","750 Cornelia Ave.","Restaurants & Cafes","Chicago","IL",NA,1992,"","750 Cornelia Ave. ,  Chicago ,  IL",-87.6489975,41.9456153,"750 w cornelia ave, chicago, il 60657, usa","Geocoded","1992-IL-2406"
"Mike's Broadway Cafe","(MW)","404-2205 open all night Fri & Sat","3805 N. Broadway Ave.","Restaurants & Cafes","Chicago","IL",NA,1992,"","3805 N. Broadway Ave. ,  Chicago ,  IL",-87.6493953,41.9514113,"3805 n broadway, chicago, il 60613, usa","Geocoded","1992-IL-2407"
"Raw Bar & Grill, The","(MX)","348-RAW1 oyster bar, Sun-Thurs","3720 N. Clark St.","Restaurants & Cafes","Chicago","IL",NA,1992,"","3720 N. Clark St. ,  Chicago ,  IL",-87.6586872,41.9496192,"3720 n clark st, chicago, il 60613, usa","Geocoded","1992-IL-2408"
"Two Doors South","(MX),(MW)","935-0133 5pm-10pm Sun-Fri, til 11pm Sat, noon-4pm Sun Brunch","3220 N. Clark St.","Restaurants & Cafes","Chicago","IL",NA,1992,"","3220 N. Clark St. ,  Chicago ,  IL",-87.651373,41.940416,NA,"Geocoded","1992-IL-2409"
"Unicorn Club","(PC)","929-6080 24hrs","3246 N. Halsted St.","Gyms/Health Clubs","Chicago","IL",NA,1992,"","3246 N. Halsted St. ,  Chicago ,  IL",-87.6496736,41.9413525,"3246 n halsted st, chicago, il 60657, usa","Geocoded","1992-IL-2410"
"People Like Us Bookstore","","248-6363 10am-9pm","3321 N. Clark St.","Bookstore/Retail Shops","Chicago","IL",NA,1992,"","3321 N. Clark St. ,  Chicago ,  IL",-87.6524641,41.942428,"3321 n clark st, chicago, il 60657, usa","Geocoded","1992-IL-2411"
"Unabridged Books","","883-9119 general bookstore with large gay/lesbian section","3251 N. Broadway St.","Bookstore/Retail Shops","Chicago","IL",NA,1992,"","3251 N. Broadway St. ,  Chicago ,  IL",-87.6442045,41.9415648,"3251 n broadway, chicago, il 60657, usa","Geocoded","1992-IL-2412"
"MCC - Good Shepherd","","472-8708 9am, 7pm Sun","615 W. Wellington Ave.","Religious Organization","Chicago","IL",NA,1992,"","615 W. Wellington Ave. ,  Chicago ,  IL",-87.6448942,41.936299,"615 w wellington ave, chicago, il 60657, usa","Geocoded","1992-IL-2413"
"Male Hide Leather","","929-0069","2816 N. Lincoln Ave","Erotica","Chicago","IL",NA,1992,"","2816 N. Lincoln Ave ,  Chicago ,  IL",-87.659561,41.9328984,"2816 n lincoln ave, chicago, il 60657, usa","Geocoded","1992-IL-2414"
"Ram","","525-9528","3511 1/2 N. Halsted St.","Erotica","Chicago","IL",NA,1992,"","3511 1/2 N. Halsted St. ,  Chicago ,  IL",-87.649211,41.9459135,"3511 n halsted st, chicago, il 60657, usa","Geocoded","1992-IL-2415"
"Belmont Rocks","Cruisy Area","#NAME?","","Cruising Areas","Chicago","IL","checked",1992,"",", IL",-87.631544,41.935181,"unclear_coded_by_hand","Found","1992-IL-2416"
"Halsted btw. Roscoe & Addison","Cruisy Area","","","Cruising Areas","Chicago","IL","checked",1992,"",", IL",-87.648442,41.916083,"unclear_coded_by_hand","General Coordinates Used","1992-IL-2417"
"Lincoln Park","Cruisy Area","- 'The Bushes'","","Cruising Areas","Chicago","IL","checked",1992,"",", IL",-87.648778,41.92547,"unclear_coded_by_hand","Found","1992-IL-2418"
"Roscoe btw. Broadway & Lakeshore","Cruisy Area","","","Cruising Areas","Chicago","IL","checked",1992,"",", IL",-87.678469,41.943233,"unclear_coded_by_hand","General Coordinates Used","1992-IL-2419"
"Global Real Estate Referrals","","(800)346-5592, gay realtor at your service (see ad nat'l sec.)","","Info Lines & Services","Chicago","IL","checked",1992,"",", IL",-87.629798,41.878114,"unclear_coded_by_hand","General Coordinates Used","1992-IL-2420"
"The Open Quest Institute, TOQI","","(800)444-9999, 24hour","","Info Lines & Services","Chicago","IL","checked",1992,"",", IL",-87.629798,41.878114,"unclear_coded_by_hand","General Coordinates Used","1992-IL-2421"
"Badlands","(NH)","743-6171 4pm-2am, noon-2am Sat & Sun","6341 N. Clark St.","Bars","Chicago","IL",NA,1992,"","6341 N. Clark St. ,  Chicago ,  IL",-87.6701145,41.9976396,"6341 n clark st, chicago, il 60660, usa","Geocoded","1992-IL-2422"
"Bistro Too","(*),(MW),(YC),(D),(V),(S),(AH)","728-0050 9pm-4am Wed-Fri, til 5am Sat","5015 N. Clark St.","Bars","Chicago","IL",NA,1992,"","5015 N. Clark St. ,  Chicago ,  IL",-87.6678969,41.9730663,"5015 n clark st, chicago, il 60640, usa","Geocoded","1992-IL-2423"
"Charmer's Lounge","","465-2811 5pm-2am Sun-Fri, til 3am Sat","1502 W. Jarvis","Bars","Chicago","IL",NA,1992,"","1502 W. Jarvis ,  Chicago ,  IL",-87.6684902,42.0162637,"1502 w jarvis ave, chicago, il 60626, usa","Geocoded","1992-IL-2424"
"Clark's on Clark","(*),(NH)","784-9250 noon-4am Mon-Fri, noon-5am Sat, til 4am Sun","5001 N. Clark St","Bars","Chicago","IL",NA,1992,"","5001 N. Clark St ,  Chicago ,  IL",-87.6677159,41.9726913,"5001 n clark st, chicago, il 60640, usa","Geocoded","1992-IL-2425"
"Coconuts","(MX),(D),(AH)","878-5400 10pm-4pm Thurs-Sun","5246 N. Broadway St.","Bars","Chicago","IL",NA,1992,"","5246 N. Broadway St. ,  Chicago ,  IL",-87.6602477,41.9778121,"5246 n broadway, chicago, il 60640, usa","Geocoded","1992-IL-2426"
"Different Strokes","(MW),(NH)","334-8873 patio, 2pm-2am","4923 N. Clark St.","Bars","Chicago","IL",NA,1992,"","4923 N. Clark St. ,  Chicago ,  IL",-87.667649,41.9724386,"4923 n clark st, chicago, il 60640, usa","Geocoded","1992-IL-2427"
"His 'n' Hers","(MW),(E)","769-1616 patio, 3pm-2am Mon-Fri, from noon Sat & Sun","5820 N. Broadway St.","Bars","Chicago","IL",NA,1992,"","5820 N. Broadway St. ,  Chicago ,  IL",-87.6604827,41.9876174,"5820 n broadway, chicago, il 60660, usa","Geocoded","1992-IL-2428"
"J.J.'s","(*),(D),(S)","743-5772 patio, 4pm-4am Mon-Fri, from noon Sat & Sun","6406 N. Clark St.","Bars","Chicago","IL",NA,1992,"","6406 N. Clark St. ,  Chicago ,  IL",-87.6710111,41.9984139,"6406 n clark st, chicago, il 60626, usa","Geocoded","1992-IL-2429"
"Legacy's","(NH),(*)","588-9405 8pm-4am, til 5am Sat","3042 W. Irving Park Blvd.","Bars","Chicago","IL",NA,1992,"","3042 W. Irving Park Blvd. ,  Chicago ,  IL",-87.7048489,41.9541519,"3042 w irving park rd, chicago, il 60618, usa","Geocoded","1992-IL-2430"
"Touche","(*),(LV),(L)","465-7400 4pm-4am Sun-Fri, 4pm-5am Sat","6412 N. Clark St.","Bars","Chicago","IL",NA,1992,"","6412 N. Clark St. ,  Chicago ,  IL",-87.670974,41.9985708,"6412 n clark st, chicago, il 60626, usa","Geocoded","1992-IL-2431"
"Traveller's Rest","(NH)","262-4225 from 7am Mon-Sat, from noon Sun","1138 W. Granville Ave.","Bars","Chicago","IL",NA,1992,"","1138 W. Granville Ave. ,  Chicago ,  IL",-87.659921,41.994775,"1138 w granville ave, chicago, il 60660, usa","Geocoded","1992-IL-2432"
"Costa D'Oro","(MW)","782-0700 Italian cuisine, 5pm-midnight, clsd Tues","5025 N. Clark St.","Restaurants & Cafes","Chicago","IL",NA,1992,"","5025 N. Clark St. ,  Chicago ,  IL",-87.6678122,41.9732158,"5025 n clark st, chicago, il 60640, usa","Geocoded","1992-IL-2433"
"Man's Country","(PC)","878-2069 24 hrs, spa, gym","5017 N. Clark St.","Gyms/Health Clubs","Chicago","IL",NA,1992,"","5017 N. Clark St. ,  Chicago ,  IL",-87.667782,41.972994,"5017 n clark st, chicago, il 60640, usa","Geocoded","1992-IL-2434"
"Man's World North","(PC)","728-0400","4740 N. Western","Gyms/Health Clubs","Chicago","IL",NA,1992,"","4740 N. Western ,  Chicago ,  IL",-87.6892742,41.9680162,"4740 n western ave, chicago, il 60625, usa","Geocoded","1992-IL-2435"
"Howard St. Book Store","","465-9431 24hrs","7614 N. Ashland","Erotica","Chicago","IL",NA,1992,"","7614 N. Ashland ,  Chicago ,  IL",-87.6713202,42.0193622,"7614 n ashland ave, chicago, il 60626, usa","Geocoded","1992-IL-2436"
"Simonds Dr.","Cruisy Area","from Montrose Ave. to Foster Ave., east of Lake Shore Dr.","","Cruising Areas","Chicago","IL","checked",1992,"",", IL",-87.645236,41.968827,"unclear_coded_by_hand","General Coordinates Used","1992-IL-2437"
"Global Real Estate Referrals","","(800)346-5592, gay realtor at your service (see ad nat'l sec.)","","Info Lines & Services","Chicago","IL","checked",1992,"",", IL",-87.629798,41.878114,"unclear_coded_by_hand","General Coordinates Used","1992-IL-2438"
"The Open Quest Institute, TOQI","","(800)444-9999, 24 hour Crisis Hotline","","Info Lines & Services","Chicago","IL","checked",1992,"",", IL",-87.629798,41.878114,"unclear_coded_by_hand","General Coordinates Used","1992-IL-2439"
"Inn Exile","(MW),(D),(V)","582-3510 patio, 6pm-2am Mon-Fri, til 3am Sat, noon-2am Sun","5758 W. 65th St.","Bars","Chicago","IL",NA,1992,"","5758 W. 65th St. ,  Chicago ,  IL",-87.7663204,41.7745095,"5758 w 65th st, chicago, il 60638, usa","Geocoded","1992-IL-2440"
"Jeffery Pub/Disco","(MW),(D)","(708)363-8555 11am-4am Sun-Fri, til 5am Sat","7041 S. Jeffery","Bars","Chicago","IL",NA,1992,"","7041 S. Jeffery ,  Chicago ,  IL",-87.5760696,41.7667322,"7041 s jeffery blvd, chicago, il 60649, usa","Geocoded","1992-IL-2441"
"Martin's Den","(MW),(D),(NH)","363-9470 noon-2am","5550 S. State St.","Bars","Chicago","IL",NA,1992,"","5550 S. State St. ,  Chicago ,  IL",-87.6258849,41.7928342,"5550 s state st, chicago, il 60621, usa","Geocoded","1992-IL-2442"
"Rialto","(*),(MW),(D)","427-9893 noon-4am Sun-Fri, til 5am Sat","14 W. Van Buren","Bars","Chicago","IL",NA,1992,"","14 W. Van Buren ,  Chicago ,  IL",-87.6283145,41.877067,"14 w van buren st, chicago, il 60605, usa","Geocoded","1992-IL-2443"
"A & B Adult Books","","284-0938","6159 S. Cicero","Erotica","Chicago","IL",NA,1992,"","6159 S. Cicero ,  Chicago ,  IL",-87.741991,41.7809792,"6159 s cicero ave, chicago, il 60638, usa","Geocoded","1992-IL-2444"
"Union Station","Cruisy Area","","","Cruising Areas","Chicago","IL","checked",1992,"",", IL",-87.640307,41.878663,"unclear_coded_by_hand","Found","1992-IL-2445"
"Ellsworth Park","(AYOR),Cruisy Area","","","Cruising Areas","Danville","IL","checked",1992,"",", IL",-87.640908,40.125819,"unclear_coded_by_hand","Found","1992-IL-2446"
"Adult Books & Cinema X","","423-9540 24hrs","145 N. Main St.","Erotica","Decatur","IL",NA,1992,"","145 N. Main St. ,  Decatur ,  IL",-88.9562643,39.8420065,"145 n main st, decatur, il 62523, usa","Geocoded","1992-IL-2447"
"Nelson Park","Cruisy Area","","","Cruising Areas","Decatur","IL","checked",1992,"",", IL",-88.919158,39.83465,"unclear_coded_by_hand","Found","1992-IL-2448"
"Prairie St.","Cruisy Area","(Downtown nr. YMCA)","","Cruising Areas","Decatur","IL","checked",1992,"",", IL",-88.9548,39.840315,"unclear_coded_by_hand","General Coordinates Used","1992-IL-2449"
"Charlie's Angels","(D)","827-0338 6pm-2am Sun-Thurs, til 3am Fri & Sat","8710 Golf Rd.","Bars","Des Plains","IL",NA,1992,"","8710 Golf Rd. ,  Des Plains ,  IL",-87.8431542,42.0545547,"8710 golf rd, niles, il 60714, usa","Geocoded","1992-IL-2450"
"Ogden Books","","964-2727","218 Ogden Ave.","Erotica","Downers Grove","IL",NA,1992,"","218 Ogden Ave. ,  Downers Grove ,  IL",-87.9916666,41.8096418,"218 ogden ave, downers grove, il 60515, usa","Geocoded","1992-IL-2451"
"Monks Mound St. Park","(AYOR),Cruisy Area","","","Cruising Areas","East St. Louis","IL","checked",1992,"",", IL",-90.060521,38.659368,"unclear_coded_by_hand","Found","1992-IL-2452"
"Fox Valley Gay Association","","931-1110 info & referrals 7pm-10pm Mon-Fri, call for group meeting times","","Info Lines & Services","Elgin","IL","checked",1992,"",", IL",-88.282567,42.035408,"unclear_coded_by_hand","General Coordinates Used","1992-IL-2453"
"Hunters","(*),(D),(V)","439-8840 4pm-4am","1932 E. Higgins","Bars","Elk Grove Village","IL",NA,1992,"","1932 E. Higgins ,  Elk Grove Village ,  IL",-87.9553435,42.0204818,"1932 e higgins rd, elk grove village, il 60007, usa","Geocoded","1992-IL-2454"
"Busse Woods - Higgins Blvd","Cruisy Area","","","Cruising Areas","Elk Grove Village","IL","checked",1992,"",", IL",-87.992568,42.02873,"unclear_coded_by_hand","General Coordinates Used","1992-IL-2455"
"Granville Anvil","(LV),(L)","973-0006","1137 W. Granville","Bars","Evanston","IL",NA,1992,"","1137 W. Granville ,  Evanston ,  IL",-87.6597969,41.9943777,"1137 w granville ave, chicago, il 60660, usa","Geocoded","1992-IL-2456"
"Platypus Bookshop","","866-8040","606 Dempster St.","Bookstore/Retail Shops","Evanston","IL",NA,1992,"","606 Dempster St. ,  Evanston ,  IL",-87.681047,42.0410863,"606 dempster st, evanston, il 60202, usa","Geocoded","1992-IL-2457"
"MCC Christ the Redeemer","","(United Methodist Church) 262-0099 worship 7pm Sun","933 Chicago Ave.","Religious Organization","Evanston","IL",NA,1992,"","933 Chicago Ave. ,  Evanston ,  IL",-87.6791659,42.0349613,"933 chicago ave, evanston, il 60202, usa","Geocoded","1992-IL-2458"
"Triangular Park - Sheridan & Church","Cruisy Area","","","Cruising Areas","Evanston","IL","checked",1992,"",", IL",-87.674137,42.046554,"unclear_coded_by_hand","Found","1992-IL-2459"
"Hideaway II","(D)","771-4459 3pm-2am Mon-Thurs, til 3am Fri & Sat, 1pm-2am Sun","7301 W. Roosevelt Rd.","Bars","Forest Park","IL",NA,1992,"","7301 W. Roosevelt Rd. ,  Forest Park ,  IL",-87.8041999,41.8650091,"7301 w roosevelt rd, oak park, il 60304, usa","Geocoded","1992-IL-2460"
"Nut Bush","(D)","366-5117 3pm-2am Sun-Thurs, 1pm-3am Fri & Sat","41 S. Harlem","Bars","Forest Park","IL",NA,1992,"","41 S. Harlem ,  Forest Park ,  IL",-87.804577,41.8794288,"41 s harlem ave, oak park, il 60302, usa","Geocoded","1992-IL-2461"
"Temptations","(*),(W),(D),(E),(V)","455-0008","10235 W. Grand Ave.","Bars","Franklin Park","IL",NA,1992,"","10235 W. Grand Ave. ,  Franklin Park ,  IL",-87.8806838,41.9293076,"10235 w grand ave, franklin park, il 60131, usa","Geocoded","1992-IL-2462"
"Storey Lake Park","Cruisy Area","","","Cruising Areas","Galesburg","IL","checked",1992,"",", IL",-90.409852,40.988649,"unclear_coded_by_hand","Found","1992-IL-2463"
"Gay/Lesbian AA","","(at MCC location) 325-8488 meets 4:30pm Sun","","Info Lines & Services","Hinsdale","IL","checked",1992,"",", IL",-87.937005,41.800864,"unclear_coded_by_hand","General Coordinates Used","1992-IL-2464"
"MCC (Holy Covenant)","","(Unitarian Church) 325-8488 worship 7pm Sun","17 W. Maple","Religious Organization","Hinsdale","IL",NA,1992,"","17 W. Maple ,  Hinsdale ,  IL",-87.9304737,41.8049539,"17 w maple st, hinsdale, il 60521, usa","Geocoded","1992-IL-2465"
"Maneuvers","(MW),(D)","727-7069 8pm-2am Sun-Thurs, til 3am Fri & Sat","118 E. Jefferson","Bars","Joliet","IL",NA,1992,"","118 E. Jefferson ,  Joliet ,  IL",-88.077652,41.5248817,"118 e jefferson st, joliet, il 60432, usa","Geocoded","1992-IL-2466"
"Kankakee River State Park","Cruisy Area,(AYOR)","- Rt. 102","","Cruising Areas","Kankakee","IL","checked",1992,"",", IL",-87.949973,41.177887,"unclear_coded_by_hand","Found","1992-IL-2467"
"Airie Crown Forest Preserve","Cruisy Area","(Summers)","","Cruising Areas","La Grange","IL","checked",1992,"",", IL",-87.87216,41.768373,"unclear_coded_by_hand","Found","1992-IL-2468"
"'Rest Stop' - 6 mi. N. on US 67","Cruisy Area","","","Cruising Areas","Macomb","IL","checked",1992,"",", IL",-90.671797,40.459208,"unclear_coded_by_hand","General Coordinates Used","1992-IL-2469"
"Il. State Park","Cruisy Area,(AYOR)","(Summers)","","Cruising Areas","Marseille","IL","checked",1992,"",", IL",-88.708129,41.330867,"unclear_coded_by_hand","General Coordinates Used","1992-IL-2470"
"Starved Rock State Park","Cruisy Area","","","Cruising Areas","Ottawa","IL","checked",1992,"",", IL",-88.995103,41.317148,"unclear_coded_by_hand","Found","1992-IL-2471"
"Club Peorian","(*),(MW),(D),(S),(V),(AH)","676-9030 10am-4am","733 SW Adams St.","Bars","Peoria","IL",NA,1992,"","733 SW Adams St. ,  Peoria ,  IL",-89.5976547,40.6870072,"733 sw adams st, peoria, il 61602, usa","Geocoded","1992-IL-2472"
"D.J.'s Timeout","","637-7827 1pm-1am","703 S.W. Adams","Bars","Peoria","IL",NA,1992,"","703 S.W. Adams ,  Peoria ,  IL",-89.5970635,40.6870535,"703 sw adams st, peoria, il 61602, usa","Geocoded","1992-IL-2473"
"Quench Room","(MW),(NH)","5pm-1am Mon-Thur, from 1pm Fri-Sun","631 W. Main","Bars","Peoria","IL",NA,1992,"","631 W. Main ,  Peoria ,  IL",-89.6034941,40.6998488,"631 w main st, peoria, il 61606, usa","Geocoded","1992-IL-2474"
"Red Fox Den","(E)","637-4317 6pm-1am","807 SW Adams St.","Bars","Peoria","IL",NA,1992,"","807 SW Adams St. ,  Peoria ,  IL",-89.5987626,40.686217,"807 sw adams st, peoria, il 61602, usa","Geocoded","1992-IL-2475"
"MCC Peoria","","(Unitarian Church) 676-3503 6pm Sun","908 Hamilton Blvd.","Religious Organization","Peoria","IL",NA,1992,"","908 Hamilton Blvd. ,  Peoria ,  IL",-89.594591,40.699149,"908 hamilton blvd, peoria, il 61603, usa","Geocoded","1992-IL-2476"
"Swingers World","","676-9275 24hrs","335 SW Adams","Erotica","Peoria","IL",NA,1992,"","335 SW Adams ,  Peoria ,  IL",-89.593409,40.6897502,"335 sw adams st, peoria, il 61602, usa","Geocoded","1992-IL-2477"
"Bradley Park","Cruisy Area","","","Cruising Areas","Peoria","IL","checked",1992,"",", IL",-89.623074,40.703639,"unclear_coded_by_hand","Found","1992-IL-2478"
