"title","description","streetaddress","type","amenityfeatures","city","state","Year","notes","full.address","lat","lon","geoAddress","status","unclear_address","ID"
"Blue Atlantic","","2901 Rio Mar St.","Hotel","(H),(M)","Ft. Lauderdale","FL",1981,"","2901 Rio Mar St., Ft. Lauderdale, FL",26.1293541,-80.106521,"2901 riomar st, fort lauderdale, fl 33304, usa","Google Verified Location",NA,"1981-FL-0666"
"Blue Bijou Cinema","","2006 Prospect Ave.","Theatre","","Cleveland","OH",1981,"","2006 Prospect Ave., Cleveland, OH",41.5000976,-81.6769119,"2006 prospect ave e, cleveland, oh 44115, usa","Google Verified Location",NA,"1981-OH-0667"
"Blue Bugle","","724 Main St.","Restaurant,Bars/Clubs","(R),(D),(WE)","Stroudsburg","PA",1981,"","724 Main St., Stroudsburg, PA",40.9853885,-75.1949175,"724 main st, stroudsburg, pa 18360, usa","Google Verified Location",NA,"1981-PA-0668"
"Blue Dahlia","(Strictly tourists)","5640 W. North","Bars/Clubs","(M),(S)","Chicago","IL",1981,"","5640 W. North, Chicago, IL",41.9095204,-87.7671597,"5640 w north ave, chicago, il 60639, usa","Google Verified Location",NA,"1981-IL-0669"
"Blue Fox","","131 8th Ave.","Restaurant","(R),(*)","Greenwich Village","NY",1981,"","131 8th Ave., Greenwich Village, NY",40.7413965,-74.0015517,"131 8th ave, new york, ny 10011, usa","Google Verified Location",NA,"1981-NY-0670"
"Blue Hills","(Milton)","","Cruising Areas","Cruisy Area","Boston","MA",1981,"",", MA",42.215952,-71.067605,"unclear_coded_by_hand","Verified Location",NA,"1981-MA-0671"
"Blue Hills","Wampatuck Rd.","","Cruising Areas","(*),Cruisy Area","Milton","MA",1981,"",", MA",42.214182,-71.093998,"unclear_coded_by_hand","Verified Location",NA,"1981-MA-0672"
"Blue Lagoon","","Roosevelt Blvd.","Restaurant","(M),(R)","Key West","FL",1981,"","Roosevelt Blvd., Key West, FL",24.5665898,-81.7715024,"n roosevelt blvd, key west, fl 33040, usa","Google Verified Location",NA,"1981-FL-0673"
"Blue Note","","707 Bangs Ave.","Bars/Clubs","(OC),(E)","Asbury Park","NJ",1981,"","707 Bangs Ave., Asbury Park, NJ",40.2174449,-74.0118049,"707 bangs ave, asbury park, nj 07712, usa","Google Verified Location",NA,"1981-NJ-0674"
"Blue Nude Bookstore","","1117 Grand Ave.","Book Store,Erotic Shop","","Des Moines","IA",1981,"","1117 Grand Ave., Des Moines, IA",41.5863044,-93.6320957,"1117 grand ave, des moines, ia 50309, usa","Google Verified Location",NA,"1981-IA-0675"
"Blue Parrot","(D.J. but not D)(Cruisy)","8851 Santa Monica Blvd.","Cruising Areas,Bars/Clubs","(YC),(*)","Hollywood","CA",1981,"","8851 Santa Monica Blvd., Hollywood, CA",34.0855526,-118.3836817,"8851 santa monica blvd, west hollywood, ca 90069, usa","Google Verified Location",NA,"1981-CA-0676"
"Blue Penguin","(Above Lenny's)","","Hotel","(H)","Bellmore","NY",1981,"",", Bellmore, NY",40.6687125,-73.5270709,"bellmore, ny, usa","Google Verified Location",NA,"1981-NY-0677"
"Blue Plate Cafe","","1101 N. Rampart St.","Restaurant","(M),(R)","New Orleans","LA",1981,"","1101 N. Rampart St., New Orleans, LA",29.9641677,-90.0658268,"1101 n rampart st, new orleans, la 70116, usa","Google Verified Location",NA,"1981-LA-0678"
"Blue Pub","","3059 W. Irving Park Blvd.","Bars/Clubs","(OC)","Chicago","IL",1981,"","3059 W. Irving Park Blvd., Chicago, IL",41.9537542,-87.7054129,"3059 w irving park rd, chicago, il 60618, usa","Google Verified Location",NA,"1981-IL-0679"
"Blue Skies","","183 W. 10th St.","Restaurant","(R),(*)","Greenwich Village","NY",1981,"","183 W. 10th St., Greenwich Village, NY",40.7343755,-74.0028479,"183 w 10th st, new york, ny 10014, usa","Google Verified Location",NA,"1981-NY-0680"
"Blue Star Inn & Campsites","(In need o f renovation)","Blue Star Hwy. (Hwy. 31)","Hotel","(H)","Saugatuck","MI",1981,"","Blue Star Hwy. (Hwy. 31), MI",42.655025,-86.201982,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-MI-0681"
"Blue Valley Park","","","Cruising Areas","Cruisy Area,(AYOR)","Kansas City","MO",1981,"",", MO",39.079108,-94.509598,"unclear_coded_by_hand","Verified Location",NA,"1981-MO-0682"
"Blue Water Spa","(Baths)","3107 Broadway","Bathhouses","(*)","San Antonio","TX",1981,"","3107 Broadway, San Antonio, TX",29.4555718,-98.4711714,"3107 broadway, san antonio, tx 78209, usa","Google Verified Location",NA,"1981-TX-0683"
"Blue Whale Bar","(Disco 'Tea Dance' 4:30 - 7:30*)Boatel Motel","","Bars/Clubs","(*)","Fire Island","NY",1981,"",", NY",40.665332,-73.06908,"unclear_coded_by_hand","Verified Location",NA,"1981-NY-0684"
"Blue's","(Small disco)","264 W. 43rd St.","Bars/Clubs","(B),(D)","Uptown","NY",1981,"","264 W. 43rd St., Uptown, NY",40.7577,-73.9887921,"264 w 43rd st, new york, ny 10036, usa","Google Verified Location",NA,"1981-NY-0685"
"Blythwood","","50 N. Jay St.","Bars/Clubs","(OC),(PT)","Schenectady","NY",1981,"","50 N. Jay St., Schenectady, NY",42.817723,-73.937614,"50 n jay st, schenectady, ny 12305, usa","Google Verified Location",NA,"1981-NY-0686"
"Bo Jangles","(Some YC, 'twinkies', L)(Disco)","7042 Folsom Blvd.","Bars/Clubs","(*),(YC),(L),(D),(C),(AH)","Sacramento","CA",1981,"","7042 Folsom Blvd., Sacramento, CA",38.5517861,-121.4208411,"7042 folsom blvd, sacramento, ca 95826, usa","Google Verified Location",NA,"1981-CA-0687"
"Boardwalk","T-Room","New York Ave","Cruising Areas","Cruisy Area,(AYOR)","Atlantic City","NJ",1981,"","New York Ave, NJ",39.352118,-74.443782,"unclear_coded_by_hand","Verified Location",NA,"1981-NJ-0688"
"Boardwalk","at 3rd","","Cruising Areas","Cruisy Area","Asbury Park","NJ",1981,"",", NJ",40.223796,-73.998585,"unclear_coded_by_hand","Verified Location",NA,"1981-NJ-0689"
"Boardwalk & beach","in front","","Cruising Areas","Cruisy Area","Daytona Beach","FL",1981,"",", FL",29.224086,-81.00469,"unclear_coded_by_hand","Verified Location",NA,"1981-FL-0690"
"Boardwalk Club","(All bath cards accepted) (Some YC, L)(Disco)(Enter thru alley days)","545 6th Ave.","Bars/Clubs,Restaurant,Bathhouses","(*),(P),(YC),(L),(D),(R),(E),(PT)","Des Moines","IA",1981,"","545 6th Ave., Des Moines, IA",41.588866,-93.6251346,"545 6th ave, des moines, ia 50309, usa","Google Verified Location",NA,"1981-IA-0691"
"Boat House","(Disco)(Some L)(2 bars) Bellevue & Bayard - on the Bay at Dewey Beach","","Restaurant,Bars/Clubs","(*),(YC),(D),(L),(R)","Rehoboth Beach","DE",1981,"",", DE",38.69431,-75.077334,"unclear_coded_by_hand","Verified Location",NA,"1981-DE-0692"
"Boatel Motel & Bar","597-6500","The Pines","Bars/Clubs,Hotel","(H),(*)","Fire Island","NY",1981,"","The Pines, Fire Island, NY",40.6653185,-73.0693043,"fire island pines, fire island, ny, usa","Google Verified Location",NA,"1981-NY-0693"
"Boatslip Motel & Bar","('Tops' days -cruisy beach & pool)(Tea dance Disco, 3:30-6:30)","161 Commercial St.","Hotel,Restaurant,Cruising Areas,Bars/Clubs","(H),(R),(*)","Provincetown","MA",1981,"","161 Commercial St., Provincetown, MA",42.0470329,-70.1901852,"historic district, 161 commercial st, provincetown, ma 02657, usa","Google Verified Location",NA,"1981-MA-0694"
"Bob & Tony's East","","459 Kapahulu","Bars/Clubs","(*)","Waikiki","HI",1981,"","459 Kapahulu, Waikiki, HI",21.2754332,-157.8151065,"459 kapahulu ave, honolulu, hi 96815, usa","Google Verified Location",NA,"1981-HI-0695"
"Bob Martin's Bar","(This popular cruisy complex open from 11am. V.I.P. Room has (Disco) Gateway Saloon (Downstairs) on Wed., Fri. & Sat. Also (S) in the new Cellar Room & Stadium Baths.) Stadium Hotel","201 S. 20th","Cruising Areas,Bathhouses,Bars/Clubs,Hotel","(*),(YC),(D),(SM),(W),(S)","St. Louis","MO",1981,"","201 S. 20th, St. Louis, MO",38.6312421,-90.2086903,"201 n 20th st, st. louis, mo 63103, usa","Google Verified Location",NA,"1981-MO-0696"
"Bob's","","1601 Polk St.","Restaurant","(M),(R),(C)","San Francisco","CA",1981,"","1601 Polk St., San Francisco, CA",37.79165,-122.421097,"1601 polk st, san francisco, ca 94109, usa","Google Verified Location",NA,"1981-CA-0697"
"Bob's Adult Book Store","","1389 Broadway N.E.","Book Store,Erotic Shop","","Salem","OR",1981,"","1389 Broadway N.E., Salem, OR",44.9526441,-123.0309783,"1389 broadway st ne, salem, or 97301, usa","Google Verified Location",NA,"1981-OR-0698"
"Bob's Adult Books","","174 S. Dupont Hwy.","Erotic Shop,Book Store","(*)","Wilmington","DE",1981,"","174 S. Dupont Hwy., Wilmington, DE",39.7444538,-75.5715099,"174 s dupont st, wilmington, de 19805, usa","Google Verified Location",NA,"1981-DE-0699"
"Bob's Hideaway","","505 Broadway","Bars/Clubs","","Baltimore","MD",1981,"","505 Broadway, Baltimore, MD",39.2963983,-76.59403,"505 n broadway, baltimore, md 21287, usa","Google Verified Location",NA,"1981-MD-0700"
"Body Builders","(Gym)","2516 Hyperion","Gym","","Silver Lake","CA",1981,"","2516 Hyperion, Silver Lake, CA",34.1046831,-118.2729214,"2516 hyperion ave, los angeles, ca 90027, usa","Google Verified Location",NA,"1981-CA-0701"
"Body Shop","(Book store & 'peep shows')","1346 E. 11th St.","Book Store,Erotic Shop","(*)","Tulsa","OK",1981,"","1346 E. 11th St., Tulsa, OK",36.147684,-95.973597,"1346 e 11th st, tulsa, ok 74120, usa","Google Verified Location",NA,"1981-OK-0702"
"Body Shop","(Nautilus Gym)","2451 N. Lincoln","Gym","","Chicago","IL",1981,"","2451 N. Lincoln, Chicago, IL",41.9268017,-87.650212,"2451 n lincoln ave, chicago, il 60614, usa","Google Verified Location",NA,"1981-IL-0703"
"Body Works","(Health club)","1230 Sutter St.","Gym","","San Francisco","CA",1981,"","1230 Sutter St., San Francisco, CA",37.7879425,-122.4207105,"1230 sutter st, san francisco, ca 94109, usa","Google Verified Location",NA,"1981-CA-0704"
"Body Works","(Gym)","2525 Wycliff","Gym","","Dallas","TX",1981,"","2525 Wycliff, Dallas, TX",32.8110156,-96.8191479,"2525 wycliff ave, dallas, tx 75219, usa","Google Verified Location",NA,"1981-TX-0705"
"Body Works","(Baths)","303 N. Senate Ave.","Bathhouses","(*)","Indianapolis","IN",1981,"","303 N. Senate Ave., Indianapolis, IN",39.7717089,-86.1629079,"303 n senate ave, indianapolis, in 46204, usa","Google Verified Location",NA,"1981-IN-0706"
"Bodycenter","(Nautilus gym)","8711 3rd St.","Gym","","Hollywood","CA",1981,"","8711 3rd St., Hollywood, CA",34.0928092,-118.3286614,"hollywood, los angeles, ca, usa","Google Verified Location",NA,"1981-CA-0707"
"Bogart's","(Lunch & brunch)","320 E. 59th St.","Restaurant","(R)","Midtown","NY",1981,"","320 E. 59th St., Midtown, NY",40.7599967,-73.963406,"320 e 59th st, new york, ny 10022, usa","Google Verified Location",NA,"1981-NY-0708"
"Bogey's","","1748 Market St.","Bars/Clubs","(D),(PT),(*)","Redding","CA",1981,"","1748 Market St., Redding, CA",40.5816624,-122.3900927,"1748 market st, redding, ca 96001, usa","Google Verified Location",NA,"1981-CA-0709"
"Boltax","(Cabaret) betw. Canal and Grand","22 Wooster","Restaurant","(R),(*)","Greenwich Village","NY",1981,"","22 Wooster, Greenwich Village, NY",40.7215364,-74.0030522,"22 wooster st, new york, ny 10013, usa","Google Verified Location",NA,"1981-NY-0710"
"Bond International","(Supposedly opening soon)(Disco)(Roller skate)(Cabaret) at 45th St.","1526 Broadway","Bars/Clubs,Restaurant","(D),(R)","Midtown","NY",1981,"","1526 Broadway, Midtown, NY",40.7573844,-73.9854997,"1526 broadway, new york, ny 10036, usa","Google Verified Location",NA,"1981-NY-0711"
"Bond St. Bar","","Bond St.","Bars/Clubs","(L),(PT)","Asbury Park","NJ",1981,"","Bond St., NJ",40.216058,-74.011878,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-NJ-0712"
"Bonnie & Clyde's","(Disco)(Cruisy) (also Bonnie's (R) Upstairs)","82 W. 3rd St.","Bars/Clubs,Restaurant,Cruising Areas","(YC),(L),(D),(PT),(R)","Greenwich Village","NY",1981,"","82 W. 3rd St., Greenwich Village, NY",40.7297021,-73.9989571,"82 w 3rd st, new york, ny 10012, usa","Google Verified Location",NA,"1981-NY-0713"
"Boobie's Why Not Club","(Some L)(Disco)(Snacks)","1432 W. Tuscararas","Bars/Clubs","(*),(S),(E),(D),(L)","Canton","OH",1981,"","1432 W. Tuscararas, Canton, OH",40.7953011,-81.3606728,"1432 tuscarawas st e, canton, oh 44707, usa","Google Verified Location",NA,"1981-OH-0714"
"Book Art 4","(Books)","4 E. Chippewa","Book Store","","Buffalo","NY",1981,"","4 E. Chippewa, Buffalo, NY",42.8900424,-78.872644,"4 e chippewa st, buffalo, ny 14203, usa","Google Verified Location",NA,"1981-NY-0715"
"Book Boutique","","1495 Glenneyre St. at Calliope & Coast Hwy.","Book Store","(*)","Laguna Beach","CA",1981,"","1495 Glenneyre St. at Calliope & Coast Hwy., CA",33.531482,-117.773505,"unclear_coded_by_hand","Verified Location",NA,"1981-CA-0716"
"Book Cellar","(Books)","2103 W. Camelback Rd.","Book Store","","Phoenix","AZ",1981,"","2103 W. Camelback Rd., Phoenix, AZ",33.5093936,-112.1044816,"2103 w camelback rd, phoenix, az 85015, usa","Google Verified Location",NA,"1981-AZ-0717"
"Book Cellar","(Books)","","Book Store","(M)","Tucson","AZ",1981,"",", AZ",32.25252,-110.972342,"unclear_coded_by_hand","Verified Location",NA,"1981-AZ-0718"
"Book Circus","(Books - open 24 hrs.)","8230 Santa Monica Blvd.","Book Store","","Hollywood","CA",1981,"","8230 Santa Monica Blvd., Hollywood, CA",34.0904867,-118.3682409,"8230 santa monica blvd, west hollywood, ca 90046, usa","Google Verified Location",NA,"1981-CA-0719"
"Book Mark","","4077 Adams Avenue","Bars/Clubs,Book Store","","San Diego","CA",1981,"","4077 Adams Avenue, San Diego, CA",32.7630457,-117.1076692,"4077 adams ave, san diego, ca 92116, usa","Google Verified Location",NA,"1981-CA-0720"
"Book People","(Books & info)","512 S. Main","Book Store","(*)","Moscow","ID",1981,"","512 S. Main, Moscow, ID",46.7306249,-117.0010682,"512 s main st, moscow, id 83843, usa","Google Verified Location",NA,"1981-ID-0721"
"Book Project","(Books)","1502 E. Olive Way","Book Store","","Seattle","WA",1981,"","1502 E. Olive Way, Seattle, WA",47.6178995,-122.3263273,"1502 e olive way, seattle, wa 98122, usa","Google Verified Location",NA,"1981-WA-0722"
"Book Store","at Dale University","","Cruising Areas,Book Store","Cruisy Area","St. Paul","MN",1981,"",", MN",44.953703,-93.089958,"unclear_coded_by_hand","Verified Location",NA,"1981-MN-0723"
"Book Store","","Wabasha & Dale","Cruising Areas,Book Store","Cruisy Area,(AYOR)","St. Paul","MN",1981,"","Wabasha & Dale, MN",44.953703,-93.089958,"unclear_coded_by_hand","Verified Location",NA,"1981-MN-0724"
"Book store & block","around 5th & Sycamore","","Cruising Areas,Book Store","Cruisy Area","Waterloo","IA",1981,"",", IA",42.49748,-92.334899,"unclear_coded_by_hand","Verified Location",NA,"1981-IA-0725"
"Book Stores","around 4th & Court","","Cruising Areas,Book Store","Cruisy Area","Des Moines","IA",1981,"",", IA",41.587051,-93.611783,"unclear_coded_by_hand","Verified Location",NA,"1981-IA-0726"
"Book World","","3808-A Old High Point Road","Book Store","","Greensboro","NC",1981,"","3808-A Old High Point Road, Greensboro, NC",36.0220258,-80.0730264,"old winston rd, north carolina 27284, usa","Google Verified Location",NA,"1981-NC-0727"
"Book-A-Rama","(Cruisy arcade)","2928 N. Broadway","Book Store,Business,Cruising Areas","","Chicago","IL",1981,"","2928 N. Broadway, Chicago, IL",41.9357766,-87.6445359,"2928 n broadway, chicago, il 60657, usa","Google Verified Location",NA,"1981-IL-0728"
"Bookie's Club 870","(also called 'Gagens')(S - Sun)(Some B) nr. Hamilton","870 McNichols","Bars/Clubs","(S),(D),(B)","Detroit","MI",1981,"","870 McNichols, Detroit, MI",42.4178807,-83.094762,"870 e mcnichols rd, highland park, mi 48203, usa","Google Verified Location",NA,"1981-MI-0729"
"Books & Things","","1080 Peachtree St. N.E.","Book Store","","Atlanta","GA",1981,"","1080 Peachtree St. N.E., Atlanta, GA",33.7839093,-84.3837461,"1080 peachtree st ne, atlanta, ga 30309, usa","Google Verified Location",NA,"1981-GA-0730"
"Books Brothers","","3244 E. Speedway","Book Store","","Tuscon","AZ",1981,"","3244 E. Speedway, Tuscon, AZ",32.2357998,-110.9237097,"3244 e speedway blvd, tucson, az 85716, usa","Google Verified Location",NA,"1981-AZ-0731"
"Books Unlimited","","3125 W. Burbank","Book Store","","Burbank","CA",1981,"","3125 W. Burbank, Burbank, CA",34.1765455,-118.3454529,"3125 w burbank blvd, burbank, ca 91505, usa","Google Verified Location",NA,"1981-CA-0732"
"Bookshelf","(Books)","10 N. Euclid","Book Store","","St. Louis","MO",1981,"","10 N. Euclid, St. Louis, MO",38.6398983,-90.2621122,"10 n euclid ave, st. louis, mo 63108, usa","Google Verified Location",NA,"1981-MO-0733"
"Bookshelf","(Books)","1116 Olive St.","Book Store","","St. Louis","MO",1981,"","1116 Olive St., St. Louis, MO",38.6292835,-90.1963914,"1116 olive st, st. louis, mo 63101, usa","Google Verified Location",NA,"1981-MO-0734"
"Bookworm","(Bookstore)","1350 E. Flamingo Rd.","Book Store","","Las Vegas","NV",1981,"","1350 E. Flamingo Rd., Las Vegas, NV",36.115617,-115.1354828,"1350 e flamingo rd, las vegas, nv 89119, usa","Google Verified Location",NA,"1981-NV-0735"
"Boom Boom Room","(Game room)(Cruisy)(Enter thru side door or thru Tap Room)","Coast Inn - 1401 S. Coast Hwy","Bars/Clubs,Cruising Areas","(*),(YC),(PT)","Laguna Beach","CA",1981,"","Coast Inn - 1401 S. Coast Hwy, CA",33.531573,-117.774944,"unclear_coded_by_hand","Verified Location",NA,"1981-CA-0736"
"Boot Camp","(L on left, guys on right)","2508 N. Fitzhugh","Bars/Clubs","(PT),(L)","Dallas","TX",1981,"","2508 N. Fitzhugh, Dallas, TX",32.8126323,-96.7833322,"2508 n fitzhugh ave, dallas, tx 75204, usa","Google Verified Location",NA,"1981-TX-0737"
"Boot Camp","(Wild back room - No booze)","1010 Bryant","Bars/Clubs","(*),(SM)","San Francisco","CA",1981,"","1010 Bryant, San Francisco, CA",37.7723436,-122.4074383,"1010 bryant st, san francisco, ca 94103, usa","Google Verified Location",NA,"1981-CA-0738"
"Boot Hill","(Some W, YC, SM)(Cruisy) nr. 75th","317 Amsterdam Ave.","Bars/Clubs,Cruising Areas","(W),(*),(YC),(SM)","Uptown","NY",1981,"","317 Amsterdam Ave., Uptown, NY",40.7804173,-73.9799914,"317 amsterdam ave, new york, ny 10023, usa","Google Verified Location",NA,"1981-NY-0739"
"Bootrack Saloon","(Some W, SM)","415 Stockton","Bars/Clubs","(W),(SM),(*)","San Jose","CA",1981,"","415 Stockton, San Jose, CA",37.3355978,-121.908426,"415 stockton ave, san jose, ca 95126, usa","Google Verified Location",NA,"1981-CA-0740"
"Boots & Saddle","(Some W, SM)(Cruisy)","76 Christopher St.","Bars/Clubs,Cruising Areas","(W),(SM),(*)","Greenwich Village","NY",1981,"","76 Christopher St., Greenwich Village, NY",40.7334603,-74.0034034,"76 christopher st, new york, ny 10014, usa","Google Verified Location",NA,"1981-NY-0741"
"Boren Street","(Disco)(Unisex)(Very M) at Virginia","2015 Boren","Bars/Clubs","(M),(D),(YC)","Seattle","WA",1981,"","2015 Boren, Seattle, WA",47.6178422,-122.3348776,"2015 boren ave, seattle, wa 98101, usa","Google Verified Location",NA,"1981-WA-0742"
"Born of Plenty","at Bleeker","91 Charles St.","Restaurant","(PE),(M),(R)","Greenwich Village","NY",1981,"","91 Charles St., Greenwich Village, NY",40.7347572,-74.0052007,"91 charles st, new york, ny 10014, usa","Google Verified Location",NA,"1981-NY-0743"
"Boston Public Library","Basement T-room(Sure suicide)(Massive arrests)","","Cruising Areas","Cruisy Area,(AYOR)","Boston","MA",1981,"",", MA",42.349314,-71.078187,"unclear_coded_by_hand","Verified Location",NA,"1981-MA-0744"
"Boston, Boston","(Disco)(Sunday nites only -9pm -2am*)","15 Lansdown St.","Bars/Clubs","(YC),(D),(*)","Boston","MA",1981,"","15 Lansdown St., Boston, MA",42.3473623,-71.0957386,"15 lansdowne st, boston, ma 02215, usa","Google Verified Location",NA,"1981-MA-0745"
"Botanic Gardens","Trinity Place","","Cruising Areas","Cruisy Area","Ft. Worth","TX",1981,"",", TX",32.740179,-97.363902,"unclear_coded_by_hand","Verified Location",NA,"1981-TX-0746"
"Bottoms Up Lounge","(Some L)(Disco)","1407 1st Ave.","Bars/Clubs","(*),(L),(D),(PT)","Columbus","GA",1981,"","1407 1st Ave., Columbus, GA",32.4726006,-84.9918334,"1407 1st ave, columbus, ga 31901, usa","Google Verified Location",NA,"1981-GA-0747"
"Boulder & Boston","betw. 10th & 14th","","Cruising Areas","Cruisy Area","Tulsa","OK",1981,"",", OK",36.144836,-95.986885,"unclear_coded_by_hand","Verified Location",NA,"1981-OK-0748"
"Boulevard Books","at Smithfield","346 Blvd. of Allies","Book Store","","Pittsburgh","PA",1981,"","346 Blvd. of Allies, PA",40.43768,-80.00021,"unclear_coded_by_hand","Verified Location",NA,"1981-PA-0749"
"Bourbon Pub","(Disco - Dupstairs at the 'Parade')(Game room )(Cruisy)","801 Bourbon St.","Bars/Clubs,Cruising Areas","(YC),(*),(D)","New Orleans","LA",1981,"","801 Bourbon St., New Orleans, LA",29.9596511,-90.0649145,"801 bourbon st, new orleans, la 70116, usa","Google Verified Location",NA,"1981-LA-0750"
"Bourgoyne Guest House","(for info & check in, see 'Washing Well' Laundryteria next door)","839 Bourbon St.","Hotel","(H),(*)","New Orleans","LA",1981,"","839 Bourbon St., New Orleans, LA",29.9602342,-90.0644163,"839 bourbon st, new orleans, la 70116, usa","Google Verified Location",NA,"1981-LA-0751"
"Bowman's 'B.A.' Beach","Sanibel Island","","Cruising Areas","Cruisy Area","Ft. Myers","FL",1981,"",", FL",26.443397,-82.111512,"unclear_coded_by_hand","Verified Location",NA,"1981-FL-0752"
"Boxes","at 83rd","1563 York","Restaurant","(R)","Uptown","NY",1981,"","1563 York, Uptown, NY",40.7739767,-73.9485594,"1563 york ave, new york, ny 10028, usa","Google Verified Location",NA,"1981-NY-0753"
"Boyle Park","","","Cruising Areas","Cruisy Area","Little Rock","AR",1981,"",", AR",34.731298,-92.355545,"unclear_coded_by_hand","Verified Location",NA,"1981-AR-0754"
"Brackenridge Park","Trinity U.","","Cruising Areas","Cruisy Area","San Antonio","TX",1981,"",", TX",29.46181,-98.473758,"unclear_coded_by_hand","Verified Location",NA,"1981-TX-0755"
"Bradford Beach & Drive In","","","Cruising Areas","Cruisy Area","Milwaukee","WI",1981,"",", WI",43.061289,-87.873657,"unclear_coded_by_hand","Verified Location",NA,"1981-WI-0756"
"Bradford Hotel Lounge","","2255 S. 1st St.","Hotel","(M)","Ft. Myers","FL",1981,"","2255 S. 1st St., Ft. Myers, FL",26.6300887,-81.866891,"2255 south st #1st, fort myers, fl 33901, usa","Google Verified Location",NA,"1981-FL-0757"
"Bradley 1322","(Cl. Tues)","1322 Westheimer","Restaurant","(R)","Houston","TX",1981,"","1322 Westheimer, Houston, TX",29.7438921,-95.395448,"1322 westheimer rd, houston, tx 77006, usa","Google Verified Location",NA,"1981-TX-0758"
"Bradley's Corner","(Sun. brunch)","900 Cole","Bars/Clubs","(PT)","San Francisco","CA",1981,"","900 Cole, San Francisco, CA",37.7656683,-122.4497032,"900 cole st, san francisco, ca 94117, usa","Google Verified Location",NA,"1981-CA-0759"
"Brass Door","('Humpy jocks')(Disco)(Cruisy)","722 E. Pike St.","Bars/Clubs,Cruising Areas","(*),(YC),(D)","Seattle","WA",1981,"","722 E. Pike St., Seattle, WA",47.6143248,-122.322344,"722 e pike st, seattle, wa 98122, usa","Google Verified Location",NA,"1981-WA-0760"
"Brass Rail","(Looks promising) at Park","497 Crockett","Bars/Clubs","","Beaumont","TX",1981,"","497 Crockett, Beaumont, TX",30.082614,-94.10059,"497 crockett st, beaumont, tx 77701, usa","Google Verified Location",NA,"1981-TX-0761"
"Brass Rail","(Liquor)(Cruisy)","3796 5th & Robinson","Cruising Areas","(D),(*)","San Diego","CA",1981,"","3796 5th & Robinson, CA",32.74683,-117.160739,"unclear_coded_by_hand","Verified Location",NA,"1981-CA-0762"
"Brass Rail","(Some OC)","422 Hennepin Ave.","Bars/Clubs","(OC),(*)","Minneapolis","MN",1981,"","422 Hennepin Ave., Minneapolis, MN",44.9800829,-93.2725204,"422 hennepin ave, minneapolis, mn 55401, usa","Google Verified Location",NA,"1981-MN-0763"
"Brass Rail Bar","(Open all night)(Best late after others close)","12 S. Mt. Vernon Ave.","Bars/Clubs","(*),(D)","Atlantic City","NJ",1981,"","12 S. Mt. Vernon Ave., Atlantic City, NJ",39.3602778,-74.4310387,"12 s mt vernon ave, atlantic city, nj 08401, usa","Google Verified Location",NA,"1981-NJ-0764"
"Brasserie","(AH*)","515 Alabama","Restaurant,Bars/Clubs","(R),(C),(AH),(*)","Houston","TX",1981,"","515 Alabama, Houston, TX",29.7385686,-95.3860576,"515 alabama st, houston, tx 77006, usa","Google Verified Location",NA,"1981-TX-0765"
"Brasseries Castle Grand","at 12th St.","1600 Folsom","Restaurant,Bars/Clubs","(R),(*)","San Francisco","CA",1981,"","1600 Folsom, San Francisco, CA",37.7708859,-122.4153316,"1600 folsom st, san francisco, ca 94103, usa","Google Verified Location",NA,"1981-CA-0766"
"Brave Bull","(Some L)(Disco)","701 S. 9th St.","Bars/Clubs","(*),(YC),(L),(D)","Modesto","CA",1981,"","701 S. 9th St., Modesto, CA",37.620401,-120.985794,"701 s 9th st, modesto, ca 95351, usa","Google Verified Location",NA,"1981-CA-0767"
"Brazil","(Many L) (Disco)($2.50 min.)  (South Beach - Staten Island)","86 Mills Ave.","Bars/Clubs","(*),(D),(S),(L)","Staten Island","NY",1981,"","86 Mills Ave., Staten Island, NY",40.5950865,-74.0677882,"86 mills ave, staten island, ny 10305, usa","Google Verified Location",NA,"1981-NY-0768"
"Brazil Hotel","","875 Post St.","Hotel","(M)","San Francisco","CA",1981,"","875 Post St., San Francisco, CA",37.7869159,-122.4161589,"875 post st, san francisco, ca 94109, usa","Google Verified Location",NA,"1981-CA-0769"
"Brazos River Bottom","(W & levis)(Cruisy)","2400 Brazos","Bars/Clubs,Cruising Areas","(W),(D),(*)","Houston","TX",1981,"","2400 Brazos, Houston, TX",29.7491452,-95.3777197,"2400 brazos st, houston, tx 77006, usa","Google Verified Location",NA,"1981-TX-0770"
"Breakers Motel","","27 S. Ocean","Hotel","(H)","Daytona Beach","FL",1981,"","27 S. Ocean, Daytona Beach, FL",29.2262302,-81.0069669,"27 s ocean ave, daytona beach, fl 32118, usa","Google Verified Location",NA,"1981-FL-0771"
"Brewery","","1889 Lincoln Ave.","Bars/Clubs","(M),(YC),(Hip)","Ogden","UT",1981,"","1889 Lincoln Ave., Ogden, UT",41.2336095,-111.9764164,"1889 lincoln ave, ogden, ut 84401, usa","Google Verified Location",NA,"1981-UT-0772"
"Brewery","","3144 N. Broadway","Restaurant","(M),(R)","Chicago","IL",1981,"","3144 N. Broadway, Chicago, IL",41.9390051,-87.6446044,"3144 n broadway, chicago, il 60657, usa","Google Verified Location",NA,"1981-IL-0773"
