"title","amenityfeatures","description","streetaddress","type","city","state","unclear_address","notes","Year","full.address","lat","lon","geoAddress","status","ID"
"Gran Hotel El Convento","(*),(GF),(SW)","723-9020/(800) 468-2779","100 Christo St","Accommodations","Old San Juan","PR",NA,"",1997,"100 Christo St ,  Old San Juan ,  PR",18.4659548,-66.1184473,"100 calle del santo cristo, san juan, 00901, puerto rico","Geocoded","1997-PR-0569"
"Most Holy Redeemer Church","","863-6259, 7:30pm & 10am Sun, 5pm Sat (vigil mass), open & affirming Roman Catholic parish","100 Diamond St","Spiritual Groups","San Francisco","CA",NA,"",1997,"100 Diamond St ,  San Francisco ,  CA",37.7605779,-122.437357,"100 diamond st, san francisco, ca 94114, usa","Geocoded","1997-CA-0570"
"Alfresco's","","(at Lincoln) 894-0600, lunch & dinner, Sun brunch, bar from 11am, great patio","100 E 9th","Restaurants & Cafes","Denver","CO",NA,"",1997,"100 E 9th ,  Denver ,  CO",39.7302831,-104.9858458,"100 e 9th ave, denver, co 80203, usa","Geocoded","1997-CO-0571"
"The Frederick Coffee Co. & Cafe","","698-0039, 8am-7pm, til 9pm Fri-Sat, 9am-6pm Sun","100 East St","Restaurants & Cafes","Frederick","MD",NA,"",1997,"100 East St ,  Frederick ,  MD",39.412044,-77.405231,"100 east st, frederick, md 21701, usa","Geocoded","1997-MD-0572"
"Capital Club","(M),(NH),(P),(PC),(WC)","256-6464 5pm-2am","100 Gervais St","Bars","Columbia","SC",NA,"",1997,"100 Gervais St ,  Columbia ,  SC",33.9959743,-81.0504237,"100 gervais st, columbia, sc 29203, usa","Geocoded","1997-SC-0573"
"MCC of Greater Hayward","","(Christ Lutheran Church), 481-9720, 12:30pm Sun","100 Hacienda","Spiritual Groups","San Lorenzo","CA",NA,"",1997,"100 Hacienda ,  San Lorenzo ,  CA",37.6769382,-122.1159182,"100 hacienda ave, san lorenzo, ca 94580, usa","Geocoded","1997-CA-0574"
"Sneakers","(MW),(D)","484-8816 2pm-2am","100 Harrison","Bars","Jamestown","NY",NA,"",1997,"100 Harrison ,  Jamestown ,  NY",42.0936911,-79.2353765,"100 harrison st, jamestown, ny 14701, usa","Geocoded","1997-NY-0575"
"La Royale Lounge & Liquor Store","(*),(MW),(WC),(NH)","784-9311 3pm-3am, courtyard","100 Harrison","Bars","Panama City","FL",NA,"",1997,"100 Harrison ,  Panama City ,  FL",30.1942936,-85.6579362,"100 harrison pl, panama city, fl 32405, usa","Geocoded","1997-FL-0576"
"J. August Cafe","(MW)","545-4646 9am-3pm Tue-Fri, 6pm-11pm Fri-Sat","100 Jersey Ave","Restaurants & Cafes","New Brunswick","NJ",NA,"",1997,"100 Jersey Ave ,  New Brunswick ,  NJ",40.487209,-74.4568711,"100 jersey ave, new brunswick, nj 08901, usa","Geocoded","1997-NJ-0577"
"Java Jones","(MW),(BW),(WC)","#101 9am-3pm, til 10pm th-Sat, clsd Mon, brunch Sun","100 Lafayette Cir","Bars","Lafayette","CA",NA,"",1997,"100 Lafayette Cir ,  Lafayette ,  CA",37.890159,-122.121187,NA,"Geocoded","1997-CA-0578"
"Dignity","","(5th Ave) 362-5334, 7:30pm Sun","100 N Bellfield","Spiritual Groups","Pittsburgh","PA",NA,"",1997,"100 N Bellfield ,  Pittsburgh ,  PA",40.4471603,-79.9517524,"bellefield towers, 100 n bellefield ave, pittsburgh, pa 15213, usa","Geocoded","1997-PA-0579"
"Lutherans Concerned","(WC)","224-3371 7:30pm 3rd Fri","100 N Oxford","Spiritual Groups","Minneapolis","MN",NA,"",1997,"100 N Oxford ,  Minneapolis ,  MN",45.024242,-93.1441739,"oxford st n, roseville, mn 55113, usa","Geocoded","1997-MN-0580"
"Monte Vista Lounge","(GF),(E)","779-6971 10am-1am, cafe from 6am","100 N San Francisco St","Bars","Flagstaff","AZ",NA,"",1997,"100 N San Francisco St ,  Flagstaff ,  AZ",35.1982704,-111.6473011,"100 n san francisco st, flagstaff, az 86001, usa","Geocoded","1997-AZ-0581"
"Hotel Monte Vista","(GF),(F)","779-6971/(800) 545-3068 full bar, cafe, historic lodging circa 1927","100 N San Francisco St","Accommodations","Flagstaff","AZ",NA,"",1997,"100 N San Francisco St ,  Flagstaff ,  AZ",35.1982704,-111.6473011,"100 n san francisco st, flagstaff, az 86001, usa","Geocoded","1997-AZ-0582"
"The Edge","(GF),(D)","839-4331 call for events","100 W Livingston St","Bars","Orlando","FL",NA,"",1997,"100 W Livingston St ,  Orlando ,  FL",28.5469645,-81.3811131,"100 w livingston st, orlando, fl 32801, usa","Geocoded","1997-FL-0583"
"Capitol Hill Guest House","(GF)","547-1050 Victorian rowhouse in historic Capitol Hill district","101 5th St NE","Accommodations","Washington","D.C",NA,"",1997,"101 5th St NE ,  Washington ,  D.C",38.8910788,-76.9992493,"101 5th st ne, washington, dc 20002, usa","Geocoded","1997-D.C-0584"
"Nuts & Bolts Lounge","(M),(E),(K)","(Grove), 620-4000 2pm-4am","101 7th Ave S","Bars","Manhattan","NY",NA,"",1997,"101 7th Ave S ,  Manhattan ,  NY",40.7331487,-74.0028038,"101 7th ave s, new york, ny 10014, usa","Geocoded","1997-NY-0585"
"Fountain Square News","","421-4049, 7:30am-6:30pm","101 E 5th St","Bookstores/Retail Shops","Cincinnati","OH",NA,"",1997,"101 E 5th St ,  Cincinnati ,  OH",39.1011851,-84.5111653,"101 e 5th st, cincinnati, oh 45202, usa","Geocoded","1997-OH-0586"
"Midwest Adult Book Store","","442-6622","101 E Walnut St","Erotica","Columbia","MO",NA,"",1997,"101 E Walnut St ,  Columbia ,  MO",38.9530553,-92.3359533,"101 e walnut st, columbia, mo 65203, usa","Geocoded","1997-MO-0587"
"Tower News","","452-8693","101 Gorham St","Erotica","Lowell","MA",NA,"",1997,"101 Gorham St ,  Lowell ,  MA",42.6404139,-71.3089542,"101 gorham st, lowell, ma 01852, usa","Geocoded","1997-MA-0588"
"Club Cabaret","(MW),(D),(S),(PC),(WC)","322-8103 9pm-3am Th-Sun","101 N Center St","Bars","Hickory","NC",NA,"",1997,"101 N Center St ,  Hickory ,  NC",35.7336125,-81.3381366,"101 n center st, hickory, nc 28601, usa","Geocoded","1997-NC-0589"
"After 8 Club","","752-8157, mtgs, 7pm 2nd Tue, lesbigay/educational support group","101 NW 23rd","Info Lines & Services","Bend","OR",NA,"",1997,"101 NW 23rd ,  Bend ,  OR",44.058442,-121.3112511,"101 nw oregon ave #23rd, bend, or 97701, usa","Geocoded","1997-OR-0590"
"Atlantic City News","","344-9444, 24hrs","101 S Martin Luther King Jr Blvd","Erotica","Atlantic City","NJ",NA,"",1997,"101 S Martin Luther King Jr Blvd ,  Atlantic City ,  NJ",39.3620627,-74.4325251,"101 mlk jr blvd, atlantic city, nj 08401, usa","Geocoded","1997-NJ-0591"
"The Fineline","(GF),(D),(18+)","882-4953 6pm-1am, til 4am Fri-Sat","101 W Drachman","Bars","Tucson","AZ",NA,"",1997,"101 W Drachman ,  Tucson ,  AZ",32.2386972,-110.9745539,"101 w drachman st, tucson, az 85705, usa","Geocoded","1997-AZ-0592"
"St. Paul's United Methodist Church","","448-5154, 10:30am Sun","101 West St","Spiritual Groups","Vacaville","CA",NA,"",1997,"101 West St ,  Vacaville ,  CA",38.3592538,-121.9919007,"101 west st, vacaville, ca 95688, usa","Geocoded","1997-CA-0593"
"Deluxe Travel","(IGTA)","686-700","102 California Ave","Travel/Tour Operators","Reno","NV",NA,"this is how the number appears in the guide",1997,"102 California Ave ,  Reno ,  NV",39.5199205,-119.8116305,"102 california ave, reno, nv 89509, usa","Geocoded","1997-NV-0594"
"Sam's Patio","","","102 Calle San Sebastian","Restaurants & Cafes","Old San Juan","PR",NA,"",1997,"102 Calle San Sebastian ,  Old San Juan ,  PR",18.4671463,-66.1181682,"102 c. de san sebastián, san juan, 00901, puerto rico","Geocoded","1997-PR-0595"
"Blue Ridge Travel","","669-8681/(800) 948-3430, books lesbigay tours & cruises","102 Cherry St","Travel/Tour Operators","Black Mountain","NC",NA,"",1997,"102 Cherry St ,  Black Mountain ,  NC",35.6168835,-82.3209615,"102 cherry st, black mountain, nc 28711, usa","Geocoded","1997-NC-0596"
"Holworthy Place","(GF)","864-7042 full brkfst","102 Holworthy St","Accommodations","Cambridge","MA",NA,"",1997,"102 Holworthy St ,  Cambridge ,  MA",42.3773675,-71.1508271,"102 holworthy st, cambridge, ma 02138, usa","Geocoded","1997-MA-0597"
"Crossroads","(MW),(NH)","725-8156 noon-3am","102 N Cleveland","Bars","Memphis","TN",NA,"",1997,"102 N Cleveland ,  Memphis ,  TN",35.1420463,-90.0157169,"102 n cleveland st, memphis, tn 38104, usa","Geocoded","1997-TN-0598"
"Integrity","","(Calvary Episcopal Church), 525-6602, 3rd Tue 6pm","102 N Second St","Spiritual Groups","Memphis","TN",NA,"",1997,"102 N Second St ,  Memphis ,  TN",35.1472895,-90.050123,"102 n 2nd st, memphis, tn 38103, usa","Geocoded","1997-TN-0599"
"Eastern Standard/Escafe","(MW),(E)","(W. end downtown mall), 295-8668 5pm-midnight, til 2am Th-Sat, clsd Sun-Mon, full bar","102 Old Preston Ave","Restaurants & Cafes","Charlottesville","VA",NA,"",1997,"102 Old Preston Ave ,  Charlottesville ,  VA",38.0312664,-78.4829179,"102 old preston ave, charlottesville, va 22902, usa","Geocoded","1997-VA-0600"
"Fantasy Unlimited","","682-0167","102 Pike St","Erotica","Seattle","WA",NA,"",1997,"102 Pike St ,  Seattle ,  WA",47.6089767,-122.3399455,"102 pike st, seattle, wa 98101, usa","Geocoded","1997-WA-0601"
"Plain Brown Wrapper","","772-9021, 24hrs","102 S 3rd St","Erotica","Grand Forks","ND",NA,"",1997,"102 S 3rd St ,  Grand Forks ,  ND",47.9241187,-97.0290456,"102 s 3rd st, grand forks, nd 58201, usa","Geocoded","1997-ND-0602"
"The Trapp","(MW),(D),(CW),(PC),(WC)","531-8727","102 S 600 W","Bars","Salt Lake City","UT",NA,"",1997,"102 S 600 W ,  Salt Lake City ,  UT",40.7669609,-111.9085365,"102 s 600 w, salt lake city, ut 84101, usa","Geocoded","1997-UT-0603"
"Circa","(*),(WC)","(E. 6th St.), 977-4120 open late","103 2nd Ave","Restaurants & Cafes","Manhattan","NY",NA,"",1997,"103 2nd Ave ,  Manhattan ,  NY",40.727587,-73.9886731,"103 2nd ave, new york, ny 10003, usa","Geocoded","1997-NY-0604"
"Brass Rail","(*),(MW),(D),(F),(PC)","399-1543 3pm-1am","103 27th St","Bars","Ogden","UT",NA,"",1997,"103 27th St ,  Ogden ,  UT",41.2165786,-111.9788799,"103 27th st, ogden, ut 84401, usa","Geocoded","1997-UT-0605"
"Pour House","(M),(D)","891-3980 8pm-2am, til 3am Wed, Fri-Sat","103 155th Pl","Bars","Calumet City","IL",NA,"",1997,"103 155th Pl ,  Calumet City ,  IL",41.612704,-87.527721,"103 155th pl, calumet city, il 60409, usa","Geocoded","1997-IL-0606"
"The Amelia Island Williams House","","277-2383","103 S 9th St","Accommodations","Amelia Island","FL",NA,"",1997,"103 S 9th St ,  Amelia Island ,  FL",30.6691814,-81.4584962,"103 s 9th st, fernandina beach, fl 32034, usa","Geocoded","1997-FL-0607"
"Joy's Books","","397-2907","103 Springbrook Ave","Erotica","Lambertville","NJ",NA,"",1997,"103 Springbrook Ave ,  Lambertville ,  NJ",40.3659394,-74.9429448,"lambertville, nj 08530, usa","Geocoded","1997-NJ-0608"
"Chelsea Station News","","522-6390, 9am-10pm, til 1am Fri-Sat","103 W Jackson Ave","Bars","Knoxville","TN",NA,"",1997,"103 W Jackson Ave ,  Knoxville ,  TN",35.9705299,-83.918743,"103 w jackson ave, knoxville, tn 37902, usa","Geocoded","1997-TN-0609"
"Gabriel's Guestrooms & Apartments","(*),(W),(IGTA)","487-3232/(800) 969-2643","104 Bradford St","Accommodations","Provincetown","MA",NA,"",1997,"104 Bradford St ,  Provincetown ,  MA",42.0515119,-70.1882544,"104 bradford st, provincetown, ma 02657, usa","Geocoded","1997-MA-0610"
"Phoenix Rising","","2nd flr., 229-0522, 10am-5pm, 11am-3pm wknds","104 Main St","Bookstores/Retail Shops","Montpelier","VT",NA,"",1997,"104 Main St ,  Montpelier ,  VT",44.260562,-72.5751701,"104 main st, montpelier, vt 05602, usa","Geocoded","1997-VT-0611"
"Footloose Cafe","(MW),(WC)","722-3430 9am-10pm, til 5pm Sun, some veggie, also full bar","104 S Broadway","Restaurants & Cafes","Denver","CO",NA,"",1997,"104 S Broadway ,  Denver ,  CO",39.7145529,-104.9872842,"104 s broadway, denver, co 80203, usa","Geocoded","1997-CO-0612"
"The Left Bank Bookstall","","383-4700, 10am-8pm Mon-Th, til 9pm Fri-Sat, noon-5pm Sun","104 S Oak Park Ave","Bookstores/Retail Shops","Oak Park","IL",NA,"",1997,"104 S Oak Park Ave ,  Oak Park ,  IL",41.886628,-87.7942891,"104 s oak park ave, oak park, il 60302, usa","Geocoded","1997-IL-0613"
"Sparks","(MW),(D),(A),(E),(WC)","587-8566 10pm-4am","104 W Main St","Bars","Louisville","KY",NA,"",1997,"104 W Main St ,  Louisville ,  KY",38.2557916,-85.7519569,"104 w main st, louisville, ky 40202, usa","Geocoded","1997-KY-0614"
"The Athens Coffeehouse","(WC)","369-8802 9am-midnight, til 2am Th-Sat","105 College Ave","Restaurants & Cafes","Athens","GA",NA,"",1997,"105 College Ave ,  Athens ,  GA",33.9579111,-83.3755714,"105 college ave, athens, ga 30601, usa","Geocoded","1997-GA-0615"
"Battle Mountain B&B","(MW)","429-8687/Fax: 429-4132","105 Country Estates Terrace","Accommodations","Santa Cruz","CA",NA,"",1997,"105 Country Estates Terrace ,  Santa Cruz ,  CA",37.0509891,-122.1571421,"105 country estates terrace, santa cruz, ca 95060, usa","Geocoded","1997-CA-0616"
"Right Corner","(M),(NH),(WC)","228-1285 noon-2:30am","105 E 3rd St","Bars","Dayton","OH",NA,"",1997,"105 E 3rd St ,  Dayton ,  OH",39.760151,-84.189721,"105 e 3rd st, dayton, oh 45402, usa","Geocoded","1997-OH-0617"
"Players Express Vacations","","Ste. 6, 736-7011/(800) 237-7555","105 E Reno Ave","Travel/Tour Operators","Las Vegas","NV",NA,"",1997,"105 E Reno Ave ,  Las Vegas ,  NV",36.0967419,-115.1676804,"105 e reno ave, las vegas, nv 89119, usa","Geocoded","1997-NV-0618"
"Suncatcher B&B","(GF),(SW),(WC)","(800) 835-8012 full brkfst, hot tub, smokefree, kids okay, on 4 acres","105 N Avenida Javelina","Accommodations","Tucson","AZ",NA,"",1997,"105 N Avenida Javelina ,  Tucson ,  AZ",32.2539787,-110.9741769,"tucson, az, usa","Geocoded","1997-AZ-0619"
"Havana","(E)","862-9897 11am-midnight, bar til 2am","105 S Main St","Restaurants & Cafes","New Hope","PA",NA,"",1997,"105 S Main St ,  New Hope ,  PA",40.3609344,-74.950423,"105 s main st, new hope, pa 18938, usa","Geocoded","1997-PA-0620"
"Rascal's","(MW),(NH),(D),(WC)","237-8883 4pm-3am, from noon Sun, full restaurant","105 W Martin Luther King Blvd","Bars","Tampa","FL",NA,"",1997,"105 W Martin Luther King Blvd ,  Tampa ,  FL",27.9817841,-82.4614349,"105 w m.l.k. jr blvd, tampa, fl 33603, usa","Geocoded","1997-FL-0621"
"Romper Room","(GF),(D),(BW)","284-5003 11am-2am","106 1st Ave N","Bars","Seattle","WA",NA,"",1997,"106 1st Ave N ,  Seattle ,  WA",47.6189527,-122.3552164,"106 1st ave n, seattle, wa 98109, usa","Geocoded","1997-WA-0622"
"The Whidbey Inn","(GF)","221-7115 full brkfst","106 1st St","Accommodations","Langley","WA",NA,"",1997,"106 1st St ,  Langley ,  WA",48.0407559,-122.4077469,"106 1st st, langley, wa 98260, usa","Geocoded","1997-WA-0623"
"Copper Rocket","(MW),(F),(BW),(WC)","645-0069 11:30am-2am, from 4pm wknds, micro brews, internet access","106 Lake Ave","Bars","Maitland","FL",NA,"",1997,"106 Lake Ave ,  Maitland ,  FL",28.6179711,-81.3659568,"106 lake ave, maitland, fl 32751, usa","Geocoded","1997-FL-0624"
"The Zephyr","(E),(WC)","678-4848 8am-9pm, from 9am wknds, clsd Mon","106 Main St","Restaurants & Cafes","Kent","OH",NA,"",1997,"106 Main St ,  Kent ,  OH",41.153511,-81.358476,NA,"Geocoded","1997-OH-0625"
"Club Hideaways","","841-4966","106 N Park","Bars","Lawrence","KS",NA,"",1997,"106 N Park ,  Lawrence ,  KS",38.963184,-95.236415,NA,"Geocoded","1997-KS-0626"
"Food for Thought","(WC)","253-5432 10am-6pm, til 8pm Wed-Fri, noon-5pm Sun, progressive bookstore","106 N Pleasant St","Bookstores/Retail Shops","Amherst","MA",NA,"",1997,"106 N Pleasant St ,  Amherst ,  MA",42.3771061,-72.520321,"106 n pleasant st, amherst, ma 01002, usa","Geocoded","1997-MA-0627"
"El Jardin","(M),(NH),(P),(S)","223-7177","106 Navarro","Bars","San Antonio","TX",NA,"",1997,"106 Navarro ,  San Antonio ,  TX",29.4213331,-98.4906795,"106 navarro st, san antonio, tx 78205, usa","Geocoded","1997-TX-0628"
"One-oh-Six Off Broadway","(M),(NH),(OC),(WC)","820-0906 noon-2am","106 Pershing St","Bars","San Antonio","TX",NA,"",1997,"106 Pershing St ,  San Antonio ,  TX",29.4608675,-98.466092,"106 pershing ave, san antonio, tx 78209, usa","Geocoded","1997-TX-0629"
"Community Church (Unitarian Universalist)","","942-2050, 11am Sun","106 Purefoy Rd","Spiritual Groups","Chapel Hill","NC",NA,"",1997,"106 Purefoy Rd ,  Chapel Hill ,  NC",35.8984903,-79.0517649,"106 purefoy rd, chapel hill, nc 27514, usa","Geocoded","1997-NC-0630"
"Katahdin","","774-1740, 5pm-10pm, clsd Sun","106 Spring St","Restaurants & Cafes","Portland","ME",NA,"",1997,"106 Spring St ,  Portland ,  ME",43.6530667,-70.2615172,"106 spring st, portland, me 04101, usa","Geocoded","1997-ME-0631"
"North Bank Tavern","(MW),(F),(BW),(WC)","695-3862 noon-2am","106 W 6th St","Bars","Vancouver","WA",NA,"",1997,"106 W 6th St ,  Tacoma ,  WA",45.625798,-122.672201,"tacoma, wa, usa","Geocoded","1997-WA-0632"
"Route 1 News Agency","","725-9671, 24hrs","106 Washington Blvd","Erotica","Laurel","MD",NA,"",1997,"106 Washington Blvd ,  Laurel ,  MD",39.103655,-76.843839,NA,"Geocoded","1997-MD-0633"
"Manor House Inn","(GF)","288-3759 May-Nov, full brkfst","106 West St","Accommodations","Bar Harbor","ME",NA,"",1997,"106 West St ,  Bar Harbor ,  ME",44.3903644,-68.208795,"106 west st, bar harbor, me 04609, usa","Geocoded","1997-ME-0634"
"The Courtyard","(MW),(D),(F),(E)","545-2714","107 E Front St","Bars","Hattiesburg","MS",NA,"",1997,"107 E Front St ,  Hattiesburg ,  MS",31.3265731,-89.2893525,"107 e front st, hattiesburg, ms 39401, usa","Geocoded","1997-MS-0635"
"Mark III Tap Room","(MW),(D)","282-8273 11am-3am, clsd Sun","107 E Main St","Bars","Muncie","IN",NA,"",1997,"107 E Main St ,  Muncie ,  IN",40.1934037,-85.3861737,"107 e main st, muncie, in 47305, usa","Geocoded","1997-IN-0636"
"Cafe Esperanto","","968-0123, noon-1am, 7pm-midnight Sun, gallery","107 N Main St","Restaurants & Cafes","Rockford","IL",NA,"",1997,"107 N Main St ,  Rockford ,  IL",42.271472,-89.094098,"107 n main st, rockford, il 61101, usa","Geocoded","1997-IL-0637"
"Spektrum","(MW),(D)","868-4279 5pm-3am, patio","107 Swain St","Bars","Fayetteville","NC",NA,"",1997,"107 Swain St ,  Fayetteville ,  NC",35.0866924,-78.9516733,"107 swain st, fayetteville, nc 28303, usa","Geocoded","1997-NC-0638"
"Score","(M),(NH),(D),(MRC-L)","625-7382 10am-2am, 'Beer Bust' Sun","107 W 4th St","Bars","Los Angeles","CA",NA,"",1997,"107 W 4th St ,  Los Angeles ,  CA",34.0486054,-118.2473453,"107 4th st, los angeles, ca 90013, usa","Geocoded","1997-CA-0639"
"Renaissance","(*),(MW),(D),(F),(E)","652-9435 10am-2am, sandwiches served","107 W 6th St","Bars","Wilmington","DE",NA,"",1997,"107 W 6th St ,  Wilmington ,  DE",39.742458,-75.55123,"107 w 6th st, wilmington, de 19801, usa","Geocoded","1997-DE-0640"
"Athena Gallery","(WC)","339-0734 11am-6am, til 8:00pm Fri-Sat, til 4pm Sun","108 E Kirkwood","Bookstores/Retail Shops","Bloomington","IN",NA,"",1997,"108 E Kirkwood ,  Bloomington ,  IN",39.1662945,-86.5330054,"108 e kirkwood ave, bloomington, in 47408, usa","Geocoded","1997-IN-0641"
"Kings","(MW),(D),(PC),(WC)","521-5464 10am-1am","108 S 500 W","Bars","Salt Lake City","UT",NA,"",1997,"108 S 500 W ,  Salt Lake City ,  UT",40.7667997,-111.9057921,"108 s 500 w, salt lake city, ut 84101, usa","Geocoded","1997-UT-0642"
"Chumley's","(*),(M),(WC)","238-4446 4pm-2am, from 6pm Sun","108 W College","Bars","State College","PA",NA,"",1997,"108 W College ,  State College ,  PA",40.7940415,-77.8616729,"108 w college ave, state college, pa 16801, usa","Geocoded","1997-PA-0643"
"RK's Safari Lounge","(*),(M),(D),(WC)","837-9948 9pm-2pm, clsd Sun, patio","108 W Pittsburgh St","Bars","Greensburg","PA",NA,"",1997,"108 W Pittsburgh St ,  Greensburg ,  PA",40.3019096,-79.5459805,"108 w pittsburgh st, greensburg, pa 15601, usa","Geocoded","1997-PA-0644"
"MCC Hickory","","(Unitarian Church), 324-1960, 7pm Sun & Tue","109 11th Ave NW","Spiritual Groups","Hickory","NC",NA,"",1997,"109 11th Ave NW ,  Hickory ,  NC",35.7466646,-81.3397197,"109 11th ave nw, hickory, nc 28601, usa","Geocoded","1997-NC-0645"
"Rochester Spa & Body Club","(PC)","454-1074 24hrs","109 Liberty Pole Wy","Men's Clubs","Rochester","NY",NA,"",1997,"109 Liberty Pole Wy ,  Rochester ,  NY",43.1596544,-77.6040516,"109 liberty pole way, rochester, ny 14604, usa","Geocoded","1997-NY-0646"
"Enigma","(MW),(D),(A),(18+)","832-5040 9pm-3am, clsd Mon-Tue","109 N Olive Ave","Bars","West Palm Beach","FL",NA,"",1997,"109 N Olive Ave ,  West Palm Beach ,  FL",26.7137515,-80.0519631,"109 n olive ave, west palm beach, fl 33401, usa","Geocoded","1997-FL-0647"
"Lesbian/Gay Men of New Brunswick","","(Quaker Meeting House), 247-0515, 8pm 2nd & 4th Tue","109 Nichol Ave","Info Lines & Services","New Brunswick","NJ",NA,"",1997,"109 Nichol Ave ,  New Brunswick ,  NJ",40.4817146,-74.4410942,"109 nichol ave, new brunswick, nj 08901, usa","Geocoded","1997-NJ-0648"
"Dignity/New Brunswick","","(Friends Mtg. House), 254-7942, 7:30pm Fri","109 Nichol Ave","Spiritual Groups","New Brunswick","NJ",NA,"",1997,"109 Nichol Ave ,  New Brunswick ,  NJ",40.4817146,-74.4410942,"109 nichol ave, new brunswick, nj 08901, usa","Geocoded","1997-NJ-0649"
"The Rainbow Road","","872-8448, 10am-10pm, lesbigay retail & video","109 W Grant","Bookstores/Retail Shops","Minneapolis","MN",NA,"",1997,"109 W Grant ,  Minneapolis ,  MN",44.9695632,-93.2800267,"109 w grant st, minneapolis, mn 55403, usa","Geocoded","1997-MN-0650"
"Hot Shotz","(MW),(D),(S),(V)","388-3262 from 9pm, clsd Sun-Mon","110 Catalpa St","Bars","Monroe","LA",NA,"",1997,"110 Catalpa St ,  Monroe ,  LA",32.5027552,-92.1149711,"110 catalpa st, monroe, la 71201, usa","Geocoded","1997-LA-0651"
"Dignity","","627-6488","110 Christopher St","Spiritual Groups","New York City","NY",NA,"",1997,"110 Christopher St ,  New York City ,  NY",40.7331317,-74.0050691,"110 christopher st, new york, ny 10014, usa","Geocoded","1997-NY-0652"
"Scandals","","258-7771, 11am-10pm, from 5pm Fri-Sat, clsd Sun, pizza","110 City Hall Ave","Restaurants & Cafes","Bowden","GA",NA,"",1997,"110 City Hall Ave ,  Bowden ,  GA",33.5380437,-85.2525418,"110 city hall ave, bowdon, ga 30108, usa","Geocoded","1997-GA-0653"
"Fiesta Room","(*),(MW),(D),(S),(WC)","784-9285 8pm-3am","110 Harrison Ave","Bars","Panama City","FL",NA,"",1997,"110 Harrison Ave ,  Panama City ,  FL",30.1537029,-85.6618236,"110 harrison ave, panama city, fl 32401, usa","Geocoded","1997-FL-0654"
"Oasis/California","","522-0222, gay & lesbian ministry of the Episcopal Diocese of California","110 Julian Ave","Spiritual Groups","San Francisco","CA",NA,"",1997,"110 Julian Ave ,  San Francisco ,  CA",37.7659546,-122.4211189,"110 julian ave, san francisco, ca 94103, usa","Geocoded","1997-CA-0655"
"Stella's Kitchen & Bakery","","248-3060, 6am-3pm, bakery til 6pm, clsd Sun","110 N 29th St","Restaurants & Cafes","Billings","MT",NA,"",1997,"110 N 29th St ,  Billings ,  MT",45.7816869,-108.5075994,"110 n 29th st, billings, mt 59101, usa","Geocoded","1997-MT-0656"
"Embers Nightclub","(*),(GF),(D),(S),(WC)","222-3082 11am-2:30am","110 NW Broadway","Bars","Portland","OR",NA,"",1997,"110 NW Broadway ,  Portland ,  OR",45.5239836,-122.6772242,"110 nw broadway, portland, or 97209, usa","Geocoded","1997-OR-0657"
"Redmond Guest House","(MW)","733-4003 seasonal, house rental","110 Redmond St","Accommodations","Jackson","WY",NA,"",1997,"110 Redmond St ,  Jackson ,  WY",43.4783334,-110.7497215,"110 redmond st, jackson, wy 83001, usa","Geocoded","1997-WY-0658"
"Peery Hotel","(*),(GF),(F),(WC)","521-4300","110 W 300 S","Accommodations","Salt Lake City","UT",NA,"",1997,"110 W 300 S ,  Salt Lake City ,  UT",40.763163,-111.89448,"110 w 300 s, salt lake city, ut 84101, usa","Geocoded","1997-UT-0659"
"Downtown On The Landing","(MW),(D)","420-1615 7pm-3am, clsd Sun-Tue","110 W Columbia St","Bars","Fort Wayne","IN",NA,"",1997,"110 W Columbia St ,  Fort Wayne ,  IN",41.0814219,-85.1406844,"110 w columbia st, fort wayne, in 46802, usa","Geocoded","1997-IN-0660"
"Hotel Aspen","(GF),(SW),(WC)","925-3441/(800) 527-7369","110 W Main St","Accommodations","Aspen","CO",NA,"",1997,"110 W Main St ,  Aspen ,  CO",39.1920175,-106.8229415,"110 w main st, aspen, co 81611, usa","Geocoded","1997-CO-0661"
"Noble Manor B&B","(GF)","434-9544 hot tub","110 W Strong St","Info Lines & Services","Pensacola","FL",NA,"",1997,"110 W Strong St ,  Pensacola ,  FL",30.4221557,-87.2198488,"110 w strong st, pensacola, fl 32501, usa","Geocoded","1997-FL-0662"
"P.S.","","823-2937, 10am-6pm, cards & gifts","111 2nd Ave NE","Bookstores/Retail Shops","St. Petersburg","FL",NA,"",1997,"111 2nd Ave NE ,  St. Petersburg ,  FL",27.7745015,-82.6334039,"111 2nd ave ne, st. petersburg, fl 33701, usa","Geocoded","1997-FL-0663"
"Mirror Lounge","(MW),(D),(S),(WC)","387-9797 3pm-2am, from 6pm Sat, clsd Sun","111 3rd St","Bars","Baton Rouge","LA",NA,"",1997,"111 3rd St ,  Baton Rouge ,  LA",30.4476165,-91.1885955,"111 3rd st, baton rouge, la 70801, usa","Geocoded","1997-LA-0664"
"Victor Victoria's","(M),(D),(S),(WC)","244-7256 11am-3am, from noon-3am Sun","111 8th Ave N","Bars","Nashville","TN",NA,"",1997,"111 8th Ave N ,  Nashville ,  TN",36.1585216,-86.7818443,"111 8th ave s, nashville, tn 37203, usa","Geocoded","1997-TN-0665"
"Leather Man","","243-5339","111 Christopher St","Erotica","Manhattan","NY",NA,"",1997,"111 Christopher St ,  Manhattan ,  NY",40.7334188,-74.0052521,"111 christopher st, new york, ny 10014, usa","Geocoded","1997-NY-0666"
