"title","streetaddress","unclear_address","description","city","state","amenityfeatures","type","Year","full.address","lon","lat","geoAddress","status","notes","ID"
"Big Al's","556 Broadway",NA,"391-8510","San Francisco","CA","","Erotica",1993,"556 Broadway ,  San Francisco ,  CA",-122.4065429,37.7980312,"556 broadway, san francisco, ca 94133, usa","Geocoded",NA,"1993-CA-1279"
"Campus Theater","220 Jones St.",NA,"673-3384","San Francisco","CA","","Erotica",1993,"220 Jones St. ,  San Francisco ,  CA",-122.4121941,37.7833863,"220 jones st, san francisco, ca 94102, usa","Geocoded",NA,"1993-CA-1280"
"Circle J Video","369 Ellis St.",NA,"474-6995","San Francisco","CA","","Erotica",1993,"369 Ellis St. ,  San Francisco ,  CA",-122.4122097,37.7846911,"369 ellis st, san francisco, ca 94102, usa","Geocoded",NA,"1993-CA-1281"
"City Books","52 Turk St.",NA,"885-4216","San Francisco","CA","","Erotica",1993,"52 Turk St. ,  San Francisco ,  CA",-122.4100629,37.7835898,"52 turk st, san francisco, ca 94102, usa","Geocoded",NA,"1993-CA-1282"
"Kearny Books & Video","1030 Kearney St.",NA,"391-9246","San Francisco","CA","","Erotica",1993,"1030 Kearney St. ,  San Francisco ,  CA",-122.4052028,37.797669,"1030 kearny st, san francisco, ca 94133, usa","Geocoded",NA,"1993-CA-1283"
"Nob Hill Theater","729 Bush St.",NA,"781-9468","San Francisco","CA","","Erotica",1993,"729 Bush St. ,  San Francisco ,  CA",-122.4092852,37.7897875,"729 bush st, san francisco, ca 94108, usa","Geocoded",NA,"1993-CA-1284"
"Turk St. News","66 Turk St.",NA,"885-2040, 24hrs","San Francisco","CA","","Erotica",1993,"66 Turk St. ,  San Francisco ,  CA",-122.4102983,37.7835248,"66 turk st, san francisco, ca 94102, usa","Geocoded",NA,"1993-CA-1285"
"San Gregorio Beach 1 mile N. of State Beach","","checked","","San Gregorio","CA","Cruisy Area","Cruisy Areas",1993,", CA",-122.403308,37.322999,"unclear_coded_by_hand","Found",NA,"1993-CA-1286"
"Billy DeFrank Lesbian/Gay Community Center & Hotline","175 Stockton Ave.",NA,"293-2429/4525, 6pm-9pm from 3pm Wed, from noon Sat & Sun","San Jose","CA","","Info Lines & Services",1993,"175 Stockton Ave. ,  San Jose ,  CA",-121.9077942,37.3352055,"175 stockton ave, san jose, ca 95126, usa","Geocoded",NA,"1993-CA-1287"
"South Bay Leather/Uniform Group","P.O. Box 2519, Santa Clara 95055","checked","weekly socials, monthly potluck, workshops, monthly newsletter","San Jose","CA","","Info Lines & Services",1993,"P.O. Box 2519, Santa Clara 95055, CA",-121.955236,37.354108,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-CA-1288"
"641 Club","641 Stockton",NA,"998-1144 noon-2am 11am-2am Sat & Sun","San Jose","CA","(MW),(D)","Bars",1993,"641 Stockton ,  San Jose ,  CA",-121.912387,37.3394141,"641 stockton ave, san jose, ca 95126, usa","Geocoded",NA,"1993-CA-1289"
"Buck's","301 Stockton Ave.",NA,"286-1176 noon-2am","San Jose","CA","(MW),(D),(NH),(AH)","Bars",1993,"301 Stockton Ave. ,  San Jose ,  CA",-121.9060498,37.333927,"301 stockton ave, san jose, ca 95126, usa","Geocoded",NA,"1993-CA-1290"
"Club St. John","170 W. St. John St.",NA,"947-1667 11:30am-2am, 5pm-2am Sat, piano bar, lunch & Sun brunch","San Jose","CA","(*),(D),(E),(F),(S),(V)","Bars",1993,"170 W. St. John St. ,  San Jose ,  CA",-121.8944596,37.3366501,"170 w st john st, san jose, ca 95110, usa","Geocoded",NA,"1993-CA-1291"
"Mac's Club","349 S. 1st St.",NA,"998-9535 10am-2am","San Jose","CA","(NH)","Bars",1993,"349 S. 1st St. ,  San Jose ,  CA",-121.8868343,37.3305373,"349 s 1st st, san jose, ca 95113, usa","Geocoded",NA,"1993-CA-1292"
"Renegades","393 Stockton",NA,"275-9902 11am-2am, patio","San Jose","CA","(L),(LV),(NH)","Bars",1993,"393 Stockton ,  San Jose ,  CA",-121.9079536,37.3344548,"393 stockton ave, san jose, ca 95126, usa","Geocoded",NA,"1993-CA-1293"
"Selections","1984 Oakland Rd.",NA,"428-0329 4pm-2am, 'Men's Night' Th","San Jose","CA","(W),(D)","Bars",1993,"1984 Oakland Rd. ,  San Jose ,  CA",-121.9002394,37.3912697,"1984 old oakland rd, san jose, ca 95131, usa","Geocoded",NA,"1993-CA-1294"
"El Faro","674 N. 13th St.",NA,"294-7468 Mexican cuisine, lunch & dinner, champagne brunch 10am-3pm Sun","San Jose","CA","(MX)","Restaurants & Cafes",1993,"674 N. 13th St. ,  San Jose ,  CA",-121.8871455,37.3544973,"674 n 13th st, san jose, ca 95112, usa","Geocoded",NA,"1993-CA-1295"
"Pasquale's Restaurant","476 S. 1st St.",NA,"286-1770 fresh pastas, homemade breads & pastries","San Jose","CA","(MX)","Restaurants & Cafes",1993,"476 S. 1st St. ,  San Jose ,  CA",-121.8850113,37.3291295,"476 s 1st st, san jose, ca 95113, usa","Geocoded",NA,"1993-CA-1296"
"Watergarden","1010 The Alameda",NA,"275-1215 24hrs","San Jose","CA","(PC)","Gyms/Health Clubs",1993,"1010 The Alameda ,  San Jose ,  CA",-121.9094864,37.3312376,"1010 the alameda, san jose, ca 95126, usa","Geocoded",NA,"1993-CA-1297"
"Yankee Clipper Travel","260 Saratoga Ave., Los Gatos",NA,"354-6400 contact Jim","San Jose","CA","(IGTA)","Travel/Tour Operators",1993,"260 Saratoga Ave., Los Gatos ,  San Jose ,  CA",-121.9654178,37.3288243,"260 saratoga ave, santa clara, ca 95050, usa","Geocoded",NA,"1993-CA-1298"
"Hosanna Church of Praise","24 N. 5th St.",NA,"293-2437, 3pm Sun","San Jose","CA","","Religious Organizations",1993,"24 N. 5th St. ,  San Jose ,  CA",-121.8861896,37.3386053,"24 n 5th st, san jose, ca 95112, usa","Geocoded",NA,"1993-CA-1299"
"MCC San Jose","10th & E. San Fernando St.","checked","(Grace Baptist Church) 279-2711, 6:30pm Sun","San Jose","CA","","Religious Organizations",1993,"10th & E. San Fernando St., CA",-121.879029,37.338896,"unclear_coded_by_hand","Found",NA,"1993-CA-1300"
"Our Paper","973 Park Ave.",NA,"286-2670 bi-weekly","San Jose","CA","","Publications",1993,"973 Park Ave. ,  San Jose ,  CA",-121.9079749,37.3263543,"973 park ave, san jose, ca 95126, usa","Geocoded",NA,"1993-CA-1301"
"Borderline","36 N. Saratoga Ave.",NA,"241-2177","San Jose","CA","","Erotica",1993,"36 N. Saratoga Ave. ,  San Jose ,  CA",-121.9697508,37.3238697,"36 saratoga ave, santa clara, ca 95051, usa","Geocoded",NA,"1993-CA-1302"
"L'Amour Shoppe","447 S. 1st St.",NA,"298-2173","San Jose","CA","","Erotica",1993,"447 S. 1st St. ,  San Jose ,  CA",-121.885773,37.329151,"447 s 1st st, san jose, ca 95113, usa","Geocoded",NA,"1993-CA-1303"
"Leather Masters","969 Park Ave., 95126",NA,"293-7660, newsletter available","San Jose","CA","","Erotica",1993,"969 Park Ave., 95126 ,  San Jose ,  CA",-121.9080324,37.3263294,"969 park ave, san jose, ca 95126, usa","Geocoded",NA,"1993-CA-1304"
"Alum Rock Park","","checked","(AYOR)","San Jose","CA","Cruisy Area,(AYOR)","Cruisy Areas",1993,", CA",-121.801812,37.396039,"unclear_coded_by_hand","Found",NA,"1993-CA-1305"
"St. James Square","","checked","(Late)","San Jose","CA","Cruisy Area","Cruisy Areas",1993,", CA",-121.891469,37.338702,"unclear_coded_by_hand","Found",NA,"1993-CA-1306"
"Bill's Eagle","16024 E. 14th St.",NA,"276-5540/9783 noon-2am. from 10am (summers), after hours Fri & Sat","San Leandro","CA","(MW),(LV),(NH),(AH)","Bars",1993,"16024 E. 14th St. ,  San Leandro ,  CA",-122.1184584,37.6984727,"san leandro, ca 94578 united states, 16024 e 14th st,, 16024 e 14th st, san leandro, ca 94578, usa","Geocoded",NA,"1993-CA-1307"
"Maranatha MCC","100 Hacienda",NA,"(Christ Lutheran Church) 481-9720, 6pm Sun","San Lorenzo","CA","","Religious Organizations",1993,"100 Hacienda ,  San Lorenzo ,  CA",-122.1159182,37.6769382,"100 hacienda ave, san lorenzo, ca 94580, usa","Geocoded",NA,"1993-CA-1308"
"Cal Poly Men's Gym","","checked","(AYOR)","San Luis Obispo","CA","Cruisy Area,(AYOR)","Cruisy Areas",1993,", CA",-120.662494,35.305005,"unclear_coded_by_hand","Found",NA,"1993-CA-1309"
"Diamond Cove, W. of Pirates Cove & down a cliff","","checked","","San Luis Obispo","CA","Cruisy Area","Cruisy Areas",1993,", CA",-120.716813,35.174193,"unclear_coded_by_hand","Found",NA,"1993-CA-1310"
"Laguna Lake Park","","checked","(Late) (AYOR)","San Luis Obispo","CA","Cruisy Area,(AYOR)","Cruisy Areas",1993,", CA",-120.681721,35.269934,"unclear_coded_by_hand","Found",NA,"1993-CA-1311"
"Pirates Cove Beach, left turn off Avila","","checked","","San Luis Obispo","CA","Cruisy Area,(N)","Cruisy Areas",1993,", CA",-120.715886,35.175962,"unclear_coded_by_hand","Found",NA,"1993-CA-1312"
"Pismo Dunes, Grand Ave. to beach","","checked","","San Luis Obispo","CA","Cruisy Area","Cruisy Areas",1993,", CA",-120.659616,35.282752,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-CA-1313"
"B Street","236 S. 'B' St.",NA,"348-4045 4pm-2am, 3 flrs","San Mateo","CA","(*),(MW),(D),(E),(V),(S)","Bars",1993,"236 S. 'B' St. ,  San Mateo ,  CA",-122.3231079,37.5657665,"236 s b st, san mateo, ca 94401, usa","Geocoded",NA,"1993-CA-1314"
"Coyote Point, off US 101 btwn. San Mateo & Burlingame","","checked","(beach & parking lot)","San Mateo","CA","Cruisy Area","Cruisy Areas",1993,", CA",-122.319101,37.587268,"unclear_coded_by_hand","Found",NA,"1993-CA-1315"
"Vista Point at 92 and I-280","","checked","","San Mateo","CA","Cruisy Area","Cruisy Areas",1993,", CA",-122.339888,37.506764,"unclear_coded_by_hand","Found",NA,"1993-CA-1316"
"Golden Gate Video","1968 Rumrill",NA,"620-9639","San Pablo","CA","","Erotica",1993,"1968 Rumrill ,  San Pablo ,  CA",-122.3559776,37.9615084,"1968 rumrill blvd, san pablo, ca 94806, usa","Geocoded",NA,"1993-CA-1317"
"MCC of the Redwoods","110 Magnolia Ave. Larkspur",NA,"6pm Sun","San Rafael","CA","","Religious Organizations",1993,"110 Magnolia Ave. Larkspur ,  San Rafael ,  CA",-122.5111167,37.9815041,"110 magnolia ave, san rafael, ca 94901, usa","Geocoded",NA,"1993-CA-1318"
"Christ Chapel MCC","720 N. Spurgeon",NA,"835-0722, 10am Sun","Santa Ana","CA","","Religious Organizations",1993,"720 N. Spurgeon ,  Santa Ana ,  CA",-117.8658404,33.7513062,"720 n spurgeon st, santa ana, ca 92701, usa","Geocoded",NA,"1993-CA-1319"
"Gay/Lesbian Resource Center","126 E. Haley St. A-17",NA,"963-3636, 10am-4pm Mon-Fri, social, educational & support services","Santa Barbara","CA","","Info Lines & Services",1993,"126 E. Haley St. A-17 ,  Santa Barbara ,  CA",-119.6933308,34.4182398,"126 e haley st a 17, santa barbara, ca 93101, usa","Geocoded",NA,"1993-CA-1320"
"Glenborough Inn","1327 Bath St.",NA,"966-0589 11 units, full brkfst in bed, non-smoking, year round","Santa Barbara","CA","(MX)","Accommodations",1993,"1327 Bath St. ,  Santa Barbara ,  CA",-119.7102603,34.4216228,"1327 bath st, santa barbara, ca 93101, usa","Geocoded",NA,"1993-CA-1321"
"Gold Coast","30 W. Cota",NA,"965-6701 4pm-2am","Santa Barbara","CA","(*),(D)","Bars",1993,"30 W. Cota ,  Santa Barbara ,  CA",-119.6977695,34.4170867,"30 w cota st, santa barbara, ca 93101, usa","Geocoded",NA,"1993-CA-1322"
"Pub","224 Helena",NA,"962-3911 4pm-2am, 2pm-2am Sat & Sun, piano bar","Santa Barbara","CA","(*),(MW),(D),(E)","Bars",1993,"224 Helena ,  Santa Barbara ,  CA",-119.6917626,34.4152102,"224 helena ave, santa barbara, ca 93101, usa","Geocoded",NA,"1993-CA-1323"
"Choice Books & Music","913 De La Vina St.",NA,"965-5477 lesbian/gay 11am-6pm, clsd Mon","Santa Barbara","CA","","Bookstores/Retail Shops",1993,"913 De La Vina St. ,  Santa Barbara ,  CA",-119.7034945,34.4186594,"913 de la vina st, santa barbara, ca 93101, usa","Geocoded",NA,"1993-CA-1324"
"Earthling Bookshop","1137 State St.",NA,"965-0926, 9am-11pm, from 9:30am Sat & Sun","Santa Barbara","CA","","Bookstores/Retail Shops",1993,"1137 State St. ,  Santa Barbara ,  CA",-119.7043973,34.4231086,"1137 state st, santa barbara, ca 93101, usa","Geocoded",NA,"1993-CA-1325"
"Fairy Bears Share","","checked","569-1615","Santa Barbara","CA","","Men's Services",1993,", CA",-119.69819,34.420831,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-CA-1326"
"MCC Santa Barbara","","checked","569-1615","Santa Barbara","CA","","Religious Organizations",1993,", CA",-119.69819,34.420831,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-CA-1327"
"For Adults Only","223 Anacapa",NA,"963-9922, 24hrs","Santa Barbara","CA","","Erotica",1993,"223 Anacapa ,  Santa Barbara ,  CA",-119.6914032,34.4154483,"223 anacapa st, santa barbara, ca 93101, usa","Geocoded",NA,"1993-CA-1328"
"Alameda Park","","checked","(Late) (AYOR)","Santa Barbara","CA","Cruisy Area,(AYOR)","Cruisy Areas",1993,", CA",-119.705983,34.428288,"unclear_coded_by_hand","Found",NA,"1993-CA-1329"
"Cabrillo Beach, E. of Wharf","","checked","","Santa Barbara","CA","Cruisy Area","Cruisy Areas",1993,", CA",-118.283293,33.71101,"unclear_coded_by_hand","Found",NA,"1993-CA-1330"
"East Beach","","checked","","Santa Barbara","CA","Cruisy Area,(N)","Cruisy Areas",1993,", CA",-119.676353,34.415256,"unclear_coded_by_hand","Found",NA,"1993-CA-1331"
"Padero Lane Beach","","checked","(Summer) (AYOR)","Santa Barbara","CA","Cruisy Area,(AYOR)","Cruisy Areas",1993,", CA",-119.567803,34.41613,"unclear_coded_by_hand","Found",NA,"1993-CA-1332"
"Stevens Park","","checked","","Santa Barbara","CA","Cruisy Area","Cruisy Areas",1993,", CA",-119.734382,34.448007,"unclear_coded_by_hand","Found",NA,"1993-CA-1333"
"U.C.S.B. - Phelps Hall (3rd flr.) & Arts Bldg. (1st flr.)","","checked","(AYOR)","Santa Barbara","CA","Cruisy Area,(AYOR)","Cruisy Areas",1993,", CA",-119.848947,34.413963,"unclear_coded_by_hand","Found",NA,"1993-CA-1334"
"Tinker's Damn (TD)","46 N. Saratoga",NA,"243-4595 3pm-2am, 1pm-2am Sat & Sun","Santa Clara","CA","(*),(D),(YC)","Bars",1993,"46 N. Saratoga ,  Santa Clara ,  CA",-121.9867192,37.2966114,"saratoga ave, california, usa","Geocoded",NA,"1993-CA-1335"
"Borderline","36 N. Saratoga Ave.",NA,"241-2177","Santa Clara","CA","","Erotica",1993,"36 N. Saratoga Ave. ,  Santa Clara ,  CA",-121.9697508,37.3238697,"36 saratoga ave, santa clara, ca 95051, usa","Geocoded",NA,"1993-CA-1336"
"L'Amour Shoppe","2329 El Camino Real",NA,"296-7076, 24hrs","Santa Clara","CA","","Erotica",1993,"2329 El Camino Real ,  Santa Clara ,  CA",-121.9656923,37.3527317,"2329 el camino real, santa clara, ca 95050, usa","Geocoded",NA,"1993-CA-1337"
"AA Gay/Lesbian","","checked","457-2559 (AA#)","Santa Cruz","CA","","Info Lines & Services",1993,", CA",-122.030796,36.974117,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-CA-1338"
"Lesbian/Gay Community Center","P.O. Box 8280, 95061-8280","checked","write for more info","Santa Cruz","CA","","Info Lines & Services",1993,"P.O. Box 8280, 95061-8280, CA",-122.030796,36.974117,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-CA-1339"
"Blue Lagoon","923 Pacific Ave.",NA,"423-7117 4pm-2am","Santa Cruz","CA","(*),(MW),(D),(V),(S)","Bars",1993,"923 Pacific Ave. ,  Santa Cruz ,  CA",-122.0253637,36.9706084,"923 pacific ave, santa cruz, ca 95060, usa","Geocoded",NA,"1993-CA-1340"
"China Sechuan","221 Cathcart",NA,"423-1178 weekend lunch & dinners popular","Santa Cruz","CA","(MX)","Restaurants & Cafes",1993,"221 Cathcart ,  Santa Cruz ,  CA",-122.0307963,36.9741171,"santa cruz, ca, usa","Geocoded",NA,"1993-CA-1341"
"Book Loft","1207 Soquel Ave.",NA,"429-1812 mostly used books, 10am-10pm, noon-6pm Sun","Santa Cruz","CA","","Bookstores/Retail Shops",1993,"1207 Soquel Ave. ,  Santa Cruz ,  CA",-122.0103521,36.9800454,"1207 soquel ave, santa cruz, ca 95062, usa","Geocoded",NA,"1993-CA-1342"
"Bookshop Santa Cruz","1547 Pacific Garden Mall",NA,"423-0900, 9am-10pm, til 11pm Fri & Sat, 10am-6pm Sun","Santa Cruz","CA","","Bookstores/Retail Shops",1993,"1547 Pacific Garden Mall ,  Santa Cruz ,  CA",-122.0254021,36.9759004,"1424-1498 pacific ave, santa cruz, ca 95060, usa","Geocoded",NA,"1993-CA-1343"
"Chimney Sweep Books","419 Cedar St.",NA,"458-1044 mostly used books, 11am-6pm, noon-4pm Sun","Santa Cruz","CA","","Bookstores/Retail Shops",1993,"419 Cedar St. ,  Santa Cruz ,  CA",-122.0268513,36.9706706,"419 cedar st, santa cruz, ca 95060, usa","Geocoded",NA,"1993-CA-1344"
"Beer Can Beach","","checked","","Santa Cruz","CA","Cruisy Area","Cruisy Areas",1993,", CA",-121.882944,36.952162,"unclear_coded_by_hand","Found",NA,"1993-CA-1345"
"Bonney Doon Beach, 8 mi. N. on Hwy 1.","","checked","","Santa Cruz","CA","Cruisy Area","Cruisy Areas",1993,", CA",-122.181635,36.999672,"unclear_coded_by_hand","Found",NA,"1993-CA-1346"
"Frederick St. Park","","checked","","Santa Cruz","CA","Cruisy Area","Cruisy Areas",1993,", CA",-122.001677,36.972044,"unclear_coded_by_hand","Found",NA,"1993-CA-1347"
"Santa Cruz Mall, nr. St. George Hotel","","checked","(Hustlers)","Santa Cruz","CA","Cruisy Area,(H)","Cruisy Areas",1993,", CA",-122.027051,36.975761,"unclear_coded_by_hand","Found",NA,"1993-CA-1348"
"Book Adventure","306 S. Blosser Rd.",NA,"928-7094","Santa Maria","CA","","Erotica",1993,"306 S. Blosser Rd. ,  Santa Maria ,  CA",-120.4534597,34.950482,"306 s blosser rd, santa maria, ca 93458, usa","Geocoded",NA,"1993-CA-1349"
"Waller Park","","checked","","Santa Maria","CA","Cruisy Area","Cruisy Areas",1993,", CA",-120.44022,34.903665,"unclear_coded_by_hand","Found",NA,"1993-CA-1350"
"Hotline Santa Rosa","","checked","544-4357, 6pm-midnight","Santa Rosa","CA","","Info Lines & Services",1993,", CA",-122.714055,38.440429,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-CA-1351"
"Santa Rosa Inn","4302 Santa Rosa Ave.",NA,"584-0345 noon-2am, piano bar 5pm-8pm Fri","Santa Rosa","CA","(*),(MW),(D),(E)","Bars",1993,"4302 Santa Rosa Ave. ,  Santa Rosa ,  CA",-122.712358,38.3735645,"4302 santa rosa ave, santa rosa, ca 95407, usa","Geocoded",NA,"1993-CA-1352"
"Sawyer's News","733 4th St.",NA,"542-1311, 7am-9pm, til 10pm Fri & Sat","Santa Rosa","CA","","Bookstores/Retail Shops",1993,"733 4th St. ,  Santa Rosa ,  CA",-122.7114976,38.4418897,"733 4th st, santa rosa, ca 95404, usa","Geocoded",NA,"1993-CA-1353"
"Santa Rosa Travel","542 Farmers Lane",NA,"542-0943","Santa Rosa","CA","(IGTA)","Travel/Tour Operators",1993,"542 Farmers Lane ,  Santa Rosa ,  CA",-122.6877957,38.445469,"542 farmers ln, santa rosa, ca 95405, usa","Geocoded",NA,"1993-CA-1354"
"Santa Rosa Travel","6598 Stonebridge Rd.",NA,"539-5440","Santa Rosa","CA","(IGTA)","Travel/Tour Operators",1993,"6598 Stonebridge Rd. ,  Santa Rosa ,  CA",-122.6058372,38.4426657,"6598 stone bridge rd, santa rosa, ca 95409, usa","Geocoded",NA,"1993-CA-1355"
"Sun Quest","1208 4th St.",NA,"573-8300/(800)444-8300 year round gay cruises & tours","Santa Rosa","CA","(IGTA)","Travel/Tour Operators",1993,"1208 4th St. ,  Santa Rosa ,  CA",-122.7029689,38.4458574,"1208 4th st, santa rosa, ca 95404, usa","Geocoded",NA,"1993-CA-1356"
"MCC Santa Rosa","3632 Airway Dr.",NA,"526-4673, 11:30am Sun","Santa Rosa","CA","","Religious Organizations",1993,"3632 Airway Dr. ,  Santa Rosa ,  CA",-122.7378835,38.4786466,"3632 airway dr, santa rosa, ca 95403, usa","Geocoded",NA,"1993-CA-1357"
"We The People","","checked","P.O. Box 2204, 95405 573-8896","Santa Rosa","CA","","Publications",1993,", CA",-122.714055,38.440429,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-CA-1358"
"Santa Rosa Adult Books","3301 Santa Rosa Ave.",NA,"542-8248","Santa Rosa","CA","","Erotica",1993,"3301 Santa Rosa Ave. ,  Santa Rosa ,  CA",-122.713858,38.3971078,"3301 santa rosa ave, santa rosa, ca 95407, usa","Geocoded",NA,"1993-CA-1359"
"F St. Bookstore","4650 Border Village Rd.",NA,"497-6042, 24hrs","San Ysidro","CA","","Erotica",1993,"4650 Border Village Rd. ,  San Ysidro ,  CA",-117.0346754,32.5478224,"4650 border village rd, san ysidro, ca 92173, usa","Geocoded",NA,"1993-CA-1360"
"Bill Jones Houseboat","B-61 Issaquah Dock","checked","332-2270 B&B, year round, largest floating house on SF Bay","Sausalito","CA","(IGTA)","Accommodations",1993,"B-61 Issaquah Dock, CA",-122.501802,37.874813,"unclear_coded_by_hand","Found",NA,"1993-CA-1361"
"Black Sand Beach, off Lookout Rd.","","checked","","Sausalito","CA","Cruisy Area","Cruisy Areas",1993,", CA",-122.50869,37.82433,"unclear_coded_by_hand","Found",NA,"1993-CA-1362"
"Arroyo Seco Park","","checked","","South Pasadena","CA","Cruisy Area","Cruisy Areas",1993,", CA",-118.178145,34.110648,"unclear_coded_by_hand","Found",NA,"1993-CA-1363"
"Paradise","10100 N. Lower Sacramento Rd.",NA,"477-4724 6pm-2am, from 4pm Fri/Sat & from 3pm Sun","Stockton","CA","(*),(MW),(E),(S),(D),(YC)","Bars",1993,"10100 N. Lower Sacramento Rd. ,  Stockton ,  CA",-121.322671,38.0354815,"10100 n lower sacramento rd, stockton, ca 95210, usa","Geocoded",NA,"1993-CA-1364"
"Delta Harvest MCC","2737 Pacific Ave.",NA,"(1st Unitarian) 477-1440, 6:30pm Sun","Stockton","CA","","Religious Organizations",1993,"2737 Pacific Ave. ,  Stockton ,  CA",-121.303448,37.9751284,"2737 pacific ave, stockton, ca 95204, usa","Geocoded",NA,"1993-CA-1365"
"Adult Books","332 N. California",NA,"941-8607","Stockton","CA","","Erotica",1993,"332 N. California ,  Stockton ,  CA",-121.2854202,37.9572869,"332 n california st, stockton, ca 95202, usa","Geocoded",NA,"1993-CA-1366"
"Fremont Park, opposite Post Office","","checked","","Stockton","CA","Cruisy Area","Cruisy Areas",1993,", CA",-121.287705,37.957721,"unclear_coded_by_hand","Found",NA,"1993-CA-1367"
"Oak Park","","checked","(EXTREME RISK)","Stockton","CA","Cruisy Area","Cruisy Areas",1993,", CA",-121.293016,37.983382,"unclear_coded_by_hand","Found",NA,"1993-CA-1368"
"Friends of Common Interest","","checked","P.O. Box 1240, 92593-1240 699-9977, social group, 8:30pm Wed & 7:30pm 2nd Tues (dinner), call for locations","Temecula","CA","","Info Lines & Services",1993,", CA",-117.148816,33.493424,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-CA-1369"
"Jimmy's Coffeehouse","27544 Ynez Rd. Ste. Q-1",NA,"695-2608 7am-11pm, 'literary night' Mon","Temecula","CA","(MX),(E)","Restaurants & Cafes",1993,"27544 Ynez Rd. Ste. Q-1 ,  Temecula ,  CA",-117.1472016,33.5067488,"27544 ynez rd q 1, temecula, ca 92591, usa","Geocoded",NA,"1993-CA-1370"
"Alondra Park, nr. Crenshaw & Redondo Beach Blvd.","","checked","","Torrance","CA","Cruisy Area","Cruisy Areas",1993,", CA",-118.339682,33.882816,"unclear_coded_by_hand","Found",NA,"1993-CA-1371"
"'Rest Stop' on Fwy. 99, 2 mi. S. of Tulare","","checked","(evenings)","Tulare","CA","Cruisy Area","Cruisy Areas",1993,", CA",-119.347338,36.207729,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-CA-1372"
"'Rest Stop' 2 mi. S. of Turlock on Fwy. 99","","checked","","Turlock","CA","Cruisy Area","Cruisy Areas",1993,", CA",-120.845979,37.494574,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-CA-1373"
"Club 711","711 S. State St.",NA,"462-7111 6am-2am","Ukiah","CA","(MX)","Bars",1993,"711 S. State St. ,  Ukiah ,  CA",-123.2062396,39.1429005,"711 s state st, ukiah, ca 95482, usa","Geocoded",NA,"1993-CA-1374"
"Sunset Grill","228 E. Perkins St.",NA,"462-7111 clsd Tues","Ukiah","CA","(MX),(D),(F)","Bars",1993,"228 E. Perkins St. ,  Ukiah ,  CA",-123.2055328,39.1505611,"228 e perkins st, ukiah, ca 95482, usa","Geocoded",NA,"1993-CA-1375"
"Billy Club, The","211 W Standley St","checked","462-2115 social group P.O. Box 381, 95482","Ukiah","CA","","Men's Services",1993,"211 W Standley St, CA",-123.209269,39.150219,"unclear_coded_by_hand","Found",NA,"1993-CA-1376"
"Seductions","2200 N. State St.",NA,"462-1519","Ukiah","CA","","Erotica",1993,"2200 N. State St. ,  Ukiah ,  CA",-123.2102485,39.1800106,"2200 n state st, ukiah, ca 95482, usa","Geocoded",NA,"1993-CA-1377"
"Jensen's Truck Stop, Lovers Ln.","","checked","(nights) (AYOR)","Ukiah","CA","Cruisy Area,(AYOR)","Cruisy Areas",1993,", CA",-123.220691,39.17199,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-CA-1378"
"Lake Mendocino at the overlook, up the trails","","checked","(days only)","Ukiah","CA","Cruisy Area","Cruisy Areas",1993,", CA",-123.183196,39.204341,"unclear_coded_by_hand","Found",NA,"1993-CA-1379"
"Mustang Books","961 N. Central",NA,"981-0227","Upland","CA","","Erotica",1993,"961 N. Central ,  Upland ,  CA",-117.6897751,34.1059464,"961 n central ave, upland, ca 91786, usa","Geocoded",NA,"1993-CA-1380"
"Toy Box, The","1999 W. Arrow Rte.",NA,"982-9407, 24hrs","Upland","CA","","Erotica",1993,"1999 W. Arrow Rte. ,  Upland ,  CA",-117.6904625,34.0999587,"1999 w arrow route, upland, ca 91786, usa","Geocoded",NA,"1993-CA-1381"
"Solano County Gay/Lesbian Info Line","","checked","448-1010/449-0550 (at Vacaville Book Co. evenings only)","Vacaville","CA","","Info Lines & Services",1993,", CA",-121.989332,38.356917,"unclear_coded_by_hand","Found",NA,"1993-CA-1382"
"Vacaville Book Co.","315 Main St.",NA,"449-0550, 10am-9pm, til 10pm Fri & Sat, 1pm-5pm Sun","Vacaville","CA","","Bookstores/Retail Shops",1993,"315 Main St. ,  Vacaville ,  CA",-121.9893318,38.3569274,"315 main st, vacaville, ca 95688, usa","Geocoded",NA,"1993-CA-1383"
"Solano Lambda Men's Association","","checked","(at Vacaville Book Co.) 7-9pm, 2nd & 4th Tues","Vacaville","CA","","Men's Services",1993,", CA",-121.989332,38.356917,"unclear_coded_by_hand","Found",NA,"1993-CA-1384"
