ID,title,description,streetaddress,type,amenityfeatures,city,state,Year,unclearaddress,uncleartype,notes,lastmodified,full.address,lat,lon,geoAddress,status
4321,Coleman's Park,,,Cruising Areas,"Cruisy Area,(AYOR)",Lebanon,PA,1983,checked,NA,,6/4/2022 8:06am,", PA",40.350593,-76.44091,unclear_coded_by_hand,Verified Location
3728,Collage,(Disco) (Jackson Heights),63-12 Broadway,Bars/Clubs,(D),Queens,NY,1983,,,,12/5/2021 11:02am,"63-12 Broadway, Queens, NY",40.7496289,-73.8988583,"63-12 broadway, woodside, ny 11377, usa",Google Verified Location
5005,Colley Cafe,"(Open 7 days, 24 hours)(Liquid)",1316 Colley Ave.,Restaurant,,Norfolk,VA,1983,,,,12/5/2021 11:02am,"1316 Colley Ave., Norfolk, VA",36.8669617,-76.2982549,"1316 colley ave, norfolk, va 23517, usa",Google Verified Location
5006,Colley Deli,(Open 24 hrs.),1202 Colley Ave.,Restaurant,"(M),(R)",Norfolk,VA,1983,,,,12/5/2021 11:02am,"1202 Colley Ave., Norfolk, VA",36.8658231,-76.2988952,"1202 colley ave, norfolk, va 23517, usa",Google Verified Location
3295,Colony Club Baths,(Open all year),500 Summerfield Ave .,Bathhouses,"(*),(P)",Asbury Park,NJ,1983,,,,12/5/2021 11:02am,"500 Summerfield Ave ., Asbury Park, NJ",40.2172517,-74.0090064,"500 summerfield ave, asbury park, nj 07712, usa",Google Verified Location
4141,Colorado's Tavern,(Cruisy neighborhood bar)(Beer only — cl. midnight) (WE*) at 32nd St.,3201 N. May,"Bars/Clubs,Cruising Areas","(PT),(WE),(*)",Oklahoma City,OK,1983,,,,12/10/2021 4:37pm,"3201 N. May, Oklahoma City, OK",35.5024919,-97.5659217,"3201 n may ave, oklahoma city, ok 73112, usa",Google Verified Location
4256,Columbia Park,T-Room,,Cruising Areas,"Cruisy Area,(AYOR)",Portland,OR,1983,checked,NA,,6/3/2022 4:23pm,", OR",45.579181,-122.711133,unclear_coded_by_hand,Verified Location
5078,Columbus Tavern,,167 S. Washington,Bars/Clubs,"(M),(RT),(OC)",Seattle,WA,1983,,,,12/5/2021 11:02am,"167 S. Washington, Seattle, WA",47.6007072,-122.3319634,"167 s washington st, seattle, wa 98104, usa",Google Verified Location
377,Comanche,(Disco) (WE*),5211 N. Atlantic,Bars/Clubs,"(D),(PT),(WE),(*)",Long Beach,CA,1983,,,,12/10/2021 4:22pm,"5211 N. Atlantic, Long Beach, CA",33.8417243,-118.1839899,"5211 n atlantic pl, long beach, ca 90807, usa",Google Verified Location
4774,Come Along Inn,,515 S. Jennings,Bars/Clubs,(L),Ft. Worth,TX,1983,,,,12/5/2021 11:02am,"515 S. Jennings, Ft. Worth, TX",32.7387252,-97.3296944,"515 s jennings ave, fort worth, tx 76104, usa",Google Verified Location
3077,Coming Out,(C.O.A.D)(Disco) (at Lakeland) (After Dark),2912 Old Canton Rd.,Bars/Clubs,"(*),(D)",Jackson,MS,1983,,,,2/2/2022 11:04am,"2912 Old Canton Rd., Jackson, MS",32.334231,-90.173744,"2912 old canton rd, jackson, ms 39216, usa",Google Verified Location
3893,Commerce PL,betw. Green & Eugene,Friendly Ave.,Cruising Areas,Cruisy Area,Greensboro,NC,1983,checked,NA,,6/2/2022 12:36pm,"Friendly Ave., NC",36.074157,-79.792452,unclear_coded_by_hand,Verified Location
4695,Commerce St. News,,1513 Commerce St.,Book Store,(M),Dallas,TX,1983,,,,1/7/2022 9:30am,"1513 Commerce St., Dallas, TX",32.7805577,-96.7983071,"1513 commerce st, dallas, tx 75201, usa",Google Verified Location
3480,Common Ground,(Disco),132 W. State St.,Bars/Clubs,"(*),(YC),(D),(E)",Ithaca,NY,1983,,,,12/5/2021 11:02am,"132 W. State St., Ithaca, NY",42.439728,-76.5003289,"132 w state st, ithaca, ny 14850, usa",Google Verified Location
3715,Community Book Stores,(Brooklyn Heights),162 Montague St.,Book Store,,Brooklyn,NY,1983,,,,12/5/2021 11:02am,"162 Montague St., Brooklyn, NY",40.6941905,-73.9928049,"162 montague st, brooklyn, ny 11201, usa",Google Verified Location
3716,Community Book Stores,,143 7th Ave.,Book Store,,Brooklyn,NY,1983,,,,12/5/2021 11:02am,"143 7th Ave., Brooklyn, NY",40.6726651,-73.9764258,"143 7th ave, brooklyn, ny 11215, usa",Google Verified Location
3211,Community of Grace Church,(402) 475-0880,,Religious Institution,,Lincoln,NE,1983,checked,NA,,5/25/2022 9:01am,", NE",40.813616,-96.702595,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
3624,Company,at 27th St.,365 3rd Ave.,Restaurant,"(R),(*)",Midtown,NY,1983,,,,12/5/2021 11:02am,"365 3rd Ave., Midtown, NY",40.7408562,-73.9811951,"365 3rd ave, new york, ny 10016, usa",Google Verified Location
434,Compass,(Publication) (213) 874-4838,"P.O. Box 1586, Hollywood, CA 90028",Publication,,Hollywood,CA,1983,checked,NA,,2/20/2022 7:30am,"P.O. Box 1586, Hollywood, CA 90028, CA",34.092809,-118.328661,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
968,Compound,,11th & Folsom,Bars/Clubs,(SM),San Francisco,CA,1983,checked,NA,,3/8/2022 4:52am,"11th & Folsom, CA",37.77493,-122.419415,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
3047,Concordia College Library,,,Cruising Areas,Cruisy Area,Moorhead,MN,1983,checked,NA,,5/23/2022 10:48am,", MN",46.864666,-96.770094,unclear_coded_by_hand,Verified Location
1884,Conference Room,,567 Ponce de Leon,Bars/Clubs,,Atlanta,GA,1983,,,,12/5/2021 11:01am,"567 Ponce de Leon, Atlanta, GA",33.773142,-84.3684698,"567 ponce de leon ave ne, atlanta, ga 30308, usa",Google Verified Location
3748,Congress,(Open 'til 4am),411 Main,"Restaurant,Bars/Clubs","(D),(R),(*)",Poughkeepsie,NY,1983,,,,12/5/2021 11:02am,"411 Main, Poughkeepsie, NY",41.702157,-73.9229181,"411 main st, poughkeepsie, ny 12601, usa",Google Verified Location
177,Congress,,311 E. Congress,Bars/Clubs,"(M),(OC),(RT)",Tuscon,AZ,1983,,,,12/5/2021 11:00am,"311 E. Congress, Tuscon, AZ",32.222337,-110.9668233,"311 e congress st, tucson, az 85701, usa",Google Verified Location
108,Connection,"(Cruisy) (Some W, SM, FFA) (Leather boutique)",4211 N. 7th St.,"Bars/Clubs,Cruising Areas","(*),(W),(SM),(FFA)",Phoenix,AZ,1983,,,,12/10/2021 12:35pm,"4211 N. 7th St., Phoenix, AZ",33.4969979,-112.0648,"4211 n 7th st, phoenix, az 85014, usa",Google Verified Location
4580,Connection,(WE*)(Disco)(Some L)(Game room),Sevier & Walnut,Bars/Clubs,"(WE),(D),(L),(*)",Johnson City,TN,1983,checked,NA,,6/6/2022 10:17am,"Sevier & Walnut, TN",36.311316,-82.355409,unclear_coded_by_hand,Verified Location
3310,Connie's News,(Books),1118 Atlantic Ave.,Book Store,,Atlantic City,NJ,1983,,,,12/5/2021 11:02am,"1118 Atlantic Ave., Atlantic City, NJ",39.3631412,-74.4250599,"1118 atlantic ave, atlantic city, nj 08401, usa",Google Verified Location
969,Connie's Why Not,(Creole R),878 Valencia,Restaurant,(R),San Francisco,CA,1983,,,,12/5/2021 11:00am,"878 Valencia, San Francisco, CA",37.7588835,-122.4216627,"878 valencia st, san francisco, ca 94110, usa",Google Verified Location
1621,Connoiseur Book Store,,2120 Hollywood Blvd.,Book Store,,Hollywood,FL,1983,,,,12/5/2021 11:00am,"2120 Hollywood Blvd., Hollywood, FL",26.0111035,-80.150076,"2120 hollywood blvd, hollywood, fl 33020, usa",Google Verified Location
59,Consolidated Mine Co.,"Holiday Inn, (Disco)",3170 Victory Dr.,"Hotel,Bars/Clubs","(M),(D)",Phenix City,AL,1983,,,,12/5/2021 11:00am,"3170 Victory Dr., Phenix City, AL",32.4335408,-84.9567596,"3170 victory dr, columbus, ga 31903, usa",Google Verified Location
1377,Constitution Plaza,,,Cruising Areas,Cruisy Area,Hartford,CT,1983,checked,NA,,3/12/2022 7:23am,", CT",41.766818,-72.67035,unclear_coded_by_hand,Verified Location
3790,Continental,(RT)('drags'),149 E. Onandaga,Bars/Clubs,(RT),Syracuse,NY,1983,,,,12/5/2021 11:02am,"149 E. Onandaga, Syracuse, NY",43.0451161,-76.1518064,"149 e onondaga st, syracuse, ny 13202, usa",Google Verified Location
5007,Continental,(Some RT),111 W. Tazewell,Bars/Clubs,"(D),(RT),(B)",Norfolk,VA,1983,,,,12/5/2021 11:02am,"111 W. Tazewell, Norfolk, VA",36.8492514,-76.2914909,"111 w tazewell st, norfolk, va 23510, usa",Google Verified Location
3516,Continental Bacall's,(Disco)(Sat. nights only*) at 13th St.,59 5th Ave.,Bars/Clubs,"(L),(D),(*)",Greenwich Village & Chelsea,NY,1983,,,,12/10/2021 4:43pm,"59 5th Ave., Greenwich Village & Chelsea, NY",40.7350091,-73.993907,"59 5th ave, new york, ny 10003, usa",Google Verified Location
3281,Continental Club,(Some L),76 W. Central St.,Bars/Clubs,"(P),(YC),(L),(D),(*)",Manchester,NH,1983,,,,12/5/2021 11:02am,"76 W. Central St., Manchester, NH",42.9879977,-71.4665017,"w central st, manchester, nh 03101, usa",Google Verified Location
5079,Continental Club Baths,(Newest & largest-accommodates 300),1520 Summit Ave.,Bathhouses,(*),Seattle,WA,1983,,,,12/5/2021 11:02am,"1520 Summit Ave., Seattle, WA",47.6148032,-122.3252329,"1520 summit ave, seattle, wa 98122, usa",Google Verified Location
4219,Continental Club Baths of Portland,(Baths for men)(Health club - gym),531 S.W. Park Ave.,Bathhouses,"(*),(YC),(P)",Portland,OR,1983,,,,12/5/2021 11:02am,"531 S.W. Park Ave., Portland, OR",45.5204919,-122.6802848,"531 sw park ave, portland, or 97205, usa",Google Verified Location
789,Continental Motel,(Swim pool) (W. Sacramento),1432 W. Capitol Ave.,Hotel,"(H),(*)",Sacramento,CA,1983,,,,12/5/2021 11:00am,"1432 W. Capitol Ave., Sacramento, CA",38.5814816,-121.5276176,"1432 w capitol ave, west sacramento, ca 95691, usa",Google Verified Location
435,Continental Roadhouse,1123 Vine St.,1123 Vine St.,Restaurant,"(M),(R)",Hollywood,CA,1983,,,,12/5/2021 11:00am,"1123 Vine St., Hollywood, CA",34.0913296,-118.3270632,"1123 vine st, los angeles, ca 90038, usa",Google Verified Location
2187,Continental West,(Disco),1620 Plainfield Rd.,Bars/Clubs,"(*),(YC),(D)",Joliet,IL,1983,,,,12/5/2021 11:01am,"1620 Plainfield Rd., Joliet, IL",41.5527476,-88.1230565,"1620 plainfield rd, crest hill, il 60435, usa",Google Verified Location
5282,Conwell Park,(Summers),,Cruising Areas,Cruisy Area,Casper,WY,1983,checked,NA,,6/13/2022 4:13pm,", WY",42.849432,-106.308105,unclear_coded_by_hand,Verified Location
1941,Cooper Creek park,T-Rooms,,Cruising Areas,Cruisy Area,Columbus,GA,1983,checked,NA,,4/12/2022 4:57am,", GA",32.514366,-84.911717,unclear_coded_by_hand,Verified Location
1228,Cooper House,Pacific Garden Mall,,Cruising Areas,Cruisy Area,Santa Cruz,CA,1983,checked,NA,,3/4/2022 3:42am,", CA",36.9759,-122.025402,unclear_coded_by_hand,Verified Location
3330,Cooper River Park,,,Cruising Areas,Cruisy Area,Camden,NJ,1983,checked,NA,,5/26/2022 8:07am,", NJ",39.924673,-75.059563,unclear_coded_by_hand,Verified Location
1539,Copa,(Disco)(Liquor)(Open until 3 am) at US 1,624 S.E 28th St,Bars/Clubs,"(*),(YC),(D)",Ft. Launderdale,FL,1983,,,,12/5/2021 11:00am,"624 S.E 28th St, Ft. Launderdale, FL",26.0890872,-80.1362969,"624 se 28th st, fort lauderdale, fl 33316, usa",Google Verified Location
4814,Copa,(Disco)(Many L),2631 Richmond,Bars/Clubs,"(*),(YC),(D),(L)",Houston,TX,1983,,,,12/5/2021 11:02am,"2631 Richmond, Houston, TX",29.7337982,-95.418992,"2631 richmond ave., houston, tx 77098, usa",Google Verified Location
4672,Copa,(Disco)(Some L) at Liberty,304 Orleans,Bars/Clubs,"(*),(YC),(D),(S),(L)",Beaumont,TX,1983,,,,12/5/2021 11:02am,"304 Orleans, Beaumont, TX",30.083857,-94.1007489,"304 orleans st, beaumont, tx 77701, usa",Google Verified Location
3333,Copa East,(Disco)(Looks promising),733 Highland Ave.,Bars/Clubs,(D),Deptford,NJ,1983,,,,12/5/2021 11:02am,"733 Highland Ave., Deptford, NJ",39.8236025,-75.1405372,"733 highland rd, deptford, nj 08096, usa",Google Verified Location
378,Copper Penny,,615 E. Ocean Blvd.,Restaurant,"(M),(R),(C),(AH),(RT)",Long Beach,CA,1983,,,,12/5/2021 11:00am,"615 E. Ocean Blvd., Long Beach, CA",33.7666436,-118.1846501,"615 e ocean blvd, long beach, ca 90802, usa",Google Verified Location
743,Copper Shield,El Camino Real & Roosevelt,,Restaurant,"(M),(R),(C),(AH)",Redwood City,CA,1983,checked,NA,Found address on this matchcover: https://www.ebay.com/itm/Vintage-Matchcover-Copper-Shield-Restaurant-Menlo-House-Redwood-City-CA-16-/133592924646?_ul=IN,2/23/2022 2:02pm,", CA",37.479094,-122.224993,unclear_coded_by_hand,Verified Location
3490,Copperas Pond,"Trail starts 5 mi. N.E. of jct. Rts, 86 & 73, off (Eastside) 'B.A.' woods & ponds",Hwy. 86,Cruising Areas,"(*),Cruisy Area",Lake Placid,NY,1983,checked,NA,,5/31/2022 2:30pm,"Hwy. 86, NY",44.330029,-73.899103,unclear_coded_by_hand,Verified Location
1508,Coqunia Beach,,,Cruising Areas,Cruisy Area,Bradenton,FL,1983,checked,NA,,3/31/2022 7:31am,", FL",27.448333,-82.692163,unclear_coded_by_hand,Verified Location
658,Coral Reef,San Pablo,,Bars/Clubs,(B),Oakland,CA,1983,checked,NA,,2/20/2022 9:13am,", CA",37.804351,-122.271164,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
436,Coral Sands Hollywood,"(Sauna, pool, etc.)",1730 N. Western Ave.,Hotel,"(*),(H)",Hollywood,CA,1983,,,,12/5/2021 11:00am,"1730 N. Western Ave., Hollywood, CA",34.1028707,-118.3086773,"1730 n western ave, los angeles, ca 90027, usa",Google Verified Location
348,Corned Beef Corner,(Deli) (Beer & wine),1105 S. Coast Hwy.,Restaurant,(M),Laguna Beach,CA,1983,,,,12/5/2021 11:00am,"1105 S. Coast Hwy., Laguna Beach, CA",33.5339904,-117.7771266,"1105 s coast hwy, laguna beach, ca 92651, usa",Google Verified Location
3482,Cornell U.,(T-Rooms) (Olin Library),,Cruising Areas,Cruisy Area,Ithaca,NY,1983,checked,NA,,5/31/2022 2:14pm,", NY",42.446592,-76.485676,unclear_coded_by_hand,Verified Location
3481,Cornell U.,(1st floor & downstairs) (Willard Straight Hall),,Cruising Areas,Cruisy Area,Ithaca,NY,1983,checked,NA,,5/31/2022 2:14pm,", NY",42.446592,-76.485676,unclear_coded_by_hand,Verified Location
970,Corner,at Market & Noe,3600 16th,Restaurant,"(M),(R)",San Francisco,CA,1983,,,,12/5/2021 11:00am,"3600 16th, San Francisco, CA",37.7643405,-122.4335631,"3600 16th st, san francisco, ca 94114, usa",Google Verified Location
3430,Cornucopia,"(Gifts, cards etc.)",569 Deleware Ave.,Business,,Buffalo,NY,1983,,,,12/5/2021 11:02am,"569 Deleware Ave., Buffalo, NY",42.8997067,-78.8736344,"569 delaware ave, buffalo, ny 14202, usa",Google Verified Location
5055,Cornwall Park,,,Cruising Areas,Cruisy Area,Bellingham,WA,1983,checked,NA,,6/9/2022 12:44pm,", WA",48.776543,-122.484679,unclear_coded_by_hand,Verified Location
4349,Corral,(Downstairs at the 247),,Bars/Clubs,"(SM),(*)",Philadelphia,PA,1983,checked,NA,,6/4/2022 8:28am,", PA",39.948422,-75.16929,unclear_coded_by_hand,Verified Location
4775,Corral,,621 Hemphill,Bars/Clubs,"(W),(PT)",Ft. Worth,TX,1983,,,,12/5/2021 11:02am,"621 Hemphill, Ft. Worth, TX",32.7375589,-97.331635,"621 hemphill st, fort worth, tx 76104, usa",Google Verified Location
2483,Corral,(Above Lafitte's),901 Bourbon St.,Bars/Clubs,"(W),(PT),(*)",New Orleans,LA,1983,,,,12/5/2021 11:01am,"901 Bourbon St., New Orleans, LA",29.9604081,-90.0642121,"901 bourbon st, new orleans, la 70116, usa",Google Verified Location
42,Corral,,54 S. Conception,Bars/Clubs,"(C&W),(D),(*)",Mobile,AL,1983,,,,12/5/2021 11:00am,"54 S. Conception, Mobile, AL",30.6903954,-88.0426607,"54 s conception st, mobile, al 36602, usa",Google Verified Location
4167,Corral Club,,714 N. Sheridan,Bars/Clubs,(L),Tulsa,OK,1983,,,,12/5/2021 11:02am,"714 N. Sheridan, Tulsa, OK",36.1655426,-95.9048997,"714 n sheridan rd, tulsa, ok 74115, usa",Google Verified Location
601,Corral Club Baths,,3747 Cahuenga,Bathhouses,"(P),(YC),(*)",North Hollywood,CA,1983,,,,12/10/2021 8:40am,"3747 Cahuenga, North Hollywood, CA",34.1357555,-118.3623763,"3747 cahuenga blvd, los angeles, ca 90068, usa",Google Verified Location
4966,Cosmic Aeroplane,"(Books, etc.)",258 E. 1st South,Book Store,,Salt Lake City,UT,1983,,,,12/5/2021 11:02am,"258 E. 1st South, Salt Lake City, UT",40.7703259,-111.8817975,"258 e 1st ave, salt lake city, ut 84103, usa",Google Verified Location
3240,Cosmo's Underground,at 1st,32 E. Fremont,Restaurant,"(M),(R)",Las Vegas,NV,1983,,,,12/10/2021 12:26pm,"32 E. Fremont, Las Vegas, NV",36.1713865,-115.1453293,"32 e fremont st, las vegas, nv 89101, usa",Google Verified Location
2724,Cosmopolitan Cafe,,511 Market St.,"Bars/Clubs,Restaurant",(M),Lowell,MA,1983,,,,12/5/2021 11:01am,"511 Market St., Lowell, MA",42.6467625,-71.3171485,"511 market st, lowell, ma 01854, usa",Google Verified Location
3104,Cosmopolitan Park,,,Cruising Areas,"Cruisy Area,(AYOR)",Columbia,MO,1983,checked,NA,,6/13/2022 4:23pm,", MO",38.951705,-92.334072 ,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2769,Cottage,(Breakfast & lunch),149 Commercial St.,Restaurant,"(M),(R),(*)",Provincetown,MA,1983,,,,12/5/2021 11:01am,"149 Commercial St., Provincetown, MA",42.0464077,-70.1909526,"historic district, 149 commercial st, provincetown, ma 02657, usa",Google Verified Location
349,Cottage,,308 N. Coast Hwy.,Restaurant,"(M),(R)",Laguna Beach,CA,1983,,,,12/5/2021 11:00am,"308 N. Coast Hwy., Laguna Beach, CA",33.5441869,-117.7884141,"308 n coast hwy, laguna beach, ca 92651, usa",Google Verified Location
2830,Country Club,(Disco)(Swim pool)(WE*)(Rte. 139),44 Mazeo Drive,Bars/Clubs,"(P),(D),(E),(WE),(*)",Randolph,MA,1983,,,,12/10/2021 4:42pm,"44 Mazeo Drive, Randolph, MA",42.1628367,-71.0585517,"44 mazzeo dr, randolph, ma 02368, usa",Google Verified Location
2484,Country Club,(Bar & R)(D)(Swim pool)(WE*),634 Louisa St.,"Restaurant,Bars/Clubs","(R),(D),(P),(WE),(*)",New Orleans,LA,1983,,,,12/10/2021 4:47pm,"634 Louisa St., New Orleans, LA",29.9629644,-90.044044,"634 louisa st, new orleans, la 70117, usa",Google Verified Location
3143,Country Club Plaza,,,Cruising Areas,Cruisy Area,Kansas City,MO,1983,checked,NA,,6/13/2022 5:05pm,", MO",39.041969,-94.592609,unclear_coded_by_hand,Verified Location
760,Country Grounds,,13882 Hwy. 116,Restaurant,(R),Guerneville,CA,1983,,,,12/5/2021 11:00am,"13882 Hwy. 116, Guerneville, CA",38.499436,-122.9937042,"13882 ca-116, guerneville, ca 95446, usa",Google Verified Location
4327,Country Host,(Diner) 1 1/2 i mi. W.,U.S. 202,Restaurant,"(M),(R)",New Hope,PA,1983,checked,NA,,6/4/2022 8:16am,"U.S. 202, PA",40.364273,-74.951278,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
659,Countryard Cafe,,3766 Piedmont Ave.,Restaurant,"(M),(R)",Oakland,CA,1983,,,,12/5/2021 11:00am,"3766 Piedmont Ave., Oakland, CA",37.8233825,-122.2561056,"3766 piedmont ave, oakland, ca 94611, usa",Google Verified Location
2880,County Park,T-Room - 5 mi. N .,Old U.S. 27,Cruising Areas,Cruisy Area,Clare,MI,1983,checked,NA,,5/20/2022 3:22pm,"Old U.S. 27, MI",43.81947,-84.768628,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2557,Court House,T-Room,,Cruising Areas,"Cruisy Area,(AYOR)",Shreveport,LA,1983,checked,NA,Caddo Courthouse on Texas Street: https://www.shreveport-bossier.org/listing/caddo-parish-courthouse/1682/,5/18/2022 10:16am,", LA",32.514239,-93.747761,unclear_coded_by_hand,Verified Location
2987,Court House Block,,,Cruising Areas,Cruisy Area,Pontiac,MI,1983,checked,NA,,5/23/2022 7:51am,", MI",42.655621,-83.326739,unclear_coded_by_hand,Verified Location
2287,Court House Square,T-Rooms,,Cruising Areas,Cruisy Area,Lafayette,IN,1983,checked,NA,Found on Google search,4/30/2022 7:37pm,", IN",40.418677,-86.89347,unclear_coded_by_hand,Verified Location
4458,Court House Square,,,Cruising Areas,Cruisy Area,Scranton,PA,1983,checked,NA,,6/6/2022 7:40am,", PA",41.233112,-80.493403,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
4579,Court House Square,,,Cruising Areas,Cruisy Area,Jackson,TN,1983,checked,NA,,6/6/2022 10:16am,", TN",35.613877,-88.81886,unclear_coded_by_hand,Verified Location
2346,Court House Square,,,Cruising Areas,Cruisy Area,Marshalltown,IA,1983,checked,NA,,5/2/2022 4:49am,", IA",42.04847,-92.912082,unclear_coded_by_hand,Verified Location
4065,Court Square,,,Cruising Areas,Cruisy Area,Coshocton,OH,1983,checked,NA,,6/2/2022 3:29pm,", OH",40.274331,-81.865926,unclear_coded_by_hand,Verified Location
3903,Court St.,Downtown,Court St.,Cruising Areas,Cruisy Area,Jacksonville,NC,1983,checked,NA,,6/2/2022 12:44pm,"Court St., NC",34.748081,-77.431852,unclear_coded_by_hand,Verified Location
3825,Court St. & Post Rd.,,,Cruising Areas,Cruisy Area,White Plains,NY,1983,checked,NA,,6/1/2022 2:03pm,", NY",41.028572,-73.766184,unclear_coded_by_hand,Verified Location
2332,Court St. News,(Books & cruisy arcade),319 Court St.,"Book Store,Cruising Areas",,Des Moines,IA,1983,,,,12/5/2021 11:01am,"319 Court St., Des Moines, IA",41.586835,-93.624959,"319 court st, burlington, ia 52601, usa",Location could not be verified. General city or location coordinates used.
2770,Courtyard,,183 Commercial St.,Restaurant,"(M),(R)",Provincetown,MA,1983,,,,12/5/2021 11:01am,"183 Commercial St., Provincetown, MA",42.048198,-70.189072,"historic district, 183 commercial st, provincetown, ma 02657, usa",Google Verified Location
1407,Cove Island Beach,,,Cruising Areas,Cruisy Area,Stamford,CT,1983,checked,NA,,3/14/2022 4:47am,", CT",41.04695,-73.505113,unclear_coded_by_hand,Verified Location
5289,Cowboy Bar,On the Square,,Bars/Clubs,"(M),(PT)",Jackson,WY,1983,checked,NA,,6/13/2022 4:15pm,", WY",43.479956,-110.761779,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
3681,Cowboys & Cowgirls,at 80th,1422 3rd Ave.,Bars/Clubs,"(*),(PT)",Uptown,NY,1983,,,,12/5/2021 11:02am,"1422 3rd Ave., Uptown, NY",40.775491,-73.956809,"1422 3rd ave, new york, ny 10028, usa",Google Verified Location
305,Coyote Hills Regional Park,,,Cruising Areas,Cruisy Area,Fremont,CA,1983,checked,NA,,3/4/2022 4:21am,", CA",37.556629,-122.09406,unclear_coded_by_hand,Verified Location
745,Coyote Pt.,Beach & parking lot off US 101 betw. San Mateo & Burlingame,,Cruising Areas,Cruisy Area,Redwood City,CA,1983,checked,NA,,2/23/2022 2:05pm,", CA",37.587268,-122.319101,unclear_coded_by_hand,Verified Location
2050,Crab Orchard Lake,,,Cruising Areas,Cruisy Area,Carbondale,IL,1983,checked,NA,,4/14/2022 4:50am,", IL",37.729264,-89.115309,unclear_coded_by_hand,Verified Location
4696,Crackers,,2612 McKinney,Restaurant,(R),Dallas,TX,1983,,,,12/5/2021 11:02am,"2612 McKinney, Dallas, TX",32.7969043,-96.8013561,"2612 mckinney ave, dallas, tx 75204, usa",Google Verified Location
2721,Crane's Beach,1/2 mi. to the right,,Cruising Areas,Cruisy Area,Ipswich,MA,1983,checked,NA,,5/19/2022 12:42pm,", MA",42.685461,-70.756247,unclear_coded_by_hand,Verified Location
1850,Crane's Nest,(Some L)(Occ. 5)(Looks promising),5004 S. Dixie Hwy.,Bars/Clubs,"(L),(PT)",West Palm Beach,FL,1983,,,,12/5/2021 11:01am,"5004 S. Dixie Hwy., West Palm Beach, FL",26.6679641,-80.0550584,"5004 s dixie hwy, west palm beach, fl 33405, usa",Google Verified Location
1242,Crankshaft,"Hwy 101 S. to Wilfred Ave/Golf Course Dr. exit, L at stop sign 1/8 mi.",5079 S. Santa Rose Ave,Bars/Clubs,"(W),(SM)",Santa Rosa,CA,1983,,,,12/5/2021 11:00am,"5079 S. Santa Rose Ave, Santa Rosa, CA",38.373061,-122.7134316,"5079 santa rosa ave, santa rosa, ca 95407, usa",Google Verified Location
4165,Crash Landing,"(M, YC)(WE*)(Disco)",506 S. Lewis,Bars/Clubs,"(M),(YC),(WE),(D),(*)",Tulsa,OK,1983,,,,12/10/2021 4:37pm,"506 S. Lewis, Tulsa, OK",36.1534805,-95.9581791,"506 s lewis ave, tulsa, ok 74104, usa",Google Verified Location
4620,Crazy Cowboy,"(W, YC)(Cruisy)(Beer)",2311 Franklin Rd.,"Bars/Clubs,Cruising Areas","(*),(W),(YC),(SM),(PT)",Nashville,TN,1983,,,,12/10/2021 3:08am,"2311 Franklin Rd., Nashville, TN",36.1274086,-86.7778382,"2311 franklin pike, nashville, tn 37204, usa",Google Verified Location
3967,Crazy Ladies Bookstore,,4168 Hamilton Ave.,Book Store,,Cincinnati,OH,1983,,,,12/5/2021 11:02am,"4168 Hamilton Ave., Cincinnati, OH",39.1627111,-84.5396578,"4168 hamilton ave, cincinnati, oh 45223, usa",Google Verified Location
1885,Crazy Ray's,(Sun. brunch)(Ansley Suqare),1492-B Piedmont,"Restaurant,Bars/Clubs",(*),Atlanta,GA,1983,,,,12/5/2021 11:01am,"1492-B Piedmont, Atlanta, GA",33.8021855,-84.370409,"1492 piedmont way ne b, atlanta, ga 30324, usa",Google Verified Location
5233,Cream City Business Assn.,,"P.O. Box 92396, Milwaukee, WI 53202",Organization,,Milwaukee,WI,1983,checked,NA,,6/13/2022 3:15pm,"P.O. Box 92396, Milwaukee, WI 53202, WI",43.038903,-87.906474,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2327,Credit Island Park,best by car days (AYOR nights),,Cruising Areas,"Cruisy Area,(AYOR)",Davenport,IA,1983,checked,NA,,5/2/2022 4:39am,", IA",41.493904,-90.615846,unclear_coded_by_hand,Verified Location
761,Creekside Resort,,16180 Neeley Road,Hotel,(H),Guerneville,CA,1983,,,,12/5/2021 11:00am,"16180 Neeley Road, Guerneville, CA",38.498639,-122.9952335,"16180 neeley rd, guerneville, ca 95446, usa",Google Verified Location
5080,Crescent Tavern,,1413 E. Olive Way,Bars/Clubs,"(D),(PT)",Seattle,WA,1983,,,,12/5/2021 11:02am,"1413 E. Olive Way, Seattle, WA",47.6174453,-122.3263031,"1413 e olive way, seattle, wa 98122, usa",Google Verified Location
4899,Crew,(Downtown types),309 W. Market,Bars/Clubs,(*),San Antonio,TX,1983,,,,12/5/2021 11:02am,"309 W. Market, San Antonio, TX",29.4235181,-98.4895557,"309 w market st, san antonio, tx 78205, usa",Google Verified Location
