"title","status","description","streetaddress","city","Year","state","amenityfeatures","type","notes","unclear_address","full.address","lon","lat","geoAddress"
"Daughters of Bilitis","General City Coordinates Used","P.O. Box 3237 Hollywood 90027
","","Los Angeles ",1974,"CA","""(G) - Girls, but seldom exclusively""","Organizations","",NA,NA,NA,NA,NA
"Broadway Pier","Found","","Broadway Pier","San Diego ",1974,"CA","Cruisy Areas","Cruising Areas","",NA,NA,NA,NA,NA
"'Muscle Beach'","Found","","","Santa Monica",1974,"CA","Cruisy Areas","Cruising Areas","",NA,NA,NA,NA,NA
"Echo Park","Found","","Echo Park","Los Angeles ",1974,"CA","Cruisy Areas","Cruising Areas","",NA,NA,NA,NA,NA
"Ventura Blvd.","Found","By car from Studio City to Sherman Oaks","","Los Angeles ",1974,"CA","Cruisy Areas","Cruising Areas","",NA,NA,NA,NA,NA
"Barnsdall Park","Found","","Barnsdall Park","Los Angeles ",1974,"CA","Cruisy Areas","Cruising Areas","",NA,NA,NA,NA,NA
"Sea Gull Inn ","Found","(downstairs) Lansing & Ukiah ","","Mendocino",1974,"CA","(M) - Mixed Crowds","Bars/Clubs,Hotels","",NA,NA,NA,NA,NA
"Coyote Pt. ","Found","Beach & Parking lots off Bayshore Fwy (US 101) betw. Burlingame & San Mateo","","Redwood City",1974,"CA","Cruisy Areas","Cruising Areas","",NA,NA,NA,NA,NA
"Chances R","Found","Manon & Tennyson","","Hayward",1974,"CA","(D) - Dancing,(S) - Shows - impersonators or record pantomime acts - often touristy.","Bars/Clubs","",NA,NA,NA,NA,NA
"Main St. 'Hustlers'","Found","","Main Street","Los Angeles ",1974,"CA","Cruisy Areas","Cruising Areas","Approximate. Pin in middle of block between 4th and 6th on main.",NA,NA,NA,NA,NA
"Harlow Heaven Motel","Found","","Indian Ave.","Palm Springs",1974,"CA","""(H) - Hotel, motel, or other overnight accomodations""","Hotels","",NA,NA,NA,NA,NA
"Balboa Park","Found","","Balboa Park","San Diego ",1974,"CA","Cruisy Areas","Cruising Areas","",NA,NA,NA,NA,NA
"Farfy's Cottages","Found","(beer & pizza) HWY. 89 at 12th St, 3/4 mi. N. of jct U.S. Hwy. 50 P.O. Box 7013 So. Lake Tahoe. Tel: (916) 541 - 3490","","Lake Tahoe",1974,"CA","","Hotels","",NA,NA,NA,NA,NA
"'Minni & Fang's'","General City Coordinates Used","","","Los Angeles ",1974,"CA","Cruisy Areas","Cruising Areas","",NA,NA,NA,NA,NA
"Chapultepec Park","General City Coordinates Used","","","El Centro",1974,"CA","Cruisy Areas","Cruising Areas","",NA,NA,NA,NA,NA
"Lake Temascal Regional Park & Beach","Found","","","Berkeley",1974,"CA","Cruisy Areas","Cruising Areas","",NA,NA,NA,NA,NA
"Burke's Drive In","Found","14th & Market","","San Francisco",1974,"CA","""(C) - Coffee, soft drinks and sometimes snacks."",(M) - Mixed Crowds,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place.""","Restaurant","",NA,NA,NA,NA,NA
"Lido Bar","General City Coordinates Used","","","El Centro",1974,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Bidwell Park","Found","","","Chico",1974,"CA","Cruisy Areas","Cruising Areas","",NA,NA,NA,NA,NA
"Juanita's ","Found","Fetter's Hot Springs Hotel 3 mi. N. of Boyce Hot Springs","","Sonoma",1974,"CA","(M) - Mixed Crowds,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place.""","Restaurant","",NA,NA,NA,NA,NA
"Truck stop on Bayshore Fwy.","General City Coordinates Used","Just S. of Burlingame (east side)","","Redwood City",1974,"CA","Cruisy Areas","Cruising Areas","",NA,NA,NA,NA,NA
"Fashion Valley Shopping Center","Found","","","San Diego ",1974,"CA","Cruisy Areas","Cruising Areas","",NA,NA,NA,NA,NA
"Cahuenga 'Husters'","Found","","Between Hollywood & Sunset","Los Angeles ",1974,"CA","Cruisy Areas","Cruising Areas","Approximate. Pin in the middle of the block on Cahuenga between Hollywood Blvd and Sunset.",NA,NA,NA,NA,NA
"Beach opp. City Park","General City Coordinates Used","Beach opposite City Park","City Park","Redondo Beach",1974,"CA","Cruisy Areas","Cruising Areas","",NA,NA,NA,NA,NA
"Manola's","General City Coordinates Used","","","El Centro",1974,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Broadway","Found","Plaza to the 'Y'","","San Diego ",1974,"CA","Cruisy Areas","Cruising Areas","",NA,NA,NA,NA,NA
"'Bare Ass Beach'","Found","a half hour walk from parking lot at Torrey Pines Beach St. Park to base of golf course
","","San Diego ",1974,"CA","Cruisy Areas","Cruising Areas","",NA,NA,NA,NA,NA
"Fran's Pine Lake Lodge","Found","(modest H adjoins) Old Hwy. 99 at Ashland","","Fresno ",1974,"CA","""(H) - Hotel, motel, or other overnight accomodations""","Hotels","",NA,NA,NA,NA,NA
"Febe's","Found","(Toy & Leather shop upstairs) 11th & Folsom St","","San Francisco",1974,"CA","(*) - Very popular","Business","",NA,NA,NA,NA,NA
"Del Monte Beach","Found","","","Monterey",1974,"CA","Cruisy Areas","Cruising Areas","",NA,NA,NA,NA,NA
"Vicinity of City Hall","Found","","City Hall","Pasadena",1974,"CA","Cruisy Areas","Cruising Areas","",NA,NA,NA,NA,NA
"Lake Merritt","Found","","","Oakland",1974,"CA","Cruisy Areas","Cruising Areas","",NA,NA,NA,NA,NA
"Griffiith Park","Found","between Ferndale & the Observatory
","Griffith Park","Los Angeles ",1974,"CA","Cruisy Areas","Cruising Areas","",NA,NA,NA,NA,NA
"Pier 54","Found","China Basin Rd. at Pier 54","","San Francisco",1974,"CA","(M) - Mixed Crowds,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place.""","Restaurant","",NA,NA,NA,NA,NA
"'Boy's Town'","General City Coordinates Used","","North of Santa Monica Blvd near the 'Four Star","Los Angeles ",1974,"CA","Cruisy Areas","Cruising Areas","",NA,NA,NA,NA,NA
"Rendezvous","Found","(see 'Club Rendezvous')","567 Sutter St","San Francisco",1974,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Hollywood Blvd.","Found","Walking, hitchhiking or by car--between Highland & Vermont- but 'very hot'","Hollywood Blvd.","Los Angeles ",1974,"CA","Cruisy Areas","Cruising Areas","",NA,NA,NA,NA,NA
"The Boardwalk","Found","","Boardwalk","Santa Monica",1974,"CA","Cruisy Areas","Cruising Areas","",NA,NA,NA,NA,NA
"Rest Stop on n. side of I-10","General City Coordinates Used","Rest Stop on n. side of I-10 between Fontana & Ontario","","San Bernardino",1974,"CA","Cruisy Areas","Cruising Areas","",NA,NA,NA,NA,NA
"Wharf No. 2","Found","","","Monterey",1974,"CA","Cruisy Areas","Cruising Areas","",NA,NA,NA,NA,NA
"The 'Bluffs'","Found","On beach between Gaviota & Redondo","","Long Beach",1974,"CA","Cruisy Areas","Cruising Areas","Location here is approximate for the middle of the beach between Gaviota st and Redondo. ",NA,NA,NA,NA,NA
"Caravan","Found","Greyhound Bus Depot Galibon & Salinas","","Salinas",1974,"CA","(RT) - 'Raunchy types' - downtown type places - often hustlers,(M) - Mixed Crowds","Cruising Areas","",NA,NA,NA,NA,NA
"Bo Jangles","Found","Ellis & Larkin Sts","","San Francisco",1974,"CA","(B) - Blacks Frequent,(D) - Dancing","Bars/Clubs","",NA,NA,NA,NA,NA
"Del Paso Park","Found","","","Sacramento ",1974,"CA","Cruisy Areas","Cruising Areas","",NA,NA,NA,NA,NA
"Central Park ","Found","21st & R St.","","Bakersfield",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Brass Rail ","Found","(Liquor) 5th and Robinson ","","San Diego ",1976,"CA","(D) - Dancing,(*) - Very popular","Bars/Clubs","",NA,NA,NA,NA,NA
"Presidio Park ","Found","","","San Diego ",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Weill Park ","Found","26th & Q St. ","","Bakersfield",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Zuma Beach ","Found","North of Malibu","","Santa Monica",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Beach Area nr. Power Plant ","Found","","","Manhattan Beach ",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Deer Park","General City Coordinates Used","","","Fresno ",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Taste of Leather ","Found","(Leather & 'Toy' shop upstairs at Febe's) 11th and Folsom Sts. ","","San Francisco",1976,"CA","","Business","",NA,NA,NA,NA,NA
"Manola's & the Lido ","General City Coordinates Used","In Mexicali, Mexico, just across the border from Calexico, Calif.","","El Centro",1976,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Fashion Valley Shopping Center","Found","","","San Diego ",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"T-Rooms at Camp Curry ","Found","","","Yosemite ",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Balboa Park","Found","","","San Diego ",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Magnolia Park ","Found","","","Los Angeles ",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"The Boardwalk","Found","","","Santa Monica",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Papa's Magazine Shop ","Found","(Books) 30th & University ","","San Diego ",1976,"CA","","Book Store","",NA,NA,NA,NA,NA
"Zelda's ","Found","Paradise Shopping Center- Paradise Dr. off U.S. 101","","Corte Madera",1976,"CA","(*) - Very popular","Restaurant","",NA,NA,NA,NA,NA
"Park along river ","Found","(early evenings) 2 blocks E. of Main St. ","","Red Bluff",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Coyote Point ","Found","beach * parking lot off Bayshore (U.S. 101) between Burlingan and San Mateo ","","Redwood City",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Lake Tamescal Regional Park & Beach","Found","","","Berkeley",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Summerland Beach ","Found","","","Santa Barbara",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Vicinity of City Hall","Found","","","Pasadena",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Bidwell Park ","Found","Cedar Grove area ","","Chico",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Denny's ","General City Coordinates Used","","S. Coast Hwy. ","Laguna Beach ",1976,"CA","(M) - Mixed Crowds - Some Straights,""(C) - Coffee, soft drinks and sometimes snacks"",(AH) - After Hours","Restaurant","",NA,NA,NA,NA,NA
"Sunset Blvd. ","Found","hitch-hikers W. of Highland ","","Hollywood",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Santa Monica Blvd. ","Found","hitch hikers W. of Fairfax ","","Hollywood",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Pier 54 ","Found","China Basin Rd. at Pier 54","","San Francisco",1976,"CA","(M) - Mixed Crowds - Some Straights","Restaurant","",NA,NA,NA,NA,NA
"Dolores Park ","Found","(HOT) ","","San Francisco",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Muscle Beach ","Found","","","Santa Monica",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Buena Vista Park","Found","","","San Francisco",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"West State Beach ","General City Coordinates Used","nr Laguna Royal Motel ","","Laguna Beach ",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Ruth Hardee Park ","Found","","","Palm Springs",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Gilda, the galloping gourmet ","General City Coordinates Used","","","Los Angeles ",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Roeding Park","Found","","","Fresno ",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Truck stop on U.S. 101 just so. of Burlingame East Side ","General City Coordinates Used","","","Redwood City",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Selma Ave. ","Found","nr YMCA (sure suicide- very HOT) ","","Hollywood",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Bear Wallow Ranch","General City Coordinates Used","(Call 707-895-3455 for reservations & directions) P.O. Box 476, Boonville, Ca","","Boonville",1976,"CA","""(H) - Hotel, motel, or other overnight accomodations"",(BYOB) - Bring your own bottle","Hotels,Restaurant","",NA,NA,NA,NA,NA
"'Miracle Mile' ","Found","Folsom St. betw. 6th and 12th ","","San Francisco",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Griffith Park","Found","nr. Golf Course, E. of Sunset","","Hollywood",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Hollywood Blvd.","Found","walking, hitch-hiking, or by car from Highland to Vermont (HOT) ","","Hollywood",1976,"CA","","Cruising Areas","Approximate. Pin in middle of Hollywood between HIghland and Vermont.",NA,NA,NA,NA,NA
"Y.M.C.A ","Found","(Armed Services) ","","San Diego ",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Seawall","Found","","","San Francisco",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Lake Merritt","Found","(HOT)","","Oakland",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Alondra Park ","Found","","","Redondo Beach",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"San Onofre Beach State Park ","Found","(BA) at S. end of Camp Pendleton","","Oceanside",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Mission Beach ","Found","behind Belmont Amusement Park ","","San Diego ",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Lion Pub","Found","Sacramento & Divisadero ","","San Francisco",1976,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Strand Theatre ","Found","(balcony)","","San Francisco",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Twin Peaks Tavern ","Found","Castro & Market Sts. ","","San Francisco",1976,"CA","(OC) - Older/More Mature Crowd,(*) - Very popular","Bars/Clubs","",NA,NA,NA,NA,NA
"Granada Beach & Parking Lot ","Found","","","Long Beach",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Castro Village ","Found","Castro St. betw. 18th and Market Streets
","","San Francisco",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Broadway Pier ","Found","","","San Diego ",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Fetter's Hot Springs ","Found","3 mi. N. or Boyce Hot Springs (burned, supposedly reopening) ","","Sonoma",1976,"CA","""(H) - Hotel, motel, or other overnight accomodations""","Hotels","",NA,NA,NA,NA,NA
"Nashville West ","Found","(bar only) 1st or 2nd, betw, Main & Broadway","","Chico",1976,"CA","(HIP) - Heads frequent,(M) - Mixed Crowds - Some Straights,(YC) - Young and/or collegiate types","Bars/Clubs","Approximate. General coordinates for the middle of this block.",NA,NA,NA,NA,NA
"Leather by Leather","General City Coordinates Used","(opp. Sears) ","Santa Monica Blvd. ","Hollywood",1976,"CA","","Business","",NA,NA,NA,NA,NA
"Eddie's ","Found","Franklin & Tyler ","","Monterey",1976,"CA","(M) - Mixed Crowds - Some Straights,""(C) - Coffee, soft drinks and sometimes snacks""","Restaurant","",NA,NA,NA,NA,NA
"Barnsdale Park","Found","","","Hollywood",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"San Gregorio 'BA' ","Found","So. on Hwy. 1","","San Francisco",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"'Tenderloin'- 'Midnight Cowboys' at Flag Bros.","Found","Corner Mason & Market Streets","","San Francisco",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Robertson Blvd. ","Found","'the bushes' betw. Beverly & Melrose ","","Hollywood",1976,"CA","","Cruising Areas","Approximate. Pin for middle of Robertson between Melrose and Beverly.",NA,NA,NA,NA,NA
"'Milk Run' ","General City Coordinates Used","","","Long Beach",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Lafayette Park ","Found","","","San Francisco",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Wildwood Ranch ","Found","A resort 69 mi. N of S.F. in Sonoma County- Write P.O. Box 31384, San Fransisco, CA 94131","","Sonoma",1976,"CA","""(H) - Hotel, motel, or other overnight accomodations""","Hotels","",NA,NA,NA,NA,NA
"Whispering Pines Motel ","Found","20 mi. W. on Hwy 140 in Begintown. P.O. Box 90, Midpines, CA","","Yosemite ",1976,"CA","""(H) - Hotel, motel, or other overnight accomodations""","Hotels","",NA,NA,NA,NA,NA
"Endup ","Found","(Disco) ($1.00 min. WE) 6th & Harrison","","San Francisco",1976,"CA","(W) - Western or coyboy types,(D) - Dancing,(*) - Very popular","Bars/Clubs","",NA,NA,NA,NA,NA
"Sandy's Lounge ","Found","7th & Main","","Chico",1976,"CA","(M) - Mixed Crowds - Some Straights","Bars/Clubs","",NA,NA,NA,NA,NA
"Wharf No. 2 ","Found","","","Monterey",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Juanita's ","Found","","","Sonoma",1976,"CA","(M) - Mixed Crowds - Some Straights","Restaurant","",NA,NA,NA,NA,NA
"'Polk Strasse' ","Found","Polk St. betw. Post & Union ","","San Francisco",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Downtown Airlines Bus Terminal ","General City Coordinates Used","downstairs T-room","","San Francisco",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Broadway - Plaza to YMCA","Found","","","San Diego ",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Berkeley Aquatic Park","Found","Campers & vans ","","Berkeley",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Radio Park ","Found","1st & Clinton","","Fresno ",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Beach opposite City Park ","General City Coordinates Used","","","Redondo Beach",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"U.C.S.D. Campus","Found","Gym, Sauna, & 4th floor of Library ","","San Diego ",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Art Museum ","Found","","","Long Beach",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Legg's Ice Rink","Found","","","San Francisco",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Cahuenga ""Hustlers"" ","Found","betw. Hollywood & Sunset","","Hollywood",1976,"CA","","Cruising Areas","Approximate. Pin in the middle of the block on Cahuenga between Hollywood Blvd and Sunset.",NA,NA,NA,NA,NA
"Haven ","Found","Polk & California ","","San Francisco",1976,"CA","(M) - Mixed Crowds - Some Straights,(HIP) - Heads frequent,(YC) - Young and/or collegiate types","Restaurant","",NA,NA,NA,NA,NA
"'The Strip'","Found","Market St. from Van Ness to Castro- hitch-hikers or by car","","San Francisco",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Devil's Slide ","General City Coordinates Used","'BA' - S. on Hwy. 1","","San Francisco",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Echo Park","Found","","","Los Angeles ",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Beach & Boardwalk ","Found","near jct. of Coast Hwy & Laguna Canyon Rd. ","","Laguna Beach ",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Truck Stop ","Found","(Opens 24 hrs.) (also 'Rear End' bar) 14th & Market Sts. ","","San Francisco",1976,"CA","""(C) - Coffee, soft drinks and sometimes snacks"",(*) - Very popular","Restaurant","",NA,NA,NA,NA,NA
"S.F. State Univ. Library & Creative Arts Bldg Buildings","General City Coordinates Used","","","San Francisco",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"'The Bluffs' ","Found","on beach betw. Gaviota & Redondo","","Long Beach",1976,"CA","","Cruising Areas","Location here is approximate for the middle of the beach between Gaviota st and Redondo. ",NA,NA,NA,NA,NA
"Ventura Blvd. ","Found","by car from Studio City to Sherman Oaks ","","Los Angeles ",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Del Monte Beach ","Found","","","Monterey",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"'Rest Stop' on I-208 N.","Found","just N. of Blackland Rd. exit ","","Hillsborough",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Torrey Pines Beach St. Park","Found","'BA' beach- a half hour walk from parking lot to base of golf course ","","San Diego ",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Main St. 'Hustlers'","Found","betw. 4th & 6th Sts. (downtown) ","","Los Angeles ",1976,"CA","","Cruising Areas","Approximate. Pin in middle of block between 4th and 6th on main.",NA,NA,NA,NA,NA
"Joanie's ","Found","El Cajon near 21st. ","","San Diego ",1976,"CA","(M) - Mixed Crowds - Some Straights","Bars/Clubs","",NA,NA,NA,NA,NA
"Chapulepec Park ","General City Coordinates Used","","","El Centro",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Hitch-hikers on U.S. 101 nr. State St. ","Found","(late afternoons) ","","Santa Barbara",1976,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Astrinsky's ","General City Coordinates Used","3 mi. south of town ","","Phillipsville",1976,"CA","(M) - Mixed Crowds - Some Straights,(HIP) - Heads frequent","Bars/Clubs","",NA,NA,NA,NA,NA
"Paradise Beach (BA) on American River","Found","","","Sacramento ",1976,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Jack's Cracked Pot","General City Coordinates Used","2 1/2 mi. S. on Cal. 49","","Grass Valley",1976,"CA","(M) - Mixed Crowds - Some Straights","Restaurant","",NA,NA,NA,NA,NA
"Candlelight ","Found","(some G) ","Mission & Rubidoux ","Riverside",1976,"CA","""(G) - Girls, but seldom exclusively""","Bars/Clubs","",NA,NA,NA,NA,NA
"Windjammer Cove Inn","Found","6 mi S. in Albion ","","Mendocino",1976,"CA","(M) - Mixed Crowds - Some Straights","Restaurant","",NA,NA,NA,NA,NA
"K Street Mall ","Found","","","Sacramento ",1976,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Fairmount Park ","Found","","","Riverside",1976,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"'Rest Stop' on N. side of I-10 between Fontana and Rialto ","General City Coordinates Used","","","Salinas",1976,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Beach nr. end of N. 10th & Richards jct. of American & Sacramento River ","Found","","","Sacramento ",1976,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Caravan ","Found","Greyhouse Bus Depot Gabilon & Salinas ","","Salinas",1976,"CA","(M) - Mixed Crowds - Some Straights,(RT) - 'Raunchy types' - downtown type places - often hustlers","Bars/Clubs","",NA,NA,NA,NA,NA
"Fremont Park ","Found","","","Sacramento ",1976,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Alhambra Park","Found","Palm Rd. at Alhambra Avenue","","Alhambra",1977,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Dolores Park","Found","(HOT)","","San Francisco",1977,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Lafayette Park ","Found","","","San Francisco",1977,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"The 8th Place ","General City Coordinates Used","T-Room (Hot)","","Long Beach",1977,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Presidio Park ","Found","","","San Diego ",1977,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Wharf Number 2","Found","","","Monterey",1977,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Vicinity of City Hall ","Found","","","Pasadena",1977,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Paris Magazine Shop","Found","(Books) 30th and University ","","San Diego ",1977,"CA","","Book Store","",NA,NA,NA,NA,NA
"Hideaway ","Found","(""watering spot"" for San Fransisco's ""Royal Court""- good afternoons-adjacent to Church Street Station) 14th and Market) ","","San Francisco",1977,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Oriental Gardens ","Found","(X-Rated movies) (Yucca & Grace) ","","Hollywood",1977,"CA","","Theatre","",NA,NA,NA,NA,NA
"Central Park ","Found","Fair Oaks & Del Mar ","","Pasadena",1977,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Coliseum","General City Coordinates Used","Inquire locally","","Redding",1977,"CA","(M) - Mixed Crowds - Some Straights,(HIP) - Heads frequent,(YC) - Young and/or collegiate types","Bars/Clubs","",NA,NA,NA,NA,NA
"The Boardwalk","Found","","","Santa Monica",1977,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Player's Desert Resort Club ","General City Coordinates Used","(New super complex) (Caberet) (disco) (swim-pool-spa & separate ""men's bar"") (10 miles E. at Larkspur & El Paseo) ","P.O. Box B, Palm Desert ","Palm Springs",1977,"CA","(M) - Mixed Crowds - Some Straights,(E) - Entertainment,(S) - Shows - impersonators or record pantomime acts - often touristy,(D) - Dancing,""(H) - Hotel, motel, or other overnight accomodations""","Hotels,Restaurant,Bars/Clubs","",NA,NA,NA,NA,NA
"21st and K Streets ","Found","","","Bakersfield",1977,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Beach and steps below Coast Inn","Found","","","Laguna Beach ",1977,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Torrey Pines Beach State Park ","Found","Blacks' ""B.A."" Beach- a half hour walk from parking lot to base of golf course","","San Diego ",1977,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Arthur Jay's ","Found","Highland and Santa Monica ","","Hollywood",1977,"CA","(M) - Mixed Crowds - Some Straights,""(C) - Coffee, soft drinks and sometimes snacks"",(AH) - After Hours","Bars/Clubs","",NA,NA,NA,NA,NA
"Buena Vista Park ","Found","","","San Francisco",1977,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Pier 54 ","Found","China Basin Rd. at Pier 54","","San Francisco",1977,"CA","(M) - Mixed Crowds - Some Straights","Restaurant","",NA,NA,NA,NA,NA
"Wildwood Ranch ","Found","(Resort) 69 miles north of San Fransisco- write PO Box 31384, San Fransisco, California 94131","","Sonoma",1977,"CA","""(H) - Hotel, motel, or other overnight accomodations""","Hotels","",NA,NA,NA,NA,NA
"Cafe El Taurino","Found","Tijuana, B.C.","","Tijuana",1977,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Gaf ","General City Coordinates Used","(Disco) (2 bars) ","68-555 Ramon Road near Cathedral Road","Cathedral City",1977,"CA","(YC) - Young and/or collegiate types,(D) - Dancing,(PT) - Pool Table,(*) - Very popular","Bars/Clubs","",NA,NA,NA,NA,NA
"The Pike ","General City Coordinates Used","","","Long Beach",1977,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Baths ","Found","(Closes at 10:30 p.m) 7th and A Sts. ","","Eureka",1977,"CA","(M) - Mixed Crowds - Some Straights","Baths","",NA,NA,NA,NA,NA
"Strand Theatre- balcony","Found","","","San Francisco",1977,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Ganesha Park ","Found","(HOT) ","","Pomona",1977,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Weill Park ","Found","26th and Q Streets","","Bakersfield",1977,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"The Woods","Found","(Some G)","1625 Sir Francis Drake","Fairfax",1977,"CA","(M) - Mixed Crowds - Some Straights,(D) - Dancing,""(G) - Girls, but seldom exclusively""","Bars/Clubs","",NA,NA,NA,NA,NA
"Discovery Park ","Found","(Bryte) ","","Sacramento ",1977,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Zelda's ","Found","Paradise Shopping Center, just off U.S. 101, Corte Madera exit ","","Corte Madera",1977,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
