"title","status","description","streetaddress","notes","city","state","amenityfeatures","type","Year","unclear_address","full.address","lon","lat","geoAddress"
"Mother’s","General City Coordinates Used","(small bar in back room of “Cabaret”) ","","","New Orleans","LA","(*)","Bars/Clubs",1977,NA,NA,NA,NA,NA
"Déjà vu ","Found","","Conti & Dauphine","","New Orleans","LA","(M),(HIP),(YC),(AYOR)","Bars/Clubs",1977,NA,NA,NA,NA,NA
"Tulane University Student Center","Found","","","","New Orleans","LA","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Viex Carre – Anywhere and everywhere, but especially Bourbon Street betw. St. Ann and Ursulines. Wear casual clothes, or the “Hippies” will “hit” you for quarters every few yards ","Found","(“French Quarter”)","","General French Quarter coordinates used.","New Orleans","LA","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Royal Street “Promenade” between Canal and St. Phillips Street ","General City Coordinates Used","","","","New Orleans","LA","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Parade ","General City Coordinates Used","(Disco) (Above Bourbon Pub) ","","","New Orleans","LA","(YC),(D),(*)","Bars/Clubs",1977,NA,NA,NA,NA,NA
"Garage ","General City Coordinates Used","(See “The Loft”) ","","","New Orleans","LA","","Bars/Clubs",1977,NA,NA,NA,NA,NA
"Paris Theatre ","Found","","","","New Orleans","LA","Cruisy Area","Cruising Areas,Theatre",1977,NA,NA,NA,NA,NA
"Royal St. 'Promenade' bet. Canal & St. Phillips St.s","General City Coordinates Used","","","","New Orleans","LA","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"Audubon Park","Found","","","","New Orleans","LA","Cruisy Area,(HOT)","Cruising Areas",1975,NA,NA,NA,NA,NA
"'The Strip' - Rampart St. 'hitch-hikers'","General City Coordinates Used","","","","New Orleans","LA","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"Paris Theatre","Found","","","","New Orleans","LA","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"City Park","Found","","","","New Orleans","LA","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"Maison Blanche Dept. Store T-room","Found","","","Now the Ritz Carleton on Canal St. See: https://en.wikipedia.org/wiki/Maison_Blanche","New Orleans","LA","Cruisy Area,(HOT)","Cruising Areas",1975,NA,NA,NA,NA,NA
"Cinema I & II","Found","(Theatre)","St. Philip & Decatur","","New Orleans","LA","(M)","Theatre",1975,NA,NA,NA,NA,NA
"Touche Lounge","Found","('Miss T's') (Afternoons and cocktail hour)","Royal Orleans Hotel, Royal and St. Louis Sts.","","New Orleans","LA","(M),(PE)","Bars/Clubs,Hotels",1975,NA,NA,NA,NA,NA
"Vieux Carre","Found","('French Quarter') Anywhere and anytime, but especially Bourbon St. bet St. Ann and Ursulines","","General French Quarter coordinates used.","New Orleans","LA","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"Cafe du Monde ","Found","(Touristy and 'plain-clothes' cops, but a 'must' for morning coffe and doughnuts)","French Market, Decatur and St. Ann","","New Orleans","LA","(M),(R)","Restaurant",1975,NA,NA,NA,NA,NA
"Vieux Carre ","Found","","(New Orleans’ fabulous French Quarter. Anywhere & everywhere, but especially Bourbon St. betw. St. Anne & Ursulines) ","General French Quarter coordinates used.","New Orleans","LA","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Tulane U. Student Center T-Room ","Found","","","","New Orleans","LA","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Cafe du Monde ","Found","(Books) ","Decatur & St. Anne ","","New Orleans","LA","","Book Store",1978,NA,NA,NA,NA,NA
"Maison Blanch Dept. Store T-Room ","Found","","","Now the Ritz Carleton on Canal St. See: https://en.wikipedia.org/wiki/Maison_Blanche","New Orleans","LA","Cruisy Area,(HOT)","Cruising Areas",1978,NA,NA,NA,NA,NA
"U.N.O. – Business Administration Bldg.  T-Room ","Found","","","","New Orleans","LA","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Oakwood Theatre ","General City Coordinates Used","","","","New Orleans","LA","Cruisy Area","Cruising Areas,Theatre",1978,NA,NA,NA,NA,NA
"City Park ","Found","","","","New Orleans","LA","Cruisy Area,(HOT)","Cruising Areas",1978,NA,NA,NA,NA,NA
"Audubon Park ","Found","","","","New Orleans","LA","Cruisy Area,(HOT)","Cruising Areas",1978,NA,NA,NA,NA,NA
"Royal Street ‘Promenade’ betw. Canal & St. Phillips Streets ","General City Coordinates Used","","","","New Orleans","LA","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Touche Lounge ","Found","(Good days) ","Royal & St. Louis St. ","","New Orleans","LA","(M),(PE)","Bars/Clubs",1978,NA,NA,NA,NA,NA
"Pontchartrain Beach  ","Found","","","","New Orleans","LA","Cruisy Area,(B)","Cruising Areas",1978,NA,NA,NA,NA,NA
"Royal St. 'Promenade'","General City Coordinates Used","Betw. Canal & St. Phillips St.s (Days)","","","New Orleans","LA","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Pontchartrain Beach","Found","","","","New Orleans","LA","(B),Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Touche Lounge","Found","('Miss T's') (Best at cocktial hour) Royal Orleans Hotel ","Royal & St. Louis St.","","New Orleans","LA","(M),(PE)","Bars/Clubs,Hotels",1980,NA,NA,NA,NA,NA
"Oakwood Shopping Center","Found","","","","New Orleans","LA","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Paris Theatre","Found","","","","New Orleans","LA","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"U.N.O.","Found","Biz. Admin. Bldg. - T-Room & Library
","","","New Orleans","LA","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Audibon Park","Found","","","","New Orleans","LA","Cruisy Area,(AYOR)","Cruising Areas",1980,NA,NA,NA,NA,NA
"Tulane U.","Found","Cafeteria, Library, & Student Union T-Rooms 
","","","New Orleans","LA","Cruisy Area,(AYOR)","Cruising Areas",1980,NA,NA,NA,NA,NA
"Cafe du Monde","Found","(Very mixed & touristy, but a must for French doughnuts & coffee with that special someone you met the night before)","French market- Decatur & St. Anne","","New Orleans","LA","(M)","Restaurant",1980,NA,NA,NA,NA,NA
"Maison Blanc Dept Store","Found","4th fl. T-rooms","","Now the Ritz Carleton on Canal St. See: https://en.wikipedia.org/wiki/Maison_Blanche","New Orleans","LA","Cruisy Area,(AYOR)","Cruising Areas",1980,NA,NA,NA,NA,NA
"Vieux Carre","Found","anywhere & everywhere, especially Bourbon St. betwe. Toulouse & Ursulines
","","General French Quarter coordinates used.","New Orleans","LA","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"City Park","Found","","","","New Orleans","LA","Cruisy Area,(AYOR)","Cruising Areas",1980,NA,NA,NA,NA,NA
"Fat Harry's & 4141 Club","General City Coordinates Used","(Very mixed) bars on St. Charles St.
","","","New Orleans","LA","Cruisy Area,(M),(YC)","Cruising Areas",1980,NA,NA,NA,NA,NA
"Travis & Market Sts. – around Capt. Shreve Hotel ","Found","","","","Shreveport","LA","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"‘Rest Stop’ on I-20 E. in Minden","General City Coordinates Used","","","general coordinates for Minden, LA. ","Shreveport","LA","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Travis & Market Streets – around Captain Schreve Hotel ","Found","","","","Shreveport","LA","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"“Rest Stop” on I-20, East in Minden ","General City Coordinates Used","","","","Shreveport","LA","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Algiers","Found","(Disco) (Some G) ","832 ½ Louisiana Ave. ","","Shreveport","LA","(D),(PT)","Bars/Clubs",1978,NA,NA,NA,NA,NA
"‘Rest Stop’ on I-20, E. in Minden","General City Coordinates Used","","","","Shreveport","LA","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Travis & Market Sts. – around Capt. Shreve Hotel ","Found","","","","Shreveport","LA","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Travis & Market Sts.","Found","around Capt. Shreve Hotel
","","","Shreveport","LA","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"'Rest Stop' on I-20 E. in Minden","General City Coordinates Used","","","","Shreveport","LA","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Side Door","General City Coordinates Used","(Key Club)(Inquire Locally; this could be in Gulfport)
","","","Biloxi","MS","(P)","Bars/Clubs",1974,NA,NA,NA,NA,NA
"7-1-25 Club (Wilma's)","General City Coordinates Used","","","","Biloxi","MS","(M),(G),(RT)","Bars/Clubs",1971,NA,NA,NA,NA,NA
"Koko's ","General City Coordinates Used","","","","Biloxi","MS","(*)","Bars/Clubs",1969,NA,NA,NA,NA,NA
"Koko Beach Motel ","General City Coordinates Used","","","","Biloxi","MS","(H)","Hotels",1969,NA,NA,NA,NA,NA
"Koko's","General City Coordinates Used","","","","Biloxi","MS","(*)","Bars/Clubs",1968,NA,NA,NA,NA,NA
"Little John's ","General City Coordinates Used","","","","Biloxi","MS","(*)","Bars/Clubs",1966,NA,NA,NA,NA,NA
"Koko's Lounge","General City Coordinates Used","","","","Biloxi","MS","","Bars/Clubs",1965,NA,NA,NA,NA,NA
"Koko Beach Hotel","General City Coordinates Used","","","","Biloxi","MS","(H)","Hotels",1965,NA,NA,NA,NA,NA
"Edgewater Shopping Center","Found","","","","Biloxi","MS","Cruisy Area,(HOT)","Bars/Clubs",1979,NA,NA,NA,NA,NA
"Kessler A.F.B. – Perimeter Gates ","Found","","","","Biloxi","MS","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Howard Ave. ","General City Coordinates Used","(‘Hustlers’)","","","Biloxi","MS","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Beach Hwy. betw. Biloxi & Gulfport","General City Coordinates Used","","","","Biloxi","MS","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Gulf Coast Beach betw. White Horse Inn & Buena Vista Motel ","General City Coordinates Used","","","","Biloxi","MS","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Koko Beach Motel ","General City Coordinates Used","","W. Beach Hwy","","Biloxi","MS","(H)","Hotels",1970,NA,NA,NA,NA,NA
"Koko's","General City Coordinates Used","","W. Beach Hwy","","Biloxi","MS","(*)","Bars/Clubs",1970,NA,NA,NA,NA,NA
"Edgewater Shopping Center","Found","","","","Biloxi","MS","Cruisy Area,(HOT)","Bars/Clubs",1976,NA,NA,NA,NA,NA
"Gulf Coast Beach","General City Coordinates Used","","","","Biloxi","MS","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Howard Ave ('Midnight Cowboys')","General City Coordinates Used","","","","Biloxi","MS","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Keesler A.F.B - perimeter gates","Found","","","","Biloxi","MS","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Bossier's","General City Coordinates Used","","Hwy. 90","","Biloxi","MS","(M),(R),(C),(AH)","Restaurant",1976,NA,NA,NA,NA,NA
"Gulf Coast Beach","General City Coordinates Used","","","","Biloxi","MS","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"Edgewater Shopping Center","Found","","","","Biloxi","MS","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"Keesler A.F.B. Perimeter Gates","Found","","","","Biloxi","MS","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"Fire & Range Lounge","General City Coordinates Used","($2 adm.)","Pat Harrison St.","","Biloxi","MS","(P),(YC),(D),(S),(*)","Bars/Clubs",1975,NA,NA,NA,NA,NA
"Kessler A.F.P. – Perimeter gates ","Found","","","","Biloxi","MS","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Gulf Coast Beach - betw. White Horse Inn & Buena Vista Motel   ","General City Coordinates Used","","","","Biloxi","MS","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Edgewater Shopping Center ","Found","","","","Biloxi","MS","Cruisy Area,(HOT)","Cruising Areas",1978,NA,NA,NA,NA,NA
"Beach Hwy. betw. Biloxi & Gulfport  ","General City Coordinates Used","","","","Biloxi","MS","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Howard Ave. ","General City Coordinates Used","(‘Hustlers’) ","","","Biloxi","MS","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Howard Ave.","General City Coordinates Used","('Hustlers')","","","Biloxi","MS","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Gulf Coast Beach","General City Coordinates Used","betw. White Horse Inn & Buena Vista Motel
","","","Biloxi","MS","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Beach Hwy. betw.  Biloxi & Gulfport","General City Coordinates Used","","","","Biloxi","MS","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Edgewater Shopping Center","Found","","","","Biloxi","MS","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Kessler A.F.B. ","Found","Perimeter Gates","","","Biloxi","MS","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Tap Room","General City Coordinates Used","","","","Hattiesburg","MS","(M)","Bars/Clubs",1969,NA,NA,NA,NA,NA
"Tap Room","General City Coordinates Used","","","","Hattiesburg","MS","(M)","Bars/Clubs",1968,NA,NA,NA,NA,NA
"Tap Room","General City Coordinates Used","","","","Hattiesburg","MS","(M)","Bars/Clubs",1966,NA,NA,NA,NA,NA
"Tap Room","General City Coordinates Used","","","","Hattiesburg","MS","(M)","Bars/Clubs",1965,NA,NA,NA,NA,NA
"Tap Room","General City Coordinates Used","","On Broadway","","Hattiesburg","MS","(M)","Bars/Clubs",1970,NA,NA,NA,NA,NA
"Court House Square","Found","","","","Jackson","TN","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"Mae's Cabaret","General City Coordinates Used","","","","Jackson","MS","(YC),(D),(P),(*)","Bars/Clubs",1974,NA,NA,NA,NA,NA
"Jolly Roger","Found","","","","Jackson","MS","(M),(R)","Restaurant",1974,NA,NA,NA,NA,NA
"Holiday Inn Lounge","Found","","","","Jackson","TN","(M)","Hotels,Bars/Clubs",1974,NA,NA,NA,NA,NA
"New Southern Hotel Bar","Found","","","","Jackson","TN","(M)","Bars/Clubs,Hotels",1971,NA,NA,NA,NA,NA
"Downtowner Motel Bar","General City Coordinates Used","","","","Jackson","MS","(M)","Hotels,Bars/Clubs",1971,NA,NA,NA,NA,NA
"Sports Lounge","General City Coordinates Used","","","","Jackson","MS","(P),(D),(*)","Bars/Clubs",1969,NA,NA,NA,NA,NA
"New Southern Hotel Bar","Found","","","","Jackson","TN","(M)","Bars/Clubs,Hotels",1969,NA,NA,NA,NA,NA
"New Southern Hotel Bar","Found","","","","Jackson","TN","(M)","Bars/Clubs,Hotels",1968,NA,NA,NA,NA,NA
"Robert E. Lee Hotel Bar","Found","","","","Jackson","MS","(M)","Bars/Clubs,Hotels",1968,NA,NA,NA,NA,NA
"New Southern Liberty Hotel Bar","Found","","","","Jackson","TN","(M)","Bars/Clubs,Hotels",1966,NA,NA,NA,NA,NA
"Robert E. Lee Hotel Bar","Found","","","","Jackson","MS","(M)","Bars/Clubs,Hotels",1966,NA,NA,NA,NA,NA
"Sports Lounge","General City Coordinates Used","","","","Jackson","MS","(M)","Bars/Clubs",1965,NA,NA,NA,NA,NA
"New Southern Hotel Bar","Found","","","","Jackson","TN","","Bars/Clubs,Hotels",1965,NA,NA,NA,NA,NA
"Robert E Lee Hotel Bar","Found","","","","Jackson","MS","(M)","Bars/Clubs",1965,NA,NA,NA,NA,NA
"Smith Park ","Found","(Very HOT) ","","","Jackson","MS","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Holiday Inn Lounge ","Found","","Jct. I-40 & US 45","","Jackson","TN","(M)","Bars/Clubs,Hotels",1979,NA,NA,NA,NA,NA
"Court House Square ","Found","","","","Jackson","TN","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Jolly Roger ","Found","","Capitol & State","","Jackson","MS","(M)","Bars/Clubs",1972,NA,NA,NA,NA,NA
"Holiday Inn Lounge","Found","","Jct. U.S. 45 at I-40","","Jackson","TN","","Hotels,Bars/Clubs",1972,NA,NA,NA,NA,NA
"Court House Square","Found","","","","Jackson","TN","Cruisy Areas","Cruising Areas",1972,NA,NA,NA,NA,NA
"Downtown ","General City Coordinates Used","bet. the two bus stations","","","Jackson","MS","Cruisy Areas","Cruising Areas",1972,NA,NA,NA,NA,NA
"Downton bet. the two bus depots","General City Coordinates Used","","","","Jackson","MS","Cruisy Areas","Cruising Areas",1973,NA,NA,NA,NA,NA
"Holiday Inn Lounge ","Found","","Jet. U.S. 45 at I-40","","Jackson","TN","(M)","Bars/Clubs,Hotels",1973,NA,NA,NA,NA,NA
"Jolly Roger","Found","","Capitol & State","","Jackson","MS","(R),(M)","Restaurant",1973,NA,NA,NA,NA,NA
"Court House Square ","Found","","","","Jackson","TN","Cruisy Areas","Cruising Areas",1973,NA,NA,NA,NA,NA
"Sports Lounge","General City Coordinates Used","","May St.","","Jackson","MS","(P),(D),(*)","Bars/Clubs",1970,NA,NA,NA,NA,NA
"New Southern Hotel Bar","Found","","Baltimore and Liberty","","Jackson","TN","(M)","Bars/Clubs,Hotels",1970,NA,NA,NA,NA,NA
"Holiday Inn Lounge","Found","","Jct. I-40 at U.S. 45","","Jackson","TN","","Hotels,Bars/Clubs",1976,NA,NA,NA,NA,NA
"Court House Square","Found","","","","Jackson","TN","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Smith Park - opposite Governor's Mansion","Found","","","","Jackson","MS","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Court House Square ","Found","","","","Jackson","TN","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Holiday Inn Lounge ","Found","","Jct. I-40 at U.S. 45 ","","Jackson","TN","(M)","Hotels,Bars/Clubs",1977,NA,NA,NA,NA,NA
"Court House Square","Found","","","","Jackson","TN","Cruisy Area","",1975,NA,NA,NA,NA,NA
"Smith Park - opp. Governor's Mansion","Found","","","","Jackson","MS","Cruisy Area,(HOT)","Cruising Areas",1975,NA,NA,NA,NA,NA
"Holiday Inn Lounge","Found","","Jct. U.S. 45 at I-40","ask about location","Jackson","TN","(M)","Hotels,Bars/Clubs",1975,NA,NA,NA,NA,NA
"Smith Park ","Found","","","","Jackson","MS","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Holiday Inn Lounge ","Found","","Jct. I-40 at US 45 ","","Jackson","TN","(M)","Bars/Clubs,Hotels",1978,NA,NA,NA,NA,NA
"Court House Square","Found","","","","Jackson","TN","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Holiday Inn","General City Coordinates Used","","","","Jackson","MS","Cruisy Area","Cruising Areas,Hotels",1980,NA,NA,NA,NA,NA
"Smith Park","Found","","","","Jackson","MS","Cruisy Area,(AYOR)","Cruising Areas",1980,NA,NA,NA,NA,NA
"Court House Square","Found","","","","Jackson","TN","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Holiday Inn Lounge","Found","","Jct. I-40 & us 45","","Jackson","TN","(M)","Bars/Clubs,Hotels",1980,NA,NA,NA,NA,NA
"Murphy Hall - basement","Found","University of No. Carolina","","","Chapel Hill","NC","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"Club Charlotte Baths","Found","","","","Chapel Hill","NC","(*)","Baths",1974,NA,NA,NA,NA,NA
"Golden West ","General City Coordinates Used","(24 hrs.) ","Estes Dr. ","","Chapel Hill","NC","(M),(R),(C)","Restaurant",1979,NA,NA,NA,NA,NA
"Electric Company","Found","(Disco)","Eastgate Shopping Center","","Chapel Hill","NC","(P),(YC),(D),(*)","Bars/Clubs",1976,NA,NA,NA,NA,NA
"U of N.C. - Murphy Hall & Wilson Library - basement","Found","","","","Chapel Hill","NC","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Harrison’s ","General City Coordinates Used","(Sunday’s) ","Franklin St.","","Chapel Hill","NC","(M),(YC)","Bars/Clubs",1977,NA,NA,NA,NA,NA
"He’s Not Here ","Found","(Best Sundays) ","Columbia Ave. at Franklin & Rosemary opp. C.H.P.D. ","","Chapel Hill","NC","(M)","Bars/Clubs",1977,NA,NA,NA,NA,NA
"Electric Company ","Found","Eastgate Shopping Center (Disco) ","","","Chapel Hill","NC","(P),(YC),(D),(*)","Bars/Clubs",1977,NA,NA,NA,NA,NA
"Murphy Hall - basement - Univ of N.C.","Found","","","","Chapel Hill","NC","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"Electric Company","Found","(This is where it's happening in the Tri-City area) (Disco)","Eastgate Shopping Center","","Chapel Hill","NC","(P),(YC),(D),(*)","Bars/Clubs",1975,NA,NA,NA,NA,NA
"
  Golden West
  ","General City Coordinates Used","(24 hours) ","Estes Dr. ","","Chapel Hill","NC","(M),(R)","Restaurant",1978,NA,NA,NA,NA,NA
"Honey's Brass Rail","Found","","","","Charlotte","NC","(*)","Bars/Clubs",1971,NA,NA,NA,NA,NA
"Honey's Brass Rail","Found","","","","Charlotte","NC","(*)","Bars/Clubs",1969,NA,NA,NA,NA,NA
"Trailways Bus Depot ","General City Coordinates Used","","","","Charlotte","NC","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"David W. sporting a new mustard-colored hanky","General City Coordinates Used","","","","Charlotte","NC","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Escorts Charlotte ","General City Coordinates Used","(Modeling, etc.) (704) 372-9634","","","Charlotte","NC","","Business",1979,NA,NA,NA,NA,NA
"South Park Shopping Mall ","Found","","","","Charlotte","NC","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"White Tower","Found","","1801 Scott at East St.  ","","Charlotte","NC","(M),(R),(C),(AH)","Restaurant",1979,NA,NA,NA,NA,NA
"Freedom Park ","Found","","","","Charlotte","NC","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Plaza Road – ‘Hustlers’ & ‘chicken’ ","General City Coordinates Used","","","","Charlotte","NC","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Eastland Shopping Mall – Arthurs (R) at Ivey’s Dept. Store & nr. Ice Rink","Found","","","Demolished in 2010. See: https://en.wikipedia.org/wiki/Eastland_Mall_(Charlotte,_North_Carolina)","Charlotte","NC","Cruisy Area,(R)","Restaurant",1979,NA,NA,NA,NA,NA
"Original Brass Rail ","Found","(Cruisy)","105 W Morehead at Tryon ","","Charlotte","NC","(*)","Bars/Clubs",1979,NA,NA,NA,NA,NA
"Trade St.","Found","near the Square","","approximate","Charlotte","NC","Cruisy Areas","Cruising Areas",1972,NA,NA,NA,NA,NA
"Trade St. near the Square","Found","","","approximate","Charlotte","NC","Cruisy Areas","Cruising Areas",1973,NA,NA,NA,NA,NA
"Honey's Brass Rail","Found","","Tyron & Morehead","","Charlotte","NC","(*)","Bars/Clubs",1970,NA,NA,NA,NA,NA
"Trailways Bus Depot","General City Coordinates Used","","","","Charlotte","NC","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Charlottetown Mall","Found","","","This mall was bulldozed and replaced with a 3 block mixed use development in 2006. See: https://en.wikipedia.org/wiki/Charlottetown_Mall","Charlotte","NC","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Trade St. (aptly named) near square opposite 1st Presbyterian Church","Found","","","","Charlotte","NC","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Freedom Park","Found","","","","Charlotte","NC","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"White Tower","Found","","1801 Scott at East St. ","","Charlotte","NC","(M),(C),(AH)","Bars/Clubs",1977,NA,NA,NA,NA,NA
"Plaza Rd. – hustlers & chicken ","General City Coordinates Used","","","","Charlotte","NC","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Freedom Park ","Found","","","","Charlotte","NC","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"South Park Shopping Mall","Found","","","","Charlotte","NC","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Eastland Shopping Mall ","Found","","","","Charlotte","NC","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Trailways Bus Depot ","General City Coordinates Used","","","","Charlotte","NC","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Trade St. -nr. Square opp. 1st Presbyterian Church","Found","(aptly named) ","","","Charlotte","NC","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Trade St. (aptly named) Nr. Square Opp. First Prsby. Church","Found","","","","Charlotte","NC","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"Freedom Park","Found","","","","Charlotte","NC","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"Charlottetown Mall","Found","","","","Charlotte","NC","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"Trailways Bus Depot","General City Coordinates Used","","","","Charlotte","NC","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"White Tower","Found","","East Blvd at Tryron","","Charlotte","NC","(M),(C),(AH),(R)","Restaurant",1975,NA,NA,NA,NA,NA
"
  Trailways Bus
  Depot 
  ","General City Coordinates Used","","","","Charlotte","NC","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"
  Freedom Park 
  ","Found","","","","Charlotte","NC","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"
  Plaza Rd. –
  ‘Hustlers & chicken’
  ","General City Coordinates Used","","","","Charlotte","NC","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"
  South Park Shopping
  Mall 
  ","Found","","","","Charlotte","NC","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Eastland Shopping Mall – Arthurs (R) at Ivey’s Dept. Store & nr. Ice rink ","Found","","","","Charlotte","NC","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Original Brass Rail ","Found","(Some W, SM)","105 W. Morehead at Tryon ","","Charlotte","NC","(*),(BYOB)","Bars/Clubs",1978,NA,NA,NA,NA,NA
"
  Wherever David W.
  is! 
  ","General City Coordinates Used","","","","Charlotte","NC","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"White Tower ","Found","","1801 Scott at East St.","","Charlotte","NC","(M),(R),(C),(AH)","Restaurant",1978,NA,NA,NA,NA,NA
"Plaza Road","General City Coordinates Used","'Hustlers' & chicken
","","","Charlotte","NC","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Escorts Charlotte","General City Coordinates Used","(Modeling, etc.) (704) 372-9635","","","Charlotte","NC","","Business",1980,NA,NA,NA,NA,NA
"South Park Shopping Mall","Found","","","","Charlotte","NC","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Trailways Bus Depot","General City Coordinates Used","","","","Charlotte","NC","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Eastland Shopping Mall","Found","Arthurs (R) at Ivey's Dept. Store & nr. Ice Rink","","","Charlotte","NC","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Freedom Park","Found","","","","Charlotte","NC","Cruisy Area,(AYOR)","Cruising Areas",1980,NA,NA,NA,NA,NA
