"status","lat","lon","description","streetaddress","city","state","Year","amenityfeatures","type","notes","title","unclear_address","full.address","geoAddress"
"General Coordinates Used",29.651634,"-82.324826","322-0700, 8pm Sun, call for location","","Gainesville","FL",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",29.651634,"-82.324826","(800) 346-5592, gay realtor at your service, no rentals","","Hollywood","FL",1996,"","Accommodations","",NA,NA,NA,NA
"Found",26.01154,"-80.143033","(312) 857-0801/(312) 857-0805 (fax) see ad in Center National Section","","Hollywood","FL",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"Found",30.346503,"-81.632846","384-6514","PO Box 60582","Jacksonville","FL",1996,"","Publications","",NA,NA,NA,NA
"General Coordinates Used",30.332184,"-81.655651 ","(800) 346-5592, gay realtor at your service, no rentals","","Jacksonville","FL",1996,"","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",30.332184,"-81.655651 ","396-8044, touchtone community database for NE Florida","","Jacksonville","FL",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",30.282958,"-81.394154","& S. to Boardwalk","","Jacksonville Beach","FL",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",30.284122,"-81.396134","(800) 346-5592, gay realtor at your service, no rentals","","Jacksonville Beach","FL",1996,"","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",24.555059,"-81.779987","(800) 346-5592, gay realtor at your service, no rentals","","Key West","FL",1996,"","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",24.555059,"-81.779987","296-4357, gay-friendly referrals & assistance","","Key West","FL",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",24.555059,"-81.779987","296-1433, topsail schooner","","Key West","FL",1996,"","Travel/Tour Operators","",NA,NA,NA,NA
"Found",24.551231,"-81.80012","294-7730 elegantly restored rooms & garden cottages","Zero Whalton Ln.","Key West","FL",1996,"(*),(MW)","Accommodations","",NA,NA,NA,NA
"Found",24.555418,"-81.784172","","","Key West","FL",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"Found",24.555992,"-81.802934","294-9272 lunch, seafood & eat it ","corner of Duval & Fleming ","Key West","FL",1996,"(*)","Restaurants & Cafes","",NA,NA,NA,NA
"General Coordinates Used",24.555059,"-81.779987","PO Box 4974, 33041 296-6633/(800) 448-8550","","Key West","FL",1996,"","Travel/Tour Operators","",NA,NA,NA,NA
"General Coordinates Used",24.555059,"-81.779987","(Queens for nights!)","","Key West","FL",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"Found",24.547154,"-81.788282","pier at end of Reynolds St. ","","Key West","FL",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"Found",24.561146,"-81.801264","296-4608, 3-hr reef trip & sunset cruise on 'SS Sunshine' ","Key West Bright marina","Key West","FL",1996,"","Travel/Tour Operators","",NA,NA,NA,NA
"Found",24.552568,"-81.800562","294-4603/(800) 535-7797","PO Box 1208","Key West","FL",1996,"(IGTA)","Info Lines & Services","",NA,NA,NA,NA
"Found",24.553851,"-81.801316","(Queens for days!)","","Key West","FL",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",24.555418,"-81.784172","296-7134, variety of cruises","","Key West","FL",1996,"","Travel/Tour Operators","",NA,NA,NA,NA
"General Coordinates Used",27.798081,"-82.797325","(800) 346-5592, gay realtor at your service, no rentals","","Madeira Beach","FL",1996,"","Accommodations","",NA,NA,NA,NA
"Found",28.138409,"-80.580189","nights","","Melbourne","FL",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"Found",28.078221,"-80.600536","","","Melbourne","FL",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"Found",25.731489,"-80.157269","","","Miami","FL",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"Found",25.679228,"-80.256602","on Old Cutler Rd.","","Miami","FL",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",25.76168,"-80.19179","hitchhikers","","Miami","FL",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",25.76168,"-80.19179","(900) 287-MEET, talk and/or meet w/ other men from the area at only $1.98 per minute","","Miami","FL",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",25.735525,"-80.237719","(800) 346-5592, gay realtor at your service, no rentals","","Miami","FL",1996,"","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",25.735525,"-80.237719","759-3661","","Miami","FL",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",26.142036,"-81.79481 ","455-8833 ","","Naples","FL",1996,"(MW),(SW)","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",26.142036,"-81.79481 ","(800) 346-5592, gay realtor at your service, no rentals","","Naples","FL",1996,"","Accommodations","",NA,NA,NA,NA
"Found",26.263907,"-81.824499","S. of the Ritz","","Naples","FL",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"Found",28.547912,"-81.397649","(at Parliament House) 425-7571, 9pm-2am ","","Orlando","FL",1996,"","Erotica","Parliament's address is 410 N. Orange Blossom Tr.",NA,NA,NA,NA
"Found",28.507431,"-81.397649","(at The Complex) 422-6826 noon-2am","","Orlando","FL",1996,"(*),(MW),(D),(S)","Bars","Complex's address is 3400 S. Orange Blossom Tr.",NA,NA,NA,NA
"Found",28.507431,"-81.397649","(at The Complex) 843-6334 4pm-2am ","","Orlando","FL",1996,"(M),(L)","Bars","Complex's address is 3400 S. Orange Blossom Tr.",NA,NA,NA,NA
"Found",28.371175,"-81.517979","Paradise Island, Disney World
 employee night Th","","Orlando","FL",1996,"(*),(GF),(D)","Bars","",NA,NA,NA,NA
"Found",28.507431,"-81.397649","(at The Complex) 420-9890 24hrs","","Orlando","FL",1996,"(MO),(PC)","Gyms & Health Clubs","Complex's address is 3400 S. Orange Blossom Tr.",NA,NA,NA,NA
"Found",28.547912,"-81.397649","(at Parliament House) 425-7571 8pm-2am","","Orlando","FL",1996,"(*),(M),(D),(E),(YC)","Bars","Parliament's address is 410 N. Orange Blossom Tr.",NA,NA,NA,NA
"General Coordinates Used",28.538383,"-81.378927","(900) 38M-ATCH, meet and/or talk w/other men from the area, at only 98¢ per minute ","","Orlando","FL",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",28.538383,"-81.378927","(800) 346-5592, gay realtor at your service, no rentals","","Orlando","FL",1996,"","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",28.538383,"-81.378927","843-4297, 24hrs, touchtone helpline, extensive referrals ","","Orlando","FL",1996,"","Info Lines & Services","",NA,NA,NA,NA
"Found",28.543706,"-81.373624","","","Orlando","FL",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",28.538383,"-81.378927","396-7751 full brkfst, patio","","Orlando","FL",1996,"(MW),(SW)","Accommodations","",NA,NA,NA,NA
"Found",28.507431,"-81.397649","(at The Complex) 857-1609 noon-2am ","","Orlando","FL",1996,"(*),(M)","Bars","Complex's address is 3400 S. Orange Blossom Tr.",NA,NA,NA,NA
"Found",28.558978,"-81.378866","PO Box 568041, 32856 6:30pm 1st Th, meets at the Radisson Hotel","","Orlando","FL",1996,"","Info Lines & Services","",NA,NA,NA,NA
"Found",28.547912,"-81.397649","(at Parliament House) 425-7571, 10pm-2am ","","Orlando","FL",1996,"","Bookstores/Retail Shops","Parliament's address is 410 N. Orange Blossom Tr.",NA,NA,NA,NA
"General Coordinates Used",28.538383,"-81.378927","PO Box 689, 32802 843-6671 B&B, hot tub","","Orlando","FL",1996,"(M)","Accommodations","",NA,NA,NA,NA
"Found",28.547912,"-81.397649","(at Parliament House) 425-7571 6pm-2am","","Orlando","FL",1996,"(M),(CW)","Bars","Parliament's address is 410 N. Orange Blossom Tr.",NA,NA,NA,NA
"Found",28.547912,"-81.397649","(at Parliament House) 425-7571x711 24hrs","","Orlando","FL",1996,"(MW)","Restaurants & Cafes","Parliament's address is 410 N. Orange Blossom Tr.",NA,NA,NA,NA
"General Coordinates Used",30.176591,"-85.805488","1/2 mi. W. of Ramsgate Harbor","","Panama City","FL",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",30.421309,"-87.216915","Ft. Picken's Beach","","Pensacola","FL",1996,"Cruisy Area,(N),(AYOR)","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",30.421309,"-87.216915","(800) 346-5592, gay realtor at your service, no rentals","","Pensacola","FL",1996,"","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",30.421309,"-87.216915","Rte. 399, 2 mi. E. of Gulf Island sign, towards Navarre Beach ","","Pensacola","FL",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"Found",27.319488,"-82.581975","","","Sarasota","FL",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",27.336465,"-82.531012","(800) 346-5592, gay realtor at your service, no rentals","","Sarasota","FL",1996,"","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",27.767601,"-82.640291","below 8th St,","","St. Petersburg","FL",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",27.767601,"-82.640291","(800) 346-5592, gay realtor at your service, no rentals","","St. Petersburg","FL",1996,"","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",27.767601,"-82.640291","586-4297, 7pm-11pm, info & referrals ","","St. Petersburg","FL",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",30.438256,"-84.280733","SW on Rte. 373","","Tallahassee","FL",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",27.950575,"-82.457178","PO Box 8092, 33674 (AA#) gay men's naturist group","","Tampa","FL",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",27.950575,"-82.457178","(800) 346-5592, gay realtor at your service, no rentals","","Tampa","FL",1996,"","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",28.054752,"-82.413829","","","Tampa","FL",1996,"(M),(CW)","Bars","located in the description of Baxter's ",NA,NA,NA,NA
"Found",27.970749,"-82.579284","Campbell Causeway ","","Tampa","FL",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",27.950575,"-82.457178","PO Box 2650, Brandon, 33509
 689-7566","","Tampa","FL",1996,"","Publications","",NA,NA,NA,NA
"Found",27.058503,"-82.444011","walk 1/2 mi. S.","","Venice","FL",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",27.099778,"-82.454263","(800) 346-5592, gay realtor at your service, no rentals","","Venice","FL",1996,"","Accommodations","",NA,NA,NA,NA
"Found",26.824956,"-80.043057","","","West Palm Beach","FL",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",26.715342,"-80.053375","summers","","West Palm Beach","FL",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",26.671834,"-80.05526","(800) 346-5592, gay realtor at your service, no rentals","","West Palm Beach","FL",1996,"","Accommodations","",NA,NA,NA,NA
"Found",28.59375,"-81.317328 ","street bordering Ward Memorial Park ","","Winter Park","FL",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",28.599808,"-81.339296","(800) 346-5592, gay realtor at your service, no rentals","","Winter Park","FL",1996,"","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",26.211756,"-80.211918","263-5970 rental properties ","","Seaview","FL",1996,"(MW)","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",28.612219,"-80.807554","","","Titusville","FL",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",27.742813,"-82.750454","(800) 346-5592, gay realtor at your service, no rentals","","St. Petersburg Beach","FL",1996,"","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",29.025819,"-80.926998","(800) 346-5592, gay realtor at your service, no rentals","","New Smyrna Beach","FL",1996,"","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",29.430251,"-81.510629","698-2020/(800) 634-3968 tenting sites & RV park","Rte. 2 Box 25","Crescent City","FL",1996,"(GF),(SW)","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",28.835451,"-82.331395","","","Inverness","FL",1996,"","Accommodations,Info Lines & Services","",NA,NA,NA,NA
"Found",25.784026,"-80.137479","after midnight","","South Beach","FL",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",25.782612,"-80.134077","(800) 346-5592, gay realtor at your service, no rentals","","South Beach","FL",1996,"","Accommodations","",NA,NA,NA,NA
"Found",25.777421,"-80.13817","673-6665 B&B","721 Michigan Ave.","South Beach","FL",1996,"(MW),(IGTA)","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",25.782612,"-80.134077","(800) 538-3616 hotel reservations & vacation rentals","","South Beach","FL",1996,"(IGTA)","Accommodations","",NA,NA,NA,NA
"Found",25.782686,"-80.130145","12th & Ocean ","","South Beach","FL",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",25.782612,"-80.134077","666-0163/ (800) 443-8244 reservation service, best locations ","","South Beach","FL",1996,"","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",25.85398,"-80.133088","674-1197 '20s vintage Mediterranean Deco two-story adjacent to the historic Art Deco district ","","South Beach","FL",1996,"(MO),(SW),(N),(IGTA)","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",26.708398,"-80.230602","RPB Blvd. Box 384, Royal Palm Beach 798-4072/(800) 344-0335","","Palm Beach","FL",1996,"(MW),(SW)","Accommodations","",NA,NA,NA,NA
"Found",33.958537,"-83.37557","Clayton & College Sts.","","Athens","GA",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"Found",33.951279,"-83.373609","549-9368, 7pm Mon","Memorial Hall Rm. 213","Athens","GA",1996,"","Info Lines & Services","",NA,NA,NA,NA
"Found",33.785086,"-84.373803","","","Atlanta","GA",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",33.748995,"-84.387982","PO Box 8375, 30306 874-3976, 18th annual raft race & pageant (see ad front color section)","","Atlanta","GA",1996,"","Travel/Tour Operators","",NA,NA,NA,NA
"General Coordinates Used",33.748995,"-84.387982","PO Box 8916, 31106 525-3821, weekly bar & restaurant guide","","Atlanta","GA",1996,"","Publications","",NA,NA,NA,NA
"General Coordinates Used",33.813719,"-84.353775","Cheshire Bridge Rd. ","","Atlanta","GA",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",33.748995,"-84.387982","WRFG 89.3 FM 7:30pm-8:30pm Sun, lesbigay radio program","","Atlanta","GA",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",33.748995,"-84.387982","892-0661, 6pm-11pm, info & counseling","","Atlanta","GA",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",34.075376,"-84.29409","667-0793 full brkfst, limo service","in Alpharetta","Atlanta","GA",1996,"(MO),(SW),(N)","Accommodations","",NA,NA,NA,NA
"Found",33.765506,"-84.349145","hip & funky area w/ too many restaurants & shops to list","S. of Ponce de Leon Ave.","Atlanta","GA",1996,"","Restaurants & Cafes","",NA,NA,NA,NA
"General Coordinates Used",33.748752,"-84.387684","PO Box 50374, 30302 239-8184, 4pm 1st Sun, social/political org.","","Atlanta","GA",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",33.748995,"-84.387982","892-8111","","Atlanta","GA",1996,"(MW)","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",33.748995,"-84.387982","(800) 346-5592, gay realtor at your service, no rentals","","Atlanta","GA",1996,"","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",33.813719,"-84.353775","(at the Atlanta Gay Center) 876-5372, bi-monthly ","","Atlanta","GA",1996,"","Publications","Center's address is 71 12th St. NE",NA,NA,NA,NA
"General Coordinates Used",33.748995,"-84.387982","377-4258","","Atlanta","GA",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",33.755711,"-84.388372","642-1313 luxury penthouse in downtown Atlanta ","","Atlanta","GA",1996,"(SW)","Accommodations","",NA,NA,NA,NA
"Found",33.407798,"-82.135132","","","Augusta","GA",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",32.460976,"-84.987709","uptown","","Columbus","GA",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"Found",32.845472,"-84.848281","at Robin Lake Beach ","","Columbus","GA",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",34.297879,"-83.824066","","","Gainesville","GA",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"Found",32.833179,"-83.615214","","","Macon","GA",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"Found",32.000215,"-80.845666","","","Savannah","GA",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",32.080899,"-81.091203 ","(800) 346-5592, gay realtor at your service, no rentals","","Savannah","GA",1996,"","Accommodations","",NA,NA,NA,NA
"Found",32.071502,"-81.094953","Bull St.","","Savannah","GA",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"Found",33.598611,"-85.045833","","","Carrollton","GA",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",21.309885,"-157.85814","(800) 346-5592, gay realtor at your service, no rentals","","Honolulu, Oahu","HI",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",21.309885,"-157.85814","(312) 857-0801/(312) 857-0805 (fax) see ad in center National Section","","Honolulu, Oahu","HI",1996,"","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",21.309885,"-157.85814","PO Box 88245, 96830 923-2400/ (800) 735-6600 also publishes semi-annual 'Pocket Guide to Hawaii', single copy $4","","Honolulu, Oahu","HI",1996,"(IGTA)","Travel/Tour Operators","",NA,NA,NA,NA
"General Coordinates Used",21.309885,"-157.85814","PO Box 4157, 96812-4157 735-9103","","Honolulu, Oahu","HI",1996,"(IGTA)","Travel/Tour Operators","",NA,NA,NA,NA
"Found",21.297815,"-157.837948","947-9988","1486 S. King St.","Honolulu, Oahu","HI",1996,"","Bars","address from previous entry's description",NA,NA,NA,NA
"Found",21.279343,"-157.828481","2nd flr., Waikiki Shopping Plaza 924-3006, at Seaside & Kalakaua ","","Honolulu, Oahu","HI",1996,"","Travel/Tour Operators","",NA,NA,NA,NA
"Found",21.289969,"-157.847657","nr. Waikiki Yacht Club","","Honolulu, Oahu","HI",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",21.309885,"-157.85814","737-6275, call for an appt.","","Honolulu, Oahu","HI",1996,"","Bookstores/Retail Shops","",NA,NA,NA,NA
"Found",21.26791,"-157.82247","Kapiolani Park ","","Honolulu, Oahu","HI",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"Found",21.261983,"-157.805999","bushes above hwy. & below light house","","Honolulu, Oahu","HI",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",19.639994,"-155.996926","PO Box 5252, 96745 329-8676/ (800) 528-2456 plantation-style B&B on a gated acre estate","","Kailua-Kona, Hawaii","HI",1996,"(MW),(IGTA)","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",19.639994,"-155.996926","5 mi. S. of Airport ","","Kailua-Kona, Hawaii","HI",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"Found",19.579266,"-155.966671","","","Kailua-Kona, Hawaii","HI",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"Found",21.397396,"-157.727218 ","","","Kailua, Oahu","HI",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"Found",19.639103,"-155.993626","","","Kailua, Oahu","HI",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",20.878333,"-156.6825","244-9673 (AA#) Wed 8pm, Sun 7:30am","","Lahaina, Maui","HI",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",20.915891,"-156.695939","along Beach Walk ","","Lahaina, Maui","HI",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",20.878333,"-156.6825","PO Box 424, Puuene, 96784 875-0625","","Lahaina, Maui","HI",1996,"","Travel/Tour Operators","",NA,NA,NA,NA
"General Coordinates Used",20.882371,"-156.681619","PO Box 5042, Kahului, 96732 872-6061, newsletter avail.","","Lahaina, Maui","HI",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",20.882371,"-156.681619","(800) 346-5592, gay realtor at your service, no rentals","","Lahaina, Maui","HI",1996,"","Info Lines & Services","",NA,NA,NA,NA
"Found",20.631622,"-156.444792","","","Makena, Maui","HI",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",22.19457,"-159.406945","PO Box 612, 96754 828-1280/ (800) 837-1782 Shakti Gawain's paradise home, set on a cliff surrounded by ocean & mountains","","Kilauea, Kauai","HI",1996,"(GF)","Accommodations","",NA,NA,NA,NA
"Found",22.220471,"-159.417479","(inquire locally) ","","Kilauea, Kauai","HI",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",22.19457,"-159.406945","PO Box 717, 96754 828-1626 private clifftop hideaway overlooking valley of jungle & waterfalls, nr. beaches","","Kilauea, Kauai","HI",1996,"(M),(N),(WC)","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",22.19457,"-159.406945","PO Box 450, 96754 828-6691 hilltop B&B w/ oceanview, hot tub","","Kilauea, Kauai","HI",1996,"(MW)","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",22.205929,"-159.497565","(800) 346-5592, gay realtor at your service, no rentals","","Hanalei, Kauai","HI",1996,"","Info Lines & Services","",NA,NA,NA,NA
"Found",22.203373,"-159.495245","826-6277 noon-2am, luau Fri, live bands wknds, CW  Mon, more gay Fri-Sat","Kuhio Hwy.","Hanalei, Kauai","HI",1996,"(GF),(F),(E),(WC)","Bars","",NA,NA,NA,NA
"Found",22.041632,"-159.334407","off Rte. 56 ","","Anahola, Kauai","HI",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",22.150811,"-159.305912","Box 699, 96703 822-9451 Asian-Pacific country villa nestled in terraced hillside gardens overlooking Anahola Bay","","Anahola, Kauai","HI",1996,"(*),(GF),(SW)","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",22.150811,"-159.305912","PO Box 562, 96703 822-6966/ (800) 262-4652, full brkfst, beachside","","Anahola, Kauai","HI",1996,"(MW),(IGTA)","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",22.116944,"-159.299444","Rte. 56 at dirt rd. S. of 12 mi. marker","","Anahola, Kauai","HI",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",20.739941,"-156.454187","PO Box 959, Kihei, 96753 874-8645/ (800) 871-8645 nr. nude beach, full brkfst, exclusively gay","","Kihei, Maui","HI",1996,"(M),(SW),(N)","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",20.739941,"-156.454187","PO Box 74030, Los Angeles, 90004 (213) 737-0731 completely furnished vacation rentals","","Kihei, Maui","HI",1996,"(M)","Accommodations","",NA,NA,NA,NA
"Found",20.731438,"-156.452933","","","Kihei, Maui","HI",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",20.853869,"-156.310337","572-1589/(800) 326-5336, guide & driver for tours of the hidden Maui ","","Makawao, Maui","HI",1996,"","Travel/Tour Operators","",NA,NA,NA,NA
"General Coordinates Used",20.853869,"-156.310337","PO Box 1077, 96768 572-9555/ (800) 367-5221, condo reservation service","","Makawao, Maui","HI",1996,"","Travel/Tour Operators","",NA,NA,NA,NA
"General Coordinates Used",19.488983,"-155.910125","PO Box 930, 96704 328-9212/ (800) 328-9212 renovated plantation home on a working macadamia nut & coffee plantation, full brkfst","","Captain Cook, Hawaii","HI",1996,"(*),(MW),(SW),(N),(IGTA)","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",19.49544,"-154.949411","RR 2 Box 4500, Beach Rd., 96778 965-7828/ (800) 800-6886 coastal retreat, conference center & campground w/in Hawaii's largest conservation area","","Pahoa, Hawaii","HI",1996,"(GF),(SW),(IGTA)","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",19.49544,"-154.949411","RR 2 Box 4023, 96778 965-0830 country retreat on 5 secluded acres, nr. hiking, snorkeling, warm ponds","","Pahoa, Hawaii","HI",1996,"(GF)","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",19.49544,"-154.949411","PO Box 1030, 96778 965-9175 B&B nestled in the heart of old Hawaii on 22 secluded tropical acres","","Pahoa, Hawaii","HI",1996,"(MW)","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",21.925571,"-159.527211","(800) 346-5592, gay realtor at your service, no rentals","","Kalaheo, Kauai","HI",1996,"","Info Lines & Services","Kalaheo is misspelled in the guides (p. 280)",NA,NA,NA,NA
"General Coordinates Used",20.755717,"-155.987988","PO Box 118, 96713 248-8935 2 full units","","Hana, Maui","HI",1996,"(GF),(WC)","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",20.755717,"-155.987988","PO Box 248, 96713 248-7868/ (800) 228-4262, tropical cottages & houses in exotic gardens","","Hana, Maui","HI",1996,"(M),(SW),(IGTA)","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",20.755717,"-155.987988","248-7742/ (800 548-0478 accommodations reservations","","Hana, Maui","HI",1996,"(GF)","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",20.791352,"-156.324877","PO Box 111, 96790 878-2528 centrally located hideaway on the lush, rolling green slopes of Mt. Haleakala, HIV+ welcome","","Kula, Maui","HI",1996,"(*),(MW),(WC)","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",20.238155,"-155.833825","PO Box 271, 96719 889-6187 B&B","","Hawi, Hawaii","HI",1996,"(GF),(WC)","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",20.911399,"-156.251594","SR Box 9, 96708 572-9726/ (800) 258-8588 suites, cottages, hot tub","","Haiku, Maui","HI",1996,"(GF),(WC),(IGTA)","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",20.911399,"-156.251594","PO Box 675, 96708 572-1176 priv. studio w/ oceanview","","Haiku, Maui","HI",1996,"(GF)","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",20.079467,"-155.469539","PO Box 1375, 96727 775-7222 richly landscaped five-acre B&B w/cottages built on ocean point","","Honokaa, Hawaii","HI",1996,"(GF)","Accommodations","",NA,NA,NA,NA
"Found",21.379079,"-157.930254","487-2944","Aiea Shopping Ctr.","Aiea, Oahu","HI",1996,"","Erotica","",NA,NA,NA,NA
"Found",21.379079,"-157.930254","Aiea Shopping Ctr., 2nd flr. 486-3103, 24hrs","","Aiea, Oahu","HI",1996,"","Erotica","",NA,NA,NA,NA
"General Coordinates Used",19.427231,"-155.233802","PO Box 758, 96785 967-7986/ (800) 455-3803","","Volcano Village ","HI",1996,"(GF),(WC),(IGTA)","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",19.202521,"-155.477252","928-8212 veggie brkfst, tent sites","","Pahala","HI",1996,"(W)","Accommodations","",NA,NA,NA,NA
