"description","streetaddress","city","state","amenityfeatures","type","status","lat","lon","Year","notes","title","unclear_address","full.address","geoAddress"
"800/346-5592 gay realtor at your service, no rentals ",NA,"Jacksonville Beach","FL","","Info Lines & Services","General Coordinates Used","30.284122","-81.396134",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Elizabeth","NJ","","Info Lines & Services","General Coordinates Used","40.665795","-74.218238",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Cincinnati ","OH","","Info Lines & Services","General Coordinates Used","39.103118","-84.51202",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Fort Worth","TX","","Info Lines & Services","General Coordinates Used","32.755488","-97.330766",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Lexington","KY","","Info Lines & Services","General Coordinates Used","38.040584","-84.503716",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"San Francisco","CA","","Info Lines & Services","General Coordinates Used","37.77493","-122.419415",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"New Hope","PA","","Info Lines & Services","General Coordinates Used","40.369499","-74.953453",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Corpus Christi","TX","","Info Lines & Services","General Coordinates Used","27.796731","-97.388945",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Gulfport","MS","","Info Lines & Services","General Coordinates Used","30.36742","-89.092816",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Cherry Hill","NJ","","Info Lines & Services","General Coordinates Used","39.926813","-75.024631",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Fort Lauderdale","FL","","Info Lines & Services","General Coordinates Used","26.122439","-80.137317",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Des Moines","IA","","Info Lines & Services","General Coordinates Used","41.586835","-93.624959",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"New York City","NY","","Info Lines & Services","General Coordinates Used","40.78306","-73.971249",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Raleigh ","NC","","Info Lines & Services","General Coordinates Used","35.77959","-78.638179",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"San Francisco","CA","","Info Lines & Services","General Coordinates Used","37.77493","-122.419415",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Colorado Springs","CO","","Info Lines & Services","General Coordinates Used","38.833882","-104.821363",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Northampton","MA","","Info Lines & Services","General Coordinates Used","42.32509","-72.641201",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Long Beach","CA","","Info Lines & Services","General Coordinates Used","33.783824","-118.11409",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Atlanta","GA","","Info Lines & Services","General Coordinates Used","33.748995","-84.387982",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Detroit","MI","","Info Lines & Services","General Coordinates Used","42.331427","-83.045754 ",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Hilton Head","SC","","Info Lines & Services","General Coordinates Used","32.175496","-80.770569",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Johnson City","TN","","Info Lines & Services","General Coordinates Used","36.31344","-82.353473",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Pittsburgh","PA","","Info Lines & Services","General Coordinates Used","40.440625","-79.995886",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Long Island–Nassau County","NY","","Info Lines & Services","General Coordinates Used","40.654615","-73.559413",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Daytona Beach","FL","","Info Lines & Services","General Coordinates Used","29.210815","-81.022833",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Memphis","TN","","Info Lines & Services","General Coordinates Used","35.149534","-90.04898",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Charleston","SC","","Info Lines & Services","General Coordinates Used","32.776475","-79.931051",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Catskill Mtns","NY","","Info Lines & Services","General Coordinates Used","42.009291","-74.382112",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Madeira Beach","FL","","Info Lines & Services","General Coordinates Used","27.798081","-82.797325",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Nashville","TN","","Info Lines & Services","General Coordinates Used","36.162664","-86.781602",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Hyattsville","MD","","Info Lines & Services","General Coordinates Used","38.955944","-76.94553",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"East Bay","CA","","Info Lines & Services","General Coordinates Used","37.871523","-122.273042",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Lahaina, Maui","HI","","Info Lines & Services","General Coordinates Used","20.882371","-156.681619",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Champaign/Urbana","IL","","Info Lines & Services","General Coordinates Used","40.11642","-88.243383",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Key West","FL","","Info Lines & Services","General Coordinates Used","24.555059","-81.779987",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Spokane","WA","","Info Lines & Services","General Coordinates Used","47.65878","-117.426047",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Columbia","SC","","Info Lines & Services","General Coordinates Used","34.00071","-81.034814",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Fort Myers","FL","","Info Lines & Services","General Coordinates Used","26.640628","-81.872308",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Charlotte","NC","","Info Lines & Services","General Coordinates Used","35.227087","-80.843127",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Sacramento","CA","","Info Lines & Services","General Coordinates Used","38.581572","-121.4944",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Miami Beach","FL","","Info Lines & Services","General Coordinates Used","25.790654","-80.130045",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Silver Spring","MD","","Info Lines & Services","General Coordinates Used","38.990666","-77.026088",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Kalaheo, Kauai","HI","","Info Lines & Services","General Coordinates Used","21.925571","-159.527211",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Russian River","CA","","Info Lines & Services","General Coordinates Used","38.501858","-122.99611",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Clearwater","FL","","Info Lines & Services","General Coordinates Used","27.965853","-82.800103",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Ann Arbor","MI","","Info Lines & Services","General Coordinates Used","42.280826","-83.743038",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Durham","NC","","Info Lines & Services","General Coordinates Used","35.994033","-78.898619",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Boca Raton","FL","","Info Lines & Services","General Coordinates Used","26.352306","-80.084329",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Cleveland","OH","","Info Lines & Services","General Coordinates Used","40.798947","-81.378447",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Kansas City","MO","","Info Lines & Services","General Coordinates Used","39.099727","-94.578567",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Rehoboth Beach","DE","","Info Lines & Services","General Coordinates Used","38.720945","-75.076014",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Pensacola","FL","","Info Lines & Services","General Coordinates Used","30.421309","-87.216915",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Reno","NV","","Info Lines & Services","General Coordinates Used","39.529919","-119.814269",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Dover","DE","","Info Lines & Services","General Coordinates Used","39.158168","-75.524368",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Nantucket","MA","","Info Lines & Services","General Coordinates Used","41.28347","-70.099451",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Toledo","OH","","Info Lines & Services","General Coordinates Used","41.652805","-83.537867",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Paducah","KY","","Info Lines & Services","General Coordinates Used","37.083389","-88.600048",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"San Diego","CA","","Info Lines & Services","General Coordinates Used","32.715738","-117.161084",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"St. Louis","MO","","Info Lines & Services","General Coordinates Used","38.627003","-90.199404",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Greenbelt","MD","","Info Lines & Services","General Coordinates Used","39.004554","-76.875528",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Arlington","TX","","Info Lines & Services","General Coordinates Used","32.756623","-97.136774",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Oklahoma City","OK","","Info Lines & Services","General Coordinates Used","35.46756","-97.516428 ",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Lancaster","PA","","Info Lines & Services","General Coordinates Used","40.037876","-76.305514",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Austin","TX","","Info Lines & Services","General Coordinates Used","30.267153","-97.743061",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Birmingham","AL","","Info Lines & Services","General Coordinates Used","33.38376","-87.122124 ",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Gainesville","FL","","Info Lines & Services","General Coordinates Used","29.651634","-82.324826",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Beltsville","MD","","Info Lines & Services","General Coordinates Used","39.034832","-76.907474",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Tucson","AZ","","Info Lines & Services","General Coordinates Used","32.222607","-110.974711",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"St. Petersburg Beach","FL","","Info Lines & Services","General Coordinates Used","27.742813","-82.750454",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"College Park","MD","","Info Lines & Services","General Coordinates Used","38.989697","-76.93776",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Portsmouth","NH","","Info Lines & Services","General Coordinates Used","43.071755","-70.762553 ",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Hoboken","NJ","","Info Lines & Services","General Coordinates Used","40.743991","-74.032363",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Potomac","MD","","Info Lines & Services","General Coordinates Used","39.018165","-77.208591",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Buffalo","NY","","Info Lines & Services","General Coordinates Used","42.886447","-78.878369",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Wilmington","NC","","Info Lines & Services","General Coordinates Used","34.210389","-77.886812",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Philadelphia","PA","","Info Lines & Services","General Coordinates Used","39.946719","-75.168902",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Baltimore","MD","","Info Lines & Services","General Coordinates Used","39.290385","-76.612189",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Allentown","PA","","Info Lines & Services","General Coordinates Used","40.602294","-75.47141",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Seattle","WA","","Info Lines & Services","General Coordinates Used","47.60621","-122.332071",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Wilmington","DE","","Info Lines & Services","General Coordinates Used","39.744655","-75.548391",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Toms River","NJ","","Info Lines & Services","General Coordinates Used","39.953736","-74.197946",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Harrisburg","PA","","Info Lines & Services","General Coordinates Used","40.273191","-76.886701",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Houma","LA","","Info Lines & Services","General Coordinates Used","29.59577","-90.719535",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"New Haven","CT","","Info Lines & Services","General Coordinates Used","41.308274","-72.927883",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"New York City","NY","","Info Lines & Services","General Coordinates Used","40.78306","-73.971249",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Troy","MI","","Info Lines & Services","General Coordinates Used","42.60641","-83.149775",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Plainfield","NJ","","Info Lines & Services","General Coordinates Used","40.633714","-74.407374",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Orange","NJ","","Info Lines & Services","General Coordinates Used","40.770619","-74.232648",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Norfolk","VA","","Info Lines & Services","General Coordinates Used","36.850769","-76.285873",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Cocoa Beach","FL","","Info Lines & Services","General Coordinates Used","28.320007","-80.607551",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"South Bend","IN","","Info Lines & Services","General Coordinates Used","41.665049","-86.075836",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Biloxi","MS","","Info Lines & Services","General Coordinates Used","30.396032","-88.885308",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Jersey City","NJ","","Info Lines & Services","General Coordinates Used","40.717755","-74.043143",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Bellingham","WA","","Info Lines & Services","General Coordinates Used","48.751911","-122.478685",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Flagstaff","AZ","","Info Lines & Services","General Coordinates Used","35.198284","-111.651302",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Indianapolis","IN","","Info Lines & Services","General Coordinates Used","39.768403","-86.158068",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"St. Petersburg","FL","","Info Lines & Services","General Coordinates Used","27.767601","-82.640291",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Chicago","IL","","Info Lines & Services","General Coordinates Used","41.878114","-87.629798",2000,"Listed under ""Chicago-North Side""",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Houston","TX","","Info Lines & Services","General Coordinates Used","29.760427","-95.369803",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Topeka","KS","","Info Lines & Services","General Coordinates Used","39.047345","-95.675158",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"","MN","","Info Lines & Services","General Coordinates Used","46.729553","-94.6859",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Chicago","IL","","Info Lines & Services","General Coordinates Used","41.878114","-87.629798",2000,"Listed under ""Chicago-South Side""",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"San Francisco","CA","","Info Lines & Services","General Coordinates Used","37.77493","-122.419415",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Louisville","KY","","Info Lines & Services","General Coordinates Used","38.252665","-85.758456 ",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Savannah","GA","","Info Lines & Services","General Coordinates Used","32.080899","-81.091203 ",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Los Angeles","CA","","Info Lines & Services","General Coordinates Used","34.052234","-118.243685",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Miami","FL","","Info Lines & Services","General Coordinates Used","25.735525","-80.237719",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Bethany Beach","DE","","Info Lines & Services","General Coordinates Used","38.539556","-75.055181",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Dayton","OH","","Info Lines & Services","General Coordinates Used","39.758948","-84.191607",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Naples","FL","","Info Lines & Services","General Coordinates Used","26.142036","-81.79481 ",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Jacksonville","FL","","Info Lines & Services","General Coordinates Used","30.332184","-81.655651 ",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Milwaukee","WI","","Info Lines & Services","General Coordinates Used","43.038903","-87.906474",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Las Vegas","NV","","Info Lines & Services","General Coordinates Used","36.171563","-115.139101Q",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Carson City","NV","","Info Lines & Services","General Coordinates Used","39.163798","-119.767403",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"New York City","NY","","Info Lines & Services","General Coordinates Used","40.78306","-73.971249",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Little Rock","AR","","Info Lines & Services","General Coordinates Used","34.746481","-92.289595",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Fire Island","NY","","Info Lines & Services","General Coordinates Used","40.659792","-73.089962",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Atlantic City","NJ","","Info Lines & Services","General Coordinates Used","39.373029","-74.436972",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Roanoke","VA","","Info Lines & Services","General Coordinates Used","37.27097","-79.941427",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Portland","OR","","Info Lines & Services","General Coordinates Used","45.515232","-122.678385",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Hanalei, Kauai","HI","","Info Lines & Services","General Coordinates Used","22.205929","-159.497565",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Albuquerque","NM","","Info Lines & Services","General Coordinates Used","35.075459","-106.564133",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Utica","NY","","Info Lines & Services","General Coordinates Used","43.100903","-75.232664",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Rockville","MD","","Info Lines & Services","General Coordinates Used","39.083997","-77.152758",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Honolulu, Oahu","HI","","Info Lines & Services","General Coordinates Used","21.309885","-157.85814",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Palm Springs","CA","","Info Lines & Services","General Coordinates Used","33.830296","-116.545292",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"East Stroudsburg ","PA","","Info Lines & Services","General Coordinates Used","41.003052","-75.181755",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Rochester","NY","","Info Lines & Services","General Coordinates Used","43.156578","-77.608846",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Santa Fe","NM","","Info Lines & Services","General Coordinates Used","35.686975","-105.937799",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Knoxville","TN","","Info Lines & Services","General Coordinates Used","35.960638","-83.920739",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Asheville","NC","","Info Lines & Services","General Coordinates Used","35.595058","-82.551487",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Greensboro","NC","","Info Lines & Services","General Coordinates Used","36.072635","-79.791975",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Provincetown","MA","","Info Lines & Services","General Coordinates Used","42.054714","-70.184601",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Richmond","VA","","Info Lines & Services","General Coordinates Used","37.540725","-77.436048",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Arlington","VA","","Info Lines & Services","General Coordinates Used","38.87997","-77.10677",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"San Antonio","TX","","Info Lines & Services","General Coordinates Used","29.425191","-98.494592",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Long Island–Suffolk County","NY","","Info Lines & Services","General Coordinates Used","40.984878","-72.615117",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Laurel","MD","","Info Lines & Services","General Coordinates Used","39.099275","-76.848306",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Virginia Beach","VA","","Info Lines & Services","General Coordinates Used","36.851644","-75.979219",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Sarasota","FL","","Info Lines & Services","General Coordinates Used","27.336465","-82.531012",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Chicago","IL","","Info Lines & Services","General Coordinates Used","41.878114","-87.629798",2000,"Listed under ""Chicago-Overview""",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Grand Rapids","MI","","Info Lines & Services","General Coordinates Used","42.96336","-85.668086",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Bridgeport","CT","","Info Lines & Services","General Coordinates Used","41.179226","-73.189438",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Columbus","OH","","Info Lines & Services","General Coordinates Used","39.961176","-82.998794",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Chapel Hill","NC","","Info Lines & Services","General Coordinates Used","35.9132","-79.055844",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Chapel Hill","NC","","Info Lines & Services","General Coordinates Used","35.9132","-79.055844",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Charlottesville","VA","","Info Lines & Services","General Coordinates Used","38.029306","-78.476678",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals ",NA,"Los Angeles","CA","","Info Lines & Services","General Coordinates Used","34.052234","-118.243685",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Tulsa","OK","","Info Lines & Services","General Coordinates Used","36.136072","-95.985075",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Albany","NY","","Info Lines & Services","General Coordinates Used","42.652579","-73.756232",2000,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals",NA,"Dallas","TX","","Info Lines & Services","General Coordinates Used","32.776664","-96.796988",2000,"",NA,NA,NA,NA
"219/232-2522 9am-5pm Mon-Fri, limited lesbigay info, also 24hr crisis hotline 219/232-3344 ",NA,"South Bend","IN","","Info Lines & Services","General Coordinates Used","41.665049","-86.075836",2000,"",NA,NA,NA,NA
"323/469-4454 annual survival guide to lesbigay southern CA",NA,"Los Angeles","CA","","Publications","General Coordinates Used","34.052234","-118.243685",2000,"",NA,NA,NA,NA
"",NA,"San Juan","PR","Cruisy Area,(AYOR)","Cruisy Areas","Found","18.459945","-66.077944",2000,"",NA,NA,NA,NA
"Hwy 78-Natchez Trace Pkwy interchange  (5 miles N) ",NA,"Tupelo","MS","Cruisy Area,(AYOR)","Cruisy Areas","Found","34.364896","-88.674295",2000,"",NA,NA,NA,NA
"summers after dusk ",NA,"Saratoga Springs","NY","Cruisy Area,(AYOR)","Cruisy Areas","Found","43.077909","-73.784327",2000,"",NA,NA,NA,NA
"305/757-6333 club listings & more",NA,"Miami","FL","","Publications","General Coordinates Used","25.735525","-80.237719",2000,"",NA,NA,NA,NA
"Cuthbert Blvd S (off Rte 70) turn left at North Park Dr, area behind & east of the Hilton ",NA,"Cherry Hill","NJ","Cruisy Area,(AYOR)","Cruisy Areas","Found","39.925392","-75.056231",2000,"",NA,NA,NA,NA
"off E side of Rte 86  (at junction of Rtes 86 & 7), Lake Placid",NA,"Adirondack Mtns","NY","Cruisy Area,(AYOR)","Cruisy Areas","General Coordinates Used","44.279491","-73.979871",2000,"",NA,NA,NA,NA
"at 'Habana Inn' 405/525-0730 9pm-2am, clsd Mon, cover charge Sun",NA,"Oklahoma City","OK","(MW),(D),(S),(WC)","Nightclubs","Found","35.512643","-97.549351",2000,"Inn's address is 2200 NW 39th St ",NA,NA,NA,NA
"",NA,"Bradenton","FL","Cruisy Area,(AYOR)","Cruisy Areas","Found","27.448333","-82.692163",2000,"",NA,NA,NA,NA
"822 & 823 Fleming St (at William) 305/296-2131, 800/362-7477 upscale suites, sundeck ",NA,"Key West","FL","(*),(MO),(SW),(N),(TA),(GO)","Accommodations","Found","24.558207","-81.799348",2000,"",NA,NA,NA,NA
"",NA,"Bellingham","WA","Cruisy Area,(AYOR)","Cruisy Areas","Found","48.776543","-122.484679",2000,"",NA,NA,NA,NA
"Ocean Dr (nr Strathmere Ocean City bridge) beach & trails ",NA,"Ocean City","NJ","Cruisy Area,(AYOR)","Cruisy Areas","Found","39.215846","-74.643838",2000,"",NA,NA,NA,NA
"Rte 4 Killington 802/773-3333, 800/451-6108 hot tub, also tavern ",NA,"Rutland","VT","(GF),(F),(WC)","Accommodations","Found","43.583137","-72.96958",2000,"",NA,NA,NA,NA
