"title","description","streetaddress","city","state","Year","amenityfeatures","type","notes","full.address","lon","lat","geoAddress","status","unclear_address"
"Small park on west side of Center Street south side of town","","","Provo","UT",1977,"Cruisy Area","Cruising Areas","coordinates guessed based on description",", UT",-111.644203,40.234194,"unclear_coded_by_hand","General Cooordinates Used",NA
"Tin Angel","($1.00 admission)","","Salt Lake City","UT",1969,"(M),(S),(*)","Bars/Clubs","no address given",", UT",-111.891047,40.760779,"unclear_coded_by_hand","General Cooordinates Used",NA
"Trolley Square","","","Salt Lake City","UT",1977,"Cruisy Area","Cruising Areas","",", UT",-111.872421,40.757207,"unclear_coded_by_hand","Found",NA
"Trolley Square","","","Salt Lake City","UT",1976,"Cruisy Area","Cruising Areas","",", UT",-111.872421,40.757207,"unclear_coded_by_hand","Found",NA
"Trolley Square","","","Salt Lake City","UT",1975,"Cruisy Area","Cruising Areas","",", UT",-111.872421,40.757207,"unclear_coded_by_hand","Found",NA
"Trolley Square T-Room","","","Salt Lake City","UT",1979,"Cruisy Area","Cruising Areas","",", UT",-111.872421,40.757207,"unclear_coded_by_hand","Found",NA
"Trolley Square T-Room","","","Salt Lake City","UT",1978,"Cruisy Area","Cruising Areas","",", UT",-111.872421,40.757207,"unclear_coded_by_hand","Found",NA
"U. of Utah","Orson Spencer Hall Basement T-Room","","Salt Lake City","UT",1980,"Cruisy Area","Cruising Areas","",", UT",-111.84454,40.763463,"unclear_coded_by_hand","Found",NA
"U. of Utah - Orson Spencer Hall","Basement T-Room","","Salt Lake City","UT",1979,"Cruisy Area","Cruising Areas","",", UT",-111.84454,40.763463,"unclear_coded_by_hand","Found",NA
"U. of Utah - Orson Spencer Hall","Basement T-Room","","Salt Lake City","UT",1978,"Cruisy Area","Cruising Areas","",", UT",-111.84454,40.763463,"unclear_coded_by_hand","Found",NA
"U. of Utah - Orson Spencer Hall","Basement T-Room","","Salt Lake City","UT",1977,"Cruisy Area","Cruising Areas","",", UT",-111.84454,40.763463,"unclear_coded_by_hand","Found",NA
"Univ. of Utah - Orson Spencer Hall","(basement)","","Salt Lake City","UT",1976,"Cruisy Area","Cruising Areas","",", UT",-111.84454,40.763463,"unclear_coded_by_hand","Found",NA
"Univ. of Utah - Orson Spencer Hall","(basement)","","Salt Lake City","UT",1975,"Cruisy Area","Cruising Areas","",", UT",-111.84454,40.763463,"unclear_coded_by_hand","Found",NA
"Vicinity of Greyhound Bus Depot","","","Salt Lake City","UT",1980,"Cruisy Area","Cruising Areas","",", UT",-111.908549,40.763425,"unclear_coded_by_hand","Found",NA
"Vicinity of Greyhound Bus Depot","","","Salt Lake City","UT",1979,"Cruisy Area","Cruising Areas","",", UT",-111.908549,40.763425,"unclear_coded_by_hand","Found",NA
"Vicinity of Greyhound Bus Depot","","","Salt Lake City","UT",1978,"Cruisy Area","Cruising Areas","",", UT",-111.908549,40.763425,"unclear_coded_by_hand","Found",NA
"Vicinity of Greyhound Bus Depot","","","Salt Lake City","UT",1977,"Cruisy Area","Cruising Areas","",", UT",-111.908549,40.763425,"unclear_coded_by_hand","Found",NA
"Vicinity of Greyhound Bus Depot","","","Salt Lake City","UT",1976,"Cruisy Area","Cruising Areas","",", UT",-111.908549,40.763425,"unclear_coded_by_hand","Found",NA
"Vicinity of Greyhound Bus Depot","","","Salt Lake City","UT",1975,"Cruisy Area","Cruising Areas","",", UT",-111.908549,40.763425,"unclear_coded_by_hand","Found",NA
"Wasatch Baths","(was closed-possible re-opening)","2nd Ave. N.","Salt Lake City","UT",1971,"","Baths","coordinates guessed based on description","2nd Ave. N., UT",-111.871569,40.771699,"unclear_coded_by_hand","General Cooordinates Used",NA
