"ID","title","amenityfeatures","description","streetaddress","type","city","state","Year","unclear_address","uncleartype","notes","lastmodified","full.address","lon","lat","geoAddress","status"
945,"Stud","(D),(*)","(Disco) (Punkers","1535 Folsom St.","Bars/Clubs","Folsom","CA",1988,NA,"","","2/14/2022 1:06am","1535 Folsom St., Folsom, CA",-122.4143025,37.7713728,"1535 folsom st, san francisco, ca 94103, usa","Geocoded"
946,"Stud Store","","(Erotica, etc.)","960 Folsom St.","Erotic Shop","Folsom","CA",1988,NA,"","","2/14/2022 1:06am","960 Folsom St., Folsom, CA",-122.4048882,37.7793007,"960 folsom st, san francisco, ca 94107, usa","Geocoded"
947,"Trading Post Shopping Complex","(*)","(Leather, clothes, toys, etc.)","336 6th St.","Erotic Shop","Folsom","CA",1988,NA,"","","2/14/2022 1:06am","336 6th St., Folsom, CA",-121.1760583,38.6779591,"folsom, ca, usa","Geocoded"
948,"Trocadero Transfer","(P),(D),(YC),(AH),(WE)","(Disco) (AH-WE ★)","520 4th St.","Bars/Clubs","Folsom","CA",1988,NA,"","","2/14/2022 1:06am","520 4th St., Folsom, CA",-121.1602779,38.6943378,"520 4th st, folsom, ca 95630, usa","Geocoded"
949,"Watering Hole","(W),(SM),(PT),(*)","(Some W, SM)","1145 Folsom St.","Bars/Clubs","Folsom","CA",1988,NA,"","","2/14/2022 1:06am","1145 Folsom St., Folsom, CA",-121.1760583,38.6779591,"folsom, ca, usa","Geocoded"
950,"Worn Out West","","(Clothing)","1158 Howard St.","Bars/Clubs","Folsom","CA",1988,NA,"","","2/14/2022 1:06am","1158 Howard St., Folsom, CA",-122.4109331,37.777204,"1158 howard st, san francisco, ca 94103, usa","Geocoded"
951,"Yosemite Samm's","(R)","","917 Folsom St.","Restaurant","Folsom","CA",1988,NA,"","","2/14/2022 1:06am","917 Folsom St., Folsom, CA",-122.4035876,37.7797596,"917 folsom st, san francisco, ca 94107, usa","Geocoded"
955,"Alta Plaza","(R),(*)","(Very PE)","2301 Fillmore at Clay","Restaurant","Haight, Filmore & West- S.F.","CA",1988,NA,"","","2/12/2022 12:58pm","2301 Fillmore at Clay, Haight, Filmore & West- S.F., CA",-122.4344365,37.7909207,"2301 fillmore st, san francisco, ca 94115, usa","Geocoded"
956,"American Leisure Travel","(IGTA)","","5334 Geary Blvd.","Travel Service","Haight, Filmore & West- S.F.","CA",1988,NA,"","","2/12/2022 12:59pm","5334 Geary Blvd., Haight, Filmore & West- S.F., CA",-122.4768017,37.7807197,"5334 geary blvd, san francisco, ca 94121, usa","Geocoded"
957,"Bradley's Comer","(PT)","","900 Cole St.","Bars/Clubs","Haight, Filmore & West- S.F.","CA",1988,NA,"","","2/12/2022 1:00pm","900 Cole St., Haight, Filmore & West- S.F., CA",-122.4497032,37.7656683,"900 cole st, san francisco, ca 94117, usa","Geocoded"
958,"Casa Loma Hotel","(H),(*),(IGTA)","(Sauna & Sundeck)","610 Fillmore at Fell","Hotel,Travel Service","Haight, Filmore & West- S.F.","CA",1988,NA,"","","2/12/2022 1:01pm","610 Fillmore at Fell, Haight, Filmore & West- S.F., CA",-122.4308123,37.7751203,"610 fillmore st, san francisco, ca 94117, usa","Geocoded"
959,"DeLuxe","(PT),(V),(*)","","1511 Haight St.","Bars/Clubs","Haight, Filmore & West- S.F.","CA",1988,NA,"","","2/12/2022 1:02pm","1511 Haight St., Haight, Filmore & West- S.F., CA",-122.4471395,37.7697686,"1511 haight st, san francisco, ca 94117, usa","Geocoded"
960,"I-Beam","(*),(YC),(D)","(Sun. only) (Disco)","1748 Haight","Bars/Clubs","Haight, Filmore & West- S.F.","CA",1988,NA,"","","2/12/2022 1:03pm","1748 Haight, Haight, Filmore & West- S.F., CA",-122.4324936,37.7737605,"lower haight, san francisco, ca, usa","Geocoded"
961,"J.J.'s","(*),(E),(PE)","(Cruisy)","2225 Fillmore","Bars/Clubs,Cruising Areas","Haight, Filmore & West- S.F.","CA",1988,NA,"","","2/17/2022 7:57pm","2225 Fillmore, Haight, Filmore & West- S.F., CA",-122.4306182,37.7728361,"fillmore st, san francisco, ca, usa","Geocoded"
962,"La Pasada","(M),(R)","(Mexican R)","2298 Fillmore St.","Restaurant","Haight, Filmore & West- S.F.","CA",1988,NA,"","","2/12/2022 1:05pm","2298 Fillmore St., Haight, Filmore & West- S.F., CA",-122.4339111,37.7906203,"2298 fillmore st, san francisco, ca 94115, usa","Geocoded"
965,"Lombard Plaza","(H),(*)","(415) 921-2444","2026 Lombard","Hotel","Haight, Filmore & West- S.F.","CA",1988,NA,"","","2/12/2022 1:08pm","2026 Lombard, Haight, Filmore & West- S.F., CA",-122.4324936,37.7737605,"lower haight, san francisco, ca, usa","Geocoded"
966,"Maud's","(L),(D),(PT),(*)","","937 Cole St.","Bars/Clubs","Haight, Filmore & West- S.F.","CA",1988,NA,"","","2/12/2022 1:08pm","937 Cole St., Haight, Filmore & West- S.F., CA",-122.4500469,37.7652923,"937 cole st, san francisco, ca 94117, usa","Geocoded"
967,"Park Bowling Alley & R","(M)","","1855 Haight St.","Business,Restaurant","Haight, Filmore & West- S.F.","CA",1988,NA,"","","2/12/2022 1:09pm","1855 Haight St., Haight, Filmore & West- S.F., CA",-122.4526509,37.7689481,"1855 haight st, san francisco, ca 94117, usa","Geocoded"
968,"Peg's Place","(L),(OC),(D),(PT)","","4737 Geary","Bars/Clubs","Haight, Filmore & West- S.F.","CA",1988,NA,"","","2/12/2022 1:10pm","4737 Geary, Haight, Filmore & West- S.F., CA",NA,NA,"NA","Geocoded"
969,"St. Priapus Church","","(Phallic Worship)","583 Grove St.","Religious Institution","Haight, Filmore & West- S.F.","CA",1988,NA,"","","6/12/2022 12:20pm","583 Grove St., Haight, Filmore & West- S.F., CA",-122.4324936,37.7737605,"lower haight, san francisco, ca, usa","Geocoded"
970,"Trax","(PT),(*)","","1437 Haight St.","Bars/Clubs","Haight, Filmore & West- S.F.","CA",1988,NA,"","","2/12/2022 1:12pm","1437 Haight St., Haight, Filmore & West- S.F., CA",-122.4460345,37.7699782,"1437 haight st, san francisco, ca 94117, usa","Geocoded"
974,"A Little More","(L),(N),(WE),(AH)","(Some L) (Disco-D-WE only)","702 15th St. at Potrero","Bars/Clubs","Mission District","CA",1988,NA,"","","2/14/2022 1:06am","702 15th St. at Potrero, Mission District, CA",-122.4068909,37.7593844,"potrero ave, san francisco, ca, usa","Geocoded"
975,"Amelia's","(*),(L),(D)","(Disco)","647 Valencia","Bars/Clubs","Mission District","CA",1988,NA,"","","2/14/2022 1:06am","647 Valencia, Mission District, CA",-122.4214116,37.7625064,"647 valencia st, san francisco, ca 94110, usa","Geocoded"
976,"Artemis Society","(L),(R),(*)","","1199 Valencia","Restaurant","Mission District","CA",1988,NA,"","","2/14/2022 1:06am","1199 Valencia, Mission District, CA",-122.420628,37.7538309,"1199 valencia st, san francisco, ca 94110, usa","Geocoded"
977,"B.A.R.","","(Publication)","1528 15th St.","Publications","Mission District","CA",1988,NA,"","","2/14/2022 1:06am","1528 15th St., Mission District, CA",-122.4183444,37.7670148,"1528 15th st, san francisco, ca 94103, usa","Geocoded"
978,"Crystal Pistol","","","842 Valencia","Bars/Clubs","Mission District","CA",1988,NA,"","","2/14/2022 1:06am","842 Valencia, Mission District, CA",-122.4216627,37.7594047,"842 valencia st, san francisco, ca 94110, usa","Geocoded"
979,"El Rio","(N)","","3158-A Mission","Bars/Clubs","Mission District","CA",1988,NA,"","","2/14/2022 1:06am","3158-A Mission, Mission District, CA",-122.4173724,37.7635614,"mission district, san francisco, ca, usa","Geocoded"
980,"Esta Noche","(*),(D)","(Latins)(Salsa Disco)(Central Americans)","3079 16th St.","Bars/Clubs","Mission District","CA",1988,NA,"","","2/14/2022 1:06am","3079 16th St., Mission District, CA",-122.4213151,37.7646979,"3079 16th st, san francisco, ca 94110, usa","Geocoded"
981,"Inside Out","(N),(PT)","","222 Guerrero St.","Bars/Clubs","Mission District","CA",1988,NA,"","","2/14/2022 1:06am","222 Guerrero St., Mission District, CA",-122.4247132,37.7675919,"222 guerrero st, san francisco, ca 94103, usa","Geocoded"
982,"Le Domino","(*)","(French R—Upstairs)","2742 17th St. at Florida","Restaurant","Mission District","CA",1988,NA,"","","2/14/2022 1:06am","2742 17th St. at Florida, Mission District, CA",-122.411203,37.764457,"2742 17th st, san francisco, ca 94110, usa","Geocoded"
983,"Loading Zone","","","1408 Valencia","Bars/Clubs","Mission District","CA",1988,NA,"","","2/14/2022 1:06am","1408 Valencia, Mission District, CA",-122.4207714,37.7503336,"1408 valencia st, san francisco, ca 94110, usa","Geocoded"
984,"Mission News","(*)","(Books)(F&S)","2086 Mission St.","Book Store","Mission District","CA",1988,NA,"","","2/14/2022 1:06am","2086 Mission St., Mission District, CA",-122.4198487,37.7637228,"2086 mission st, san francisco, ca 94110, usa","Geocoded"
985,"Modern Times Bookstore","(L)","(Some L)","968 Valencia St.","Book Store","Mission District","CA",1988,NA,"","","6/12/2022 12:29pm","968 Valencia St., Mission District, CA",-122.4214209,37.7574411,"968 valencia st, san francisco, ca 94110, usa","Geocoded"
986,"Old Wives' Tales","(L)","(Books)","1009 Valencia","Book Store","Mission District","CA",1988,NA,"","","2/14/2022 1:06am","1009 Valencia, Mission District, CA",-122.4209545,37.7566676,"1009 valencia st, san francisco, ca 94110, usa","Geocoded"
987,"Phone Booth","","","1398 S. Van Ness","Bars/Clubs","Mission District","CA",1988,NA,"","","2/14/2022 1:06am","1398 S. Van Ness, Mission District, CA",-122.4163974,37.7508634,"1398 s van ness ave, san francisco, ca 94110, usa","Geocoded"
988,"Sofia's","","","527 Valencia","Bars/Clubs","Mission District","CA",1988,NA,"","","2/14/2022 1:06am","527 Valencia, Mission District, CA",-122.4216627,37.7643936,"527 valencia st, san francisco, ca 94110, usa","Geocoded"
989,"The Inn San Francisco","(H),(*)","(415) 641-0188","943 S. Van Ness","Hotel","Mission District","CA",1988,NA,"","","2/14/2022 1:06am","943 S. Van Ness, Mission District, CA",-122.4165303,37.7580785,"943 s van ness ave, san francisco, ca 94110, usa","Geocoded"
990,"Wildside West","(L),(N)","","424 Cortland","Bars/Clubs","Mission District","CA",1988,NA,"","","2/14/2022 1:06am","424 Cortland, Mission District, CA",-122.4173724,37.7635614,"mission district, san francisco, ca, usa","Geocoded"
991,"Ben Her Books","(F&S),(*)","(Erotica, flicks)","1215 Polk","Book Store,Erotic Shop","Polk Street Area","CA",1988,NA,"","","2/14/2022 1:07am","1215 Polk, Polk Street Area, CA",-122.4208506,37.7913505,"polk st, san francisco, ca, usa","Geocoded"
992,"Bentley Motor Inn","(M),(H)","","465 Grove St.","Hotel","Polk Street Area","CA",1988,NA,"","","2/14/2022 1:07am","465 Grove St., Polk Street Area, CA",NA,NA,"NA","Geocoded"
993,"Body Center","","(Gym)","1230 Sutter St.","Gym","Polk Street Area","CA",1988,NA,"","","2/14/2022 1:07am","1230 Sutter St., Polk Street Area, CA",NA,NA,"NA","Geocoded"
994,"Carlene's of Maui","(R),(M)","","1237 Polk","Restaurant","Polk Street Area","CA",1988,NA,"","","2/14/2022 1:07am","1237 Polk, Polk Street Area, CA",-122.4208506,37.7913505,"polk st, san francisco, ca, usa","Geocoded"
995,"Century All Male Theatre","(F&S),(*)","","816 Larkin","Theatre","Polk Street Area","CA",1988,NA,"","","2/14/2022 1:07am","816 Larkin, Polk Street Area, CA",NA,NA,"NA","Geocoded"
996,"Cinch","(PT)","(Mixed bag)","1723 Polk St.","Bars/Clubs","Polk Street Area","CA",1988,NA,"","","2/14/2022 1:07am","1723 Polk St., Polk Street Area, CA",NA,NA,"NA","Geocoded"
997,"Company","(M),(E)","","1318 California St.","Bars/Clubs","Polk Street Area","CA",1988,NA,"","","2/14/2022 1:07am","1318 California St., Polk Street Area, CA",-122.4162001,37.7913326,"1318 california st, san francisco, ca 94109, usa","Geocoded"
998,"Comstock Club","(P),(PE),(R)","","1409 Sutter St.","Restaurant","Polk Street Area","CA",1988,NA,"","","2/14/2022 1:07am","1409 Sutter St., Polk Street Area, CA",-122.4238528,37.7870775,"1409 sutter st, san francisco, ca 94109, usa","Geocoded"
999,"David's Garden Cafe","(R)","","488 Hayes St.","Restaurant","Polk Street Area","CA",1988,NA,"","","2/14/2022 1:07am","488 Hayes St., Polk Street Area, CA",-122.4243929,37.7768629,"488 hayes st, san francisco, ca 94102, usa","Geocoded"
1000,"Gangway","(OC)","(Opens 6am)","841 Larkin St.","Bars/Clubs","Polk Street Area","CA",1988,NA,"","","6/12/2022 11:05am","841 Larkin St., Polk Street Area, CA",-122.4183209,37.7858289,"841 larkin st, san francisco, ca 94109, usa","Geocoded"
1001,"Gilmore's","","","1068 Hyde at California","Bars/Clubs","Polk Street Area","CA",1988,NA,"","","6/12/2022 11:05am","1068 Hyde at California, Polk Street Area, CA",-119.4179324,36.778261,"california, usa","Geocoded"
1002,"Giraffe","(V),(PT),(*)","","1131 Polk St.","Bars/Clubs","Polk Street Area","CA",1988,NA,"","","2/14/2022 1:07am","1131 Polk St., Polk Street Area, CA",NA,NA,"NA","Geocoded"
1003,"Gough Hayes Hotel","(*)","(Reasonable prices*) (415) 431-9131","417 Gough St.","Hotel","Polk Street Area","CA",1988,NA,"","","2/14/2022 1:07am","417 Gough St., Polk Street Area, CA",-122.4231937,37.7771862,"417 gough st, san francisco, ca 94102, usa","Geocoded"
1004,"Gramophone","","(Video)","1538 Polk St.","Bars/Clubs","Polk Street Area","CA",1988,NA,"","","6/12/2022 11:06am","1538 Polk St., Polk Street Area, CA",NA,NA,"NA","Geocoded"
1005,"Grubstake II","(R)","(C-AH*)","1525 Pine St.","Restaurant","Polk Street Area","CA",1988,NA,"","","2/14/2022 1:07am","1525 Pine St., Polk Street Area, CA",NA,NA,"NA","Geocoded"
1006,"Headlines","(*)","(Gifts, accessories)","1217 Polk St.","Business","Polk Street Area","CA",1988,NA,"","","2/14/2022 1:07am","1217 Polk St., Polk Street Area, CA",NA,NA,"NA","Geocoded"
1007,"Hunk's","","(Some hustlers)","1160 Polk St.","Bars/Clubs","Polk Street Area","CA",1988,NA,"","","2/14/2022 1:07am","1160 Polk St., Polk Street Area, CA",NA,NA,"NA","Geocoded"
1008,"Ivy Hotel","(H)","","539 Octavia St.","Hotel","Polk Street Area","CA",1988,NA,"","","2/14/2022 1:07am","539 Octavia St., Polk Street Area, CA",NA,NA,"NA","Geocoded"
1009,"Ivy's","(R),(*)","","398 Hayes at Gough","Restaurant","Polk Street Area","CA",1988,NA,"","","2/14/2022 1:07am","398 Hayes at Gough, Polk Street Area, CA",NA,NA,"NA","Geocoded"
1011,"Le Salon Book Store","(*)","","1118 Polk St.","Book Store","Polk Street Area","CA",1988,NA,"","","2/14/2022 1:07am","1118 Polk St., Polk Street Area, CA",NA,NA,"NA","Geocoded"
1012,"Le Salon Video Store","(*)","","835 Larkin St.","Business","Polk Street Area","CA",1988,NA,"","","2/14/2022 1:07am","835 Larkin St., Polk Street Area, CA",-122.4183791,37.7857493,"rs94109, 835 larkin st, san francisco, ca 94109, usa","Geocoded"
1013,"Locker Room","(F&S),(*)","(Books & peep shows)","1038 Polk St.","Bars/Clubs","Polk Street Area","CA",1988,NA,"","","6/12/2022 11:16am","1038 Polk St., Polk Street Area, CA",NA,NA,"NA","Geocoded"
1014,"Mark Tours","","(Travel)","1450 Sutter St.","Travel Service","Polk Street Area","CA",1988,NA,"","","2/14/2022 1:07am","1450 Sutter St., Polk Street Area, CA",NA,NA,"NA","Geocoded"
1015,"Muscle System","(*)","(Gym)","364 Hayes St.","Gym","Polk Street Area","CA",1988,NA,"","","2/14/2022 1:07am","364 Hayes St., Polk Street Area, CA",-122.4223839,37.7772491,"364 hayes st, san francisco, ca 94102, usa","Geocoded"
1016,"New Bell Saloon","(*),(E)","","1203 Polk St.","Bars/Clubs","Polk Street Area","CA",1988,NA,"","","2/14/2022 1:07am","1203 Polk St., Polk Street Area, CA",NA,NA,"NA","Geocoded"
1017,"'N Touch","(D),(*)","(Disco)","1548 Polk St.","Bars/Clubs","Polk Street Area","CA",1988,NA,"","","2/14/2022 1:07am","1548 Polk St., Polk Street Area, CA",NA,NA,"NA","Geocoded"
1018,"Old Rick's Gold Room","","","939 Geary Blvd.","Bars/Clubs","Polk Street Area","CA",1988,NA,"","","2/14/2022 1:07am","939 Geary Blvd., Polk Street Area, CA",-122.4188437,37.7858059,"939 geary blvd, san francisco, ca 94109, usa","Geocoded"
1019,"Paperback Traffic Books","(*)","","1581 Polk St.","Book Store","Polk Street Area","CA",1988,NA,"","","2/14/2022 1:07am","1581 Polk St., Polk Street Area, CA",NA,NA,"NA","Geocoded"
1020,"Polk Gulch Saloon","(*)","(Some Hustlers)","1100 Polk","Bars/Clubs","Polk Street Area","CA",1988,NA,"","","2/14/2022 1:07am","1100 Polk, Polk Street Area, CA",NA,NA,"NA","Geocoded"
1021,"Q.T.","(E),(*)","(Hustlers)","1312 Polk St.","Bars/Clubs","Polk Street Area","CA",1988,NA,"","","2/14/2022 1:07am","1312 Polk St., Polk Street Area, CA",NA,NA,"NA","Geocoded"
1022,"Red Coach Motor Inn","(M),(H)","","700 Eddy at Polk","Hotel","Polk Street Area","CA",1988,NA,"","","2/14/2022 1:07am","700 Eddy at Polk, Polk Street Area, CA",NA,NA,"NA","Geocoded"
1024,"Sentinel USA","","(Publication)","500 Hayes St.","Publications","Polk Street Area","CA",1988,NA,"","","2/14/2022 1:07am","500 Hayes St., Polk Street Area, CA",-122.4247969,37.7767761,"500 hayes st, san francisco, ca 94102, usa","Geocoded"
1025,"Squire Travel","(IGTA)","","1322 Polk St.","Travel Service","Polk Street Area","CA",1988,NA,"","","2/14/2022 1:07am","1322 Polk St., Polk Street Area, CA",NA,NA,"NA","Geocoded"
1027,"Sutter Medical Group","","(Walk-in VD clinic)","1154 Sutter St.","Health Clinic","Polk Street Area","CA",1988,NA,"","","2/14/2022 1:07am","1154 Sutter St., Polk Street Area, CA",NA,NA,"NA","Geocoded"
1028,"Teddy Bears","(R),(E),(*)","(The'bears'in back are a must!)","131 Gough","Restaurant","Polk Street Area","CA",1988,NA,"","","2/14/2022 1:07am","131 Gough, Polk Street Area, CA",NA,NA,"NA","Geocoded"
1029,"The Paperback","","(Books)","1335 Polk St.","Book Store","Polk Street Area","CA",1988,NA,"","","2/14/2022 1:07am","1335 Polk St., Polk Street Area, CA",NA,NA,"NA","Geocoded"
1030,"Totie's Lounge","(OC)","","743 Larkin St.","Bars/Clubs","Polk Street Area","CA",1988,NA,"","","2/14/2022 1:07am","743 Larkin St., Polk Street Area, CA",-122.418004,37.784889,"743 larkin st, san francisco, ca 94109, usa","Geocoded"
1031,"What's Up","","(Books)","1347 Polk St.","Book Store","Polk Street Area","CA",1988,NA,"","","2/14/2022 1:07am","1347 Polk St., Polk Street Area, CA",NA,NA,"NA","Geocoded"
1032,"White Swallow","(OC),(*)","","1750 Polk St.","Bars/Clubs","Polk Street Area","CA",1988,NA,"","","2/14/2022 1:07am","1750 Polk St., Polk Street Area, CA",NA,NA,"NA","Geocoded"
1033,"Wooden Horse","(E)","","622 Polk St.","Bars/Clubs","Polk Street Area","CA",1988,NA,"","","2/14/2022 1:07am","622 Polk St., Polk Street Area, CA",NA,NA,"NA","Geocoded"
1034,"Yacht Club","","","2155 Polk St.","Bars/Clubs","Polk Street Area","CA",1988,NA,"","","2/14/2022 1:07am","2155 Polk St., Polk Street Area, CA",NA,NA,"NA","Geocoded"
1037,"Abbey Room","(R)","(Atherton Hotel) (Bar & R)(Sun. brunch)","685 Ellis St.","Bars/Clubs,Hotel,Restaurant","Tenderloin","CA",1988,NA,"","","6/13/2022 9:24am","685 Ellis St., Tenderloin, CA",-122.4174152,37.7840886,"685 ellis st, san francisco, ca 94109, usa","Geocoded"
1038,"Alvin's","","","688 Geary St.","Bars/Clubs","Tenderloin","CA",1988,NA,"","","2/15/2022 12:34am","688 Geary St., Tenderloin, CA",-122.4146193,37.7867078,"688 geary st, san francisco, ca 94102, usa","Geocoded"
1039,"Amsterdam Hotel","(H),(*)","","749 Taylor St.","Hotel","Tenderloin","CA",1988,NA,"","","2/15/2022 12:34am","749 Taylor St., Tenderloin, CA",-122.4124163,37.7893775,"749 taylor st, san francisco, ca 94108, usa","Geocoded"
1040,"Atherton Hotel","(H),(*)","","685 Ellis St.","Hotel","Tenderloin","CA",1988,NA,"","","2/15/2022 12:34am","685 Ellis St., Tenderloin, CA",-122.4174152,37.7840886,"685 ellis st, san francisco, ca 94109, usa","Geocoded"
1041,"Belden 22","(R)","(Alley betw. Bush & Pine)","22 Belden Place","Restaurant","Tenderloin","CA",1988,NA,"","","2/15/2022 12:34am","22 Belden Place, Tenderloin, CA",-122.4036097,37.7911616,"22 belden pl, san francisco, ca 94104, usa","Geocoded"
1042,"Black Rose","(RT)","(Transsexuals, RT)","335 Jones St.","Bars/Clubs","Tenderloin","CA",1988,NA,"","","2/15/2022 12:34am","335 Jones St., Tenderloin, CA",-122.4129841,37.7844054,"335 jones st, san francisco, ca 94102, usa","Geocoded"
1043,"Blue & Gold","(RT)","","136 Turk St.","Bars/Clubs","Tenderloin","CA",1988,NA,"","","2/15/2022 12:34am","136 Turk St., Tenderloin, CA",-122.411535,37.7833671,"136 turk st, san francisco, ca 94102, usa","Geocoded"
1044,"Campus Theatre","(F&S),(S)","(No booze)","220 Jones St.","Theatre","Tenderloin","CA",1988,NA,"","","2/15/2022 12:34am","220 Jones St., Tenderloin, CA",-122.4121941,37.7833863,"220 jones st, san francisco, ca 94102, usa","Geocoded"
1045,"Circle J Adonis","(V),(*)","(Cruisy)","369 Ellis St.","Bars/Clubs,Cruising Areas","Tenderloin","CA",1988,NA,"","","6/12/2022 12:26pm","369 Ellis St., Tenderloin, CA",-122.4122097,37.7846911,"369 ellis st, san francisco, ca 94102, usa","Geocoded"
1046,"Discount Books","","","114 Eddy St.","Book Store","Tenderloin","CA",1988,NA,"","","2/15/2022 12:34am","114 Eddy St., Tenderloin, CA",-122.4096381,37.7844707,"114 eddy st, san francisco, ca 94102, usa","Geocoded"
1047,"Essex Hotel","(IGTA),(*)","(415)474-4664","684 Ellis St.","Travel Service,Hotel","Tenderloin","CA",1988,NA,"","","2/15/2022 12:34am","684 Ellis St., Tenderloin, CA",-122.4175981,37.7841684,"684 ellis st, san francisco, ca 94109, usa","Geocoded"
1048,"G.G.B.A.","","","500 Sutter, Suite 703","Bars/Clubs","Tenderloin","CA",1988,NA,"","","2/15/2022 12:34am","500 Sutter, Suite 703, Tenderloin, CA",-122.4146535,37.7855867,"tenderloin, san francisco, ca, usa","Geocoded"
1049,"Ginger's","(OC)","(Hustlers)","100 Eddy at Mason","Bars/Clubs","Tenderloin","CA",1988,NA,"","","2/15/2022 12:34am","100 Eddy at Mason, Tenderloin, CA",-122.4146535,37.7855867,"tenderloin, san francisco, ca, usa","Geocoded"
1050,"Glide Memorial Church","","","330 Ellis St.","Religious Institution","Tenderloin","CA",1988,NA,"","","2/15/2022 12:34am","330 Ellis St., Tenderloin, CA",-122.4116548,37.785137,"330 ellis st, san francisco, ca 94102, usa","Geocoded"
1051,"Great World Travel 
 College","(IGTA)","","760 Market St. #548","Travel Service","Tenderloin","CA",1988,NA,"","","2/15/2022 12:35am","760 Market St. #548, Tenderloin, CA",NA,NA,"NA","Geocoded"
1052,"Hob Nob Lounge","","","700 Geary","Bars/Clubs","Tenderloin","CA",1988,NA,"","","2/15/2022 12:36am","700 Geary, Tenderloin, CA",-122.4214896,37.7856822,"700 geary blvd, san francisco, ca 94109, usa","Geocoded"
1053,"King's Court","","(Barbers)","942 Market St.","Business","Tenderloin","CA",1988,NA,"","","2/15/2022 12:36am","942 Market St., Tenderloin, CA",-122.4087914,37.7836702,"942 market st, san francisco, ca 94102, usa","Geocoded"
1054,"Kokpit","(OC)","","301 Turk St.","Bars/Clubs","Tenderloin","CA",1988,NA,"","","2/15/2022 12:37am","301 Turk St., Tenderloin, CA",-122.4142074,37.7825998,"301 turk st, san francisco, ca 94102, usa","Geocoded"
1055,"Mother Lode","(S)","","1002 Post St.","Bars/Clubs","Tenderloin","CA",1988,NA,"","","2/15/2022 12:38am","1002 Post St., Tenderloin, CA",-122.4184454,37.78714,"1002 post st, san francisco, ca 94109, usa","Geocoded"
1056,"New Deja Vu","","","147 Taylor St.","Bars/Clubs","Tenderloin","CA",1988,NA,"","","2/15/2022 12:39am","147 Taylor St., Tenderloin, CA",-122.4112245,37.7836955,"147 taylor st, san francisco, ca 94102, usa","Geocoded"
1057,"Nob Hill Theatre","(F&S),(*)","","729 Bush St.","Theatre","Tenderloin","CA",1988,NA,"","","2/15/2022 12:40am","729 Bush St., Tenderloin, CA",-122.4092852,37.7897875,"729 bush st, san francisco, ca 94108, usa","Geocoded"
1058,"132 Club","(R)","(Days)","132 Bush St.","Restaurant","Tenderloin","CA",1988,NA,"","","2/15/2022 12:46am","132 Bush St., Tenderloin, CA",-122.4002355,37.7915194,"132 bush st, san francisco, ca 94104, usa","Geocoded"
1059,"Peter Pan Lounge","(RT),(*)","","45 Turk St.","Bars/Clubs","Tenderloin","CA",1988,NA,"","","2/15/2022 12:41am","45 Turk St., Tenderloin, CA",-122.4098294,37.7832115,"45 turk st, san francisco, ca 94115, usa","Geocoded"
1060,"Queen Mary","","(Hustlers)","133 Turk St.","Bars/Clubs","Tenderloin","CA",1988,NA,"","","2/15/2022 12:41am","133 Turk St., Tenderloin, CA",-122.411384,37.782849,"133 turk st, san francisco, ca 94102, usa","Geocoded"
1061,"Ram's Head","(*)","(Hustlers, transvestites, drags, whatever)","117 Taylor St.","Bars/Clubs","Tenderloin","CA",1988,NA,"","","2/15/2022 12:42am","117 Taylor St., Tenderloin, CA",-122.4110695,37.7834291,"117 taylor st, san francisco, ca 94102, usa","Geocoded"
1062,"Starlight Room","","(Good days)","1121 Market St.","Bars/Clubs","Tenderloin","CA",1988,NA,"","","2/15/2022 12:44am","1121 Market St., Tenderloin, CA",-122.4128371,37.7799284,"1121 market st, san francisco, ca 94103, usa","Geocoded"
1063,"Sutter's Mill","(*),(R)","(Great days)","77 Battery St.","Restaurant","Tenderloin","CA",1988,NA,"","","2/15/2022 12:45am","77 Battery St., Tenderloin, CA",-122.4000474,37.7919401,"77 battery st, san francisco, ca 94104, usa","Geocoded"
1064,"The Gate","(N),(R),(*)","(N*)","1093 Pine St. at Jones","Restaurant","Tenderloin","CA",1988,NA,"","","2/15/2022 12:46am","1093 Pine St. at Jones, Tenderloin, CA",-122.413805,37.7902655,"1093 pine st, san francisco, ca 94109, usa","Geocoded"
1065,"Turk St. News","","(Books)","66 Turk St.","Book Store","Tenderloin","CA",1988,NA,"","","2/15/2022 12:47am","66 Turk St., Tenderloin, CA",-122.4102983,37.7835248,"66 turk st, san francisco, ca 94102, usa","Geocoded"
1066,"222 Club","(RT)","(Opens 6 am)","222 Hyde St.","Bars/Clubs","Tenderloin","CA",1988,NA,"","","2/15/2022 12:48am","222 Hyde St., Tenderloin, CA",-122.415493,37.782989,"222 hyde st, san francisco, ca 94102, usa","Geocoded"
1074,"Billy DeFrank","","(Comm. Center) (408) 293-4525","1040 Park Ave.","Community Center/Support Group","San Jose","CA",1988,NA,"","","2/15/2022 5:28pm","1040 Park Ave., San Jose, CA",-121.9093308,37.3258533,"1040 park ave, san jose, ca 95126, usa","Geocoded"
1075,"Buck's","(PT),(N)","","301 Stockton Ave.","Bars/Clubs","San Jose","CA",1988,NA,"","","2/15/2022 5:28pm","301 Stockton Ave., San Jose, CA",-121.9060498,37.333927,"301 stockton ave, san jose, ca 95126, usa","Geocoded"
