"title","description","streetaddress","city","state","amenityfeatures","type","unclear_address","Year","notes","full.address","lon","lat","geoAddress","status"
"Phase III","","2226 Sherwood Way","San Angelo","TX","(*)","Bars/Clubs",NA,1985,"","2226 Sherwood Way, San Angelo, TX",-100.4666817,31.4526934,"2226 sherwood way, san angelo, tx 76901, usa","Geocoded"
"M.C.C.","","418 S. Irving","San Angelo","TX","(MCC)","Religious Institution",NA,1985,"","418 S. Irving, San Angelo, TX",-100.4361313,31.4573295,"418 s irving st, san angelo, tx 76903, usa","Geocoded"
"Bogart's","(Cabaret)","11541 West Ave.","San Antonio","TX","(R),(*)","Restaurant",NA,1985,"","11541 West Ave., San Antonio, TX",-98.5110402,29.5455692,"11541 west ave, san antonio, tx 78213, usa","Geocoded"
"Bonham Exchange","(Super complex- several bars)(Bonham Ballroom- upstairs (S)(E))(Disco)(Cruisy)(Game Room) (next to the Alamo)","411 Bonham","San Antonio","TX","(*),(S),(E),(YC),(D)","Bars/Clubs,Cruising Areas",NA,1985,"","411 Bonham, San Antonio, TX",-98.4842894,29.4266557,"411 bonham, san antonio, tx 78205, usa","Geocoded"
"Atlantis","(Many Latins)","321 Navarro","San Antonio","TX","(S)","Bars/Clubs",NA,1985,"","321 Navarro, San Antonio, TX",-98.4897989,29.4244206,"321 navarro st, san antonio, tx 78205, usa","Geocoded"
"Ab's Westernarie","(Some W,OC)","622 Roosevelt","San Antonio","TX","(PT),(W),(OC),(*)","Bars/Clubs",NA,1985,"","622 Roosevelt, San Antonio, TX",-98.4858939,29.3970106,"622 roosevelt ave, san antonio, tx 78210, usa","Geocoded"
"El Jardin","(Some Latins)","106 Navarro","San Antonio","TX","(OC)","Bars/Clubs",NA,1985,"","106 Navarro, San Antonio, TX",-98.4906795,29.4213331,"106 navarro st, san antonio, tx 78205, usa","Geocoded"
"Executive Health Club","(Suana, etc.)(Some OC) ('B'- off Broadway)","723 Avenue","San Antonio","TX","(H),(OC),(B)","Business,Hotel",NA,1985,"","723 Avenue, San Antonio, TX",-98.4945922,29.4251905,"san antonio, tx, usa","Geocoded"
"Cahoots","(Some L)(Disco)","435 McCarty","San Antonio","TX","(L),(D),(S)","Bars/Clubs",NA,1985,"","435 McCarty, San Antonio, TX",-98.4992077,29.5291323,"435 mccarty rd, san antonio, tx 78216, usa","Geocoded"
"Crew","(Downtown types)","309 W. Market","San Antonio","TX","","Bars/Clubs",NA,1985,"","309 W. Market, San Antonio, TX",-98.4895557,29.4235181,"309 w market st, san antonio, tx 78205, usa","Geocoded"
"Club San Antonio Baths","(Baths)","1802 N. Main St.","San Antonio","TX","(*)","Bathhouses",NA,1985,"","1802 N. Main St., San Antonio, TX",-98.4938936,29.4462018,"1802 n main ave, san antonio, tx 78212, usa","Geocoded"
"L.J.'s","(Disco)","3503 West Ave.","San Antonio","TX","(L),(D),(R)","Bars/Clubs,Restaurant",NA,1985,"","3503 West Ave., San Antonio, TX",-98.5262953,29.4941731,"3503 west ave, san antonio, tx 78213, usa","Geocoded"
"First Star","(Books & things)","6724 San Pedro","San Antonio","TX","(*)","Book Store",NA,1985,"","6724 San Pedro, San Antonio, TX",-98.498697,29.501356,"6724 san pedro ave, san antonio, tx 78216, usa","Geocoded"
"Faces","(Many L)(Disco)(WE*)","119 El Mio","San Antonio","TX","(L),(D),(WE),(*)","Bars/Clubs",NA,1985,"","119 El Mio, San Antonio, TX",-98.4998754,29.4938439,"119 el mio dr, san antonio, tx 78216, usa","Geocoded"
"International News","","15230 Hwy. 81S","San Antonio","TX","","Book Store",NA,1985,"","15230 Hwy. 81S, San Antonio, TX",-98.4945922,29.4251905,"san antonio, tx, usa","Geocoded"
"Galleon","(Some OC)(Cruisy)(Good cocktail hr.)","320 San Pedro","San Antonio","TX","(OC),(*)","Bars/Clubs,Cruising Areas",NA,1985,"","320 San Pedro, San Antonio, TX",-98.4964588,29.4364766,"320 san pedro ave, san antonio, tx 78212, usa","Geocoded"
"Madam Arthur's","(Latins)","147 E. Commerce","San Antonio","TX","(PT)","Bars/Clubs",NA,1985,"","147 E. Commerce, San Antonio, TX",-98.4918998,29.4249321,"147 e commerce st, san antonio, tx 78205, usa","Geocoded"
"On Main","(Gifts, etc.)","2514 N. Main","San Antonio","TX","","Business",NA,1985,"","2514 N. Main, San Antonio, TX",-98.4937296,29.4533766,"2514 n main ave, san antonio, tx 78212, usa","Geocoded"
"Our Place","(Many L)(Disco)(WE*)","115 General Krueger","San Antonio","TX","(L),(C&W),(D),(WE),(*)","Bars/Clubs",NA,1985,"","115 General Krueger, San Antonio, TX",-98.5084587,29.4906924,"115 general krueger blvd, san antonio, tx 78213, usa","Geocoded"
"Paris News","","1929 N. New Braunfels","San Antonio","TX","","Book Store",NA,1985,"","1929 N. New Braunfels, San Antonio, TX",-98.4611896,29.4427321,"1929 n new braunfels ave, san antonio, tx 78208, usa","Geocoded"
"Sunset Boulevard","(Disco)(2 bars)(AH-WE)","1430 N. Main","San Antonio","TX","(D),(YC),(S),(AH),(WE),(*)","Bars/Clubs",NA,1985,"","1430 N. Main, San Antonio, TX",-98.4938462,29.4426895,"1430 n main ave, san antonio, tx 78212, usa","Geocoded"
"Talk of the Town","(WE*)","3530 N. Broadway","San Antonio","TX","(S),(WE),(*)","Bars/Clubs",NA,1985,"","3530 N. Broadway, San Antonio, TX",-98.4677593,29.4591143,"3530 broadway, san antonio, tx 78209, usa","Geocoded"
"San Antonio Free Clinic","","1136 W. Woodlawn","San Antonio","TX","","Health Clinics",NA,1985,"","1136 W. Woodlawn, San Antonio, TX",-98.5134702,29.4525751,"1136 w woodlawn ave, san antonio, tx 78201, usa","Geocoded"
"Snuffy's Saloon","(Hasn't paid me for last year's books- 3/20/84')(WE*)","820 San Pedro","San Antonio","TX","(C&W),(PT),(WE),(*),(D)","Bars/Clubs",NA,1985,"","820 San Pedro, San Antonio, TX",-98.4989318,29.4414023,"820 san pedro ave, san antonio, tx 78212, usa","Geocoded"
"Raw Power & Light Co.","(New Wave)(Twinkies)(Disco)","2315 San Pedro","San Antonio","TX","(D)","Bars/Clubs",NA,1985,"","2315 San Pedro, San Antonio, TX",-98.4994944,29.456248,"2315 san pedro ave, san antonio, tx 78212, usa","Geocoded"
"Unicorn Shop","(Cards & Gifts)","4104 W. McCullough","San Antonio","TX","","Business",NA,1985,"","4104 W. McCullough, San Antonio, TX",-98.4913691,29.4685029,"4104 mccullough ave, olmos park, tx 78212, usa","Geocoded"
"Video Palace & Bookstore","","2212 Broadway","San Antonio","TX","","Book Store",NA,1985,"","2212 Broadway, San Antonio, TX",-98.4750897,29.4465828,"2212 broadway, san antonio, tx 78215, usa","Geocoded"
"2015 Place","(Disco)(Cruisy)(Good weekdays*)","2015 San Pedro","San Antonio","TX","(D),(*)","Bars/Clubs,Cruising Areas",NA,1985,"","2015 San Pedro, San Antonio, TX",-98.4996309,29.4534616,"2015 san pedro ave, san antonio, tx 78212, usa","Geocoded"
"Le Sex Shoppe","","304 S. 'E' St.","San Bernardino","CA","(F&S)","Bars/Clubs",NA,1985,"","304 S. 'E' St., San Bernardino, CA",-117.294454,34.0959012,"304 s e st, san bernardino, ca 92401, usa","Geocoded"
"Big Mary's","(Some L)","940 E. Baseline","San Bernardino","CA","(L),(WE),(*)","Bars/Clubs",NA,1985,"","940 E. Baseline, San Bernardino, CA",-117.266886,34.121668,"940 e baseline st, san bernardino, ca 92410, usa","Geocoded"
"McMillan's","(Disco)","1353 N. 'E' St.","San Bernardino","CA","(D),(PT)","Bars/Clubs",NA,1985,"","1353 N. 'E' St., San Bernardino, CA",-117.2937598,34.1245375,"1353 n e st, san bernardino, ca 92405, usa","Geocoded"
"Grand Central","(Disco)(Closed Mon.)(Liquor)","345 W. 7th St.","San Bernardino","CA","(YC),(D),(PT)","Bars/Clubs",NA,1985,"","345 W. 7th St., San Bernardino, CA",-117.2906196,34.111847,"345 w 7th st, san bernardino, ca 92401, usa","Geocoded"
"Tom Tom's","(Liquor)","1755 E. Highland","San Bernardino","CA","(R)","Restaurant",NA,1985,"","1755 E. Highland, San Bernardino, CA",-117.248424,34.1356561,"1755 e highland ave, san bernardino, ca 92404, usa","Geocoded"
"Skylark","(Some W,SM)(Liquor)(Cruisy)(Patio)","917 Inland Center Dr.","San Bernardino","CA","(*),(W),(SM),(D),(E),(C),(AH),(WE)","Bars/Clubs,Cruising Areas",NA,1985,"","917 Inland Center Dr., San Bernardino, CA",-117.3032688,34.0823888,"917 inland center dr, san bernardino, ca 92408, usa","Geocoded"
"Stage Door","(Highland)","26790 E. 5th St.","San Bernardino","CA","(PT),(WE),(*)","Bars/Clubs",NA,1985,"","26790 E. 5th St., San Bernardino, CA",-117.2199109,34.1087469,"26790 e 5th st, highland, ca 92346, usa","Geocoded"
"A Different Drum","(Liquor)(Go go boys)","3175 India St.","San Diego","CA","(*)","Bars/Clubs",NA,1985,"","3175 India St., San Diego, CA",-117.174979,32.736467,"3175 india st, san diego, ca 92103, usa","Geocoded"
"Apartment","","756 Ventura Pl.","San Diego","CA","(L),(D)","Bars/Clubs",NA,1985,"","756 Ventura Pl., San Diego, CA",-117.2515595,32.7722365,"756 ventura pl, san diego, ca 92109, usa","Geocoded"
"Bee Jay's","(Some W & Levi, OC)(Sun. brunch)(Liquor)(Cruisy)","1421 University","San Diego","CA","(W),(OC),(R),(WE),(*)","Restaurant,Cruising Areas",NA,1985,"","1421 University, San Diego, CA",-117.1610838,32.715738,"san diego, ca, usa","Geocoded"
"Balboa Park Inn","(Looks promising)","3402 Park Blvd.","San Diego","CA","(M),(H)","Hotel",NA,1985,"","3402 Park Blvd., San Diego, CA",-117.147822,32.7413361,"3402 park blvd, san diego, ca 92103, usa","Geocoded"
"Best Wishes","(Cards & gifts)","3850 5th Ave.","San Diego","CA","","Business",NA,1985,"","3850 5th Ave., San Diego, CA",-117.1606477,32.7478045,"3850 fifth ave, san diego, ca 92103, usa","Geocoded"
"Big Kitchen","(Golden Hill)","3003 Grape","San Diego","CA","(R)","Restaurant",NA,1985,"","3003 Grape, San Diego, CA",-117.1298897,32.7264287,"3003 grape street, san diego, ca 92102, usa","Geocoded"
"Book Mark & Expresso Cafe","","4077 Adams Ave.","San Diego","CA","","Restaurant,Book Store",NA,1985,"","4077 Adams Ave., San Diego, CA",-117.1076692,32.7630457,"4077 adams ave, san diego, ca 92116, usa","Geocoded"
"Box Office","(Disco)","4450 Alvarado Canyon Rd.","San Diego","CA","(L),(S),(D),(*)","Bars/Clubs",NA,1985,"","4450 Alvarado Canyon Rd., San Diego, CA",-117.0984896,32.7802546,"4450 alvarado canyon rd, san diego, ca 92120, usa","Geocoded"
"Cheers","(Neighborhood)","1839 Adams","San Diego","CA","","Bars/Clubs",NA,1985,"","1839 Adams, San Diego, CA",-117.1455702,32.7623088,"1839 adams ave, san diego, ca 92116, usa","Geocoded"
"Clark's Lodge","","1765 Union St.","San Diego","CA","(M),(H)","Hotel",NA,1985,"","1765 Union St., San Diego, CA",-117.1656042,32.7229691,"1765 union st, san diego, ca 92101, usa","Geocoded"
"Caliph Piano Bar","","3102 5th Ave.","San Diego","CA","(*),(E)","Bars/Clubs",NA,1985,"","3102 5th Ave., San Diego, CA",-117.1605674,32.7378506,"3102 fifth ave, san diego, ca 92103, usa","Geocoded"
"Cinema F","(Flicks, F&S)","1063 University","San Diego","CA","(F&S),(*)","Theatre",NA,1985,"","1063 University, San Diego, CA",-117.1610838,32.715738,"san diego, ca, usa","Geocoded"
"Chee Chee Club","(Sleazy)","959 Broadway","San Diego","CA","(PT),(RT)","Bars/Clubs",NA,1985,"","959 Broadway, San Diego, CA",-117.1715919,32.7156471,"959 broadway, san diego, ca 92101, usa","Geocoded"
"Club San Fransisco","","3412 University","San Diego","CA","(PT)","Bars/Clubs",NA,1985,"","3412 University, San Diego, CA",-117.1610838,32.715738,"san diego, ca, usa","Geocoded"
"Club San Diego/ Top Deck","(Baths)","867 4th Ave.","San Diego","CA","(*)","Bars/Clubs,Bathhouses",NA,1985,"","867 4th Ave., San Diego, CA",-117.1608769,32.7144011,"867 fourth ave, san diego, ca 92101, usa","Geocoded"
"Copa","(Some YC,L)","2201 El Cajon Blvd.","San Diego","CA","(YC),(L),(R),(D),(WE),(*)","Restaurant",NA,1985,"","2201 El Cajon Blvd., San Diego, CA",-117.1413041,32.7552167,"2201 el cajon blvd, san diego, ca 92104, usa","Geocoded"
"Connections","(Video)(Some L)(Looks promising)","2812 Kettner","San Diego","CA","(L)","Bars/Clubs",NA,1985,"","2812 Kettner, San Diego, CA",-117.1736005,32.7329525,"2812 kettner blvd, san diego, ca 92101, usa","Geocoded"
"Dave's Club","(Baths) (Ocean Beach)","4969 Santa Monica","San Diego","CA","","Bathhouses",NA,1985,"","4969 Santa Monica, San Diego, CA",-117.249952,32.7471634,"4969 santa monica ave, san diego, ca 92107, usa","Geocoded"
"Crypt","(Leather,'toys', books, erotica, etc.)","733 4th Ave.","San Diego","CA","(*)","Book Store,Erotic Shop",NA,1985,"","733 4th Ave., San Diego, CA",-117.160776,32.713006,"733 fourth ave, san diego, ca 92101, usa","Geocoded"
"Crest Cafe","(Art Deco)(Late *)","425 Robinson Ave.","San Diego","CA","(M),(R),(*)","Restaurant",NA,1985,"","425 Robinson Ave., San Diego, CA",-117.1609184,32.7468102,"425 robinson ave, san diego, ca 92103, usa","Geocoded"
"Depot","(Some W)","1005 Kettner","San Diego","CA","(*),(W)","Bars/Clubs",NA,1985,"","1005 Kettner, San Diego, CA",-117.1691161,32.7158921,"1005 kettner blvd, san diego, ca 92101, usa","Geocoded"
"Farmhouse","","2830 Lytton","San Diego","CA","(R)","Restaurant",NA,1985,"","2830 Lytton, San Diego, CA",-117.210907,32.7435763,"2830 lytton st, san diego, ca 92110, usa","Geocoded"
"Escape","(Piano Bar)","421 University Ave.","San Diego","CA","(E)","Bars/Clubs",NA,1985,"","421 University Ave., San Diego, CA",-117.1611227,32.7481739,"421 university ave, san diego, ca 92103, usa","Geocoded"
"Eagle","(Some W,SM)","2103 El Cajon Blvd.","San Diego","CA","(AH),(*),(W),(SM)","Bars/Clubs",NA,1985,"","2103 El Cajon Blvd., San Diego, CA",-117.1423534,32.7549787,"2103 el cajon blvd, san diego, ca 92104, usa","Geocoded"
"Flame","(Disco)(Should be a winner)","3748 Park Blvd.","San Diego","CA","(L),(YC),(D),(PT),(*)","Bars/Clubs",NA,1985,"","3748 Park Blvd., San Diego, CA",-117.1469894,32.7462171,"3748 park blvd, san diego, ca 92103, usa","Geocoded"
"Golden Eagle","(May be changin name)","630 Market St.","San Diego","CA","","Bars/Clubs",NA,1985,"","630 Market St., San Diego, CA",-117.1588853,32.7117593,"630 market st, san diego, ca 92101, usa","Geocoded"
"Gentlemen's HQ","","629 1st Ave.","San Diego","CA","(P),(F&S)","Bars/Clubs",NA,1985,"","629 1st Ave., San Diego, CA",-117.1637713,32.7118178,"629 1st ave, san diego, ca 92101, usa","Geocoded"
"Flicks","(DJ & Video)(Liquor)","1017 University","San Diego","CA","(*)","Bars/Clubs",NA,1985,"","1017 University, San Diego, CA",-117.1610838,32.715738,"san diego, ca, usa","Geocoded"
"Grand on Garnet","(Paific Beach)","1200 Garnet","San Diego","CA","","Bars/Clubs",NA,1985,"","1200 Garnet, San Diego, CA",-117.2480918,32.7985546,"1200 garnet ave, san diego, ca 92109, usa","Geocoded"
"Griffin's","","4046 30th St.","San Diego","CA","(PT)","Bars/Clubs",NA,1985,"","4046 30th St., San Diego, CA",-117.1303932,32.751268,"4046 30th st, san diego, ca 92104, usa","Geocoded"
"Hut","","2581 University Ave.","San Diego","CA","(PT)","Bars/Clubs",NA,1985,"","2581 University Ave., San Diego, CA",-117.1360842,32.7482849,"2581 university ave, san diego, ca 92104, usa","Geocoded"
"International Male","(Clothes)","2802 Midway Dr.","San Diego","CA","","Business",NA,1985,"","2802 Midway Dr., San Diego, CA",-117.2037612,32.7489039,"2802 midway dr, san diego, ca 92110, usa","Geocoded"
"Hotel Newport","","4961 Newport Ave.","San Diego","CA","(H),(M)","Hotel",NA,1985,"","4961 Newport Ave., San Diego, CA",-117.250572,32.7462635,"4961 newport ave, san diego, ca 92107, usa","Geocoded"
"Hole","(Liquor)(Crypt leather)(Tue. & WE*)(AH-WE)","2820 Lytton St.","San Diego","CA","(SM),(W),(WE),(*),(AH)","Bars/Clubs",NA,1985,"","2820 Lytton St., San Diego, CA",-117.2106313,32.7436,"2820 lytton st, san diego, ca 92110, usa","Geocoded"
"Iron Spur Saloon","('Cell' downstairs-rear)(R-Wed.-Sun.)","2734 Lytton St.","San Diego","CA","(C&W),(R),(WE),(*)","Restaurant",NA,1985,"","2734 Lytton St., San Diego, CA",-117.2100129,32.7429279,"2734 lytton st, san diego, ca 92110, usa","Geocoded"
"Lilli's Deli","","1206 28th St.","San Diego","CA","(M),(R)","Restaurant",NA,1985,"","1206 28th St., San Diego, CA",-117.1340945,32.7181288,"1206 28th st, san diego, ca 92102, usa","Geocoded"
"Loft","(Neighborhood)","3610 5th Ave.","San Diego","CA","(OC)","Bars/Clubs",NA,1985,"","3610 5th Ave., San Diego, CA",-117.1608725,32.7435968,"3610 fifth ave, san diego, ca 92103, usa","Geocoded"
"Loading Zone","(at Date)","1702 India","San Diego","CA","(SM),(W),(FFA),(WE),(*)","Bars/Clubs",NA,1985,"","1702 India, San Diego, CA",-117.1684985,32.7231709,"1702 india st, san diego, ca 92101, usa","Geocoded"
"La Maison","(French R)","3681 5th Ave.","San Diego","CA","(M),(R)","Restaurant",NA,1985,"","3681 5th Ave., San Diego, CA",-117.160112,32.744711,"3681 fifth ave, san diego, ca 92103, usa","Geocoded"
"Matador","(Pacific Beach)","4633 Mission","San Diego","CA","(D),(*)","Bars/Clubs",NA,1985,"","4633 Mission, San Diego, CA",-117.1610838,32.715738,"san diego, ca, usa","Geocoded"
"Mr. Dillon's","(Disco)(Wed.-Sun*)","1051 University Ave.","San Diego","CA","(YC),(D),(PT),(*)","Bars/Clubs",NA,1985,"","1051 University Ave., San Diego, CA",-117.1540716,32.7480817,"1051 university ave, san diego, ca 92103, usa","Geocoded"
"M.C.C.","","4333 30th St.","San Diego","CA","(MCC)","Religious Institution",NA,1985,"","4333 30th St., San Diego, CA",-117.1297383,32.7561452,"4333 30th st, san diego, ca 92104, usa","Geocoded"
"#1 Fifth Avenue","(Crusiy)(Patio)(No sign) (nr. Robinson)","3845 5th Ave.","San Diego","CA","(E)","Bars/Clubs,Cruising Areas",NA,1985,"","3845 5th Ave., San Diego, CA",-117.1601832,32.7477981,"3845 fifth ave, san diego, ca 92103, usa","Geocoded"
"Ring","","4321 Fairmount","San Diego","CA","(R)","Restaurant",NA,1985,"","4321 Fairmount, San Diego, CA",-117.1007081,32.7556791,"4321 fairmount ave, san diego, ca 92105, usa","Geocoded"
"Panda Inn","","1813 Adams","San Diego","CA","(PT),(L)","Bars/Clubs",NA,1985,"","1813 Adams, San Diego, CA",-117.1458733,32.7623493,"1813 adams ave, san diego, ca 92116, usa","Geocoded"
"Park Place","(Video) & adj. Boardwalk (Cl. Mon.)(Opens 6am Sun. *)","3811 Park Blvd.","San Diego","CA","(R),(*)","Restaurant",NA,1985,"","3811 Park Blvd., San Diego, CA",-117.1460703,32.7477326,"3811 park blvd, san diego, ca 92103, usa","Geocoded"
"Pecs","(Some W) (at Adams)","4612 Park Blvd.","San Diego","CA","(W),(PT)","Bars/Clubs",NA,1985,"","4612 Park Blvd., San Diego, CA",-117.1466731,32.7613985,"4612 park blvd, san diego, ca 92116, usa","Geocoded"
"Rendezvous","","1355 5th Ave.","San Diego","CA","(R)","Restaurant",NA,1985,"","1355 5th Ave., San Diego, CA",-117.1599822,32.7195381,"1355 fifth ave, san diego, ca 92101, usa","Geocoded"
"S.R.O.","(Cruise bar)","1807 5th Ave.","San Diego","CA","","Bars/Clubs",NA,1985,"","1807 5th Ave., San Diego, CA",-117.1600253,32.7242941,"1807 fifth ave, san diego, ca 92101, usa","Geocoded"
"San Diego Gayzette","(Publication)","3780 5th Ave.","San Diego","CA","","Publications",NA,1985,"","3780 5th Ave., San Diego, CA",-117.1607346,32.7466899,"3780 fifth ave, san diego, ca 92103, usa","Geocoded"
"Studio 9","(Twinkies)(Disco)(No booze)","2533 El Cajon","San Diego","CA","(D)","Bars/Clubs",NA,1985,"","2533 El Cajon, San Diego, CA",-117.1367358,32.7549252,"2533 el cajon blvd, san diego, ca 92104, usa","Geocoded"
"Unicorn Book Store","","4010 Goldfinch St.","San Diego","CA","","Book Store",NA,1985,"","4010 Goldfinch St., San Diego, CA",-117.1717396,32.7501806,"4010 goldfinch st, san diego, ca 92103, usa","Geocoded"
"Waterloo Station Pub","(Darts)(Best weekdays)","3968 5th Ave.","San Diego","CA","(PT)","Bars/Clubs",NA,1985,"","3968 5th Ave., San Diego, CA",-117.160722,32.749565,"3968 fifth ave, san diego, ca 92103, usa","Geocoded"
"Vulcan Steam Baths","","805 W. Cedar","San Diego","CA","(*)","Bathhouses",NA,1985,"","805 W. Cedar, San Diego, CA",-117.170476,32.7217636,"805 w cedar st, san diego, ca 92101, usa","Geocoded"
"West Coast Production Co. (WCPC)","(3 bars)(Macho)(Disco)(Crusiy)(Liquor)","1845 Hancock","San Diego","CA","(YC),(*),(D)","Bars/Clubs,Cruising Areas",NA,1985,"","1845 Hancock, San Diego, CA",-117.1854034,32.7425478,"1845 hancock st, san diego, ca 92110, usa","Geocoded"
"White Unicorn Gifts","","3780 5th Ave.","San Diego","CA","","Business",NA,1985,"","3780 5th Ave., San Diego, CA",-117.1607346,32.7466899,"3780 fifth ave, san diego, ca 92103, usa","Geocoded"
"Academy","","2166 Market St.","San Francisco","CA","(*),(F&S)","Bars/Clubs",NA,1985,"","2166 Market St., San Francisco, CA",-122.4303813,37.7667401,"2166 market st, san francisco, ca 94114, usa","Geocoded"
"Always Tan","(Tanning Salon)","550 Castro","San Francisco","CA","","Business",NA,1985,"","550 Castro, San Francisco, CA",-122.4351962,37.7600915,"550 castro st, san francisco, ca 94114, usa","Geocoded"
"Bear Hollow","","440 Castro St.","San Francisco","CA","(PT)","Bars/Clubs",NA,1985,"","440 Castro St., San Francisco, CA",-122.4352736,37.7618335,"440 castro st, san francisco, ca 94114, usa","Geocoded"
"Cafe Flore","","2298 Market St.","San Francisco","CA","(M),(R)","Restaurant",NA,1985,"","2298 Market St., San Francisco, CA",-122.4329332,37.7646778,"2298 market st, san francisco, ca 94114, usa","Geocoded"
"Cafe San Marcos","(PE bar upstairs)","2367 Market St.","San Francisco","CA","(R),(PE),(WE),(*)","Restaurant",NA,1985,"","2367 Market St., San Francisco, CA",-122.4343238,37.7630065,"2367 market st, san francisco, ca 94114, usa","Geocoded"
"Boot Den","(Shoes)","4240 18th St.","San Francisco","CA","","Business",NA,1985,"","4240 18th St., San Francisco, CA",-122.4367812,37.7609259,"4240 18th st, san francisco, ca 94114, usa","Geocoded"
"Castro Cade","","484 Castro St.","San Francisco","CA","(R)","Restaurant",NA,1985,"","484 Castro St., San Francisco, CA",-122.4352739,37.7611442,"484 castro st, san francisco, ca 94114, usa","Geocoded"
"Chac Cafe","(Natrual foods)(Cl. Tue.)","3870 17th St.","San Francisco","CA","(R)","Restaurant",NA,1985,"","3870 17th St., San Francisco, CA",-122.4322517,37.7627682,"3870 17th st, san francisco, ca 94114, usa","Geocoded"
"Castro Country Club","(No booze)(Snacks)(Video)","4058 18th St.","San Francisco","CA","(C)","Bars/Clubs",NA,1985,"","4058 18th St., San Francisco, CA",-122.4340945,37.7611284,"4058 18th st, san francisco, ca 94114, usa","Geocoded"
"Castro Gardens","(Lunch)","558 Castro","San Francisco","CA","(R)","Restaurant",NA,1985,"","558 Castro, San Francisco, CA",-122.4351099,37.7599613,"558 castro st, san francisco, ca 94114, usa","Geocoded"
"Castro Station","","456 Castro St.","San Francisco","CA","","Bars/Clubs",NA,1985,"","456 Castro St., San Francisco, CA",-122.4353128,37.7615911,"456 castro st, san francisco, ca 94114, usa","Geocoded"
"Duo","(Beer & Wine)","4094 18th St.","San Francisco","CA","(R)","Restaurant",NA,1985,"","4094 18th St., San Francisco, CA",-122.4347003,37.7610635,"4094 18th st, san francisco, ca 94114, usa","Geocoded"
"City Athletic Club","(Gym)","2500 Market St.","San Francisco","CA","","Gym",NA,1985,"","2500 Market St., San Francisco, CA",-122.4363949,37.762282,"2500 market st, san francisco, ca 94114, usa","Geocoded"
"Detour","(Kinky Jocks)(DJ but no D)","2348 Market St.","San Francisco","CA","(*)","Bars/Clubs",NA,1985,"","2348 Market St., San Francisco, CA",-122.4343417,37.7635887,"2348 market st, san francisco, ca 94114, usa","Geocoded"
"Finnila's Finnish Baths","","2284 Market St.","San Francisco","CA","","Bathhouses",NA,1985,"","2284 Market St., San Francisco, CA",-122.4328463,37.764789,"2284 market st, san francisco, ca 94114, usa","Geocoded"
"Fanny's","","4230 18th St.","San Francisco","CA","(M),(R),(E)","Restaurant",NA,1985,"","4230 18th St., San Francisco, CA",-122.4368372,37.7609919,"4230 18th st, san francisco, ca 94114, usa","Geocoded"
"Eagle Creek Saloon","(DJ)","1884 Market St.","San Francisco","CA","(B)","Bars/Clubs",NA,1985,"","1884 Market St., San Francisco, CA",-122.4248482,37.7710827,"1884 market st, san francisco, ca 94102, usa","Geocoded"
"1808 Club","","1808 Market St.","San Francisco","CA","(P),(F&S)","Bars/Clubs",NA,1985,"","1808 Market St., San Francisco, CA",-122.4240552,37.7717755,"1808 market st, san francisco, ca 94102, usa","Geocoded"
"High Gear","(Men's clothing)","600 Castro St.","San Francisco","CA","","Business",NA,1985,"","600 Castro St., San Francisco, CA",-122.4350122,37.759161,"600 castro st, san francisco, ca 94114, usa","Geocoded"
"Gramophone","(Records, Mags.,etc.)","432 Castro St.","San Francisco","CA","(*)","Business",NA,1985,"","432 Castro St., San Francisco, CA",-122.435336,37.7619797,"432 castro st, san francisco, ca 94114, usa","Geocoded"
"Great Outdoors","(Publication) (S.F. 94114)","345 Diamond St.","San Francisco","CA","","Publications",NA,1985,"","345 Diamond St., San Francisco, CA",-122.4365829,37.7568541,"345 diamond st, san francisco, ca 94114, usa","Geocoded"
"Headlines","(Gifts, accessories, etc. )","549 Castro St.","San Francisco","CA","(*)","Book Store",NA,1985,"","549 Castro St., San Francisco, CA",-122.4346253,37.7601088,"549 castro st, san francisco, ca 94114, usa","Geocoded"
"Jaguar Books","(3 floors) (off Castro)","4052 18th St.","San Francisco","CA","(F&S),(*)","Book Store",NA,1985,"","4052 18th St., San Francisco, CA",-122.434183,37.7611384,"4052 18th st, san francisco, ca 94114, usa","Geocoded"
"Hot 'n' Hunky","(R-Hamburgers)","4039 18th St.","San Francisco","CA","(R),(*)","Restaurant",NA,1985,"","4039 18th St., San Francisco, CA",-122.4336963,37.7608414,"4039 18th st, san francisco, ca 94114, usa","Geocoded"
"Inn on Castro","","321 Castro St.","San Francisco","CA","(H)","Hotel",NA,1985,"","321 Castro St., San Francisco, CA",-122.4349793,37.7634248,"321 castro st, san francisco, ca 94114, usa","Geocoded"
"Joy of Recycling","(Gifts)","1847 Market St.","San Francisco","CA","","Business",NA,1985,"","1847 Market St., San Francisco, CA",-122.4242565,37.7709027,"1847 market st, san francisco, ca 94103, usa","Geocoded"
"M.C.C.","","150 Eureka St.","San Francisco","CA","(MCC)","Religious Institution",NA,1985,"","150 Eureka St., San Francisco, CA",-122.4383634,37.7599089,"150 eureka st, san francisco, ca 94114, usa","Geocoded"
"Luisa's","(Italian R)(Cl. Mon.-Tue.)(Late)","544 Castro St.","San Francisco","CA","(M),(R)","Restaurant",NA,1985,"","544 Castro St., San Francisco, CA",-122.4351906,37.7601399,"544 castro st, san francisco, ca 94114, usa","Geocoded"
