"title","description","streetaddress","city","state","amenityfeatures","type","Year","unclear_address","notes","full.address","lon","lat","geoAddress","status"
"Hub","(WE*)","1220 Pine St.","Walnut Creek","CA","(D),(*)","Bars/Clubs",1982,NA,"","1220 Pine St., Walnut Creek, CA",-122.0605541,37.9108286,"1220 pine st, walnut creek, ca 94596, usa","Geocoded"
"Buster's","(Disco)","2850 29th St.","Boulder","CO","(YC),(D),(PT),(*)","Bars/Clubs",1982,NA,"","2850 29th St., Boulder, CO",-105.2556175,40.0283416,"2850 29th st, boulder, co 80301, usa","Geocoded"
"The News Stand","(Books & cruisy arcade)","1720 15th St.","Boulder","CO","","Book Store,Cruising Areas",1982,NA,"","1720 15th St., Boulder, CO",-105.274682,40.0152071,"1720 15th st, boulder, co 80302, usa","Geocoded"
"Exit Lounge","(Cocktail hour & Sun. brunch *)","2028 Sheldon Ave.","Colorado Springs","CO","(*)","Bars/Clubs",1982,NA,"","2028 Sheldon Ave., Colorado Springs, CO",-104.8579498,38.8420807,"2028 sheldon ave, colorado springs, co 80904, usa","Geocoded"
"First Amendment Adult Book Store","(Cruisy)","216 W. Colorado","Colorado Springs","CO","","Cruising Areas",1982,NA,"","216 W. Colorado, Colorado Springs, CO",-104.8297428,38.8327791,"216 w colorado ave, colorado springs, co 80903, usa","Geocoded"
"Gateway Motel","","3 Manitou Ave.","Manitou Springs","CO","(H)","Hotel",1982,NA,"","3 Manitou Ave., Manitou Springs, CO",-104.8873999,38.8561608,"3 manitou ave, manitou springs, co 80829, usa","Geocoded"
"Hide & Seek Complex","(2 bars) (Disco)","512 W. Colorado","Colorado Springs","CO","(*),(R),(PT),(YC),(D)","Restaurant",1982,NA,"","512 W. Colorado, Colorado Springs, CO",-104.8349166,38.8329172,"512 w colorado ave, colorado springs, co 80905, usa","Geocoded"
"Monarch Magazines","(Books)","232 N. Tejon","Colorado Springs","CO","(*)","Book Store",1982,NA,"","232 N. Tejon, Colorado Springs, CO",-104.8236226,38.8378857,"232 n tejon st, colorado springs, co 80903, usa","Geocoded"
"Now Women","(Adj. to Hide & Seek)","512 W. Colorado","Colorado Springs","CO","(L)","Bars/Clubs",1982,NA,"","512 W. Colorado, Colorado Springs, CO",-104.8349166,38.8329172,"512 w colorado ave, colorado springs, co 80905, usa","Geocoded"
"Redcliff Lodge","","3512 W. Pikes Peak","Colorado Springs","CO","(H)","Hotel",1982,NA,"","3512 W. Pikes Peak, Colorado Springs, CO",-104.8813894,38.8566166,"3512 w pikes peak ave, colorado springs, co 80904, usa","Geocoded"
"Act III","(Male movies)","3480 W. Colfax","Denver","CO","","Theatre",1982,NA,"","3480 W. Colfax, Denver, CO",-105.0331139,39.7401612,"3480 w colfax ave, denver, co 80204, usa","Geocoded"
"Alicia's","(Mexican R)","278 S. Downing","Denver","CO","(R)","Restaurant",1982,NA,"","278 S. Downing, Denver, CO",-104.9732373,39.7115264,"278 s downing st, denver, co 80209, usa","Geocoded"
"All American Man","(Levi & W. clothing)","2140 Champa","Denver","CO","","Business",1982,NA,"","2140 Champa, Denver, CO",-104.986869,39.7516292,"2140 champa st, denver, co 80205, usa","Geocoded"
"Ball Park Health Club","(Baths) (Some W, SM, YC, FFA) (Use rear entrance thur alley off Bayaud)","107 S. Broadway","Denver","CO","(W),(SM),(YC),(FFA),(P)","Bathhouses",1982,NA,"","107 S. Broadway, Denver, CO",-104.9879527,39.7145318,"107 s broadway, denver, co 80209, usa","Geocoded"
"B.J.'s Carousel","(Cruisy) (Lunch & Dinner)","1380 S. Broadway","Denver","CO","(*),(R),(E),(PT)","Restaurant,Cruising Areas",1982,NA,"","1380 S. Broadway, Denver, CO",-104.987101,39.6914491,"1380 s broadway, denver, co 80210, usa","Geocoded"
"Casimer's","","3030 E. 6th Ave.","Denver","CO","(M),(R)","Restaurant",1982,NA,"","3030 E. 6th Ave., Denver, CO",-104.9515254,39.7254191,"3030 e 6th ave, denver, co 80206, usa","Geocoded"
"Country","(C & W) (Disco)","1260 Broadway","Denver","CO","(*),(C&W)","Bars/Clubs",1982,NA,"","1260 Broadway, Denver, CO",-104.9869001,39.7360739,"1260 n broadway, denver, co 80203, usa","Geocoded"
"Court Jester","","1617 Court Pl.","Denver","CO","(*)","Bars/Clubs",1982,NA,"","1617 Court Pl., Denver, CO",-104.9882761,39.742858,"1617 court pl, denver, co 80202, usa","Geocoded"
"Crypt","(Books, toys, erotica-'peep shows')","2222 N. Broadway","Denver","CO","(*)","Erotic Shop",1982,NA,"","2222 N. Broadway, Denver, CO",-104.9871913,39.7533388,"2222 n broadway, denver, co 80205, usa","Geocoded"
"C.T.'s","(Breakfast & Lunch)","104 S. Broadway","Denver","CO","(R)","Restaurant",1982,NA,"","104 S. Broadway, Denver, CO",-104.9872842,39.7145529,"104 s broadway, denver, co 80203, usa","Geocoded"
"David's","(Expanded) (Disco) (Unisex)","314 E. 13th Ave.","Denver","CO","(*),(D)","Bars/Clubs",1982,NA,"","314 E. 13th Ave., Denver, CO",-104.983016,39.7367205,"314 e 13th ave, denver, co 80203, usa","Geocoded"
"Den","(Some W, OC)","5110 W. Colfax","Denver","CO","(R),(PT),(W),(OC)","Restaurant",1982,NA,"","5110 W. Colfax, Denver, CO",-105.0524766,39.7401405,"5110 w colfax ave, denver, co 80204, usa","Geocoded"
"Denver Book Barter","","919 E. Colfax","Denver","CO","","Book Store",1982,NA,"","919 E. Colfax, Denver, CO",-104.9755079,39.7402087,"919 e colfax ave, denver, co 80218, usa","Geocoded"
"Denver Book Fair","","416 15th St.","Denver","CO","(M)","Book Store",1982,NA,"","416 15th St., Denver, CO",-104.9911836,39.7425689,"416 15th st, denver, co 80202, usa","Geocoded"
"Empire Baths","(Action)","6923 E. Colfax","Denver","CO","(*)","Bathhouses",1982,NA,"","6923 E. Colfax, Denver, CO",-104.9075404,39.7404015,"6923 e colfax ave, denver, co 80220, usa","Geocoded"
"Empress Theatre","(All Male)","139 Broadway","Denver","CO","(*)","Theatre",1982,NA,"","139 Broadway, Denver, CO",-104.9876796,39.7190045,"139 n broadway, denver, co 80203, usa","Geocoded"
"Galaxie Theatre & Book Store","","633 E. Colfax","Denver","CO","(*)","Book Store,Theatre",1982,NA,"","633 E. Colfax, Denver, CO",-104.9788853,39.7402371,"633 e colfax ave, denver, co 80203, usa","Geocoded"
"Geno's Redpine Motel","","1572 S. Broadway","Denver","CO","(M),(H)","Hotel",1982,NA,"","1572 S. Broadway, Denver, CO",-104.9872836,39.6881145,"1572 s broadway, denver, co 80210, usa","Geocoded"
"Globe International","(Disco)","4503 Logan","Denver","CO","(YC),(L),(D),(*)","Bars/Clubs",1982,NA,"","4503 Logan, Denver, CO",-104.9825742,39.7785394,"4503 logan st, denver, co 80216, usa","Geocoded"
"Haberdashery","(Men's clothing)","1245 E. Colfax","Denver","CO","","Business",1982,NA,"","1245 E. Colfax, Denver, CO",-104.9711492,39.7403289,"1245 e colfax ave, denver, co 80218, usa","Geocoded"
"Hot Delivery","(No booze - 'wild back room')","160 S. Broadway","Denver","CO","(*)","Bars/Clubs",1982,NA,"","160 S. Broadway, Denver, CO",-104.9872152,39.7134013,"160 s broadway, denver, co 80209, usa","Geocoded"
"Kitty's Book Store","","735 E. Colfax","Denver","CO","(M)","Bars/Clubs",1982,NA,"","735 E. Colfax, Denver, CO",-104.9780538,39.7402077,"735 e colfax ave, denver, co 80203, usa","Geocoded"
"Lambda Connection","(Books)","9 E. Ellsworth Ave.","Denver","CO","","Book Store",1982,NA,"","9 E. Ellsworth Ave., Denver, CO",-104.9870054,39.7167216,"9 e ellsworth ave, denver, co 80209, usa","Geocoded"
"Matty's Spartan Theatre","","139 S. Broadway","Denver","CO","","Theatre",1982,NA,"","139 S. Broadway, Denver, CO",-104.9875392,39.713895,"139 s broadway, denver, co 80209, usa","Geocoded"
"M.C.C.","","1400 Lafayette","Denver","CO","(MCC)","Religious Institution",1982,NA,"","1400 Lafayette, Denver, CO",-104.9703734,39.7387375,"1400 lafayette st, denver, co 80218, usa","Geocoded"
"Midtowne Spa","(Baths)","2935 Zuni","Denver","CO","(*)","Bathhouses",1982,NA,"","2935 Zuni, Denver, CO",-105.0160648,39.7592192,"2935 zuni st, denver, co 80211, usa","Geocoded"
"1942 Club","(Some W, SM, YC PT in front - Disco - D in back - 3 bars) (Cruisy) (C-AH-Fri & Sat)","1942 Broadway","Denver","CO","(*),(W),(SM),(YC),(PT),(D),(C),(AH)","Cruising Areas,Bars/Clubs",1982,NA,"","1942 Broadway, Denver, CO",-104.9872836,39.7469595,"1942 n broadway, denver, co 80202, usa","Geocoded"
"Orr House","(Looks promising)","1953 Lincoln","Denver","CO","(L),(E),(R)","Restaurant",1982,NA,"","1953 Lincoln, Denver, CO",-104.9861248,39.7468937,"1953 lincoln st, denver, co 80202, usa","Geocoded"
"Southtown Lumber Co.","(Cruisy) (Snacks)","255 S. Broadway","Denver","CO","(W),(YC),(R)","Restaurant,Cruising Areas",1982,NA,"","255 S. Broadway, Denver, CO",-104.9878313,39.7119216,"255 s broadway, denver, co 80223, usa","Geocoded"
"Three Sisters","(Disco) (Known as the 'six tits')","3358 Mariposa","Denver","CO","(L),(D)","Bars/Clubs",1982,NA,"","3358 Mariposa, Denver, CO",-105.0027349,39.7642829,"3358 mariposa st, denver, co 80211, usa","Geocoded"
"Triangle","(Cruisy john) (Don's Alley - 'wild' downstairs room) (AH, Fri. & Sat)","2036 Broadway","Denver","CO","(SM),(W),(FFA),(PT),(AH)","Cruising Areas,Bars/Clubs",1982,NA,"","2036 Broadway, Denver, CO",-104.9871495,39.7498648,"2036 n broadway, denver, co 80205, usa","Geocoded"
"Trilogy Book Store","","630 E. 6th Ave.","Denver","CO","","Book Store",1982,NA,"","630 E. 6th Ave., Denver, CO",-104.9789994,39.7254332,"630 e 6th ave, denver, co 80203, usa","Geocoded"
"White Spot","","740 W. Colfax","Denver","CO","(M),(R),(C)","Restaurant",1982,NA,"","740 W. Colfax, Denver, CO",-104.9974398,39.7397837,"740 w colfax ave, denver, co 80204, usa","Geocoded"
"Diamond Belle Bar","","699 Main St.","Durango","CO","(M)","Bars/Clubs",1982,NA,"","699 Main St., Durango, CO",-104.7384372,38.7551154,"699 main st, colorado springs, co 80911, usa","Geocoded"
"Quincy's","","609 Main St.","Grand Junction","CO","","Bars/Clubs",1982,NA,"","609 Main St., Grand Junction, CO",-108.5623526,39.0670197,"609 main st, grand junction, co 81501, usa","Geocoded"
"San Juan-Paris Guest House","","206 E. Colorado Ave.","Telluride","CO","(M),(H)","Hotel",1982,NA,"","206 E. Colorado Ave., Telluride, CO",-107.8096609,37.9366255,"206 e colorado ave, telluride, co 81435, usa","Geocoded"
"Black Rock","","2931 Fairfield Ave.","Bridgeport","CT","(L),(OC),(R)","Restaurant",1982,NA,"","2931 Fairfield Ave., Bridgeport, CT",-73.2275664,41.156396,"2931 fairfield ave, bridgeport, ct 06605, usa","Geocoded"
"Casbah","('Drags')","1277 N. Main St.","Bridgeport","CT","(M),(RT),(B)","Bars/Clubs",1982,NA,"","1277 N. Main St., Bridgeport, CT",-73.1807912,41.1920696,"1277 e main st, bridgeport, ct 06608, usa","Geocoded"
"Darien Dinner Theatre","(Very M)","65 Tokeneke Rd.","Darien","CT","(M)","Restaurant,Theatre",1982,NA,"","65 Tokeneke Rd., Darien, CT",-73.4672397,41.0765733,"65 tokeneke rd, darien, ct 06820, usa","Geocoded"
"Homestead Inn","","44 Field Pt. Rd.","Greenwich","CT","(M),(R),(H)","Hotel,Restaurant",1982,NA,"","44 Field Pt. Rd., Greenwich, CT",-73.6290325,41.0277124,"44 field point rd, greenwich, ct 06830, usa","Geocoded"
"Books & Cheese","","525 Farmington Ave.","Hartford","CT","","Book Store",1982,NA,"","525 Farmington Ave., Hartford, CT",-72.7094479,41.766426,"525 farmington ave, hartford, ct 06105, usa","Geocoded"
"Chez Est","(Some OC) (Cruisy) (Good cocktail hour)","238 Columbus Blvd.","Hartford","CT","(*),(OC)","Cruising Areas,Bars/Clubs",1982,NA,"","238 Columbus Blvd., Hartford, CT",-72.6694493,41.7642335,"238 columbus blvd, hartford, ct 06103, usa","Geocoded"
"Club Hartford Baths","","1169 Main St.","E. Hartford","CT","(*)","Bathhouses",1982,NA,"","1169 Main St., E. Hartford, CT",-72.674813,41.7707536,"1169 main st, hartford, ct 06103, usa","Geocoded"
"Collectables","(Disco) (AH*)","145 Service Rd.","Hartford","CT","(YC),(D),(AH),(*)","Bars/Clubs",1982,NA,"","145 Service Rd., Hartford, CT",-72.6574036,41.7902321,"145 w service rd, hartford, ct 06120, usa","Geocoded"
"Evergreen Cafe","(Disco)","39 Webster St.","Hartford","CT","(L),(D),(*)","Bars/Clubs",1982,NA,"","39 Webster St., Hartford, CT",-72.6833833,41.7444478,"39 webster st, hartford, ct 06114, usa","Geocoded"
"Lost & Found","(Disco)","81 Pope Park Hwy.","Hartford","CT","(YC),(D),(*)","Bars/Clubs",1982,NA,"","81 Pope Park Hwy., Hartford, CT",-72.7027356,41.7553684,"81 pope park hwy, hartford, ct 06106, usa","Geocoded"
"Marty's Adult World","","162 Washington St.","Hartford","CT","","Erotic Shop",1982,NA,"","162 Washington St., Hartford, CT",-72.681959,41.7575887,"162 washington st, hartford, ct 06106, usa","Geocoded"
"Nick's Cafe House","(Some M, OC)","1943 Broad","Hartford","CT","(M),(OC),(D)","Bars/Clubs",1982,NA,"","1943 Broad, Hartford, CT",-72.6875938,41.7392804,"1943 broad st, hartford, ct 06114, usa","Geocoded"
"Passing Fancy","(Books, erotica etc.)","11 Eath St.","Hartford","CT","","Erotic Shop,Book Store",1982,NA,"","11 Eath St., Hartford, CT",-72.7109639,41.7567613,"11 heath st, hartford, ct 06106, usa","Geocoded"
"Sisson Ave. Book Store","","275 Sisson Ave.","Hartford","CT","","Book Store",1982,NA,"","275 Sisson Ave., Hartford, CT",-72.7075499,41.7662844,"275 sisson ave, hartford, ct 06105, usa","Geocoded"
"Howard Johnson's","(Long Wharf)","400 Sargent Dr.","New Haven","CT","(M),(R),(C),(AH),(WE)","Restaurant",1982,NA,"","400 Sargent Dr., New Haven, CT",-72.9201125,41.294514,"400 sargent dr, new haven, ct 06511, usa","Geocoded"
"M.C.C.","(2nd floor)","425 College St.","New Haven","CT","(MCC)","Religious Institution",1982,NA,"","425 College St., New Haven, CT",-72.9265643,41.3096282,"425 college st, new haven, ct 06511, usa","Geocoded"
"Parkway","","1574 Chapel St.","New Haven","CT","(M),(RT)","Bars/Clubs",1982,NA,"","1574 Chapel St., New Haven, CT",-72.9490555,41.3120663,"1574 chapel st, new haven, ct 06511, usa","Geocoded"
"Partners","(Super bar - cruisy main floor) (Disco) (D upstairs & L - D in basement) (Game rooms)","365 Crown St.","New Haven","CT","(*),(YC),(D),(L)","Bars/Clubs,Cruising Areas",1982,NA,"","365 Crown St., New Haven, CT",-72.9340374,41.30801,"365 crown st, new haven, ct 06511, usa","Geocoded"
"Pub Cafe","(Some W) (Cruisy patio late Sun. afternoons)","168 York St.","New Haven","CT","(R),(W),(*)","Restaurant,Cruising Areas",1982,NA,"","168 York St., New Haven, CT",-72.932154,41.308158,"168 york st, new haven, ct 06511, usa","Geocoded"
"York St. Books","","166 York St.","New Haven","CT","","Book Store",1982,NA,"","166 York St., New Haven, CT",-72.9321753,41.3080861,"166 york st, new haven, ct 06511, usa","Geocoded"
"Salty Dog","(Cruisy) (Disco)","95 Pequot Ave.","New London","CT","(YC),(D),(*)","Bars/Clubs,Cruising Areas",1982,NA,"","95 Pequot Ave., New London, CT",-72.1000971,41.3390739,"95 pequot ave, new london, ct 06320, usa","Geocoded"
"Alconcio's International Cafe","(Some L) (4 mi. W. on US 7)","235 Danbury Rd.","New Milford","CT","(*),(R),(D),(L),(PT)","Restaurant",1982,NA,"","235 Danbury Rd., New Milford, CT",-73.4209278,41.5439632,"235 danbury rd, new milford, ct 06776, usa","Geocoded"
"Club Cafe","(Some L) (Disco) (D Wed - Sun.)","384 W. Main St.","Waterbury","CT","(L),(YC),(D),(*)","Bars/Clubs",1982,NA,"","384 W. Main St., Waterbury, CT",-73.0473,41.558052,"384 w main st, waterbury, ct 06702, usa","Geocoded"
"The Brook","(Disco) (Don't miss if anywhere in the area) (in rear) (Sunday afternoon Tea Dance - Summers) (US 1) (Exit 28 off I-95)","919 Post Road E.","Westport","CT","(*),(YC),(D),(L),(PT)","Bars/Clubs",1982,NA,"","919 Post Road E., Westport, CT",-73.3336109,41.1387307,"919 post rd e, westport, ct 06880, usa","Geocoded"
"Vincent's Cafe","(Disco)","925 Post Road E.","Westport","CT","(L),(D),(PT)","Bars/Clubs",1982,NA,"","925 Post Road E., Westport, CT",-73.3329661,41.138635,"925 post rd e, westport, ct 06880, usa","Geocoded"
"Nomad Village Motel & Other Room Bar","(Sauna) (Swim Pool) (P-beach)","Rte. 1, East side, 3 mi. N. in Tower Shores","Bethany Beach","DE","(*),(H),(P)","Hotel",1982,NA,"","Rte. 1, East side, 3 mi. N. in Tower Shores, Bethany Beach, DE",-75.0551806,38.5395564,"bethany beach, de, usa","Geocoded"
"New Bookstore","","115 N. duPont Hwy.","Dover","DE","","Book Store",1982,NA,"","115 N. duPont Hwy., Dover, DE",-75.5162721,39.1661052,"115 n dupont hwy, dover, de 19901, usa","Geocoded"
"The Lobby","(Disco) (Rte. 896, 1/4 mi. N. of I-95)","1019 S. College Ave.","Newark","DE","(*),(YC),(D),(L)","Bars/Clubs",1982,NA,"","1019 S. College Ave., Newark, DE",-75.7489248,39.6517084,"1019 s college ave, newark, de 19713, usa","Geocoded"
"Boat House","(Disco) (Some L) (2 bars) (One block W. of Bayard)","Hwy. 1, on Bellevue","Rehoboth Beach","DE","(*),(YC),(D),(L),(R)","Restaurant",1982,NA,"","Hwy. 1, on Bellevue, Rehoboth Beach, DE",-75.0807881,38.7071894,"de-1a, rehoboth beach, de 19971, usa","Geocoded"
"Paradise Guest House","","40 Maryland Ave.","Rehoboth Beach","DE","(H)","Hotel",1982,NA,"","40 Maryland Ave., Rehoboth Beach, DE",-75.080301,38.717654,"40 maryland ave, rehoboth beach, de 19971, usa","Geocoded"
"Bob's Adult Books","","174 S. Dunpont Hwy.","Wilmington","DE","(*)","Book Store",1982,NA,"","174 S. Dunpont Hwy., Wilmington, DE",-75.5715099,39.7444538,"174 s dupont st, wilmington, de 19805, usa","Geocoded"
"Renaissance","(The 'pits')","107 W. 6th St.","Wilmington","DE","(B),(M),(RT)","Bars/Clubs",1982,NA,"","107 W. 6th St., Wilmington, DE",-75.551228,39.74245,"107 w 6th st, wilmington, de 19801, usa","Geocoded"
"Astoria Arms","(Bath-like hotel)","809 14th St. N.W.","Washington","DC","","Hotel,Bathhouses",1982,NA,"","809 14th St. N.W., Washington, DC",-77.0317334,38.9003067,"809 14th st nw, washington, dc 20005, usa","Geocoded"
"Bachelors Mill","(Some L)","500 8th St. S.E.","Washington","DC","(D),(L)","Bars/Clubs",1982,NA,"","500 8th St. S.E., Washington, DC",-76.9947048,38.8825789,"500 8th st se, washington, dc 20003, usa","Geocoded"
"Brass Rail","","811 13th St. N.W.","Washington","DC","(B),(D)","Bars/Clubs",1982,NA,"","811 13th St. N.W., Washington, DC",-77.0293603,38.9003173,"811 13th st nw, washington, dc 20005, usa","Geocoded"
"Carroll's Tavern","(Lunch*) (RT-nights)","510 9th St. N.W.","Washington","DC","(R),(RT),(*)","Restaurant",1982,NA,"","510 9th St. N.W., Washington, DC",-77.0243093,38.8965639,"510 9th st nw, washington, dc 20004, usa","Geocoded"
"Cathedral House","(Looks promising)","2850 27th St. N.W.","Washington","DC","(H),(R)","Restaurant,Hotel",1982,NA,"","2850 27th St. N.W., Washington, DC",-77.0555579,38.9280436,"2850 27th st nw, washington, dc 20008, usa","Geocoded"
"Clubhouse","(Disco)","1296 Upshur St. N.W.","Washington","DC","(P),(B),(YC),(D),(*)","Bars/Clubs",1982,NA,"","1296 Upshur St. N.W., Washington, DC",-77.0292349,38.9414183,"1296 upshur st nw, washington, dc 20011, usa","Geocoded"
"Club Washington","(Baths) (Upstairs) (Tues. is leather/levi night) (2 floors) (Some SM)","20 'O' St. N.W.","Washington","DC","(*),(P),(SM)","Bathhouses",1982,NA,"","20 'O' St. N.W., Washington, DC",-77.0098807,38.9083392,"20 o st nw, washington, dc 20001, usa","Geocoded"
"Cy's","(Cruisy)","2112 Wisconsin Ave. N.W.","Washington","DC","(W),(SM),(*)","Cruising Areas,Bars/Clubs",1982,NA,"","2112 Wisconsin Ave. N.W., Washington, DC",-77.0705505,38.9174706,"2112 wisconsin ave nw, washington, dc 20007, usa","Geocoded"
"D.C. Eagle","(3 floors) (Cruisy) (R - upstairs) (betw, 'I' St. & Massachusetts)","908 7th St. N.W.","Washington","DC","(SM),(W),(PT),(*)","Cruising Areas,Bars/Clubs,Restaurant",1982,NA,"","908 7th St. N.W., Washington, DC",-77.0225127,38.9010623,"908 7th st nw, washington, dc 20001, usa","Geocoded"
"Dot's Spot","(Some L)","601 Pennsylvania Ave S.E.","Washington","DC","(R),(E),(L)","Restaurant",1982,NA,"","601 Pennsylvania Ave S.E., Washington, DC",-76.9982594,38.8851876,"601 pennsylvania ave. se, washington, dc 20003, usa","Geocoded"
"Equus","(Fun neighborhood levi cruise bar*) (Lunches)","639 Pennsylvania Ave. S.E.","Washington","DC","(*)","Bars/Clubs",1982,NA,"","639 Pennsylvania Ave. S.E., Washington, DC",-76.9971233,38.8847082,"639 pennsylvania ave. se, washington, dc 20003, usa","Geocoded"
"Follies","(Cinema) (Books, flicks, 'wild back room')","24 'O' St. S.E.","Washington","DC","(*)","Theatre,Erotic Shop,Book Store",1982,NA,"","24 'O' St. S.E., Washington, DC",-76.9689832,38.8729477,"o st se, washington, dc, usa","Geocoded"
"Fraternity House","(Some W, SM) (Combat Zone - R) (Enter thru alley) (3-15-81 Doing well-can't figure out why they won't pay for last years books)","2122 'P' St. N.W.","Washington","DC","(W),(SM),(R),(*),(E)","Restaurant",1982,NA,"","2122 'P' St. N.W., Washington, DC",-77.0476088,38.9094067,"2122 p st nw, washington, dc 20037, usa","Geocoded"
"Glory Hole","(Flicks & Pinballs) (Slings & glory holes) (FFA)","24 'O' St. N.W.","Washington","DC","(*),(FFA)","Bars/Clubs",1982,NA,"","24 'O' St. N.W., Washington, DC",-77.0100074,38.9083753,"24 o st nw, washington, dc 20001, usa","Geocoded"
"Hotel 1440","(Gym & Sauna)","1440 Rhode Island Ave. N.W.","Washington","DC","(H)","Hotel,Gymnasium",1982,NA,"","1440 Rhode Island Ave. N.W., Washington, DC",-77.0332499,38.9079677,"1440 rhode island ave nw, washington, dc 20005, usa","Geocoded"
"Jerry's Marquis de Sade","(Go go boys) (Plans expansion - looks promising)","1111 19th St. N.W.","Washington","DC","","Bars/Clubs",1982,NA,"","1111 19th St. N.W., Washington, DC",-77.0428637,38.9043989,"1111 19th street, 1111 19th st nw, washington, dc 20036, usa","Geocoded"
"Kramerbooks & Afterwords","(Very M Cafe & bookstore)","1517 Connecticut Ave. N.W.","Washington","DC","(M)","Book Store",1982,NA,"","1517 Connecticut Ave. N.W., Washington, DC",-77.043757,38.910817,"1517 connecticut ave nw, washington, dc 20036, usa","Geocoded"
"Lamas Women's Store","(Books, etc)","321 7th St. S.E.","Washington","DC","","Book Store",1982,NA,"","321 7th St. S.E., Washington, DC",-76.9964034,38.8855301,"321 7th st se, washington, dc 20003, usa","Geocoded"
"Lambda Rising Book Store","","2012 'S' St. N.W.","Washington","DC","(*)","Book Store",1982,NA,"","2012 'S' St. N.W., Washington, DC",-77.0454901,38.913911,"2012 s st nw, washington, dc 20009, usa","Geocoded"
"Le Salon","(Books, etc.) (2nd floor) ('Action' maze)","804 14th St. N.W.","Washington","DC","(P)","Erotic Shop",1982,NA,"","804 14th St. N.W., Washington, DC",-77.0318996,38.9002797,"804 14th st nw, washington, dc 20005, usa","Geocoded"
"Leather Rack","(Leather, clothes, etc.) (Above Eagle)","908 7th St. N.W.","Washington","DC","(*)","Erotic Shop",1982,NA,"","908 7th St. N.W., Washington, DC",-77.0225127,38.9010623,"908 7th st nw, washington, dc 20001, usa","Geocoded"
"Lone Star","(Nude go go boys)","504 9th St. N.W.","Washington","DC","(RT),(*)","Bars/Clubs",1982,NA,"","504 9th St. N.W., Washington, DC",-77.0243084,38.8963951,"504 9th st nw, washington, dc 20004, usa","Geocoded"
"Lost & Found","(Disco) (No neon sign, but don't miss it)","56 'L' St. S.E.","Washington","DC","(*),(YC),(D),(R)","Restaurant",1982,NA,"","56 'L' St. S.E., Washington, DC",-77.0066899,38.8776671,"56 l st se, washington, dc 20003, usa","Geocoded"
"Louie's","(Some W, SM) (WE*)","305 9th St. N.W.","Washington","DC","(W),(SM),(WE),(*)","Bars/Clubs",1982,NA,"","305 9th St. N.W., Washington, DC",-77.0236663,38.8923768,"305 9th st nw, washington, dc 20004, usa","Geocoded"
"Man's World","(Books, etc.) (Action arcade *)","808 'K' St. N.W.","Washington","DC","(*)","Erotic Shop",1982,NA,"","808 'K' St. N.W., Washington, DC",-77.0229536,38.9021152,"808 k st nw, washington, dc 20001, usa","Geocoded"
"M.C.C.","","945 'G' St. N.W.","Washington","DC","(MCC)","Religious Institution",1982,NA,"","945 'G' St. N.W., Washington, DC",-77.0256785,38.8985587,"945 g st nw, washington, dc 20001, usa","Geocoded"
"Men's Den","(Guys) (Same bldg. as Other Side)","1345 Half St. S.E.","Washington","DC","","Bars/Clubs",1982,NA,"","1345 Half St. S.E., Washington, DC",-77.0074599,38.8742408,"1345 half st se, washington, dc 20003, usa","Geocoded"
"Morgans","(Sunday Tea Dance)","1811 Columbia Rd. N.W.","Washington","DC","(PE),(R)","Restaurant",1982,NA,"","1811 Columbia Rd. N.W., Washington, DC",-77.043565,38.922119,"1811 columbia rd nw, washington, dc 20009, usa","Geocoded"
"Mr. Henry's","","1225 Wisconsin Ave. N.W.","Georgetown","DC","(M),(R)","Restaurant",1982,NA,"","1225 Wisconsin Ave. N.W., Georgetown, DC",-77.06263,38.9057972,"1225 wisconsin ave nw, washington, dc 20007, usa","Geocoded"
"Mr. P's","(Cruisy)","2147 'P' St. N.W.","Washington","DC","(D),(*)","Cruising Areas,Bars/Clubs",1982,NA,"","2147 'P' St. N.W., Washington, DC",-77.0482026,38.9097936,"2147 p st nw, washington, dc 20037, usa","Geocoded"
"Naples","('Husters')","1227 New York Ave. N.W.","Washington","DC","(RT)","Bars/Clubs",1982,NA,"","1227 New York Ave. N.W., Washington, DC",-77.028959,38.9007354,"1227 new york ave nw, washington, dc 20005, usa","Geocoded"
"New Yorker","","1212 New York Ave. N.W.","Washington","DC","(RT),(B)","Bars/Clubs",1982,NA,"","1212 New York Ave. N.W., Washington, DC",-77.0288013,38.9001057,"1212 new york ave nw, washington, dc 20002, usa","Geocoded"
"930 Club","","930 'F' St. N.W.","Washington","DC","","Bars/Clubs",1982,NA,"","930 'F' St. N.W., Washington, DC",-77.0253995,38.8971358,"930 f st nw, washington, dc 20004, usa","Geocoded"
"Nob Hill","","1101 Kenyon N.W.","Washington","DC","(B),(R)","Restaurant",1982,NA,"","1101 Kenyon N.W., Washington, DC",-77.0279983,38.9299075,"1101 kenyon st nw, washington, dc 20010, usa","Geocoded"
"Olympic Bath","(2nd floor)","1405 'H' St. N.W.","Washington","DC","","Bathhouses",1982,NA,"","1405 'H' St. N.W., Washington, DC",-77.0328421,38.900411,"1405 h st nw, washington, dc 20005, usa","Geocoded"
"Other Side","(Many L)","1345 Half St. S.E.","Washington","DC","(L),(R),(M),(*)","Restaurant",1982,NA,"","1345 Half St. S.E., Washington, DC",-77.0074599,38.8742408,"1345 half st se, washington, dc 20003, usa","Geocoded"
