"title","description","streetaddress","city","state","amenityfeatures","unclear_address","Year","type","notes","full.address","lon","lat","geoAddress"
"A Taste of Leather","252-9166/(800) 367-0786, noon-8pm","317-A 10th St","San Francisco","CA","",NA,1998,"Erotica","Listed under ""S.F.-South of Market""","317-A 10th St, San Francisco, CA",-122.4123833,37.7726436,"317 10th st a, san francisco, ca 94103, usa"
"Collins Plaza","532-0849 hotel","318 20th St","Miami Beach","FL","(GF)",NA,1998,"Accommodations","Listed under ""Miami Beach/South Beach""","318 20th St, Miami Beach, FL",-80.1303681,25.7957752,"318 20th st, miami beach, fl 33139, usa"
"381","621-3830, noon-6pm, 11am-7pm Fri-Sat, great kitsch, hipster gear & candles","318 Guerro St","San Francisco","CA","",NA,1998,"Bookstores & Retail Shops","Listed under ""S.F.-Mission District""","318 Guerro St, San Francisco, CA",-122.4244041,37.766003,"318 guerrero st, san francisco, ca 94103, usa"
"Murphy’s Inn","273-6873 full brkfst","318 Neal St","Grass Valley","CA","(GF),(NS)",NA,1998,"Accommodations","","318 Neal St, Grass Valley, CA",-121.0646767,39.2182375,"318 neal st, grass valley, ca 95945, usa"
"Looking Glass Bookstore","227-4760 9am-6pm, from 10am Sat, clsd Sun, general, some lesbigay titles","318 SW Taylor","Portland","OR","(*),(NS)",NA,1998,"Bookstores & Retail Shops","","318 SW Taylor, Portland, OR",-122.67678,45.5168928,"318 sw taylor st, portland, or 97204, usa"
"Colonial House Inn","(at 8th & 9th Aves.) 243-9669/(800) 689-3779","318 W 22nd St","New York City","NY","(M),(TA)",NA,1998,"Accommodations","Listed under ""N.Y.C. -- Soho, Greenwich & Chelsea""","318 W 22nd St, New York City, NY",-73.999981,40.7448807,"318 w 22nd st, new york, ny 10011, usa"
"Metro Hotel","861-5364","319 Divisadero St","San Francisco","CA","(GF),(F)",NA,1998,"Accommodations","Listed under ""S.F.-Haight, Fillmore & West""","319 Divisadero St, San Francisco, CA",-122.4374248,37.7724736,"319 divisadero st, san francisco, ca 94117, usa"
"Midtown Theatre","584-3112 24hrs","319 E 3rd St","Tulsa","OK","(*),(NS)",NA,1998,"Erotica","","319 E 3rd St, Tulsa, OK",-95.9866832,36.155255,"319 e 3rd st, tulsa, ok 74120, usa"
"Tynkers Too/The Rage","561-0752 2pm-4am, from 5pm wknds","319 Market","Louisville","KY","(MW),(F),(E),(K),(WC)",NA,1998,"Bars & Nightclubs","","319 Market, Louisville, KY",-85.7584557,38.2526647,"louisville, ky, usa"
"Trexx","474-6048 8pm-2am, til 4am Fri-Sat, clsd Mon-Tue","319 N Clinton St","Syracuse","NY","(M),(D),(S),(WC)",NA,1998,"Bars & Nightclubs","","319 N Clinton St, Syracuse, NY",-76.1536576,43.0528938,"319 n clinton st, syracuse, ny 13202, usa"
"Jenkins Hill Bar & Grill","543-2850 11am-2am, full bar","319 Pennsylvania Ave SE","Washington","DC","(MW),(WC)",NA,1998,"Restaurants","","319 Pennsylvania Ave SE, Washington, DC",-77.0013881,38.8864465,"319 pennsylvania ave. se, washington, dc 20003, usa"
"Pearl Street Inn B&B","579-7465 full brkfst, hot tub","319 W Pearl St","Granbury","TX","(GF)",NA,1998,"Accommodations","","319 W Pearl St, Granbury, TX",-97.7906255,32.4418994,"319 w pearl st, granbury, tx 76048, usa"
"Peachie’s Court","326-3611 3pm-2am, clsd Sun","320 Court St","Williamsport","PA","(MW),(NH)",NA,1998,"Bars & Nightclubs","","320 Court St, Williamsport, PA",-77.0021136,41.2412067,"320 court st, williamsport, pa 17701, usa"
"Tattoos R Us","#E 387-6969 piercing & tattoo studio","320 E Charleston","Las Vegas","NV","",NA,1998,"Erotica","","320 E Charleston, Las Vegas, NV",-115.1501807,36.1585076,"320 e charleston blvd, las vegas, nv 89104, usa"
"Lambda Center","255-0280 suppory groups & youth services","320 Harvey Ave","Daytona Beach","FL","",NA,1998,"Info Lines & Services","","320 Harvey Ave, Daytona Beach, FL",-81.0111818,29.2235635,"320 harvey ave, daytona beach, fl 32118, usa"
"Two Quail","543-8030 lunch Mon-Fri & dinner nightly, full bar","320 Massachusetts Ave NE","Washington","DC","(*)",NA,1998,"Restaurants","","320 Massachusetts Ave NE, Washington, DC",-77.0009586,38.8944851,"320 massachusetts ave ne, washington, dc 20002, usa"
"AA Gay/Lesbian","(church) 861-9966 8pm Mon, Wed & Fri","320 Resor Ave","Cincinatti","OH","",NA,1998,"Info Lines & Services","","320 Resor Ave, Cincinatti, OH",-84.5199225,39.1479732,"320 resor ave, cincinnati, oh 45220, usa"
"Simonton Court Historic Inn & Cottages","294-6386/(800) 944-2687 23-unit compound built in 1880s, 4 pools","320 Simonton St","Key West","FL","(*),(GF),(SW),(TA)",NA,1998,"Accommodations","","320 Simonton St, Key West, FL",-81.8027847,24.558101,"320 simonton st, key west, fl 33040, usa"
"The Cothren House","987-2612 full brkfst","320 Tower St","Mineral Point","WI","(GF)",NA,1998,"Accommodations","","320 Tower St, Mineral Point, WI",-90.1832491,42.8567691,"320 tower st, mineral point, wi 53565, usa"
"Travel Travel","#204 596-0336","320 Ward Ave","Honolulu, Oahu","HI","(TA)",NA,1998,"Travel Agents","Listed under ""Oahu""","320 Ward Ave, Honolulu, Oahu, HI",-157.8562799,21.2963791,"320 ward ave, honolulu, hi 96814, usa"
"Oz","842-3225 7pm-2am, from 5pm Th-Fri","320 Washington","Wausau","WI","(MW),(D),(V)",NA,1998,"Bars & Nightclubs","","320 Washington, Wausau, WI",-89.6272427,44.9591052,"320 washington st, wausau, wi 54403, usa"
"The Marlborough Bed & Breakfast Inn","548-6218 full brkfst","320 Woods Hole Rd","Woods Hole","MA","(GF)",NA,1998,"Accommodations","","320 Woods Hole Rd, Woods Hole, MA",-70.6501608,41.5370391,"320 woods hole rd, falmouth, ma 02540, usa"
"Inn on Castro","861-0321 full brkfst","321 Castro St","San Francisco","CA","(MW),(NS)",NA,1998,"Accommodations","Listed under ""S.F.-Castro & Noe Valley""","321 Castro St, San Francisco, CA",-122.4349793,37.7634248,"321 castro st, san francisco, ca 94114, usa"
"Lobster Pot","487-0842 noon-10pm","321 Commercial St","Provincetown","MA","(WC)",NA,1998,"Restaurants","","321 Commercial St, Provincetown, MA",-70.185277,42.0519659,"historic district, 321 commercial st, provincetown, ma 02657, usa"
"Turf News","479-0111","321 N Callow Ave","Bremerton","WA","(*),(NS)",NA,1998,"Erotica","","321 N Callow Ave, Bremerton, WA",-122.6535507,47.566402,"321 n callow ave, bremerton, wa 98312, usa"
"Grey Gull Inn","Wells 646-7501 New England fine dining","321 Wedhannet Dr","Wells","ME","",NA,1998,"Restaurants","Listed under ""Ogunquit, ME""","321 Wedhannet Dr, Wells, ME",-70.5693329,43.2928765,"321 webhannet dr, wells, me 04090, usa"
"Friends Travel","#100 652-9600/(800) 429-0069","322 Huntley Dr","West Hollywood","CA","",NA,1998,"Travel Agents","Listed under ""LA-West Hollywood""","322 Huntley Dr, West Hollywood, CA",-118.3782156,34.0772843,"322 huntley dr, west hollywood, ca 90048, usa"
"Cafe Berlin","543-7656 lunch & dinner, dinner only Sun, German","322 Massachusetts Ave NE","Washington","DC","",NA,1998,"Restaurants","","322 Massachusetts Ave NE, Washington, DC",-77.0009776,38.8944316,"322 massachusetts ave ne, washington, dc 20002, usa"
"Stompers","Cigars & gloves, boots, 255-6422, noon-8pm, clsd Mon","323 10th St","San Francisco","CA","",NA,1998,"Bookstores & Retail Shops","Listed under ""S.F.-South of Market""","323 10th St, San Francisco, CA",-122.4122593,37.7726249,"323 10th st, san francisco, ca 94103, usa"
"Groove Jet","532-2002 call for events","323 23rd St","Miami Beach","FL","(GF),(D),(E)",NA,1998,"Bars & Nightclubs","Listed under ""Miami Beach/South Beach""","323 23rd St, Miami Beach, FL",-80.1294065,25.7991178,"323 23rd st, miami beach, fl 33139, usa"
"Alternatives","337-4124 10am-6pm, noon-4pm Sun, pride gifts","323 E Market St","Iowa City","IA","(WC)",NA,1998,"Bookstores & Retail Shops","","323 E Market St, Iowa City, IA",-91.5305654,41.6633626,"323 e market st, iowa city, ia 52245, usa"
"Franciscan Travel","#701 391-6592","323 Geary St","San Francisco","CA","(TA)",NA,1998,"Travel Agents","Listed under ""S.F.-Downtown & North Beach""","323 Geary St, San Francisco, CA",-122.4085617,37.7872345,"323 geary st, san francisco, ca 94102, usa"
"Red Oaks Books","782-3424 9am-8pm, til 9pmFri, 10am-5pm wknds, general, lesbigay section","323 Pearl St","La Crosse","WI","(*),(NS)",NA,1998,"Bookstores & Retail Shops","","323 Pearl St, La Crosse, WI",-91.2521224,43.8117876,"323 pearl st, la crosse, wi 54601, usa"
"Design Hotels","#B 332-4885/(800)337-4685 reservation service","323 Pine St","Sausalito","CA","(TA)",NA,1998,"Accommodations","","323 Pine St, Sausalito, CA",-122.4849122,37.8588825,"323 pine st, sausalito, ca 94965, usa"
"The Edge","(in the Lucas Place Bldg.) 221-8900","323 W 8th","Kansas City","MO","(MW),(D),(A),(E),(YC),(WC)",NA,1998,"Bars & Nightclubs","","323 W 8th, Kansas City, MO",-94.587015,39.1044106,"323 w 8th st, kansas city, mo 64105, usa"
"The Ritz","372-9382 2pm-2am","323 W 10th Ave","Amarillo","TX","(MW),(D),(CW),(S)",NA,1998,"Bars & Nightclubs","","323 W 10th Ave, Amarillo, TX",-101.8340985,35.2030443,"323 se 10th ave, amarillo, tx 79101, usa"
"Windsong Books & Records","964-2050 10am-5:30pm til 4pm Sun, mostly used","324 N Main","Fort Bragg","CA","",NA,1998,"Bookstores & Retail Shops","","324 N Main, Fort Bragg, CA",-123.805667,39.4447881,"324 n main st, fort bragg, ca 95437, usa"
"J.R.'s","786-9411 3pm-3am, from noon Sun","325 20th St","Rock Island","IL","(MW),(D),(S),(WC)",NA,1998,"Bars & Nightclubs","","325 20th St, Rock Island, IL",-90.5717191,41.5092214,"325 20th st, rock island, il 61201, usa"
"L'Amour Shoppe","758-9600","325 E Alisal St","Salinas","CA","",NA,1998,"Erotica","","325 E Alisal St, Salinas, CA",-121.6442972,36.6751489,"325 e alisal st, salinas, ca 93901, usa"
"The Loft","231-3320 11am -1am, from 10am (wknds & summers), Sun brunch","325 Farnum Pike","Smithfield","RI","(MW),(F),(SW),(WC)",NA,1998,"Bars & Nightclubs","","325 Farnum Pike, Smithfield, RI",-71.5427814,41.911744,"325 farnum pike, smithfield, ri 02917, usa"
"1470 West","736-5483 4pm-2am, clsd Mon","325 Main St","Dunedin","FL","(MW),(D),(E),(S),(WC)",NA,1998,"Bars & Nightclubs","","325 Main St, Dunedin, FL",-82.7892182,28.0117824,"325 main st, dunedin, fl 34698, usa"
"Elixir","258-0523 10pm-4am Th-Sat, hip fashion crowd","325 N Jefferson St","Chicago","IL","(GF)",NA,1998,"Bars & Nightclubs","Listed under ""Chicago - Near North""","325 N Jefferson St, Chicago, IL",-87.6425823,41.8875378,"325 n jefferson st, chicago, il 60661, usa"
"Sandy's Old Homestead","939-0758, 8am-4am","325 N Main St","Port Chester","NY","(GF),(F),(WC)",NA,1998,"Bars & Nightclubs","","325 N Main St, Port Chester, NY",-73.6587947,41.0058269,"325 n main st, port chester, ny 10573, usa"
"Bravo Travel Services","#D 459-3795/(800) 774-4769","325 N Milwaukee","Wheeling","IL","(TA)",NA,1998,"Travel Agents","","325 N Milwaukee, Wheeling, IL",-87.9099203,42.1450519,"325 n milwaukee ave, wheeling, il 60090, usa"
"SPA Adventures","#910 (at 8th Ave ) 399-0700","325 W 45th St","New York City","NY","(TA)",NA,1998,"Travel Agents","Listed under ""N.Y.C. -- Midtown""","325 W 45th St, New York City, NY",-73.9896464,40.7599246,"325 w 45th st, new york, ny 10036, usa"
"Spurs","621-2668 4pm-2:30am","326 E 8th St","Cincinatti","OH","(*),(M),(L),(WC)",NA,1998,"Bars & Nightclubs","","326 E 8th St, Cincinatti, OH",-84.50772,39.1054824,"326 e 8th st, cincinnati, oh 45202, usa"
"Ray of Hope MCC","(YMCA) 471-6618 6pm Sun","326 Montgomery St","Syracuse","NY","(WC)",NA,1998,"Spiritual Groups","","326 Montgomery St, Syracuse, NY",-76.1494897,43.0477066,"326 montgomery st, syracuse, ny 13202, usa"
"The Shamrock","327-9570 Fri-Sat only","326 Princeton Ave","Bluefield","WV","(MW),(D)",NA,1998,"Bars & Nightclubs","","326 Princeton Ave, Bluefield, WV",-81.223681,37.2694116,"326 princeton ave, bluefield, wv 24701, usa"
"Dignity","(St. John's Parish), E/ Lansing 351-7341 8pm Tue","327 MAC","Lansing","MI","",NA,1998,"Spiritual Groups","","327 MAC, Lansing, MI",-84.5555347,42.732535,"lansing, mi, usa"
"Barz","353-4444, 5pm-4am, from 1pm Sun, clsd Mon","327 Rte 9 W","Nyack","NY","(MW),(D),(WC)",NA,1998,"Bars & Nightclubs","","327 Rte 9 W, Nyack, NY",-73.935807,41.1671503,"327 rte 9w, congers, ny 10920, usa"
"Our Place","833-8968","327 W Harget","Raleigh","NC","",NA,1998,"Erotica","","327 W Harget, Raleigh, NC",-78.6446481,35.7782674,"327 w hargett st, raleigh, nc 27601, usa"
"Out and About","545-4817","327 W Lewis","Pasco","WA","(MW),(D),(WC)",NA,1998,"Bars & Nightclubs","","327 W Lewis, Pasco, WA",-119.0902576,46.2312664,"327 w lewis st, pasco, wa 99301, usa"
"The Mansion Inn","Venice 821-2557/(800) 828-0688","327 Washington Blvd","Venice","CA","(GF),(WC)",NA,1998,"Accommodations","Listed under ""L.A-West L.A. & Santa Monica""","327 Washington Blvd, Venice, CA",-118.4641959,33.9809589,"327 washington blvd, venice, ca 90291, usa"
"The Mansion Inn","Venice 821-2557/(800) 828-0688 European-style inn","327 Washington Blvd","Venice","CA","(GF),(WC)",NA,1998,"Accommodations","Listed under ""Marina del Rey, CA""","327 Washington Blvd, Venice, CA",-118.4641959,33.9809589,"327 washington blvd, venice, ca 90291, usa"
"Bravo for Men","322-3077 clothing","328 N Palm Canyon Dr","Palm Springs","CA","",NA,1998,"Bookstores & Retail Shops","","328 N Palm Canyon Dr, Palm Springs, CA",-116.5465927,33.8273059,"328 n palm canyon dr, palm springs, ca 92262, usa"
"Cafe Nola","627-2590 Creole, full bar","328 South St","Philadelphia","PA","(*),(NS)",NA,1998,"Restaurants","","328 South St, Philadelphia, PA",-75.1485359,39.9413769,"328 south st, philadelphia, pa 19147, usa"
"Garden House","296-5368/(800) 695-6453 hot tub","329 Elizabeth St","Key West","FL","(GF),(SW)",NA,1998,"Accommodations","","329 Elizabeth St, Key West, FL",-81.8012416,24.5588594,"329 elizabeth st, key west, fl 33040, usa"
"Bayou Bar & Grill","696-8747 lunch & dinner, Sun champagne brunch, Creole/Cajun, full bar","329 Market St","San Diego","CA","",NA,1998,"Restaurants","","329 Market St, San Diego, CA",-117.1613945,32.7112494,"329 market st, san diego, ca 92101, usa"
"Club B.A.D. (House of Blues)","(888) 777-8886","329 N Dearborn St","Chicago","IL","(M),(D)",NA,1998,"Bars & Nightclubs","Listed under ""Chicago - Near North""","329 N Dearborn St, Chicago, IL",-87.6291025,41.8882351,"329 n dearborn st, chicago, il 60654, usa"
"The Coffee Hag","387-5533 9am-11pm, 11am-6pm Sun, clsd Mon","329 N Riverfront","Mankato","MN","(E),(WC)",NA,1998,"Cafes","","329 N Riverfront, Mankato, MN",-93.999878,44.1700313,"329 n riverfront dr, mankato, mn 56001, usa"
"American Express Travel Service","332-3157x227","330 E Silver Spring Dr","Milwaukee","WI","(TA)",NA,1998,"Travel Agents","","330 E Silver Spring Dr, Milwaukee, WI",-87.905677,43.1186425,"330 e silver spring dr, whitefish bay, wi 53217, usa"
"Paper Skyscraper","333-7130 10am-7pm, til 9pm Fri, til 6pm Sat, noon-5pm Sun, books & gifts","330 East Blvd","Charlotte","NC","(WC)",NA,1998,"Bookstores & Retail Shops","","330 East Blvd, Charlotte, NC",-80.8557572,35.209999,"330 east blvd, charlotte, nc 28203, usa"
"Quinn’s Restaurant","Beacon (Hudson River) 831-8065 great bread","330 Main St","Beacon","NY","",NA,1998,"Restaurants","Listed under ""Hudson Valley, NY""","330 Main St, Beacon, NY",-73.9689541,41.5048098,"330 main st, beacon, ny 12508, usa"
"Dignity","(church) 546-2093 7pm Sun","330 S 13th St","Philadelphia","PA","(*),(NS)",NA,1998,"Spiritual Groups","","330 S 13th St, Philadelphia, PA",-75.1633043,39.9458186,"330 s 13th st, philadelphia, pa 19107, usa"
"The Annex","223-6957 4pm-2am, cruise bar, patio","330 San Pedro Ave","San Antonio","TX","(M),(NH),(WC)",NA,1998,"Bars & Nightclubs","","330 San Pedro Ave, San Antonio, TX",-98.4963163,29.4367999,"330 san pedro ave, san antonio, tx 78212, usa"
"Hart's Arcade","224-2338 24hrs","330 SW 3rd Ave","Portland","OR","(*),(NS)",NA,1998,"Erotica","","330 SW 3rd Ave, Portland, OR",-122.6741683,45.5204488,"330 sw 3rd ave, portland, or 97204, usa"
"Dignity Fort Lauderdale","(Sunshine Cathedral MCC) 463-4528 7pm Sun, Roman Catholic liturgy","330 SW 27th St","Fort Lauderdale","FL","",NA,1998,"Spiritual Groups","","330 SW 27th St, Fort Lauderdale, FL",-80.1453578,26.0897627,"330 sw 27th st, fort lauderdale, fl 33315, usa"
"Sunshine Cathedral MCC","462-2004 8:30AM, 10AM, 11:30am, 7pm Sun","330 SW 27th St","Fort Lauderdale","FL","(WC)",NA,1998,"Spiritual Groups","","330 SW 27th St, Fort Lauderdale, FL",-80.1453578,26.0897627,"330 sw 27th st, fort lauderdale, fl 33315, usa"
"Above & Beyond Travel","#107 284-1666/(800) 397-2681","330 Townsend","San Francisco","CA","(TA)",NA,1998,"Travel Agents","Listed under ""S.F.-South of Market""","330 Townsend, San Francisco, CA",-122.3960203,37.7768357,"330 townsend st, san francisco, ca 94107, usa"
"Pied Piper Travel","#1804 239-2412/(800) 874-7312","330 W 42nd St","New York City","NY","(TA)",NA,1998,"Travel Agents","Listed under ""N.Y.C. -- Midtown""","330 W 42nd St, New York City, NY",-73.9916297,40.7575608,"330 w 42nd st, new york, ny 10036, usa"
"Legends","831-8888 9pm-?, deck, more mixed crowd on wknds","330 W Hargett St","Raleigh","NC","(M),(D),(E),(S),(YC),(PC),(WC)",NA,1998,"Bars & Nightclubs","","330 W Hargett St, Raleigh, NC",-78.6448033,35.7786519,"330 w hargett st, raleigh, nc 27601, usa"
"Charleys","232-9606 2pm-2am, clsd Sun-Mon","331 E Center","Pocatello","ID","(MW),(D),(E),(WC)",NA,1998,"Bars & Nightclubs","","331 E Center, Pocatello, ID",-112.4458248,42.8648434,"331 e center st, pocatello, id 83201, usa"
"HopScotch","322-4191 11am-11pm, from 8am Sat, from 3pm Sun, 100+ single malts","332 15th Ave E","Seattle","WA","(GF),(F)",NA,1998,"Bars & Nightclubs","","332 15th Ave E, Seattle, WA",-122.3123802,47.6214993,"332 15th ave e, seattle, wa 98112, usa"
"Lesbian/Gay Community Center","462-6138 7pm-10pm, til 11 pm Fri-Sat, I0am-2pm Sun (cafe), 24hr directory","332 Hudson Ave","Albany","NY","",NA,1998,"Info Lines & Services","","332 Hudson Ave, Albany, NY",-73.7655861,42.6532207,"332 hudson ave, albany, ny 12210, usa"
"Jaybird Books","941-8607","332 NCalifornia","Stockton","CA","",NA,1998,"Erotica","","332 NCalifornia, Stockton, CA",-121.2854202,37.9572869,"332 n california st, stockton, ca 95202, usa"
"Icon","261-0881 Tue from 9pm, Wed-Fri from 5pm, Sat from 8pm, clsd Mon","333 4th Ave","Pittsburgh","PA","(MW),(D)",NA,1998,"Bars & Nightclubs","","333 4th Ave, Pittsburgh, PA",-80.0000346,40.4391898,"333 fourth ave, pittsburgh, pa 15222, usa"
"Joie de Vivre MCC","383-0450 11am Sun","333 E Chimes St","Baton Rouge","LA","",NA,1998,"Spiritual Groups","","333 E Chimes St, Baton Rouge, LA",-91.1734781,30.4172252,"333 e chimes st, baton rouge, la 70802, usa"
"Inn at the Opera","863-8400/(800) 325-2708 also Mediterranean restaurant","333 Fulton St","San Francisco","CA","(GF)",NA,1998,"Accommodations","Listed under ""S.F.-Haight, Fillmore & West""","333 Fulton St, San Francisco, CA",-122.4222545,37.7787601,"333 fulton st, san francisco, ca 94102, usa"
"Evolution","242-2899 10pm-4am, clsd Mon-Tue, no alcohol","333 SW Park","Portland","OR","(D),(E),(18+),(YC),(*),(MW)",NA,1998,"Bars & Nightclubs","","333 SW Park, Portland, OR",-122.6796279,45.5219592,"333 sw park ave, portland, or 97205, usa"
"Fort Collins Travel","482-5555/ (800) 288-7402","333 W Mountain Ave","Fort Collins","CO","",NA,1998,"Travel Agents","","333 W Mountain Ave, Fort Collins, CO",-105.082221,40.586715,"333 w mountain ave, fort collins, co 80521, usa"
"Odyssey","841-8686/(800)327-4441","334 E Michigan St","Orlando","FL","(TA)",NA,1998,"Travel Agents","","334 E Michigan St, Orlando, FL",-81.3730462,28.5120514,"334 e michigan st, orlando, fl 32806, usa"
"King George Hotel","781-5050/(800) 288-6005, also 'The Bread & Honey Tearoom' w/ morning & afternoon teas","334 Mason St","San Francisco","CA","(GF),(F)",NA,1998,"Accommodations","Listed under ""S.F.-Downtown & North Beach""","334 Mason St, San Francisco, CA",-122.4092908,37.7867767,"334 mason st, san francisco, ca 94102, usa"
"Class Act","(enter rear) 292-2010 8pm-3am, clsd Mon","335 High St","Morgantown","WV","(MW),(D),(E),(S),(PC)",NA,1998,"Bars & Nightclubs","","335 High St, Morgantown, WV",-79.9557403,39.6302824,"335 high st, morgantown, wv 26505, usa"
"Swingers World","676-9275 24hrs","335 SW Adams","Peoria","IL","",NA,1998,"Erotica","","335 SW Adams, Peoria, IL",-89.593409,40.6897502,"335 sw adams st, peoria, il 61602, usa"
"First City Network","236-2489 info & events line, social group","335 Tatnall St","Savannah","GA","",NA,1998,"Info Lines & Services","","335 Tatnall St, Savannah, GA",-81.0972223,32.0741834,"335 tattnall st, savannah, ga 31401, usa"
"Pilgrim House","487-6424 also restaurant & bar","336 Commercial St","Provincetown","MA","(W)",NA,1998,"Accommodations","","336 Commercial St, Provincetown, MA",-70.1849827,42.0528506,"historic district, 336 commercial st, provincetown, ma 02657, usa"
"Vixen","487-6424 11am-1am","336 Commercial St","Provincetown","MA","(W),(D),(S)",NA,1998,"Bars & Nightclubs","","336 Commercial St, Provincetown, MA",-70.1849827,42.0528506,"historic district, 336 commercial st, provincetown, ma 02657, usa"
"Dauzat House","524-2075","337 Burgundy St","New Orleans","LA","(GF)",NA,1998,"Accommodations","","337 Burgundy St, New Orleans, LA",-90.0697223,29.9574013,"337 burgundy st, new orleans, la 70112, usa"
"Union","894-5778 11am-11pm","337 N Shine Ave","Orlando","FL","(MW),(NH),(F)",NA,1998,"Bars & Nightclubs","","337 N Shine Ave, Orlando, FL",-81.3620905,28.5472472,"337 n, 337 shine ave, orlando, fl 32803, usa"
"First Travel","","337 S Plant ave","Tampa","FL","(TA)",NA,1998,"Travel Agents","","337 S Plant ave, Tampa, FL",-82.463184,27.9399916,"337 s plant ave, tampa, fl 33606, usa"
"Trident Booksellers & Cafe","267-8688 9am-midnight","338 Newbury St","Boston","MA","(WC)",NA,1998,"Bookstores & Retail Shops","","338 Newbury St, Boston, MA",-71.0865931,42.348216,"338 newbury st 3rd floor, boston, ma 02115, usa"
"Bag & Baggage B&B","546-3807","338 S 19th St","Philadelphia","PA","(GF)",NA,1998,"Accommodations","","338 S 19th St, Philadelphia, PA",-75.1731757,39.9467562,"338 s 19th st, philadelphia, pa 19103, usa"
"N-cognito","523-0599 clsd Mon-Tue, theme nights","338 S Front","Memphis","TN","(M),(D),(MR-AF),(S)",NA,1998,"Bars & Nightclubs","","338 S Front, Memphis, TN",-90.0585792,35.1377517,"338 s front st, memphis, tn 38103, usa"
"Lovey's Pub","849-2960 10am-2am, from 1pm Sun","338 US 19","Hollywood","FL","(MW),(NH),(WC)",NA,1998,"Bars & Nightclubs","","338 US 19, Hollywood, FL",-80.1494901,26.0112014,"hollywood, fl, usa"
"Crow Bar","(at Ave. B) 420-0670 9pm-4am","339 E 10th St","New York City","NY","(MW),(D),(TG),(S)",NA,1998,"Bars & Nightclubs","Listed under ""N.Y.C. -- Soho, Greenwich & Chelsea""","339 E 10th St, New York City, NY",-73.9802136,40.7270957,"339 e 10th st, new york, ny 10009, usa"
"Cafe Sweetwater","622-6464 lunch & dinner","340 E 6th St","Tuscon","AZ","",NA,1998,"Restaurants","","340 E 6th St, Tuscon, AZ",-110.9659406,32.227622,"340 e 6th st, tucson, az 85705, usa"
"The Unlimited Feast","463-6223, 4:30-10pm, clsd Sun, Indonesian/cont'l, full bar, patio","340 Hamilton St","Albany","NY","",NA,1998,"Restaurants","","340 Hamilton St, Albany, NY",-73.7645728,42.6517079,"340 hamilton st, albany, ny 12210, usa"
"Visions","786-5455 noon-4am, 24hrs Fri-Sun, Glitter Palace gift shop wknds","340 Kietzke Ln","Reno","NV","(D),(E),(YC),(*),(M)",NA,1998,"Bars & Nightclubs","","340 Kietzke Ln, Reno, NV",-119.7886394,39.5251355,"340 kietzke ln, reno, nv 89502, usa"
"Golden Lions","281-4179 4pm-2:30am","340 Ludlow","Cincinatti","OH","(M),(NH),(D),(E),(S),(OC)",NA,1998,"Bars & Nightclubs","","340 Ludlow, Cincinatti, OH",-84.521082,39.1439254,"340 ludlow ave, cincinnati, oh 45220, usa"
"Welcome Travel Agency","Lake Ronkonkoma 585-7070","340 Portion Rd","Long Island","NY","(TA)",NA,1998,"Travel Agents","","340 Portion Rd, Long Island, NY",-73.0992415,40.827948,"340 portion rd, lake ronkonkoma, ny 11779, usa"
"Emmanuel MCC","268-0599 10am Sun","341 Dallas NE","Albuquerque","NM","",NA,1998,"Spiritual Groups","","341 Dallas NE, Albuquerque, NM",-106.5601358,35.0797212,"341 dallas st ne, albuquerque, nm 87108, usa"
"Panorama","221-7262 9pm-4am Fri-Sat only, call for events","341 SW 10th","Portland","OR","(D),(BW),(WC),(*),(GF)",NA,1998,"Bars & Nightclubs","","341 SW 10th, Portland, OR",-122.6813688,45.522339,"341 sw 10th ave, portland, or 97205, usa"
"GROW Switchboard","#182 799-7111 6pm-10pm, info, counseling, AIDS resource","341-11 S College Rd","Wilmington","NC","",NA,1998,"Info Lines & Services","","341-11 S College Rd, Wilmington, NC",-77.8712199,34.23507,"341-11 college rd, wilmington, nc 28403, usa"
"Prufrock's","963-0849 11am-6pm, clsd Sun; also gallery","342 Adams Ave","Scranton","PA","(E)",NA,1998,"Cafes","","342 Adams Ave, Scranton, PA",-75.6599316,41.4090471,"342 adams ave, scranton, pa 18503, usa"
"Inn of the Turquoise Bear","983-0798/(800) 396-4104,  hot tub, private/shared baths","342 E Buena Vista St","Santa Fe","NM","(MW),(NS)",NA,1998,"Accommodations","","342 E Buena Vista St, Santa Fe, NM",-105.937457,35.6773209,"342 e buena vista st, santa fe, nm 87505, usa"
"Hotel Triton","394-0500/(800) 433-6611","342 Grant Ave","San Francisco","CA","(GF),(WC),(TA)",NA,1998,"Accommodations","Listed under ""S.F.-Downtown & North Beach""","342 Grant Ave, San Francisco, CA",-122.4053992,37.7903361,"4. triton - $192 for mon. 4/21, 342 grant ave, san francisco, ca 94108, usa"
"Beharrell House","812-944-0289/ 800-728-3262 Queen anne B&B, 4 miles to Louisville, gay-owned & run","343 Beharrell Ave","Louisville","KY","(MW)",NA,1998,"Accommodations","","343 Beharrell Ave, Louisville, KY",-85.7947248,38.2988951,"343 beharrell ave, new albany, in 47150, usa"
"Sarong Sarong","(at 11th St.) 989-0888, opens 1 lam, Malaysian, full bar","343 Bleecker St","New York City","NY","(*),(MW)",NA,1998,"Restaurants","Listed under ""N.Y.C. -- Soho, Greenwich & Chelsea""","343 Bleecker St, New York City, NY",-74.0043073,40.73381,"343 bleecker st, new york, ny 10014, usa"
