"title","description","streetaddress","city","state","type","amenityfeatures","Year","unclear_address","notes","full.address","lon","lat","geoAddress","status"
"Kon Tiki","(Disco)(Occ. S)","214 23rd St.","Galveston","TX","Bars/Clubs","(YC),(D),(S),(*)",1983,NA,"","214 23rd St., Galveston, TX",-94.794231,29.3067186,"214 23rd st, galveston, tx 77550, usa","Geocoded"
"Fly","","2101 O 1/2 St.","Galveston","TX","Bars/Clubs","(D),(PT)",1983,NA,"","2101 O 1/2 St., Galveston, TX",-94.7872914,29.2936158,"2101 avenue o 1/2, galveston, tx 77550, usa","Geocoded"
"Silver Palace Bar","","2214 Mechanic","Galveston","TX","Bars/Clubs","",1983,NA,"","2214 Mechanic, Galveston, TX",-94.7935539,29.3065456,"2214 mechanic st, galveston, tx 77550, usa","Geocoded"
"Robert's Lafitte","","213 Kempner Ave.","Galveston","TX","Bars/Clubs","(S),(D)",1983,NA,"","213 Kempner Ave., Galveston, TX",-94.7932694,29.3068406,"213 kempner st, galveston, tx 77550, usa","Geocoded"
"M.C.C.","","1804 69th St.","Galveston","TX","Religious Institution","(MCC)",1983,NA,"","1804 69th St., Galveston, TX",-94.8406406,29.2770951,"1804 69th st, galveston, tx 77551, usa","Geocoded"
"Adonis News","(Cruisy)","1407 Richmond","Houston","TX","Cruising Areas,Book Store","",1983,NA,"","1407 Richmond, Houston, TX",-95.3969614,29.7341326,"1407 richmond ave., houston, tx 77006, usa","Geocoded"
"Academy","(Clothing)","2030 Westheimer","Houston","TX","Business","",1983,NA,"","2030 Westheimer, Houston, TX",-95.4094178,29.74312,"2030 westheimer rd, houston, tx 77019, usa","Geocoded"
"Asylum","(Books & arcade)(Cruisy back room)","1201 Richmond","Houston","TX","Book Store,Cruising Areas","(*)",1983,NA,"","1201 Richmond, Houston, TX",-95.3940574,29.7342056,"1201 richmond ave., houston, tx 77006, usa","Geocoded"
"Bannister","","1322 Westheimer","Houston","TX","Restaurant","(M),(R)",1983,NA,"","1322 Westheimer, Houston, TX",-95.395448,29.7438921,"1322 westheimer rd, houston, tx 77006, usa","Geocoded"
"Baja's","(Patio)","402 Lovett","Houston","TX","Restaurant,Bars/Clubs","(R),(E),(*)",1983,NA,"","402 Lovett, Houston, TX",-95.3861851,29.7437236,"402 lovett blvd, houston, tx 77006, usa","Geocoded"
"Badlands","Truck Stop  (called the 'Preppy Stop')(WE*)(Disco)","304 Avondale","Houston","TX","Bars/Clubs","(WE),(YC),(D),(*)",1983,NA,"","304 Avondale, Houston, TX",-95.3852329,29.745171,"304 avondale st, houston, tx 77006, usa","Geocoded"
"Barn","(Some W, OC)(Patio*)","710 Pacific St.","Houston","TX","Bars/Clubs","(W),(OC),(*)",1983,NA,"","710 Pacific St., Houston, TX",-95.3894017,29.7469596,"710 pacific st, houston, tx 77006, usa","Geocoded"
"Box Office","(Trying for macho anything goes bath club)","1625 Richmond","Houston","TX","Bathhouses","(P)",1983,NA,"","1625 Richmond, Houston, TX",-95.4006668,29.734077,"1625 richmond ave., houston, tx 77006, usa","Geocoded"
"Ball Park","(Book Store)","1830 W. Alabama","Houston","TX","Book Store","",1983,NA,"","1830 W. Alabama, Houston, TX",-95.4058729,29.7389133,"1830 w alabama st, houston, tx 77098, usa","Geocoded"
"Brasserie","(AH*)","515 Alabama","Houston","TX","Restaurant","(R),(C),(AH),(*)",1983,NA,"","515 Alabama, Houston, TX",-95.3860576,29.7385686,"515 alabama st, houston, tx 77006, usa","Geocoded"
"Brazos River Bottom","(Patio)(Live bands)(WE*)","2400 Brazos","Houston","TX","Bars/Clubs","(D),(WE),(C&W),(*)",1983,NA,"","2400 Brazos, Houston, TX",-95.3777197,29.7491452,"2400 brazos st, houston, tx 77006, usa","Geocoded"
"Briar Patch","(Some OC)","2294 Holcombe","Houston","TX","Bars/Clubs","(OC),(*)",1983,NA,"","2294 Holcombe, Houston, TX",-95.3845206,29.7055601,"2294 holcombe blvd, houston, tx 77021, usa","Geocoded"
"Club Houston Baths","(swim pool)","2205 Fannin","Houston","TX","Bathhouses","(*),(P),(YC)",1983,NA,"","2205 Fannin, Houston, TX",-95.3710142,29.7470715,"2205 fannin st, houston, tx 77002, usa","Geocoded"
"Chicken Coop","(Hustlers)","535 Westheimer","Houston","TX","Bars/Clubs","(PT)",1983,NA,"","535 Westheimer, Houston, TX",-95.3882969,29.7441949,"535 westheimer rd, houston, tx 77006, usa","Geocoded"
"Catch One","(Some B)(Disco)","4915 Martin Luther King Blvd.","Houston","TX","Bars/Clubs","(B),(D)",1983,NA,"","4915 Martin Luther King Blvd., Houston, TX",-95.3350547,29.7074074,"4915 martin luther king blvd, houston, tx 77021, usa","Geocoded"
"Copa","(Disco)(Many L)","2631 Richmond","Houston","TX","Bars/Clubs","(*),(YC),(D),(L)",1983,NA,"","2631 Richmond, Houston, TX",-95.418992,29.7337982,"2631 richmond ave., houston, tx 77098, usa","Geocoded"
"Different Drum","(Uniforms) (Eagle Leathers)","1732 Westheimer","Houston","TX","Bars/Clubs","(*),(SM),(FFA),(PT),(W)",1983,NA,"","1732 Westheimer, Houston, TX",-95.4035063,29.7429776,"1732 westheimer rd, houston, tx 77098, usa","Geocoded"
"Diners News","(Books)","204 Westheimer","Houston","TX","Book Store","",1983,NA,"","204 Westheimer, Houston, TX",-95.3832471,29.7449097,"204 westheimer rd, houston, tx 77006, usa","Geocoded"
"E.J.'s","","1213 Richmond","Houston","TX","Bars/Clubs","",1983,NA,"","1213 Richmond, Houston, TX",-95.3943437,29.7341488,"1213 richmond ave., houston, tx 77006, usa","Geocoded"
"Dirty Sally's","(Patio)(Good days)","220 Avondale","Houston","TX","Bars/Clubs","",1983,NA,"","220 Avondale, Houston, TX",-95.3845072,29.7453381,"220 avondale st, houston, tx 77006, usa","Geocoded"
"Fitness Exchange","(Gym)","3307 Richmond","Houston","TX","Gym","(*)",1983,NA,"","3307 Richmond, Houston, TX",-95.426809,29.7336686,"3307 richmond ave., houston, tx 77098, usa","Geocoded"
"Exile","(Some W, OC, RT)(Open days)","1011 Bell","Houston","TX","Bars/Clubs","(PT),(W),(OC),(RT)",1983,NA,"","1011 Bell, Houston, TX",-95.3677422,29.7531418,"1011 bell st, houston, tx 77002, usa","Geocoded"
"French Quarter All Male Theatre","('Wild back room')","3201 Louisiana","Houston","TX","Theatre","(*)",1983,NA,"","3201 Louisiana, Houston, TX",-95.379478,29.7425336,"3201 louisiana st, houston, tx 77006, usa","Geocoded"
"G.B.I.","(Some L)(Looks promising)","1419 Richmond Ave.","Houston","TX","Bars/Clubs","(L),(PT),(E)",1983,NA,"","1419 Richmond Ave., Houston, TX",-95.3982499,29.7340576,"1419 richmond ave., houston, tx 77006, usa","Geocoded"
"Galleon","(Patio)","2303 Richmond","Houston","TX","Bars/Clubs","(*)",1983,NA,"","2303 Richmond, Houston, TX",-95.4152739,29.7340015,"2303 richmond ave., houston, tx 77098, usa","Geocoded"
"Hole","","109 Tuam","Houston","TX","Bars/Clubs","(E),(*)",1983,NA,"","109 Tuam, Houston, TX",-95.3827706,29.7481226,"109 tuam st, houston, tx 77006, usa","Geocoded"
"Height's","(Mexican)","3921 N. Main","Houston","TX","Restaurant","(R),(M)",1983,NA,"","3921 N. Main, Houston, TX",-95.3756507,29.7925952,"3921 n main st, houston, tx 77009, usa","Geocoded"
"House of Pie's","(Called 'House of Guys') (Cruisy AH* )","6142 Westheimer","Houston","TX","Restaurant,Cruising Areas","(R),(C),(AH),(*)",1983,NA,"","6142 Westheimer, Houston, TX",-95.4918843,29.7381751,"6142 westheimer rd, houston, tx 77057, usa","Geocoded"
"Just Marion & Lynn's","","817 Fairview","Houston","TX","Bars/Clubs","(L),(PT)",1983,NA,"","817 Fairview, Houston, TX",-95.3902893,29.7478972,"817 fairview st, houston, tx 77006, usa","Geocoded"
"Houston Guest House","","106 Avondale","Houston","TX","Hotel","(H),(*)",1983,NA,"","106 Avondale, Houston, TX",-95.3825201,29.7452783,"106 avondale st, houston, tx 77006, usa","Geocoded"
"Jim's Gym","","607 Westheimer","Houston","TX","Gym","(*)",1983,NA,"","607 Westheimer, Houston, TX",-95.3892517,29.7442568,"607 westheimer rd, houston, tx 77006, usa","Geocoded"
"Kindred Spirits","","5245 Buffalo Speedway","Houston","TX","Bars/Clubs","(L),(PT),(D)",1983,NA,"","5245 Buffalo Speedway, Houston, TX",-95.4277426,29.7265848,"5245 buffalo speedway, houston, tx 77005, usa","Geocoded"
"Keyboard","","3012 Milam","Houston","TX","Bars/Clubs","(S)",1983,NA,"","3012 Milam, Houston, TX",-95.3784555,29.7435084,"3012 milam st, houston, tx 77006, usa","Geocoded"
"Kirby's Newstand","","3115 Kirby St.","Houston","TX","Book Store","",1983,NA,"","3115 Kirby St., Houston, TX",-95.4183023,29.736488,"3115 kirby dr, houston, tx 77098, usa","Geocoded"
"Loading Zone","(formerly Parade)(Disco)","1416 Richmond","Houston","TX","Bars/Clubs","(*),(D)",1983,NA,"","1416 Richmond, Houston, TX",-95.3981389,29.7348376,"1416 richmond ave., houston, tx 77006, usa","Geocoded"
"Lamp Post","","2417 Times","Houston","TX","Business","(L),(*)",1983,NA,"","2417 Times, Houston, TX",-95.4153693,29.7166692,"2417 times blvd, houston, tx 77005, usa","Geocoded"
"Loading Dock","","1735 Westheimer","Houston","TX","Bars/Clubs","(SM),(W)",1983,NA,"","1735 Westheimer, Houston, TX",-95.4038131,29.7424915,"1735 westheimer rd, houston, tx 77098, usa","Geocoded"
"Manhole","(Clothing store)","1983 W. Gray","Houston","TX","Business","",1983,NA,"","1983 W. Gray, Houston, TX",-95.4077784,29.7526862,"1983 w gray st, houston, tx 77019, usa","Geocoded"
"Midnite Sun","(Open 7am)(Hustlers)","534 Westheimer","Houston","TX","Bars/Clubs","(*),(D)",1983,NA,"","534 Westheimer, Houston, TX",-95.3885769,29.7448029,"534 westheimer rd, houston, tx 77006, usa","Geocoded"
"Mary's","(Some W, SM FFA)(Good days)(Cruisy)(Patio)","1022 Westheimer","Houston","TX","Cruising Areas,Bars/Clubs","(*),(W),(SM),(FFA),(PT)",1983,NA,"","1022 Westheimer, Houston, TX",-95.3923539,29.7449178,"1022 westheimer rd, houston, tx 77006, usa","Geocoded"
"M.C.C.","","1919 Decatur","Houston","TX","Religious Institution","(MCC)",1983,NA,"","1919 Decatur, Houston, TX",-95.3781198,29.7667526,"1919 decatur st, houston, tx 77007, usa","Geocoded"
"Midtowne Spa","(Baths) at Elgin","3100 Fannin","Houston","TX","Bathhouses","(*)",1983,NA,"","3100 Fannin, Houston, TX",-95.3761659,29.7415403,"3100 fannin st, houston, tx 77004, usa","Geocoded"
"Miss Charlotte's Dance Hall & Saloon","","911 W. Drew","Houston","TX","Bars/Clubs","(D),(*),(C&W)",1983,NA,"","911 W. Drew, Houston, TX",-95.3907101,29.7493351,"911 w drew st, houston, tx 77006, usa","Geocoded"
"Montrose Voice","(Publication)","3520 Montrose Blvd.","Houston","TX","Publications","",1983,NA,"","3520 Montrose Blvd., Houston, TX",-95.391667,29.740808,"3520 montrose blvd, houston, tx 77006, usa","Geocoded"
"Montrose Mining Co.","(Cruisy)","805 Pacific St.","Houston","TX","Bars/Clubs,Cruising Areas","(*),(PT)",1983,NA,"","805 Pacific St., Houston, TX",-95.3902946,29.7465373,"805 pacific st, houston, tx 77006, usa","Geocoded"
"Montrose Pub","","1318 Westheimer","Houston","TX","Bars/Clubs","(E)",1983,NA,"","1318 Westheimer, Houston, TX",-95.3953253,29.7439873,"1318 westheimer rd, houston, tx 77006, usa","Geocoded"
"Q. - 1 Leather","(also at Brazos River Bottom)","408 Westheimer","Houston","TX","Erotic Shop","(*)",1983,NA,"","408 Westheimer, Houston, TX",-95.3863102,29.7447745,"408 westheimer rd, houston, tx 77006, usa","Geocoded"
"Numbers II","(Disco)(Thur. - Sun. only)(Formerly Babylon)","300 Westheimer","Houston","TX","Bars/Clubs","(YC),(D),(*)",1983,NA,"","300 Westheimer, Houston, TX",-95.3850429,29.7448311,"300 westheimer rd, houston, tx 77006, usa","Geocoded"
"Pink Elephant","","1218 Leland","Houston","TX","Bars/Clubs","(OC)",1983,NA,"","1218 Leland, Houston, TX",-95.366607,29.7511158,"1218 leeland, houston, tx 77002, usa","Geocoded"
"Ranch","","6620 1/2 S. Main St.","Houston","TX","Bars/Clubs","(D)",1983,NA,"","6620 1/2 S. Main St., Houston, TX",-95.4724793,29.6435444,"12929 1/2 s main st #6620, houston, tx 77035, usa","Geocoded"
"Rascal's","(Current 'in' R)","2702 Kirby","Houston","TX","Restaurant","(*),(R)",1983,NA,"","2702 Kirby, Houston, TX",-95.4192528,29.7415347,"2702 kirby dr, houston, tx 77098, usa","Geocoded"
"River Oaks Theatre","(Cruisy balcony)","2009 W. Gray","Houston","TX","Cruising Areas,Theatre","",1983,NA,"","2009 W. Gray, Houston, TX",-95.4091314,29.7526485,"2009 w gray st, houston, tx 77019, usa","Geocoded"
"Rocky's","","3416 W . Dallas","Houston","TX","Bars/Clubs","",1983,NA,"","3416 W . Dallas, Houston, TX",-95.4018054,29.7573377,"3416 w dallas st, houston, tx 77019, usa","Geocoded"
"Stadium","(Books, etc.)","3519 Bellaire Rd.","Houston","TX","Book Store","",1983,NA,"","3519 Bellaire Rd., Houston, TX",-95.4321159,29.705724,"3519 bellaire blvd, houston, tx 77025, usa","Geocoded"
"Steak 'n' Eggs","","4321 Montrose","Houston","TX","Restaurant","(M),(R)",1983,NA,"","4321 Montrose, Houston, TX",-95.3908925,29.7334405,"4321 montrose blvd, houston, tx 77006, usa","Geocoded"
"Sports Locker","(Clothing)","311 Westheimer","Houston","TX","Business","(*)",1983,NA,"","311 Westheimer, Houston, TX",-95.3829794,29.7447364,"311 westheimer rd, houston, tx 77006, usa","Geocoded"
"Studz News","('Flicks' & cruisy arcade) 1132 Alabama","1132 Alabama","Houston","TX","Cruising Areas,Book Store","",1983,NA,"","1132 Alabama, Houston, TX",-95.393,29.7387554,"1132 alabama st, houston, tx 77006, usa","Geocoded"
"The Deep","(Some W, SM, FFA)(Cruisy sleeze bar)  (Enter at Jackson & Grant)","2212 Converse","Houston","TX","Bars/Clubs,Cruising Areas","(*),(W),(SM),(FFA)",1983,NA,"","2212 Converse, Houston, TX",-95.3906783,29.7490745,"2212 converse st, houston, tx 77006, usa","Geocoded"
"2306 Club","(Some SM, FFA, Kinky)(Cell like rooms)","2306 Genessee","Houston","TX","Bars/Clubs","(*),(P),(SM),(FFA)",1983,NA,"","2306 Genessee, Houston, TX",-95.3841806,29.7486124,"2306 genesee st, houston, tx 77006, usa","Geocoded"
"Twins","(Disco)","535 Westheimer","Houston","TX","Bars/Clubs","(*),(L),(D),(S)",1983,NA,"","535 Westheimer, Houston, TX",-95.3882969,29.7441949,"535 westheimer rd, houston, tx 77006, usa","Geocoded"
"Travel Tech","(Travel Agency)","Suite 20, 5719 Kirby","Houston","TX","Travel Service","",1983,NA,"","Suite 20, 5719 Kirby, Houston, TX",-95.4181361,29.721159,"5719 kirby dr, houston, tx 77005, usa","Geocoded"
"T.W.T.","(Publication)","2205 Montrose","Houston","TX","Publications","",1983,NA,"","2205 Montrose, Houston, TX",-95.3917874,29.7495663,"2205 montrose blvd, houston, tx 77006, usa","Geocoded"
"T im 's Coffee Shop","","1525 Westheimer","Houston","TX","Restaurant","(M),(R)",1983,NA,"","1525 Westheimer, Houston, TX",-95.398727,29.742593,"1525 westheimer rd, houston, tx 77006, usa","Geocoded"
"Wilde 'n' Stein","(Book store)","520-B Westheimer","Houston","TX","Book Store","(*)",1983,NA,"","520-B Westheimer, Houston, TX",-95.3883026,29.7448015,"520 westheimer rd b, houston, tx 77006, usa","Geocoded"
"Union Jack","(clothing)","1212 Westheimer","Houston","TX","","",1983,NA,"","1212 Westheimer, Houston, TX",-95.3937813,29.7447561,"1212 westheimer rd, houston, tx 77006, usa","Geocoded"
"Venture-N","(D.J.)(Macho)","2923 S. Main","Houston","TX","Bars/Clubs","(*)",1983,NA,"","2923 S. Main, Houston, TX",-95.5596841,29.615637,"2923 s main st, stafford, tx 77477, usa","Geocoded"
"Wildwood Saloon","","1504 Westheimer","Houston","TX","Bars/Clubs","",1983,NA,"","1504 Westheimer, Houston, TX",-95.3973414,29.7429621,"1504 westheimer rd, houston, tx 77006, usa","Geocoded"
"Our Place","(Some W, L)","3669 Estes Pkvvy.","Longview","TX","Bars/Clubs","(P),(W),(L),(PT),(D)",1983,NA,"","3669 Estes Pkvvy., Longview, TX",-94.7174319,32.4380212,"3669 estes pkwy, longview, tx 75603, usa","Geocoded"
"Rainbow Connection","(Some YC,L)","2110 S. Eastman Rd.","Longview","TX","Bars/Clubs","(YC),(L),(D),(PT),(BYOB),(*)",1983,NA,"","2110 S. Eastman Rd., Longview, TX",-94.7073385,32.4692407,"2110 s eastman rd, longview, tx 75602, usa","Geocoded"
"M.C.C.","(Burned - May be moving)","2104 36th St.","Lubbock","TX","Religious Institution","(MCC)",1983,NA,"","2104 36th St., Lubbock, TX",-101.8620523,33.5617296,"2104 36th st, lubbock, tx 79412, usa","Geocoded"
"Denny's","","607 Ave. 'Q'","Lubbock","TX","Restaurant","(M),(R),(C),(AH)",1983,NA,"","607 Ave. 'Q', Lubbock, TX",-101.8547361,33.5894352,"607 avenue q, lubbock, tx 79401, usa","Geocoded"
"Hilltop","(Some L)","810 N. University Ave.","Lubbock","TX","Bars/Clubs","(L),(C&W),(D),(PT),(*)",1983,NA,"","810 N. University Ave., Lubbock, TX",-101.8701485,33.6100096,"810 n university ave, lubbock, tx 79415, usa","Geocoded"
"Readers World","(Cruisy) at Main","1101 University","Lubbock","TX","Bars/Clubs,Cruising Areas","",1983,NA,"","1101 University, Lubbock, TX",-101.8702768,33.5853012,"1101 university ave, lubbock, tx 79401, usa","Geocoded"
"Papillon","(Macho)(Disco)","1204 Broadway","Lubbock","TX","Bars/Clubs","(YC),(L),(D),(PT),(*)",1983,NA,"","1204 Broadway, Lubbock, TX",-101.8482368,33.5848473,"1204 broadway st, lubbock, tx 79401, usa","Geocoded"
"Denny's","","1110 S. 10th St.","McAllen","TX","Restaurant","(M),(R),(C),(AH)",1983,NA,"","1110 S. 10th St., McAllen, TX",-98.2322782,26.1929572,"1110 s 10th st, mcallen, tx 78501, usa","Geocoded"
"Duffy's Tavern","(Some L)","5 S. 16th St.","McAllen","TX","Bars/Clubs","(D),(PT),(L)",1983,NA,"","5 S. 16th St., McAllen, TX",-98.2365932,26.2045757,"5 s 16th st, mcallen, tx 78501, usa","Geocoded"
"Etc., Etc. Club","(Disco)","1617 N. 11 1/2 St.","McAllen","TX","Bars/Clubs","(YC),(D)",1983,NA,"","1617 N. 11 1/2 St., McAllen, TX",-98.2288583,26.2190046,"n 11th 1/2 st, mcallen, tx 78501, usa","Geocoded"
"Sambo's","","1629 N. 10th St.","McAllen","TX","Restaurant","(M),(R),(C),(AH)",1983,NA,"","1629 N. 10th St., McAllen, TX",-98.2276757,26.2192496,"1629 n 10th st, mcallen, tx 78501, usa","Geocoded"
"Capri","(Disco) (Sunday S)(Liquor)","8401 Andrews Hwy.","Odessa","TX","Bars/Clubs","(YC),(D),(*),(S)",1983,NA,"","8401 Andrews Hwy., Odessa, TX",-102.4005506,31.9304126,"8401 andrews hwy, odessa, tx 79765, usa","Geocoded"
"Atlantis","(Many Latins) 321 Navarro","321 Navarro","San Antonio","TX","Bars/Clubs","(S)",1983,NA,"","321 Navarro, San Antonio, TX",-98.4897989,29.4244206,"321 navarro st, san antonio, tx 78205, usa","Geocoded"
"Bonham Exchange","(Disco)(Cruisy)(Game room) (Super complex - several bars) next to The Alamo","411 Bonham","San Antonio","TX","Bars/Clubs,Cruising Areas","(*),(YC),(D)",1983,NA,"","411 Bonham, San Antonio, TX",-98.4842894,29.4266557,"411 bonham, san antonio, tx 78205, usa","Geocoded"
"Crew","(Downtown types)","309 W. Market","San Antonio","TX","Bars/Clubs","(*)",1983,NA,"","309 W. Market, San Antonio, TX",-98.4895557,29.4235181,"309 w market st, san antonio, tx 78205, usa","Geocoded"
"El Jardin","","106 Navarro","San Antonio","TX","Bars/Clubs","(OC)",1983,NA,"","106 Navarro, San Antonio, TX",-98.4906795,29.4213331,"106 navarro st, san antonio, tx 78205, usa","Geocoded"
"Dignity","(Church)","310 Gardinia","San Antonio","TX","Religious Institution","",1983,NA,"","310 Gardinia, San Antonio, TX",-98.5195492,29.4798329,"310 gardina st, san antonio, tx 78201, usa","Geocoded"
"Executive Health Club","(Sauna, etc.)(Some OC) - off Broadway","723 Avenue 'B'","San Antonio","TX","Hotel","(H),(OC)",1983,NA,"","723 Avenue 'B', San Antonio, TX",-98.483822,29.433354,"723 avenue b, san antonio, tx 78215, usa","Geocoded"
"Earl Abel's","","4200 Broadway","San Antonio","TX","Restaurant","(M),(R),(C),(AH),(AYOR)",1983,NA,"","4200 Broadway, San Antonio, TX",-98.4637773,29.4650644,"4200 broadway, san antonio, tx 78209, usa","Geocoded"
"First Star","(Books 'n' things)","511 E. Houston","San Antonio","TX","Book Store","",1983,NA,"","511 E. Houston, San Antonio, TX",-98.4875601,29.4267274,"511 e houston st, san antonio, tx 78205, usa","Geocoded"
"Faces","(Many L)(Disco)(WE*)","119 El Mio","San Antonio","TX","Bars/Clubs","(L),(D),(WE),(*)",1983,NA,"","119 El Mio, San Antonio, TX",-98.4998754,29.4938439,"119 el mio dr, san antonio, tx 78216, usa","Geocoded"
"First Star","(Books 'n' things)","6724 San Pedro","San Antonio","TX","Book Store","",1983,NA,"","6724 San Pedro, San Antonio, TX",-98.498697,29.501356,"6724 san pedro ave, san antonio, tx 78216, usa","Geocoded"
"Kevin Wagner's Unique Cards","","1805 1/2 N. Main","San Antonio","TX","Bars/Clubs","",1983,NA,"","1805 1/2 N. Main, San Antonio, TX",-98.4944354,29.4461839,"1805 n main ave, san antonio, tx 78212, usa","Geocoded"
"L.J.'s","(Disco)","3503 West Ave.","San Antonio","TX","Bars/Clubs","(L),(D)",1983,NA,"","3503 West Ave., San Antonio, TX",-98.5262953,29.4941731,"3503 west ave, san antonio, tx 78213, usa","Geocoded"
"Korral","(Some W, SM)(PT)(WE*)","622 Roosevelt","San Antonio","TX","Bars/Clubs","(W),(SM),(PT),(WE),(*)",1983,NA,"","622 Roosevelt, San Antonio, TX",-98.4858939,29.3970106,"622 roosevelt ave, san antonio, tx 78210, usa","Geocoded"
"International News","","15230 Hwy. 81 S.","San Antonio","TX","Book Store","",1983,NA,"","15230 Hwy. 81 S., San Antonio, TX",-98.52873,29.33804,"s st, san antonio, tx 78224, usa","Geocoded"
"Our Place","(Many L)(Disco)(WE*)","115 General Krueger","San Antonio","TX","Bars/Clubs","(L),(C&W),(D),(WE),(*)",1983,NA,"","115 General Krueger, San Antonio, TX",-98.5084587,29.4906924,"115 general krueger blvd, san antonio, tx 78213, usa","Geocoded"
"Madam Arthur's","(Patio)","607 N. St. Mary's","San Antonio","TX","Bars/Clubs","(D),(PT)",1983,NA,"","607 N. St. Mary's, San Antonio, TX",-98.4915343,29.4295691,"607 n st mary's st, san antonio, tx 78205, usa","Geocoded"
"Moulin Rouge","(Fun neighborhood bar)","2315 San Pedro","San Antonio","TX","Bars/Clubs","(PT)",1983,NA,"","2315 San Pedro, San Antonio, TX",-98.4994944,29.456248,"2315 san pedro ave, san antonio, tx 78212, usa","Geocoded"
"M.C.C.","","107 S. Pine","San Antonio","TX","Religious Institution","(MCC)",1983,NA,"","107 S. Pine, San Antonio, TX",-98.4704643,29.4193691,"107 s pine st, san antonio, tx 78203, usa","Geocoded"
"Paris News","","1929 N. New Braunfels","San Antonio","TX","Book Store","",1983,NA,"","1929 N. New Braunfels, San Antonio, TX",-98.4611896,29.4427321,"1929 n new braunfels ave, san antonio, tx 78208, usa","Geocoded"
"San Antonio Free Clinic","","1136 W. Woodlawn","San Antonio","TX","Health Clinic","",1983,NA,"","1136 W. Woodlawn, San Antonio, TX",-98.5134702,29.4525751,"1136 w woodlawn ave, san antonio, tx 78201, usa","Geocoded"
"Snuffy's Saloon","(Cruisy)","820 San Pedro","San Antonio","TX","Bars/Clubs,Cruising Areas","(*),(C&W),(PT),(D)",1983,NA,"","820 San Pedro, San Antonio, TX",-98.4989318,29.4414023,"820 san pedro ave, san antonio, tx 78212, usa","Geocoded"
"Talk of the Town","(WE*)","3530 N. Broadway","San Antonio","TX","Bars/Clubs","(WE),(*)",1983,NA,"","3530 N. Broadway, San Antonio, TX",-98.4677593,29.4591143,"3530 broadway, san antonio, tx 78209, usa","Geocoded"
"Sunset Boulevard","(Disco)(2 bars)","1430 N. Main","San Antonio","TX","Bars/Clubs","(D),(YC),(S),(*)",1983,NA,"","1430 N. Main, San Antonio, TX",-98.4938462,29.4426895,"1430 n main ave, san antonio, tx 78212, usa","Geocoded"
"St. Paul Community Cafe","","1156 E. Commerce","San Antonio","TX","Restaurant","(M),(R)",1983,NA,"","1156 E. Commerce, San Antonio, TX",-98.4788662,29.4215338,"1156 e commerce st, san antonio, tx 78205, usa","Geocoded"
"Unicorn Shop","(Cards & Gifts)","4104 W. McCullough","San Antonio","TX","Business","",1983,NA,"","4104 W. McCullough, San Antonio, TX",-98.4913691,29.4685029,"4104 mccullough ave, olmos park, tx 78212, usa","Geocoded"
"Warehouse Saloon","(Some W,OC)(Sun. brunch)(Looks promising) (Off Hwy 281, Nakoma exit)","134 W. Turbo","San Antonio","TX","Restaurant,Bars/Clubs","(W),(OC),(PT),(R)",1983,NA,"","134 W. Turbo, San Antonio, TX",-98.4960318,29.5459072,"134 w turbo dr, san antonio, tx 78216, usa","Geocoded"
"Log Cabin","(Disco)(Some L) at Tyler St. Pk. exit","I-20","Tyler","TX","Bars/Clubs","(P),(D),(L)",1983,NA,"","I-20, Tyler, TX",-91.9763573,32.4879485,"i-20, united states","Geocoded"
"L & M","","3064 Seymour Hwy.","Wichita Falls","TX","Restaurant","(M),(R),(C),(AH)",1983,NA,"","3064 Seymour Hwy., Wichita Falls, TX",-98.5274321,33.9097756,"3064 seymour hwy, wichita falls, tx 76301, usa","Geocoded"
"Double U's Adult Store","","4116 Burkburnett Rd.","Wichita Falls","TX","Erotic Shop","",1983,NA,"","4116 Burkburnett Rd., Wichita Falls, TX",-98.5145639,33.9652427,"4116 burkburnett rd, wichita falls, tx 76306, usa","Geocoded"
"Harlow's Pub","","804 Lamar","Wichita Falls","TX","Bars/Clubs","(D),(*)",1983,NA,"","804 Lamar, Wichita Falls, TX",-98.4932215,33.9107288,"804 lamar st, wichita falls, tx 76301, usa","Geocoded"
"Theatre XX","","316 N. Scott St.","Wichita Falls","TX","Theatre","",1983,NA,"","316 N. Scott St., Wichita Falls, TX",-98.4991893,33.920103,"316 n scott ave, wichita falls, tx 76306, usa","Geocoded"
"Denny's","","1206 Central Fwy.","Wichita Falls","TX","Restaurant","(M),(R),(C),(AH)",1983,NA,"","1206 Central Fwy., Wichita Falls, TX",-98.5198825,33.936596,"1206 central e fwy, wichita falls, tx 76306, usa","Geocoded"
"The Rose","","703 Travis","Wichita Falls","TX","Bars/Clubs","(D),(PT),(*)",1983,NA,"","703 Travis, Wichita Falls, TX",-98.4947797,33.9114332,"703 travis st, wichita falls, tx 76301, usa","Geocoded"
"Wild Bill's Book Store","","613 W. 29th","Austin","TX","Book Store","",1983,NA,"","613 W. 29th, Austin, TX",-97.7437285,30.2953731,"613 w 29th st, austin, tx 78705, usa","Geocoded"
"Eros Adult Book Store","","6215 Airways","El Paso","TX","Book Store","",1983,NA,"","6215 Airways, El Paso, TX",-106.39562,31.787952,"airway blvd, el paso, tx, usa","Geocoded"
