"title","description","streetaddress","city","state","amenityfeatures","type","Year","unclear_address","notes","full.address","lon","lat","geoAddress","status"
"Steak 'n' Egg","","900 W. Colonial Dr.","Orlando","FL","(M),(R),(C),(AH)","Restaurant",1984,NA,"","900 W. Colonial Dr., Orlando, FL",-81.391755,28.552824,"900 w colonial dr, orlando, fl 32804, usa","Geocoded"
"Silver Hammer","(Some W, SM) (Looks promising)","1300 N. Mills Ave.","Orlando","FL","(W),(SM)","Bars/Clubs",1984,NA,"","1300 N. Mills Ave., Orlando, FL",-81.3646466,28.5622726,"1300 n mills ave, orlando, fl 32803, usa","Geocoded"
"Southern Nights","(Some L, M) (Disco)","375 Bumby Ave.","Orlando","FL","(L),(M),(D),(S),(R)","Restaurant,Bars/Clubs",1984,NA,"","375 Bumby Ave., Orlando, FL",-81.3519683,28.5471443,"375 n bumby ave, orlando, fl 32803, usa","Geocoded"
"Fiesta Room","","110 Harrison Ave.","Panama City","FL","(D),(*)","Bars/Clubs",1984,NA,"","110 Harrison Ave., Panama City, FL",-85.6618194,30.1537079,"110 harrison ave, panama city, fl 32401, usa","Geocoded"
"La Royale Lounge & Liquor Store","","100 Harrison","Panama City","FL","(*),(D),(PT)","Bars/Clubs",1984,NA,"","100 Harrison, Panama City, FL",-85.6580299,30.1942534,"100 harrison pl, panama city, fl 32405, usa","Geocoded"
"Aquarian","(Disco)","6120 Lillian Hwy.","Pensacola","FL","(L),(PT),(D),(S)","Bars/Clubs",1984,NA,"","6120 Lillian Hwy., Pensacola, FL",-87.2964678,30.4245254,"6120 lillian hwy, pensacola, fl 32506, usa","Geocoded"
"M.C.C.","","904 Scott St.","Pensacola","FL","(MCC)","Religious Institution",1984,NA,"","904 Scott St., Pensacola, FL",-87.2102118,30.4394464,"904 e scott st, pensacola, fl 32503, usa","Geocoded"
"Pellican's Nest","","1 West Main St.","Pensacola","FL","(B),(AH),(BYOB)","Bars/Clubs",1984,NA,"","1 West Main St., Pensacola, FL",-87.2141707,30.4076202,"1 w main st, pensacola, fl 32502, usa","Geocoded"
"Red Carpet","","204 Old Corry Rd.","Pensacola","FL","(PT)","Bars/Clubs",1984,NA,"","204 Old Corry Rd., Pensacola, FL",-87.2738579,30.404382,"204 s old corry field rd, pensacola, fl 32507, usa","Geocoded"
"Quiet Village Inn","(Sun. buffet) (Liquor) (WE*)","3107 E. Cervantes","Pensacola","FL","(D),(WE),(OC),(*)","Bars/Clubs",1984,NA,"","3107 E. Cervantes, Pensacola, FL",-87.1799713,30.4249023,"3107 e cervantes st, pensacola, fl 32503, usa","Geocoded"
"Bodenheimer's","","304 S. Alcaniz","Pensacola","FL","(M),(R)","Restaurant",1984,NA,"","304 S. Alcaniz, Pensacola, FL",-87.2091224,30.4099182,"304 s alcaniz st, pensacola, fl 32502, usa","Geocoded"
"Red Garter","(Disco) (Liquor) (Newly enlarged)","500 S. Palafox","Pensacola","FL","(*),(YC),(D),(S)","Bars/Clubs",1984,NA,"","500 S. Palafox, Pensacola, FL",-87.2138884,30.4073881,"500 s palafox st, pensacola, fl 32502, usa","Geocoded"
"Le Club","(Disco) (Arcade) (Should be a winner) (U.S.1)","1900 Broadway","Riviera Beach","FL","(D),(R)","Restaurant,Bars/Clubs",1984,NA,"","1900 Broadway, Riviera Beach, FL",-80.0544092,26.7783003,"1900 broadway, riviera beach, fl 33404, usa","Geocoded"
"Monk's Vineyard","(Hideaway Piano Bar Upstairs - Th - Sat.)","56 St. George St.","St. Augustine","FL","(M),(R),(E)","Restaurant",1984,NA,"","56 St. George St., St. Augustine, FL",-81.3133154,29.8959438,"56 st george st, st. augustine, fl 32084, usa","Geocoded"
"Brothers","","22 5th St. No.","St. Petersburg","FL","(R),(*)","Restaurant",1984,NA,"","22 5th St. No., St. Petersburg, FL",-82.6407504,27.7816431,"22 5th st n, st. petersburg, fl 33701, usa","Geocoded"
"Beaux Arts","(Moves, E, Community events) (Pinellis Park)","7711 60th St. No.","St. Petersburg","FL","(E)","Theatre",1984,NA,"","7711 60th St. No., St. Petersburg, FL",-82.716778,27.8082046,"7711 60th st n, st. petersburg, fl 33709, usa","Geocoded"
"Engine Room","(Some W, SM, L) (Hot Mondays*)","1020 S. 4th St.","St. Petersburg","FL","(W),(SM),(L),(*)","Bars/Clubs",1984,NA,"written in pencil 'visited 3/8/84'","1020 S. 4th St., St. Petersburg, FL",-82.6379823,27.7599732,"1020 4th st s, st. petersburg, fl 33701, usa","Geocoded"
"Club","(Disco) (Occ 5)","1113 Central Ave.","St. Petersburg","FL","(D),(PT),(*)","Bars/Clubs",1984,NA,"written in pencil 'visited 3/8/84'","1113 Central Ave., St. Petersburg, FL",-82.650566,27.771277,"1113 central ave, st. petersburg, fl 33705, usa","Geocoded"
"Marilyn's Closet","","8302 N. 4th St.","St. Petersburg","FL","(M),(L),(PT)","Bars/Clubs",1984,NA,"","8302 N. 4th St., St. Petersburg, FL",-82.6390069,27.8479175,"8302 4th st n, st. petersburg, fl 33702, usa","Geocoded"
"M.C.C.","","725 Arlington Ave. N.","St. Petersburg","FL","(MCC)","Religious Institution",1984,NA,"","725 Arlington Ave. N., St. Petersburg, FL",-82.6437337,27.772672,"725 arlington ave n, st. petersburg, fl 33701, usa","Geocoded"
"Lighted Tree Garden Bar & R","(Adj. Guest House) (Pass-aGrille Beach)","109 8th Ave.","St. Petersburg Beach","FL","(*)","Bars/Clubs,Restaurant",1984,NA,"","109 8th Ave., St. Petersburg Beach, FL",-82.7371165,27.6882773,"109 8th ave, st pete beach, fl 33706, usa","Geocoded"
"Adult Entertainment Center","","7338 S. Tamiami Trail","Sarasota","FL","","Erotic Shop",1984,NA,"","7338 S. Tamiami Trail, Sarasota, FL",-82.5135205,27.2485929,"7338 s tamiami trail, sarasota, fl 34231, usa","Geocoded"
"Charlie's News Stand","","1341 Main St.","Sarasota","FL","","Book Store",1984,NA,"","1341 Main St., Sarasota, FL",-82.5437154,27.3357195,"1341 main st, sarasota, fl 34236, usa","Geocoded"
"Gillespie's","(Some preppies, L) (Disco) (Sun. T-D)","1850 So. Tamiami Trail","Sarasota","FL","(*),(L),(D)","Bars/Clubs",1984,NA,"","1850 So. Tamiami Trail, Sarasota, FL",-82.5303365,27.3168847,"1850 s tamiami trail, sarasota, fl 34239, usa","Geocoded"
"M.C.C.","","636 S. Washington Blvd.","Sarasota","FL","(MCC)","Religious Institution",1984,NA,"","636 S. Washington Blvd., Sarasota, FL",-82.5309794,27.3308713,"636 s washington blvd, sarasota, fl 34236, usa","Geocoded"
"Sporters Pub","","1330 27th St.","Sarasota","FL","(L),(PT)","Bars/Clubs",1984,NA,"","1330 27th St., Sarasota, FL",-82.541044,27.361607,"1330 29th st, sarasota, fl 34234, usa","Geocoded"
"La Salla Motel","","714 N. Tamiami Trail","Sarasota","FL","(M),(H)","Hotel",1984,NA,"","714 N. Tamiami Trail, Sarasota, FL",-82.5466034,27.342271,"714 n tamiami trail, sarasota, fl 34236, usa","Geocoded"
"T.J.'s Upper Deck","(Upstairs)","1359 1/2 Main St.","Sarasota","FL","(*)","Restaurant",1984,NA,"","1359 1/2 Main St., Sarasota, FL",-82.5433576,27.336051,"1359 main st, sarasota, fl 34236, usa","Geocoded"
"Suncoast News","(Books)","1096 Washington Blvd.","Sarasota","FL","","Book Store",1984,NA,"","1096 Washington Blvd., Sarasota, FL",-82.5304324,27.3467098,"1096 washington blvd, sarasota, fl 34236, usa","Geocoded"
"Club Park Ave.","(Disco) (W - cruise bar & Grecian Garden)","115 E. Park Ave.","Tallahassee","FL","(*),(P),(D),(PT),(W)","Bars/Clubs",1984,NA,"","115 E. Park Ave., Tallahassee, FL",-84.2812627,30.4417455,"115 e park ave, tallahassee, fl 32303, usa","Geocoded"
"Co-op Books","","652 W. Tennessee","Tallahassee","FL","","Book Store",1984,NA,"","652 W. Tennessee, Tallahassee, FL",-84.2931114,30.4449263,"652 w tennessee st, tallahassee, fl 32304, usa","Geocoded"
"Carousel","(Some OC, RT, Hustlers)","1806 W. Platt","Tampa","FL","(OC),(RT)","Bars/Clubs",1984,NA,"","1806 W. Platt, Tampa, FL",-82.4781736,27.9416592,"1806 w platt st, tampa, fl 33606, usa","Geocoded"
"B.J.'s","(Disco)","4427 W. Kennedy","Tampa","FL","(*),(PT),(D),(L),(YC)","Bars/Clubs",1984,NA,"","4427 W. Kennedy, Tampa, FL",-82.5193707,27.9451293,"4427 w kennedy blvd, tampa, fl 33609, usa","Geocoded"
"Baxter's","(Looks promising)","1714 So. Dale Mabry","Tampa","FL","(E)","Bars/Clubs",1984,NA,"","1714 So. Dale Mabry, Tampa, FL",-82.5054123,27.9280412,"1714 s dale mabry hwy, tampa, fl 33629, usa","Geocoded"
"Castaways","","4043 W. Kennedy Blvd.","Tampa","FL","(L),(D)","Bars/Clubs",1984,NA,"","4043 W. Kennedy Blvd., Tampa, FL",-82.5115436,27.9448917,"4043 w kennedy blvd, tampa, fl 33609, usa","Geocoded"
"Club Tampa Baths","","215 N. 11th St.","Tampa","FL","(*)","Bathhouses",1984,NA,"","215 N. 11th St., Tampa, FL",-82.4473903,27.9495484,"215 n 11th st, tampa, fl 33602, usa","Geocoded"
"Firehouse Pub","(Neightborhood cruise bar)","8923 N. Florida Ave.","Tampa","FL","(PT)","Bars/Clubs",1984,NA,"","8923 N. Florida Ave., Tampa, FL",-82.4583833,28.0302269,"8923 n florida ave, tampa, fl 33604, usa","Geocoded"
"M.C.C.","","2904 Concordia Ave.","Tampa","FL","(MCC)","Religious Institution",1984,NA,"","2904 Concordia Ave., Tampa, FL",-82.4983922,27.9202884,"2904 s concordia ave, tampa, fl 33629, usa","Geocoded"
"Old Plantation","(Disco) (WE*) (Cruisy)","1725 W. Kennedy Blvd.","Tampa","FL","(D),(WE),(*)","Cruising Areas,Bars/Clubs",1984,NA,"","1725 W. Kennedy Blvd., Tampa, FL",-82.4782211,27.9450172,"1725 w kennedy blvd, tampa, fl 33606, usa","Geocoded"
"Golden Anchor","(Very M) (Try betw. 8:00 am & 1:00 pm when owner Frank is there)","110 E. Waters","Tampa","FL","(M),(PT)","Bars/Clubs",1984,NA,"","110 E. Waters, Tampa, FL",-82.4590494,28.0255218,"110 e waters ave, tampa, fl 33604, usa","Geocoded"
"Rene's","(Disco) (Unisex) (4 bars) (Swim pool)","2605 W. Kennedy Blvd.","Tampa","FL","(D),(S),(*)","Bars/Clubs",1984,NA,"","2605 W. Kennedy Blvd., Tampa, FL",-82.4869759,27.9451655,"2605 w kennedy blvd, tampa, fl 33609, usa","Geocoded"
"Papillions","(Looks promising) (Was closed - may be reopening)","3976 W. Hillsborough Ave.","Tampa","FL","","Bars/Clubs",1984,NA,"","3976 W. Hillsborough Ave., Tampa, FL",-82.5107048,27.9951017,"3976 w hillsborough ave, tampa, fl 33614, usa","Geocoded"
"Tom Cat Theatre","(Ritz II)","1503 E. 7th St.","Tampa","FL","","Theatre",1984,NA,"","1503 E. 7th St., Tampa, FL",-82.4427134,27.9600033,"1503 e 7th ave, tampa, fl 33605, usa","Geocoded"
"The Bridge","(AH, 2am - ???) (Disco)","5519 W. Hillsborough","Tampa","FL","(AH),(BYOB),(D),(S)","Bars/Clubs",1984,NA,"","5519 W. Hillsborough, Tampa, FL",-82.5369337,27.9968709,"5519 w hillsborough ave, tampa, fl 33634, usa","Geocoded"
"El Goya","(Disco) (Something for everyone) (WE*)","1430 E. 7th Ave.","Ybor City","FL","(D),(S),(E),(WE),(*)","Bars/Clubs",1984,NA,"","1430 E. 7th Ave., Ybor City, FL",-82.4431492,27.9604931,"1430 e 7th ave, tampa, fl 33605, usa","Geocoded"
"Spurs","(Some W, SM, FFA) (Also R&L Chuck Wagon - R)","2201 N. 15th St.","Ybor City","FL","(W),(SM),(FFA),(*),(R),(L)","Bars/Clubs,Cruising Areas,Restaurant",1984,NA,"","2201 N. 15th St., Ybor City, FL",-82.442746,27.963327,"2201 n 15th st, tampa, fl 33605, usa","Geocoded"
"Alibi","(Liquor) (Nights only)","325 1st St.","West Palm Beach","FL","(R)","Restaurant",1984,NA,"","325 1st St., West Palm Beach, FL",-80.0522395,26.714354,"325 1st st, west palm beach, fl 33401, usa","Geocoded"
"Adam's Attic","(Unisex)","3635 S. Dixie Hwy.","West Palm Beach","FL","(YC),(D)","Bars/Clubs",1984,NA,"","3635 S. Dixie Hwy., West Palm Beach, FL",-80.0548676,26.6785331,"3635 s dixie hwy, west palm beach, fl 33405, usa","Geocoded"
"Club San Francisco","(Disco)","2209 Belvedere Rd.","West Palm Beach","FL","(D),(*)","Bars/Clubs",1984,NA,"","2209 Belvedere Rd., West Palm Beach, FL",-80.0854007,26.6915465,"2209 belvedere rd, west palm beach, fl 33406, usa","Geocoded"
"Crane's Nest","(Some L) (Occ. S)","5004 S. Dixie Hwy.","West Palm Beach","FL","(L),(PT),(*)","Bars/Clubs",1984,NA,"","5004 S. Dixie Hwy., West Palm Beach, FL",-80.0550584,26.6679641,"5004 s dixie hwy, west palm beach, fl 33405, usa","Geocoded"
"Kismet","(Disco) (Liquor)","1412 Southern Blvd.","West Palm Beach","FL","(D),(S),(R)","Bars/Clubs,Restaurant",1984,NA,"","1412 Southern Blvd., West Palm Beach, FL",-80.0747795,26.6758889,"1412 southern blvd, cloud lake, fl 33406, usa","Geocoded"
"Man's Land","(Levi & W) (Cruisy patio)","508 25th St.","West Palm Beach","FL","(*),(W),(PT)","Bars/Clubs,Cruising Areas",1984,NA,"","508 25th St., West Palm Beach, FL",-80.055355,26.736112,"508 25th st, west palm beach, fl 33407, usa","Geocoded"
"M.C.C.","","1015 N. Dixie","West Palm Beach","FL","(MCC)","Religious Institution",1984,NA,"","1015 N. Dixie, West Palm Beach, FL",-80.0535137,26.7222844,"1015 n dixie hwy, west palm beach, fl 33401, usa","Geocoded"
"Ricky's Place","","3240 S. Dixie Hwy.","West Palm Beach","FL","","Bars/Clubs",1984,NA,"","3240 S. Dixie Hwy., West Palm Beach, FL",-80.0542673,26.682558,"3240 s dixie hwy, west palm beach, fl 33405, usa","Geocoded"
"Sea Grape Motel","","2618 Broadway","West Palm Beach","FL","(M),(H)","Hotel",1984,NA,"","2618 Broadway, West Palm Beach, FL",-80.0564829,26.7368782,"2618 broadway, west palm beach, fl 33407, usa","Geocoded"
"Barnett's Book Store","","147 College Ave.","Athens","GA","(M)","Book Store",1984,NA,"","147 College Ave., Athens, GA",-83.3756502,33.9580449,"147 college ave, athens, ga 30601, usa","Geocoded"
"Hobbit Habit","(Books)","146 E. Clayton","Athens","GA","","Book Store",1984,NA,"","146 E. Clayton, Athens, GA",-83.3764045,33.9581495,"146 e clayton st, athens, ga 30601, usa","Geocoded"
"Adult Book Store","","675 Northside Dr.","Atlanta","GA","","Book Store",1984,NA,"","675 Northside Dr., Atlanta, GA",-84.408402,33.7411956,"675 northside dr sw, atlanta, ga 30310, usa","Geocoded"
"Amsterdam Health Club","(Baths) Ansley Mall Shopping Center","549 Amsterdam Ave. N.E.","Atlanta","GA","(*)","Bathhouses",1984,NA,"","549 Amsterdam Ave. N.E., Atlanta, GA",-84.3691861,33.7879564,"549 amsterdam ave ne, atlanta, ga 30306, usa","Geocoded"
"Back Street","(WE*) (Disco) (Rear entrance) (nr. 6th & Juniper)","845 Peachtree N.E.","Atlanta","GA","(WE),(P),(YC),(E),(D),(*)","Bars/Clubs",1984,NA,"","845 Peachtree N.E., Atlanta, GA",-84.3842435,33.7775006,"845 peachtree st ne, atlanta, ga 30308, usa","Geocoded"
"Bulldog & Co","(W, SM) (Cruisy) (Enter thru rear parking lot)","893 Peachtree St. N.E.","Atlanta","GA","(*),(W),(SM),(FFA)","Bars/Clubs,Cruising Areas",1984,NA,"","893 Peachtree St. N.E., Atlanta, GA",-84.3839993,33.779027,"893 peachtree st ne, atlanta, ga 30309, usa","Geocoded"
"Arney's","","2345 Cheshire Bridge Rd.","Atlanta","GA","(D),(L)","Bars/Clubs",1984,NA,"","2345 Cheshire Bridge Rd., Atlanta, GA",-84.3503435,33.8191337,"2345 cheshire bridge rd ne, atlanta, ga 30324, usa","Geocoded"
"Club Baths of Atlanta","","76 4th St. N.W.","Atlanta","GA","(*)","Bathhouses",1984,NA,"","76 4th St. N.W., Atlanta, GA",-84.3897265,33.7748718,"76 4th st nw, atlanta, ga 30308, usa","Geocoded"
"Christophers Kind","(Books)","70 13th St. N.E.","Atlanta","GA","(*)","Book Store",1984,NA,"","70 13th St. N.E., Atlanta, GA",-84.3852354,33.7856295,"70 13th st ne, atlanta, ga 30309, usa","Geocoded"
"Conference Room","","567 Ponce de Leon","Atlanta","GA","","Bars/Clubs",1984,NA,"","567 Ponce de Leon, Atlanta, GA",-84.3684698,33.773142,"567 ponce de leon ave ne, atlanta, ga 30308, usa","Geocoded"
"Cove","(Open Sun) (Cruisy AH *)","586 Worchester Dr. N.E.","Atlanta","GA","(R),(PT),(AH),(*)","Restaurant,Cruising Areas",1984,NA,"","586 Worchester Dr. N.E., Atlanta, GA",-84.368002,33.79113,"586 worchester dr ne, atlanta, ga 30306, usa","Geocoded"
"Crazy Ray's","(Sun. brunch) (Ansley Square)","1492-B Piedmont","Atlanta","GA","(*)","Bars/Clubs,Restaurant",1984,NA,"","1492-B Piedmont, Atlanta, GA",-84.370409,33.8021855,"1492 piedmont way ne b, atlanta, ga 30324, usa","Geocoded"
"Dunk & Dine","(Open late)","2305 Cheshire Bridge Rd.","Atlanta","GA","(M),(R)","Restaurant",1984,NA,"","2305 Cheshire Bridge Rd., Atlanta, GA",-84.3516172,33.8179715,"2305 cheshire bridge rd ne, atlanta, ga 30324, usa","Geocoded"
"Fitness 1st","(Gym)","1407 Peachtree St. N.E.","Atlanta","GA","(M)","Gym",1984,NA,"","1407 Peachtree St. N.E., Atlanta, GA",-84.3865922,33.7931197,"1407 peachtree st ne, atlanta, ga 30309, usa","Geocoded"
"Gallus","(Upstairs) (Downstairs cruise bar - Hustlers)","49 6th St. N.E.","Atlanta","GA","(*),(R)","Restaurant,Cruising Areas,Bars/Clubs",1984,NA,"","49 6th St. N.E., Atlanta, GA",-84.3856992,33.7772586,"49 6th st ne, atlanta, ga 30308, usa","Geocoded"
"Gay Center","(404) 876-5372","848 Peachtree St. N.E.","Atlanta","GA","","Community Centers/Support Groups",1984,NA,"","848 Peachtree St. N.E., Atlanta, GA",-84.3847178,33.7778634,"848 peachtree st ne, atlanta, ga 30308, usa","Geocoded"
"Hotel York","(Cabaret)","683 Peachtree St. N.E.","Atlanta","GA","(H),(R),(*)","Hotel,Restaurant",1984,NA,"","683 Peachtree St. N.E., Atlanta, GA",-84.384572,33.773191,"683 peachtree st ne, atlanta, ga 30308, usa","Geocoded"
"Gene & Gabe's","(Very M)","1578 Piedmont Rd. N.E.","Atlanta","GA","(M),(PE),(R)","Restaurant",1984,NA,"","1578 Piedmont Rd. N.E., Atlanta, GA",-84.3658599,33.8082403,"1578 piedmont rd ne, atlanta, ga 30324, usa","Geocoded"
"Illusions","(Disco)","1021 Peachtree St. N.E.","Atlanta","GA","(S),(D),(*)","Bars/Clubs",1984,NA,"","1021 Peachtree St. N.E., Atlanta, GA",-84.3836874,33.782647,"1021 peachtree st ne, atlanta, ga 30309, usa","Geocoded"
"Inbetween","","887 Peachtree St N.E.","Atlanta","GA","(B),(D),(WE)","Bars/Clubs",1984,NA,"","887 Peachtree St N.E., Atlanta, GA",-84.3842734,33.7788612,"887 peachtree st ne, atlanta, ga 30309, usa","Geocoded"
"La Place","(R-5-9 only)","1720 Peachtree St. N.E.","Atlanta","GA","(R)","Restaurant",1984,NA,"","1720 Peachtree St. N.E., Atlanta, GA",-84.3936674,33.8008872,"1720 peachtree st ne, atlanta, ga 30309, usa","Geocoded"
"IHOP","","129 North Ave. N.E.","Atlanta","GA","(M),(R),(C),(AH)","Restaurant",1984,NA,"","129 North Ave. N.E., Atlanta, GA",-84.38318,33.77103,"129 north avenue ne, atlanta, ga 30308, usa","Geocoded"
"M.C.C.","","800 N. Highland Ave.","Atlanta","GA","(MCC)","Religious Institution",1984,NA,"","800 N. Highland Ave., Atlanta, GA",-84.3526546,33.7763144,"800 north highland avenue northeast, atlanta, ga 30306, usa","Geocoded"
"Locker Room","(Sauna & baths) (Tues. nights*)","2325 Cheshire Br. Rd. N.E.","Atlanta","GA","(*)","Bathhouses",1984,NA,"","2325 Cheshire Br. Rd. N.E., Atlanta, GA",-84.3521099,33.8189971,"2325 cheshire bridge rd ne, atlanta, ga 30324, usa","Geocoded"
"Midtown Pub","","1018 Peachtree St. N.E.","Atlanta","GA","(E)","Bars/Clubs",1984,NA,"","1018 Peachtree St. N.E., Atlanta, GA",-84.3838462,33.7832033,"1018 peachtree st ne, atlanta, ga 30309, usa","Geocoded"
"New Order Lounge","('Horse Feathers') Ansley Mall Shopping Center","1544 Piedmont","Atlanta","GA","","Bars/Clubs",1984,NA,"","1544 Piedmont, Atlanta, GA",-84.370409,33.8021855,"1544 piedmont way ne, atlanta, ga 30324, usa","Geocoded"
"Palms","York Hotel","683 Peachtree St. N.E.","Atlanta","GA","(R)","Restaurant,Hotel",1984,NA,"","683 Peachtree St. N.E., Atlanta, GA",-84.384572,33.773191,"683 peachtree st ne, atlanta, ga 30308, usa","Geocoded"
"Peachtree Manor Hotel","","826 Peachtree St. N.E.","Atlanta","GA","(H)","Hotel",1984,NA,"","826 Peachtree St. N.E., Atlanta, GA",-84.3855205,33.7771592,"826 peachtree st ne, atlanta, ga 30308, usa","Geocoded"
"P's","Ponce de Leon Hotel (Wed. nights*)","551 Ponce de Leon Ave. N.E.","Atlanta","GA","(SM),(W),(*)","Bars/Clubs,Hotel",1984,NA,"","551 Ponce de Leon Ave. N.E., Atlanta, GA",-84.368873,33.773239,"551 ponce de leon ave ne, atlanta, ga 30308, usa","Geocoded"
"Peasant Uptown","","3500 Peachtree Rd. N.E.","Atlanta","GA","(M),(R)","Restaurant",1984,NA,"","3500 Peachtree Rd. N.E., Atlanta, GA",-84.3622556,33.8528035,"3500 peachtree rd ne, atlanta, ga 30326, usa","Geocoded"
"Pharr Library","(Disco) (Cruisy cocktail hour) (Hot preppies)","550 Pharr Rd. N.E.","Atlanta","GA","(*),(D)","Cruising Areas,Bars/Clubs",1984,NA,"","550 Pharr Rd. N.E., Atlanta, GA",-84.3700246,33.8372936,"550 pharr rd ne, atlanta, ga 30305, usa","Geocoded"
"Pleasant Peasant","","555 Peachtree St. N.E.","Atlanta","GA","(M),(PE),(R)","Restaurant",1984,NA,"","555 Peachtree St. N.E., Atlanta, GA",-84.3850741,33.7690404,"555 peachtree st ne, atlanta, ga 30308, usa","Geocoded"
"Plumb Butch","(Some hustlers)","1029 Peachtree St. N.E.","Atlanta","GA","","Bars/Clubs",1984,NA,"","1029 Peachtree St. N.E., Atlanta, GA",-84.3836503,33.7826868,"1029 peachtree st ne, atlanta, ga 30309, usa","Geocoded"
"Plum Nelly","(Best at lunchtime)","1023 Peachtree St. N.E.","Atlanta","GA","","Restaurant",1984,NA,"","1023 Peachtree St. N.E., Atlanta, GA",-84.3873951,33.7826625,"1023 peachtree st ne, atlanta, ga 30309, usa","Geocoded"
"Prince George Inn","","114 6th St. N.E.","Atlanta","GA","(R),(*)","Restaurant",1984,NA,"","114 6th St. N.E., Atlanta, GA",-84.3833125,33.7772814,"114 6th st ne, atlanta, ga 30308, usa","Geocoded"
"Poodles","","1055 Peachtree St. N.E.","Atlanta","GA","(S),(*)","Bars/Clubs",1984,NA,"","1055 Peachtree St. N.E., Atlanta, GA",-84.3835038,33.7832966,"1055 peachtree st ne, atlanta, ga 30309, usa","Geocoded"
"Redoubt","(Adj. Disco-D-WE-levi-leather dress code)","736 Ponce de Leon","Atlanta","GA","(*),(SM),(D),(WE)","Bars/Clubs",1984,NA,"","736 Ponce de Leon, Atlanta, GA",-84.3632003,33.7740128,"736 ponce de leon ave ne, atlanta, ga 30306, usa","Geocoded"
"P Street","Atlanta (Clothing)","1400 Peachtree St.","Atlanta","GA","","Business",1984,NA,"","1400 Peachtree St., Atlanta, GA",-84.3867161,33.7930448,"1400 peachtree st ne, atlanta, ga 30309, usa","Geocoded"
"Sports Page","(Disco)","2069 Cheshire Bridge Rd.","Atlanta","GA","(L),(D),(R),(*)","Restaurant,Bars/Clubs",1984,NA,"","2069 Cheshire Bridge Rd., Atlanta, GA",-84.3552628,33.8115337,"2069 cheshire bridge rd ne, atlanta, ga 30324, usa","Geocoded"
"Supply House","(Leather boutique at Redoubt)","2069 Cheshire Bridge Rd.","Atlanta","GA","(*)","Erotic Shop",1984,NA,"","2069 Cheshire Bridge Rd., Atlanta, GA",-84.3552628,33.8115337,"2069 cheshire bridge rd ne, atlanta, ga 30324, usa","Geocoded"
"Toolulah's","","3041 Piedmont","Atlanta","GA","(M),(R)","Restaurant",1984,NA,"","3041 Piedmont, Atlanta, GA",-84.3705268,33.8033968,"3041 piedmont way ne, atlanta, ga 30324, usa","Geocoded"
"Trips Unlimited Travel","","1004 Virginia Ave.","Atlanta","GA","","Travel Service",1984,NA,"","1004 Virginia Ave., Atlanta, GA",-84.4225437,33.6588565,"1004 virginia ave, hapeville, ga 30354, usa","Geocoded"
"Weekends","(Twinkies) (Disco) (Thur-Sun only*)","1022 Peachtree St. N.E.","Atlanta","GA","(D),(*)","Bars/Clubs",1984,NA,"","1022 Peachtree St. N.E., Atlanta, GA",-84.3838443,33.7832069,"1022 peachtree st ne, atlanta, ga 30309, usa","Geocoded"
"Broad St. News","(Books)","1254 Broad St.","Augusta","GA","","Book Store",1984,NA,"","1254 Broad St., Augusta, GA",-81.9742449,33.4779489,"1254 broad st, augusta, ga 30901, usa","Geocoded"
"Reflections","(Disco)","1632 Walton Way","Augusta","GA","(D),(*)","Bars/Clubs",1984,NA,"","1632 Walton Way, Augusta, GA",-81.9941907,33.475278,"1632 walton way, augusta, ga 30904, usa","Geocoded"
"Foxes Cinema","(Cruisy)","3009 Victory Dr.","Columbus","GA","(M)","Bars/Clubs,Cruising Areas",1984,NA,"","3009 Victory Dr., Columbus, GA",-84.9599906,32.4378439,"3009 victory dr, columbus, ga 31903, usa","Geocoded"
"Deep Purple","","1307 1st Ave.","Columbus","GA","(PT)","Bars/Clubs",1984,NA,"","1307 1st Ave., Columbus, GA",-84.9922218,32.4708944,"1307 1st ave, columbus, ga 31901, usa","Geocoded"
"Mayfair","(Disco)","840 7th Ave.","Columbus","GA","(D),(R)","Restaurant,Bars/Clubs",1984,NA,"","840 7th Ave., Columbus, GA",-84.983087,32.462347,"840 7th ave, columbus, ga 31901, usa","Geocoded"
"Howard Johnson's","","2566 Riverside","Macon","GA","(M),(R),(C),(AH)","Restaurant",1984,NA,"","2566 Riverside, Macon, GA",-83.6615646,32.8709322,"2566 riverside dr, macon, ga 31204, usa","Geocoded"
"Pegasus","(Disco) (Some L)","410 Cotton","Macon","GA","(YC),(D),(L),(*)","Bars/Clubs",1984,NA,"","410 Cotton, Macon, GA",-83.6301669,32.8370162,"410 cotton ave, macon, ga 31201, usa","Geocoded"
"Planters Taver Bar","(Downstairs at Pink House) (Dull)","23 Abercorn St.","Savannah","GA","(M),(PE),(OC),(E)","Bars/Clubs",1984,NA,"","23 Abercorn St., Savannah, GA",-81.0898016,32.0796581,"23 abercorn st, savannah, ga 31401, usa","Geocoded"
"Who's Who","(Disco)","217 E. Bay","Savannah","GA","(D),(*)","Bars/Clubs",1984,NA,"","217 E. Bay, Savannah, GA",-81.088643,32.0802329,"217 e bay st, savannah, ga 31401, usa","Geocoded"
"Mi Elena","","Marine Drive","Agana","GU","(M),(AYOR)","Bars/Clubs",1984,NA,"","Marine Drive, Agana, GU",144.7502228,13.4762824,"hagåtña, guam","Geocoded"
