"ID","title","amenityfeatures","description","streetaddress","type","city","state","unclear_address","Year","uncleartype","notes","Last.Modified","full.address","lon","lat","geoAddress","status"
4189,"MCC","","(Lesbian/Gay Center) 242-1212, 7pm Sun","135 W. 4th St.","Religious Organization","Greenwich Village","NY",NA,1992,"","","4/25/2023 9:32pm","135 W. 4th St. ,  Greenwich Village ,  NY",-73.99993,40.731576,"135 west 4th street, new york, ny 10012, usa","Geocoded"
3053,"Leather Underground","","538-0991","136 W. Read St.","Erotica","Baltimore","MD",NA,1992,"","","4/25/2023 9:32pm","136 W. Read St. ,  Baltimore ,  MD",-76.6182783,39.3002562,"136 w read st, baltimore, md 21201, usa","Geocoded"
3639,"Downtown Metropolis","","831-2894 cards & gifts","137 Park Central Square","Bookstore/Retail Shops","Springfield","MO",NA,1992,"","","4/25/2023 9:32pm","137 Park Central Square ,  Springfield ,  MO",-93.2929193,37.2088705,"137 park central square, springfield, mo 65806, usa","Geocoded"
1568,"West Side Cafe","(MW),(F),(D),(E),(AH)","226-0888 8am-1am food service, dancing til dawn","137 Rehoboth Ave.","Bars","Rehoboth Beach","DE",NA,1992,"","","4/25/2023 9:32pm","137 Rehoboth Ave. ,  Rehoboth Beach ,  DE",-75.0804151,38.7167282,"137 rehoboth ave, rehoboth beach, de 19971, usa","Geocoded"
4978,"Sealed With A Kiss","","925-7474","137 S. 13th St.","Bookstore/Retail Shops","Philadelphia","PA",NA,1992,"","","4/25/2023 9:32pm","137 S. 13th St. ,  Philadelphia ,  PA",-75.1618172,39.9494082,"137 s 13th st, philadelphia, pa 19107, usa","Geocoded"
3850,"Rendezvous","(H)","347-8539 3pm-3am, cruisy","137 S. New York Ave.","Bars,Cruising Areas","Atlantic City","NJ",NA,1992,"","","4/25/2023 9:32pm","137 S. New York Ave. ,  Atlantic City ,  NJ",-74.4276738,39.3594028,"137 s new york ave, atlantic city, nj 08401, usa","Geocoded"
85,"Anchorage Video Mart","","276-9224, 24hrs","137 W. 5th Ave.","Erotica","Anchorage","AK",NA,1992,"","","4/25/2023 9:32pm","137 W. 5th Ave. ,  Anchorage ,  AK",-149.8848136,61.2178036,"137 w 5th ave, anchorage, ak 99501, usa","Geocoded"
2579,"Bookland","","639-9864 lesbian/gay section, 6am-7pm Mon-Sat, til 6pm Sun","137 W. Market","Bookstore/Retail Shops","Indianapolis","IN",NA,1992,"","","4/25/2023 9:32pm","137 W. Market ,  Indianapolis ,  IN",-86.1612329,39.7684741,"137 w market st, indianapolis, in 46204, usa","Geocoded"
127,"Cattlemen's Exchange","(OC)","266-0875 conversation bar, upstairs ""Hayloft"" bar,10am-1am","138 W. Camelback Rd.","Bars","Phoenix","AZ",NA,1992,"","","4/25/2023 9:32pm","138 W. Camelback Rd. ,  Phoenix ,  AZ",-112.077151,33.5096739,"138 w camelback rd, phoenix, az 85013, usa","Geocoded"
1449,"Empress Theater","","778-6584","139 Broadway","Erotica","Denver","CO",NA,1992,"","","4/25/2023 9:32pm","139 Broadway ,  Denver ,  CO",-104.9876796,39.7190045,"139 n broadway, denver, co 80203, usa","Geocoded"
4329,"Mike's State Street Pub","(MW),(D),(OC)","232-9303 2pm-2am","139 State St.","Bars","Rochester","NY",NA,1992,"","","4/25/2023 9:32pm","139 State St. ,  Rochester ,  NY",-77.6150152,43.1577461,"139 state st, rochester, ny 14614, usa","Geocoded"
4144,"Ninth Circle","(*),(NH),(YC)","243-9204 noon","139 W. 10th St.","Bars","Greenwich Village","NY",NA,1992,"","","4/25/2023 9:32pm","139 W. 10th St. ,  Greenwich Village ,  NY",-74.0007993,40.7347958,"139 w 10th st, new york, ny 10014, usa","Geocoded"
331,"Serenity Fellowship (AA)","","221-6907 call for mtg times","139 W. Olive","Info Lines & Services","Fresno","CA",NA,1992,"","","4/25/2023 9:32pm","139 W. Olive ,  Fresno ,  CA",-119.8139109,36.7573832,"139 w olive ave, fresno, ca 93728, usa","Geocoded"
3212,"Crosswinds Inn","(MW)","487-3533 B & B, year round","140 Bradford St.","Accomodations","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","140 Bradford St. ,  Provincetown ,  MA",-70.185883,42.0538704,"historic district, 140 bradford st, provincetown, ma 02657, usa","Geocoded"
2097,"Downstairs Cafe","(MX),(BW),(E),(F)","549-4416 acoustic, jazz, poetry, vegetarian food, 11am-1am Mon-Fri, til midnight Sat, brunch Sun","140 E Clayton","Bars","Athens","GA",NA,1992,"","","4/25/2023 9:32pm","140 E Clayton ,  Athens ,  GA",-83.3764212,33.9580715,"140 e clayton st, athens, ga 30601, usa","Geocoded"
4013,"Allie's Bookstore","","724-8659","140 Washington St.","Erotica","Binghampton","NY",NA,1992,"","","4/25/2023 9:32pm","140 Washington St. ,  Binghampton ,  NY",-75.9133205,42.0980704,"140 washington st, binghamton, ny 13901, usa","Geocoded"
4134,"Eagle's Nest","(*),(LV),(L),(V)","(at 21st) 691-8451 cruisy, 10pm-4am","142 11th Ave.","Bars,Cruising Areas","Greenwich Village","NY",NA,1992,"","","4/25/2023 9:32pm","142 11th Ave. ,  Greenwich Village ,  NY",-74.0000934,40.735954,"142 w 11th st, new york, ny 10011, usa","Geocoded"
3243,"Sunset Inn","(MW)","487-9810 B & B seasonal","142 Bradford St.","Accomodations","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","142 Bradford St. ,  Provincetown ,  MA",-70.1856505,42.0540892,"historic district, 142 bradford st, provincetown, ma 02657, usa","Geocoded"
950,"Hillcrest Gym, The","","299-7867 (PUMP) full gym, 5am-10pm Mon-Fri, 8am-8pm Sat, til 6pm Sun","142 University Ave.","Gyms/Health Clubs","San Diego","CA",NA,1992,"","","4/25/2023 9:32pm","142 University Ave. ,  San Diego ,  CA",-117.1631011,32.7484433,"142 university ave, san diego, ca 92103, usa","Geocoded"
4249,"Community Book Store","","783-3075 general books with gay section, 10am-9pm Mon-Fri, 11am-7pm Sat & Sun","143 7th Ave.","Bookstore/Retail Shops","Brooklyn","NY",NA,1992,"","","4/25/2023 9:32pm","143 7th Ave. ,  Brooklyn ,  NY",-73.9764258,40.6726651,"143 7th ave, brooklyn, ny 11215, usa","Geocoded"
4154,"Two Potato","(NH)","255-0286 multi-racial clientele","143 Christopher St.","Bars","Greenwich Village","NY",NA,1992,"","","4/25/2023 9:32pm","143 Christopher St. ,  Greenwich Village ,  NY",-74.007696,40.73297,"143 christopher st, new york, ny 10014, usa","Geocoded"
4599,"Wall Street","(*),(MW),(D),(YC),(S)","464-2800 8pm-2:30am Wed-Sun, more gay men Wed","144 N. Wall St.","Bars","Columbus","OH",NA,1992,"","","4/25/2023 9:32pm","144 N. Wall St. ,  Columbus ,  OH",-83.0019235,39.9652404,"144 n wall st, columbus, oh 43215, usa","Geocoded"
4929,"Backstreet Inn","(*),(MX),(SW)","862-9571 B & B, year round, priv baths","144 Old York Rd.","Accomodations","New Hope","PA",NA,1992,"","","4/25/2023 9:32pm","144 Old York Rd. ,  New Hope ,  PA",-74.9663353,40.3613882,"144 old york rd, new hope, pa 18938, usa","Geocoded"
1499,"Dignity-Hartford","","(Quaker Mtg House), W. Hartford 296-9229, 6pm Sun","144 S. Quaker Ln.","Religious Organization","Hartford","CT",NA,1992,"","","4/25/2023 9:32pm","144 S. Quaker Ln. ,  Hartford ,  CT",-72.7287179,41.7598524,"144 quaker ln s, west hartford, ct 06119, usa","Geocoded"
4350,"Mother Eves","","370-9865 9pm-4am Tues-Sun","145 Barrett St.","Bars","Schenectady","NY",NA,1992,"","","4/25/2023 9:32pm","145 Barrett St. ,  Schenectady ,  NY",-73.9390273,42.8126018,"145 barrett st, schenectady, ny 12305, usa","Geocoded"
1412,"Compound","(D),(LV),(L)","722-7977 7am-2am","145 Broadway","Bars","Denver","CO",NA,1992,"","","4/25/2023 9:32pm","145 Broadway ,  Denver ,  CO",-104.9877629,39.7191595,"145 n broadway, denver, co 80223, usa","Geocoded"
3194,"Beachfront Realty","","487-1397","145 commercial st.","Accomodations","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","145 commercial st. ,  Provincetown ,  MA",-70.1912201,42.046223,"historic district, 145 commercial st, provincetown, ma 02657, usa","Geocoded"
2581,"Just Cards","","638-1170 9am-5:30pm Mon-Fri (til 8pm Thurs) 10am-5pm Sat","145 E. Ohio St.","Bookstore/Retail Shops","Indianapolis","IN",NA,1992,"","","4/25/2023 9:32pm","145 E. Ohio St. ,  Indianapolis ,  IN",-86.1547016,39.7697105,"145 e ohio st, indianapolis, in 46204, usa","Geocoded"
3792,"Ron's Piano Bar","","829-7667 11am-3am","145 Hillcrest St.","Bars","Reno","NV",NA,1992,"","","4/25/2023 9:32pm","145 Hillcrest St. ,  Reno ,  NV",-119.8032831,39.5049219,"145 hillcrest dr, reno, nv 89509, usa","Geocoded"
2257,"Elsie's Club Polynesian","(MX),(D),(E),(S)","538-9592 6am-2am","145 N. Hotel St.","Bars","Honolulu, Oahu","HI",NA,1992,"","","4/25/2023 9:32pm","145 N. Hotel St. ,  Honolulu, Oahu ,  HI",-157.8633427,21.312964,"145 n hotel st, honolulu, hi 96817, usa","Geocoded"
2460,"Adult Books & Cinema X","","423-9540 24hrs","145 N. Main St.","Erotica","Decatur","IL",NA,1992,"","","4/25/2023 9:32pm","145 N. Main St. ,  Decatur ,  IL",-88.9562643,39.8420065,"145 n main st, decatur, il 62523, usa","Geocoded"
3401,"Ropa","(*),(D),(S)","783-6333 8pm-2:30am Tues-Sat, clsd Sun & Mon","146 W. Michigan Ave.","Cruising Areas","Jackson","MI",NA,1992,"","","4/25/2023 9:32pm","146 W. Michigan Ave. ,  Jackson ,  MI",-84.4072072,42.2477725,"146 w michigan ave, jackson, mi 49201, usa","Geocoded"
2100,"Barnett's Newsstand","","353-0530 gay/lesbian section, 8pm-10pm","147 College Ave.","Bookstore/Retail Shops","Athens","GA",NA,1992,"","","4/25/2023 9:32pm","147 College Ave. ,  Athens ,  GA",-83.3756502,33.9580449,"147 college ave, athens, ga 30601, usa","Geocoded"
3300,"Tall Pines Inn","(MW),(D)","649-9124 8pm-2am Fri-Sun","147 Frost St.","Cruising Areas","Tyngsboro","MA",NA,1992,"","","4/25/2023 9:32pm","147 Frost St. ,  Tyngsboro ,  MA",-71.4120779,42.6940761,"147 frost rd, tyngsborough, ma 01879, usa","Geocoded"
2215,"Royal Drive Cottages","(MW)","822-2321 garden cottages with kitchenettes, private bath, year round","147 Royal Dr.","Accomodations","Kapaa, Kauai","HI",NA,1992,"","","4/25/2023 9:32pm","147 Royal Dr. ,  Kapaa, Kauai ,  HI",-159.3731212,22.0531224,"147 royal dr, kapaʻa, hi 96746, usa","Geocoded"
5708,"Radio City","(D),(BW),(S)","532-9327 opens 11am, popular weekends","147 S. State St.","Bars","Salt Lake City","UT",NA,1992,"","","4/25/2023 9:32pm","147 S. State St. ,  Salt Lake City ,  UT",-111.8877316,40.7660593,"147 s state st, salt lake city, ut 84111, usa","Geocoded"
1119,"MCC of San Francisco","","863-4434 9am, 11am & 7pm Sun","150 Eureka St.","Religious Organization","San Francisco","CA",NA,1992,"","","4/25/2023 9:32pm","150 Eureka St. ,  San Francisco ,  CA",-122.4383634,37.7599089,"150 eureka st, san francisco, ca 94114, usa","Geocoded"
4026,"Club Heat","(*),(MW),(D)","842-6825 Wed-Sun 8pm-4am, patio","153 Deleware Ave.","Bars","Buffalo","NY",NA,1992,"","","4/25/2023 9:32pm","153 Deleware Ave. ,  Buffalo ,  NY",-78.8769881,42.8885339,"153 delaware ave, buffalo, ny 14202, usa","Geocoded"
4330,"Tara","(*),(MW),(NH),(E),(OC)","232-4719 piano bar, noon-2am","153 Liberty Pole Way","Bars","Rochester","NY",NA,1992,"","","4/25/2023 9:32pm","153 Liberty Pole Way ,  Rochester ,  NY",-77.6042727,43.1601114,"153 liberty pole way, rochester, ny 14604, usa","Geocoded"
3534,"Le Bistro","(MW),(D),(S),(AH)","388-9366 8pm-closing","153 Veterans Blvd.","Bars","Biloxi","MS",NA,1992,"","","4/25/2023 9:32pm","153 Veterans Blvd. ,  Biloxi ,  MS",-88.947719,30.3953394,"153 veterans ave, biloxi, ms 39531, usa","Geocoded"
4177,"Three Lives Book Store","","741-2069 11am-9pm Mon-Sat, 1pm-7pm Sun","154 W. 10th St.","Bookstore/Retail Shops","Greenwich Village","NY",NA,1992,"","","4/25/2023 9:32pm","154 W. 10th St. ,  Greenwich Village ,  NY",-74.0015401,40.734387,"154 w 10th st, new york, ny 10014, usa","Geocoded"
138,"Oscars","(AH),(D),(S)","274-8505 noon-1am Mon-Sat, from 10am Sun","155 W. Camelback","Bars","Phoenix","AZ",NA,1992,"","","4/25/2023 9:32pm","155 W. Camelback ,  Phoenix ,  AZ",-112.0770364,33.5089721,"155 w camelback rd, phoenix, az 85013, usa","Geocoded"
4196,"Pleasure Chest","","242-2158 leather, noon-10pm","156 7th Ave. S.","Erotica","Greenwich Village","NY",NA,1992,"","","4/25/2023 9:32pm","156 7th Ave. S. ,  Greenwich Village ,  NY",-74.0020669,40.7353073,"156 7th ave s, new york, ny 10014, usa","Geocoded"
3216,"Elephant Walk Guest House","(*)","487-2543 seasonal","156 Bradford St.","Accomodations","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","156 Bradford St. ,  Provincetown ,  MA",-70.1846273,42.0552079,"156 bradford st, provincetown, ma 02657, usa","Geocoded"
1167,"Carl Street Unicorn House","(W)","753-5194 B & B, some men, open year round","156 Carl St.","Accomodations","San Francisco","CA",NA,1992,"","","4/25/2023 9:32pm","156 Carl St. ,  San Francisco ,  CA",-122.451523,37.7657781,"156 carl st, san francisco, ca 94117, usa","Geocoded"
2747,"MCC","","267-1852 11am & 7pm Sun","156 S. Kansas St.","Religious Organization","Wichita","KS",NA,1992,"","","4/25/2023 9:32pm","156 S. Kansas St. ,  Wichita ,  KS",-97.3156057,37.6846644,"156 s kansas st, wichita, ks 67211, usa","Geocoded"
5756,"AA Video & Books","","","156 West St.","Erotica","Rutland","VT",NA,1992,"","","4/25/2023 9:32pm","156 West St. ,  Rutland ,  VT",-72.9816056,43.6075503,"156 west st, rutland, vt 05701, usa","Geocoded"
3274,"Snug Harbor","(MW)","487-2276 Cajun & continental cuisine","157 Commercial St.","Restaurants & Cafes","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","157 Commercial St. ,  Provincetown ,  MA",-70.1906736,42.046767,"historic district, 157 commercial st, provincetown, ma 02657, usa","Geocoded"
2376,"Second Story Bar","(NH)","923-9536 noon-2am Mon-Fri, from 3pm Sat & Sun","157 E. Ohio St.","Bars","Chicago","IL",NA,1992,"","","4/25/2023 9:32pm","157 E. Ohio St. ,  Chicago ,  IL",-87.6232307,41.8923088,"157 e ohio st, chicago, il 60611, usa","Geocoded"
3190,"Admiral's Landing Guesthouse","(MX)","487-9665 year round","158 Bradford St.","Accomodations","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","158 Bradford St. ,  Provincetown ,  MA",-70.1841622,42.0551989,"158 bradford st, provincetown, ma 02657, usa","Geocoded"
3237,"Rose & Crown","(MW)","487-3332 year round","158 Commercial St.","Accomodations","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","158 Commercial St. ,  Provincetown ,  MA",-70.1907666,42.0471557,"historic district, 158 commercial st, provincetown, ma 02657, usa","Geocoded"
316,"F St. Bookstore","","24hrs","158 E. Main St.","Erotica","El Cajon","CA",NA,1992,"","","4/25/2023 9:32pm","158 E. Main St. ,  El Cajon ,  CA",-116.9609898,32.7951953,"158 e main st, el cajon, ca 92020, usa","Geocoded"
4349,"Clinton St. Pub","(MX),(NH)","382-9173 noon-4am","159 Clinton St.","Bars","Schenectady","NY",NA,1992,"","","4/25/2023 9:32pm","159 Clinton St. ,  Schenectady ,  NY",-73.9399086,42.8124973,"159 clinton st, schenectady, ny 12305, usa","Geocoded"
4136,"Julius'","(*)","929-9672","159 W. 10th St.","Bars","Greenwich Village","NY",NA,1992,"","","4/25/2023 9:32pm","159 W. 10th St. ,  Greenwich Village ,  NY",-74.0017116,40.7345329,"159 w 10th st, new york, ny 10014, usa","Geocoded"
1432,"Broadway Bodyworks","","722-4342 gym facilities only, open every day","160 S. Broadway","Gyms/Health Clubs","Denver","CO",NA,1992,"","","4/25/2023 9:32pm","160 S. Broadway ,  Denver ,  CO",-104.9872298,39.7134048,"160 s broadway, denver, co 80209, usa","Geocoded"
4103,"Michael's Thing","","724-3691","160 W. 46th.","Publication","New York City","NY",NA,1992,"","","4/25/2023 9:32pm","160 W. 46th. ,  New York City ,  NY",-73.9844318,40.7580838,"160 w 46th st, new york, ny 10036, usa","Geocoded"
3198,"Boatslip Beach Club","(*),(MW),(F)","487-1669 waterside rooms, seasonal","161 Commercial St.","Accomodations","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","161 Commercial St. ,  Provincetown ,  MA",-70.1901852,42.0470329,"historic district, 161 commercial st, provincetown, ma 02657, usa","Geocoded"
3847,"Rose Cottage, The","","(Snake Alley) 345-8196 shared baths, year round","161 S. Westminster","Accomodations","Atlantic City","NJ",NA,1992,"","","5/18/2023 9:26am","161 S. Westminster ,  Atlantic City ,  NJ",-74.4275791,39.3580277,"161 s, 161 westminster ave, atlantic city, nj 08401, usa","Geocoded"
4123,"Altar","(L)","571-7272 1pm-4am","161 W. Broadway","Bars","Greenwich Village","NY",NA,1992,"","","4/25/2023 9:32pm","161 W. Broadway ,  Greenwich Village ,  NY",-74.007474,40.7173962,"161 w broadway, new york, ny 10013, usa","Geocoded"
4309,"Coven Cafe","(MX),(F),(E)","358-9829 11:30am-1am, til 4am Fri & Sat, clsd Mon","162 Main St.","Bars","Nyack","NY",NA,1992,"","","4/25/2023 9:32pm","162 Main St. ,  Nyack ,  NY",-73.9227325,41.0918697,"162 main st, nyack, ny 10960, usa","Geocoded"
1254,"Ram's Head","(NH)","775-6960 6am-2am","162 Turk St.","Bars","San Francisco","CA",NA,1992,"","","4/25/2023 9:32pm","162 Turk St. ,  San Francisco ,  CA",-122.4118611,37.7833763,"162 turk st, san francisco, ca 94102, usa","Geocoded"
3202,"Captain & His Ship","(*)","487-1850 B & B, year round","164 Commercial St.","Accomodations","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","164 Commercial St. ,  Provincetown ,  MA",-70.1903053,42.0474815,"historic district, 164 commercial st, provincetown, ma 02657, usa","Geocoded"
5282,"Town House Tea Room","(MW)","254-1277 cocktails","165 8th Ave. N.","Restaurants & Cafes","Nashville","TN",NA,1992,"","","4/25/2023 9:32pm","165 8th Ave. N. ,  Nashville ,  TN",-86.781259,36.1568267,"165 8th ave s, nashville, tn 37203, usa","Geocoded"
3238,"Sandpiper Beach House","(*),(MW)","487-1928 year round","165 Commercial St.","Accomodations","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","165 Commercial St. ,  Provincetown ,  MA",-70.1899759,42.0474233,"historic district, 165 commercial st, provincetown, ma 02657, usa","Geocoded"
3206,"Casablanca Guest House","(MW)","487-0859","166 Commercial St.","Accomodations","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","166 Commercial St. ,  Provincetown ,  MA",-70.190348,42.0476016,"historic district, 166 commercial st, provincetown, ma 02657, usa","Geocoded"
1527,"York Street Book Store","","865-2331","166 York St.","Erotica","New Haven","CT",NA,1992,"","","4/25/2023 9:32pm","166 York St. ,  New Haven ,  CT",-72.9321753,41.3080861,"166 york st, new haven, ct 06511, usa","Geocoded"
5275,"Gaslight","(MW),(E)","254-1278 piano bar, 4:30pm-1am Mon-Thurs, til 3am Fri & Sat, noon-1am Sun","167 1/2 8th Ave. N.","Bars","Nashville","TN",NA,1992,"","","4/25/2023 9:32pm","167 1/2 8th Ave. N. ,  Nashville ,  TN",-86.7812557,36.1568215,"167 8th ave s, nashville, tn 37203, usa","Geocoded"
5270,"Savage House","","244-2229 B & B, open year round","167 8th Ave. N.","Accomodations","Nashville","TN",NA,1992,"","","4/25/2023 9:32pm","167 8th Ave. N. ,  Nashville ,  TN",-86.7812557,36.1568215,"167 8th ave s, nashville, tn 37203, usa","Geocoded"
3011,"Remmus on the Rocks","(MW)","363-6048 open Memorial Day-Columbus Day","167 Numble Rd.","Accomodations","York Harbor","ME",NA,1992,"","","4/25/2023 9:32pm","167 Numble Rd. ,  York Harbor ,  ME",NA,NA,"NA","Geocoded"
1522,"Pub Cafe","(MX)","789-8612 2pm-1am Sun-Thurs, til 2am Fri & Sat, full bar","168 York St.","Restaurants & Cafes","New Haven","CT",NA,1992,"","","4/25/2023 9:32pm","168 York St. ,  New Haven ,  CT",-72.932154,41.308158,"168 york st, new haven, ct 06511, usa","Geocoded"
3849,"Entertainers Club","(*)","344-9223 24hrs, patio in summer","169 S. Westminster","Bars","Atlantic City","NJ",NA,1992,"","","4/25/2023 9:32pm","169 S. Westminster ,  Atlantic City ,  NJ",-74.4273446,39.3576816,"169 westminster ave, atlantic city, nj 08401, usa","Geocoded"
662,"Golden Bull","(*),(MX)","Santa Monica 454-2078 cocktails, 4:30pm-2am","170 W. Channel Rd.","Restaurants & Cafes","Los Angeles","CA",NA,1992,"","","5/18/2023 11:22am","170 W. Channel Rd. ,  Los Angeles ,  CA",-118.517745,34.0290415,"170 w channel rd, santa monica, ca 90402, usa","Geocoded"
1272,"Club St. John","(*),(D),(E),(S),(V),(F)","947-1667 piano bar, 11am-2am Sun-Fri, 5pm-2am Sat","170 W. St. John St.","Bars","San Jose","CA",NA,1992,"","","4/25/2023 9:32pm","170 W. St. John St. ,  San Jose ,  CA",-121.8944596,37.3366501,"170 w st john st, san jose, ca 95110, usa","Geocoded"
4327,"Infinity","(*),(M),(D),(YC),(S)","232-4370 Sun, Tues & Thurs 10pm-2am, til 3am Fri & Sat","171 St. Paul St.","Bars","Rochester","NY",NA,1992,"","","4/25/2023 9:32pm","171 St. Paul St. ,  Rochester ,  NY",-77.6103199,43.1601435,"171 st paul st, rochester, ny 14604, usa","Geocoded"
1344,"Pleasure Place Books","","464-8073 10am-1am","171 W. Adams","Erotica","Stockton","CA",NA,1992,"","","4/25/2023 9:32pm","171 W. Adams ,  Stockton ,  CA",-121.30059,37.9726654,"171 w adams st, stockton, ca 95204, usa","Geocoded"
3250,"White Wind Inn","(MW)","487-1526 year round","174 Commercial St.","Accomodations","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","174 Commercial St. ,  Provincetown ,  MA",-70.1898829,42.0480392,"historic district, 174 commercial st, provincetown, ma 02657, usa","Geocoded"
1584,"Discount Adult Books","","New Castle 328-4812","174 S. DuPont Hwy.","Erotica","Wilmington","DE",NA,1992,"","","5/18/2023 11:23am","174 S. DuPont Hwy. ,  Wilmington ,  DE",-75.5715099,39.7444538,"174 s dupont st, wilmington, de 19805, usa","Geocoded"
4265,"Silver Lining","(MW),(D),(V),(YC),(S)","Floral Park 354-9641 9pm-4am","175 Cherry Ln.","Bars","Queens","NY",NA,1992,"","","5/18/2023 11:23am","175 Cherry Ln. ,  Queens ,  NY",-73.6974213,40.7356866,"175 cherry ln, floral park, ny 11001, usa","Geocoded"
3192,"Anchor Inn Guest House","(*),(MW)","487-0432 year round","175 Commercial St.","Accomodations","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","175 Commercial St. ,  Provincetown ,  MA",-70.1894411,42.047867,"historic district, 175 commercial st, provincetown, ma 02657, usa","Geocoded"
736,"Harlow Club Hotel","(*),(SW),(IGTA)","323-3977 cont'l bbreakfast, lunch buffet, gym, jacuzzi, year round","175 E. El Alameda","Accomodations","Palm Springs","CA",NA,1992,"","","4/25/2023 9:32pm","175 E. El Alameda ,  Palm Springs ,  CA",-116.5461594,33.8350183,"175 e el alameda, palm springs, ca 92262, usa","Geocoded"
1267,"Bangle San Jose","","(Billy DeFrank Community Center) 293-2429 social group meets 7pm 2nd Wed","175 Stockton Ave.","Info Lines & Services","San Jose","CA",NA,1992,"","","4/25/2023 9:32pm","175 Stockton Ave. ,  San Jose ,  CA",-121.9077942,37.3352055,"175 stockton ave, san jose, ca 95126, usa","Geocoded"
1268,"Billy DeFrank Center & Hotline","","293-4525/2429 6pm-9pm Mon-Fri, noon-9pm Wed & Sun","175 Stockton Ave.","Info Lines & Services","San Jose","CA",NA,1992,"","","4/25/2023 9:32pm","175 Stockton Ave. ,  San Jose ,  CA",-121.9077942,37.3352055,"175 stockton ave, san jose, ca 95126, usa","Geocoded"
3273,"Sebastian's Long & Narrow Restaurant","(MX)","487-3286","177 Commercial St.","Restaurants & Cafes","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","177 Commercial St. ,  Provincetown ,  MA",-70.189348,42.0479992,"historic district, 177 commercial st, provincetown, ma 02657, usa","Geocoded"
1136,"Pleasuredome","","@ 3, 255-6434, Box 69","177 Townsend","Bars","San Francisco","CA",NA,1992,"","","4/25/2023 9:32pm","177 Townsend ,  San Francisco ,  CA",-122.3919931,37.7791526,"177 townsend st, san francisco, ca 94107, usa","Geocoded"
4317,"Gay Alliance Community Center","","244-8640 (Hotline) 6pm-10pm Mon-Fri","179 Atlantic Ave.","Info Lines & Services","Rochester","NY",NA,1992,"","","4/25/2023 9:32pm","179 Atlantic Ave. ,  Rochester ,  NY",-77.5797861,43.1559715,"179 atlantic ave, rochester, ny 14607, usa","Geocoded"
4341,"Empty Closet","","244-9030 monthly","179 Atlantic Ave.","Publication","Rochester","NY",NA,1992,"","","4/25/2023 9:32pm","179 Atlantic Ave. ,  Rochester ,  NY",-77.5797861,43.1559715,"179 atlantic ave, rochester, ny 14607, usa","Geocoded"
3105,"Paradise","(*),(D),(V)","Cambridge 864-4130 4pm-2am","180 Massachusetts Ave.","Bars","Boston","MA",NA,1992,"","","5/18/2023 11:23am","180 Massachusetts Ave. ,  Boston ,  MA",-71.0867995,42.3458292,"180 massachusetts ave, boston, ma 02115, usa","Geocoded"
3891,"Maddie's Mine Hill Tavern","(MW),(NH),(F)","328-9611 3pm-2am","181 Randolph Ave.","Bars","Mine Hill","NJ",NA,1992,"","","4/25/2023 9:32pm","181 Randolph Ave. ,  Mine Hill ,  NJ",-74.5998499,40.8702666,"181 w randolph ave, mine hill township, nj 07803, usa","Geocoded"
3278,"Pride's Presents","(*)","487-1127","182 Commercial St.","Bookstore/Retail Shops","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","182 Commercial St. ,  Provincetown ,  MA",-70.1896969,42.0482663,"historic district, 182 commercial st, provincetown, ma 02657, usa","Geocoded"
1495,"Equinox","","523-1866, 11am-7pm Tues-Sat, clsd Sun & Mon","182 S. Whitney St.","Bookstore/Retail Shops","Hartford","CT",NA,1992,"","","4/25/2023 9:32pm","182 S. Whitney St. ,  Hartford ,  CT",-72.7098582,41.7631316,"182 s whitney st, hartford, ct 06105, usa","Geocoded"
3883,"Clark Travel Service","(IGTA)","333-2000","183 Montgomery St.","Travel & Tour Operators","Jersey City","NJ",NA,1992,"","","4/25/2023 9:32pm","183 Montgomery St. ,  Jersey City ,  NJ",-74.0429676,40.7172126,"183 montgomery st, jersey city, nj 07302, usa","Geocoded"
4010,"AA Gay/Lesbian","","(Unitarian Church) 722-5983, 7pm Sat","183 Riverside Dr.","Info Lines & Services","Binghampton","NY",NA,1992,"","","4/25/2023 9:32pm","183 Riverside Dr. ,  Binghampton ,  NY",-75.9378414,42.0927723,"183 riverside dr, binghamton, ny 13905, usa","Geocoded"
3228,"Normandy House","(*),(IGTA),(N)","487-1197 jacuzzi, seasonal","184 Bradford St.","Accomodations","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","184 Bradford St. ,  Provincetown ,  MA",-70.1814645,42.0564266,"historic district, 184 bradford st, provincetown, ma 02657, usa","Geocoded"
