"title","description","streetaddress","city","state","amenityfeatures","unclear_address","Year","type","notes","full.address","lon","lat","geoAddress"
"Reader's Feast Bookstore Cafe","(at Sisson Ave) 860/232-3710 11am-6pm, 10am- 2pm Sun, Igbt bookstore","529 Farmington Ave","Hartford","CT","",NA,2002,"Bookstores","","529 Farmington Ave, Hartford, CT",-72.7097518,41.7661863,"529 farmington ave, hartford, ct 06105, usa"
"MetroStore","(at Sisson Ave) 860/231-8845 8:30am- 8pm, till 5:30pm Tue, \Ned, Sat, clsd Sun, magazines, travel guides, leather & more","493 Farmington Ave","Hartford","CT","",NA,2002,"Retail Shops","","493 Farmington Ave, Hartford, CT",-72.7079485,41.7663375,"493 farmington ave, hartford, ct 06105, usa"
"Aircraft Book & News","(at Pratt) 860/569-2324","349 Main St","East Hartford","CT","",NA,2002,"Erotica","","349 Main St, East Hartford, CT",-72.6356499,41.746338,"349 main st, east hartford, ct 06118, usa"
"Amazing Express","Rte 15, 860/257-8663","1870  Berlin Tpke","Wethersfield","CT","",NA,2002,"Erotica","","1870  Berlin Tpke, Wethersfield, CT",-72.7022041,41.702942,"1870 berlin tpke, wethersfield, ct 06109, usa"
"Erotic Video","860/549-1896 24hrs, hustlers","35 W Service Rd","Hartford","CT","(AYOR)",NA,2002,"Erotica","","35 W Service Rd, Hartford, CT",-72.6624184,41.7840261,"35 w service rd, hartford, ct 06120, usa"
"Very Intimate Pleasures","(exit 27 off I-91) 860/246-1875","100 Brainard Ave","Hartford","CT","",NA,2002,"Erotica","","100 Brainard Ave, Hartford, CT",-72.6590403,41.7378532,"100 brainard rd, hartford, ct 06114, usa"
"Hartford Road Cafe","(at Fairfield) 860/64 7-0489 4pm-2am, clsd Mon (Clsd Sun-Tue winters), DJ Fri-Sat","378 Hartford Rd","Manchester","CT","(GS),(NH),(F),(K)",NA,2002,"Bars","","378 Hartford Rd, Manchester, CT",-72.5377472,41.7642559,"378 hartford rd, manchester, ct 06040, usa"
"Cafe on Main","860/647-7444 7am-2pm, clsd Tue","1071 Main St","Manchester","CT","",NA,2002,"Cafes","","1071 Main St, Manchester, CT",-72.520327,41.7672691,"1071 main st, manchester, ct 06040, usa"
"Amazing Superstore","(at Middle Tpke) 860/646-1629","249 Broad St","Manchester","CT","",NA,2002,"Erotica","","249 Broad St, Manchester, CT",-72.5344997,41.781048,"249 broad st, manchester, ct 06040, usa"
"The D/S Toy Chest","(at rear) 203/639-0622 clsd Sun","975 Broad St","Meriden","CT","(W)",NA,2002,"Erotica","","975 Broad St, Meriden, CT",-72.7838426,41.5451247,"975 broad st, meriden, ct 06450, usa"
"New Haven Gay/Lesbian Community Center","203/387-2252 6pm-9pm Mon, Wed-Fri","50 Fitch St","New Haven","CT","",NA,2002,"Info Lines & Services","","50 Fitch St, New Haven, CT",-72.9566926,41.3267542,"50 fitch st, new haven, ct 06515, usa"
"The Inn at Oyster Point","(at 6th St) 203/773-3334 full brkfst","104 Howard Ave","New Haven","CT","(GS),(GO)",NA,2002,"Accommodations","","104 Howard Ave, New Haven, CT",-72.9308347,41.2840944,"104 howard ave, new haven, ct 06519, usa"
"The Bar","203/495-8924 4pm-1am, more gay Tue","254 Crown St","New Haven","CT","(GS),(D),(WC)",NA,2002,"Bars","","254 Crown St, New Haven, CT",-72.9303923,41.3060838,"254 crown st, new haven, ct 06511, usa"
"Partners","(at Park St) 9203/776-1014 5pm-1am, till 2am Fri-Sat. occasional women's night. 'The Krypt' every other Sat (MO,L)","365 Crown St","New Haven","CT","(MW),(NH),(D)",NA,2002,"Bars","","365 Crown St, New Haven, CT",-72.9340374,41.30801,"365 crown st, new haven, ct 06511, usa"
"Gotham City Cafe","(at Church) 203/498-2484 more gay Sat, drag shows","130 Crown St","New Haven","CT","(GS),(D),(S)",NA,2002,"Nightclubs","","130 Crown St, New Haven, CT",-72.9265396,41.3045258,"130 crown st, new haven, ct 06510, usa"
"Chapel Sweet Shoppe","203/624-2411 10am-8pm, noon- 6pm Sun, full ice cream fountain, seasonal outside cafe","1042 Chapel St","New Haven","CT","",NA,2002,"Cafes","","1042 Chapel St, New Haven, CT",-72.9298387,41.3075232,"the warner, 1042 chapel st, new haven, ct 06510, usa"
"168 York St Cafe","203/789-1915 3pm-1am, some veggie, full bar, patio","168 York St","New Haven","CT","(MW),(GO)",NA,2002,"Restaurants","","168 York St, New Haven, CT",-72.932154,41.308158,"168 york st, new haven, ct 06511, usa"
"Beach Head Cafe","dinner, clsd Mon","3 Cosey Beach Ave","New Haven","CT","",NA,2002,"Restaurants","","3 Cosey Beach Ave, New Haven, CT",-72.8627385,41.2468189,"3 cosey beach ave, east haven, ct 06512, usa"
"Cafe Tibwin Grill","(at Crown) 203/624-1883 lunch Wed - Fri, dinner nightly, clsd Sun-Mon, full bar","220 College St","New Haven","CT","(NS)",NA,2002,"Restaurants","","220 College St, New Haven, CT",-72.9296587,41.3061607,"220 college st, new haven, ct 06510, usa"
"Claire's Corner","203/562-3888 8am-9pm, till 10pm Fri-Sat, vegetarian Mexican cafe, great soup","1000 Chapel St","New Haven","CT","(WC)",NA,2002,"Restaurants","","1000 Chapel St, New Haven, CT",-72.9289587,41.3072011,"1000 chapel st, new haven, ct 06510, usa"
"Fairmont Theatre","203/467-3832","33 Main St","New Haven","CT","",NA,2002,"Erotica","","33 Main St, New Haven, CT",-72.8916173,41.2883133,"33 main st, new haven, ct 06512, usa"
"Nu Haven Book & Video","(at State) 203/562-5867","754 Chapel St","New Haven","CT","",NA,2002,"Erotica","","754 Chapel St, New Haven, CT",-72.9233544,41.3047581,"754 chapel st, new haven, ct 06510, usa"
"New London People's Forum Affirming Lesbian/Gay Identity","(at St James Church) 860/443-8855 6:30pm Wed. social & educational support group","76 Federal","New London","CT","",NA,2002,"Info Lines & Services","","76 Federal, New London, CT",-72.0989862,41.3570375,"76 federal st, new london, ct 06320, usa"
"Frank's Place","860/443-8883 4pm-1am, till 2am Fri-Sat, patio","9 Tilley St","New London","CT","(MW),(D),(E),(WC)",NA,2002,"Bars","","9 Tilley St, New London, CT",-72.0972273,41.3517465,"9 tilley st, new london, ct 06320, usa"
"Heroes","860/442-4376 4pm-1am, till 2am wknds, 3pm- 1am Sun","33 Golden St","New London","CT","(MW),(NH),(D)",NA,2002,"Bars","","33 Golden St, New London, CT",-72.09496,41.3535327,"33 golden st, new london, ct 06320, usa"
"Greene's Books & Beans","(at Golden) 860/443-3312 call for hrs, also cafe","140 Bank St","New London","CT","(WC)",NA,2002,"Bookstores","","140 Bank St, New London, CT",-72.0952973,41.3523451,"140 bank st, new london, ct 06320, usa"
"Video Expo","Ste 8, 860/448-0787","591 Rte 12","Groton","CT","",NA,2002,"Erotica","","591 Rte 12, Groton, CT",-72.0716008,41.3704517,"rte 12 & toll gate rd, groton, ct 06340, usa"
"Manor House B&B","860/542-5690 1898 Victorian Tudor estate, full brkfst, fireplaces, whirlpool","69 Maple Ave","Norfolk","CT","(GF),(NS)",NA,2002,"Accommodations","","69 Maple Ave, Norfolk, CT",-73.1952002,41.993302,"69 maple ave, norfolk historic district, ct 06058, usa"
"Triangle Community Center","203/853-0600 7:30pm-9:30pm Mon-Fri","16 River St","Norwalk","CT","",NA,2002,"Info Lines & Services","","16 River St, Norwalk, CT",-73.4135893,41.1184465,"16 river st, norwalk, ct 06850, usa"
"Magazines & More","#105 860/886-1855 10am-6pm, till 8pm Th-Fri, till 5pm Sat, clsd Sun, Igbt","77 Salem Tpke","Norwich","CT","",NA,2002,"Bookstores","","77 Salem Tpke, Norwich, CT",-72.1111553,41.5128281,"77 salem turnpike, norwich, ct 06360, usa"
"Gail's Station House","203/438-9775 brkfst & lunch, dinner Fri-Sun, great cheddar corn pancakes","378 Main St","Ridgefield","CT","",NA,2002,"Restaurants","","378 Main St, Ridgefield, CT",-73.4980581,41.2808428,"donnelly plaza shopping center, 378 main st, ridgefield, ct 06877, usa"
"The Watson House","(at Sullivan Ave) 860/282-8888","1876 Main St","South Windsor","CT","(GS),(GO)",NA,2002,"Accommodations","","1876 Main St, South Windsor, CT",-72.6036116,41.8586485,"1876 main st, south windsor, ct 06074, usa"
"GW Tavern","(Rte 47) 860/868-6633 11:30am- 1am, more gay late & 10pm 3rd Tue, nouvelle Yankee","20 Bee Brook Rd","Washington Depot","CT","",NA,2002,"Restaurants","","20 Bee Brook Rd, Washington Depot, CT",-73.3164992,41.6424178,"20 bee brook rd, washington depot, ct 06794, usa"
"The Brownstone","(at Grande) 203/597-1838 5pm-1am, till 2am Fri-Sat","29 Leavenworth St","Waterbury","CT","(MW),(S),(WC)",NA,2002,"Bars","","29 Leavenworth St, Waterbury, CT",-73.0421936,41.5553085,"29 leavenworth st, waterbury, ct 06702, usa"
"Video Books of Waterbury","203/573-1066","90 S Main St","Waterbury","CT","",NA,2002,"Erotica","","90 S Main St, Waterbury, CT",-73.0404673,41.5544503,"90 s main st, waterbury, ct 06706, usa"
"Cedar Brook Cafe","203/221-7429 8pm-1am, till 2am Fri-Sat, 4 pm -11 pm Sun","919 Post Rd E","Westport","CT","(M),(D),(S),(WC)",NA,2002,"Bars","","919 Post Rd E, Westport, CT",-73.3335287,41.1386803,"919 post rd e, westport, ct 06880, usa"
"Cafe Earth","860/429-5304 7am-10pm","1244 Storrs","Willimantic","CT","",NA,2002,"Cafes","","1244 Storrs, Willimantic, CT",-72.2081338,41.7106543,"willimantic, windham, ct, usa"
"Paradise Eatery","860/423-7682 11:30am- 10pm, clsd Wed","713 Main St","Willimantic","CT","(WC)",NA,2002,"Restaurants","","713 Main St, Willimantic, CT",-72.2123666,41.7120275,"713 main st, willimantic, ct 06226, usa"
"Dan's Adult World","860/456-3780","1110 Main St","Willimantic","CT","",NA,2002,"Erotica","","1110 Main St, Willimantic, CT",-72.2217947,41.7131757,"1110 main st, willimantic, ct 06226, usa"
"Discount Adult Books","(nr 13/40 split) 302/328-4812","174 S DuPont Hwy","New Castle","DE","",NA,2002,"Erotica","","174 S DuPont Hwy, New Castle, DE",-75.6121932,39.6576889,"174 s dupont hwy, new castle, de 19720, usa"
"Camp Rehoboth","302/227-5620 10am-5pm Mon-Fri, info service for Igbt businesses, also newsletter w/ listingd","39-B Baltimore Ave","Rehoboth Beach","DE","",NA,2002,"Info Lines & Services","","39-B Baltimore Ave, Rehoboth Beach, DE",-75.0802202,38.7173439,"39 baltimore ave b, rehoboth beach, de 19971, usa"
"An Inn by the Bay","302/644-8878, 866/833-2565","205 Savannah Rd","Lewes","DE","(GS),(NS),(GO)",NA,2002,"Accommodations","","205 Savannah Rd, Lewes, DE",-75.1388246,38.774402,"205 savannah rd, lewes, de 19958, usa"
"At Melissa's B&B","(btwn 1st & 2nd) 302/227-7504, 800/396-8090","36 Delaware Ave","Rehoboth Beach","DE","(GF)",NA,2002,"Accommodations","","36 Delaware Ave, Rehoboth Beach, DE",-75.0793891,38.7145187,"36 delaware ave, rehoboth beach, de 19971, usa"
"Cabana Grdens B&B","","20 Lake Ave","Rehoboth Beach","DE","(MW),(SW),(NS)",NA,2002,"Accommodations","","20 Lake Ave, Rehoboth Beach, DE",-75.0835666,38.7172941,"20 lake ave, rehoboth beach, de 19971, usa"
"Chesapeake Landing B&B","(at King Charles) 302/227-2973 full brkfst, lakefront, nr Poodle Beach","101 Chesapeake St","Rehoboth Beach","DE","(GF),(SW),(NS),(GO)",NA,2002,"Accommodations","","101 Chesapeake St, Rehoboth Beach, DE",-75.0767036,38.7028638,"101 chesapeake st, dewey beach, de 19971, usa"
"The Delaware Inn B&B","302/227-6031, 800/246-5244 nr beach","55 Delaware Ave","Rehoboth Beach","DE","(GF),(SW),(GO)",NA,2002,"Accommodations","","55 Delaware Ave, Rehoboth Beach, DE",-75.0811868,38.7147485,"55 delaware ave, rehoboth beach, de 19971, usa"
"Lord Hamilton Seaside B&B Inn","(at 1st) 302/227-6960, 877/227-6960 nr beach & boardwalk","20 Brooklyn Ave","Rehoboth Beach","DE","(MW),(GO)",NA,2002,"Accommodations","","20 Brooklyn Ave, Rehoboth Beach, DE",-75.0777645,38.7138354,"20 brooklyn ave, rehoboth beach, de 19971, usa"
"Rehoboth Guest House","(at King Charles) 302/227-4117, 800/564-0493 seasonal, Victorian beach house","40 Maryland Ave","Rehoboth Beach","DE","(MW)",NA,2002,"Accommodations","","40 Maryland Ave, Rehoboth Beach, DE",-75.0802863,38.7176867,"40 maryland ave, rehoboth beach, de 19971, usa"
"Renegade Restaurant & Lounge/Motel","(nr Rehoboth Ave) 302/227-4713, 302/227-1222 10-acre resort, restaurant (dinner only), full bar","4274 Hwy 1","Rehoboth Beach","DE","(*),(MW),(D),(F),(K),(SW),(WC)",NA,2002,"Accommodations","","4274 Hwy 1, Rehoboth Beach, DE",-75.0935403,38.7142079,"de-1a, rehoboth beach, de 19971, usa"
"The Royal Rose Inn","302/226-2535","41 Baltimore Ave","Rehoboth Beach","DE","(M),(GO)",NA,2002,"Accommodations","","41 Baltimore Ave, Rehoboth Beach, DE",-75.0803659,38.7172799,"41 baltimore ave, rehoboth beach, de 19971, usa"
"Shore Inn at Rehoboth","(nr Church) 302/227-8487, 800/597-8899 hot tub","703 Rehoboth Ave","Rehoboth Beach","DE","(M),(SW),(GO)",NA,2002,"Accommodations","","703 Rehoboth Ave, Rehoboth Beach, DE",-75.096594,38.713521,"703 rehoboth ave, rehoboth beach, de 19971, usa"
"Silver Lake Guest House","302/226-2115, 800/842-2115 nr Poodle Beach","133 Silver Lake Dr","Rehoboth Beach","DE","(MW)",NA,2002,"Accommodations","","133 Silver Lake Dr, Rehoboth Beach, DE",-75.0792186,38.7050241,"silver lake dr, rehoboth beach, de 19971, usa"
"Summer Place Hotel","(at 1st) 302/226-0766, 800/815-3925 also apts, nr beach","30 Olive Ave","Rehoboth Beach","DE","(GS)",NA,2002,"Accommodations","","30 Olive Ave, Rehoboth Beach, DE",-75.079243,38.7185081,"30 olive ave, rehoboth beach, de 19971, usa"
"The Sussex House B&B","(at New Castle Ave) 302/227-7860, 877/787-7392 2 blks to beach, some shared baths","601 Bayard Ave","Rehoboth Beach","DE","(GS),(NS),(GO)",NA,2002,"Accommodations","","601 Bayard Ave, Rehoboth Beach, DE",-75.0815936,38.7112438,"601 bayard ave, rehoboth beach, de 19971, usa"
"The Blue Moon","(btwn 1st & 2nd) 302/227-6515 4pm-2am, clsd Jan, popular happy hour & T-dance, also restaurant, dinner, Sun brunch","35 Baltimore Ave","Rehoboth Beach","DE","(*),(MW)",NA,2002,"Bars","","35 Baltimore Ave, Rehoboth Beach, DE",-75.0798356,38.7174378,"35 baltimore ave, rehoboth beach, de 19971, usa"
"Double L Bar","302/227-0818 3pm-2am, clsd Sun","622 Rehoboth Ave","Rehoboth Beach","DE","(M),(L)",NA,2002,"Bars","","622 Rehoboth Ave, Rehoboth Beach, DE",-75.0953602,38.713687,"622 rehoboth ave, rehoboth beach, de 19971, usa"
"The Renegade","at 'Renegade Motel' 302/227-4713 also cabaret","4274 Hwy 1","Rehoboth Beach","DE","(*),(MW),(D),(F),(K),(SW),(WC)",NA,2002,"Bars","","4274 Hwy 1, Rehoboth Beach, DE",-75.0935403,38.7142079,"de-1a, rehoboth beach, de 19971, usa"
"The Beach House Restaurant & Bar","302/227-4227","316 Rehoboth Ave","Rehoboth Beach","DE","(W),(D),(E),(WC)",NA,2002,"Nightclubs","","316 Rehoboth Ave, Rehoboth Beach, DE",-75.0868933,38.7152054,"316 rehoboth ave, rehoboth beach, de 19971, usa"
"Purple Parrot Grill","302/226-1139 call for hrs, also restaurant","247 Rehoboth Ave","Rehoboth Beach","DE","(GS),(D),(WC)",NA,2002,"Nightclubs","","247 Rehoboth Ave, Rehoboth Beach, DE",-75.0849775,38.7161206,"247 rehoboth ave, rehoboth beach, de 19971, usa"
"Java Beach","302/227-8418 7am-6pm, open later in summer, patio","167 Rehoboth Ave","Rehoboth Beach","DE","",NA,2002,"Cafes","","167 Rehoboth Ave, Rehoboth Beach, DE",-75.0814417,38.7164415,"167 rehoboth ave, rehoboth beach, de 19971, usa"
"Lori's","(at 1st) 302/226-3066 seasonal, call for hrs","39 Baltimore Ave","Rehoboth Beach","DE","",NA,2002,"Cafes","","39 Baltimore Ave, Rehoboth Beach, DE",-75.0802202,38.7173439,"39 baltimore ave, rehoboth beach, de 19971, usa"
"Back Porch Cafe","302/227-3674 lunch & dinner Sun brunch","59 Rehoboth Ave","Rehoboth Beach","DE","(WC)",NA,2002,"Restaurants","","59 Rehoboth Ave, Rehoboth Beach, DE",-75.0783392,38.7168385,"59 rehoboth ave, rehoboth beach, de 19971, usa"
"Celsius","302/227-5767 dinner only Th-Sun, French-Mediterranean","50-C Wilmington Ave","Rehoboth Beach","DE","(WC)",NA,2002,"Restaurants","","50-C Wilmington Ave, Rehoboth Beach, DE",-75.0810539,38.7151302,"50 wilmington ave c, rehoboth beach, de 19971, usa"
"Cloud Nine","(at 2nd) 302/226-1999 4pm- 2am, fusion bistro","234 Rehoboth Ave","Rehoboth Beach","DE","(*),(D),(WC)",NA,2002,"Restaurants","","234 Rehoboth Ave, Rehoboth Beach, DE",-75.083951,38.7155669,"234 rehoboth ave, rehoboth beach, de 19971, usa"
"The Cultured Pearl","(off 1st St) 302/227-8493 5pm- 10pm Th-Sat, sushi bar, cocktail lounge","19 Wilmington Ave A","Rehoboth Beach","DE","",NA,2002,"Restaurants","","19 Wilmington Ave A, Rehoboth Beach, DE",-75.0779739,38.71579,"19 wilmington ave a, rehoboth beach, de 19971, usa"
"Dos Locos","(btwn Baltimore & Rehoboth) 302/227-3353 American/ Southwestern, full bar","10 N 1st St","Rehoboth Beach","DE","(*)",NA,2002,"Restaurants","","10 N 1st St, Rehoboth Beach, DE",-75.0787498,38.717012,"10 n 1st st, rehoboth beach, de 19971, usa"
"Dream Cafe","302/226-2233 brkfst & lunch","26 Baltimore Ave","Rehoboth Beach","DE","",NA,2002,"Restaurants","","26 Baltimore Ave, Rehoboth Beach, DE",-75.0787042,38.7171262,"26 baltimore ave, rehoboth beach, de 19971, usa"
"Iguana Grill","302/227-0948 11am-10pm, till 2am Th-Sat (summers), Southwestern, full bar, patio","52 Baltimore Ave","Rehoboth Beach","DE","",NA,2002,"Restaurants","","52 Baltimore Ave, Rehoboth Beach, DE",-75.0811451,38.7168233,"52 baltimore ave, rehoboth beach, de 19971, usa"
"La La Land","302/227-3887 6pm-1am, seafood, bar, patio","22 Wilmington Ave","Rehoboth Beach","DE","",NA,2002,"Restaurants","","22 Wilmington Ave, Rehoboth Beach, DE",-75.0780654,38.715362,"22 wilmington ave, rehoboth beach, de 19971, usa"
"Sydney's Side Street Restaurant & Blues Place","302/227-1339 4pm- 1am, full bar, patio","25 Christian St","Rehoboth Beach","DE","(E)",NA,2002,"Restaurants","","25 Christian St, Rehoboth Beach, DE",-75.0841103,38.7153612,"25 christian st, rehoboth beach, de 19971, usa"
"Tijuana Taxi","(at 2nd St) 302/227-1986 5pm- 10pm, from noon wknds","207 Rehoboth Ave","Rehoboth Beach","DE","(WC)",NA,2002,"Restaurants","","207 Rehoboth Ave, Rehoboth Beach, DE",-75.0821566,38.7162759,"207 rehoboth ave, rehoboth beach, de 19971, usa"
"Yum-Yum Pan Asian Bistro","302/226-0400 name says it all, patio, t-dance Sun","37 Wilmington Ave","Rehoboth Beach","DE","(*)",NA,2002,"Restaurants","","37 Wilmington Ave, Rehoboth Beach, DE",-75.0797146,38.7155584,"37 wilmington ave, rehoboth beach, de 19971, usa"
"Lambda Rising","(btwn 1st & 2nd) 302/227-6969 10am-midnight, till 8pm in winter, Igbt","39 Baltimore Ave","Rehoboth Beach","DE","(WC)",NA,2002,"Bookstores","","39 Baltimore Ave, Rehoboth Beach, DE",-75.0802202,38.7173439,"39 baltimore ave, rehoboth beach, de 19971, usa"
"Body Shop","(at Virginia) 302/226-0920","401 N Boardwalk","Rehoboth Beach","DE","(MW)",NA,2002,"Gyms & Health Clubs","","401 N Boardwalk, Rehoboth Beach, DE",-75.0766903,38.7202451,"401 n boardwalk, rehoboth beach, de 19971, usa"
"The Firm Fitness Center","Rte 1, 302/227-8363","6 Camelot Shopping Ctr","Rehoboth Beach","DE","",NA,2002,"Gyms & Health Clubs","","6 Camelot Shopping Ctr, Rehoboth Beach, DE",-75.0760137,38.7209454,"rehoboth beach, de, usa"
"814 Club","(at 8th) 302/657-5730 5pm-1am","814 Shipley St","Wilmington","DE","(MW),(D),(F),(TG)",NA,2002,"Bars","","814 Shipley St, Wilmington, DE",-75.549361,39.7440398,"814 n shipley st, wilmington, de 19801, usa"
"Everybody's","(upstairs) opens 10pm Wed-Sat","11 E 4th St","Wilmington","DE","(MW),(D),(MR-AF),(AYOR)",NA,2002,"Bars","","11 E 4th St, Wilmington, DE",-75.5507707,39.7403974,"11 e 4th st, wilmington, de 19801, usa"
"Excalibur","(at 8th St) 302/777-2225 5pm-2am, clsd Sun","839 North Orange St","Wilmington","DE","(M),(D),(CW),(E),(K),(S),(V),(YC),(GO)",NA,2002,"Bars","","839 North Orange St, Wilmington, DE",-75.3920014,39.9263476,"839 n orange st, media, pa 19063, usa"
"Mrs Robino's","(at Pennsylvania) 302/652-9223 lunch & dinner, family-style Italian, bar","520 N Union","Wilmington","DE","(WC)",NA,2002,"Restaurants","","520 N Union, Wilmington, DE",-75.5719387,39.7504004,"520 n union st, wilmington, de 19805, usa"
"Queen Bean Cafe","302/429-0700 lunch Tue-Fri, dinner Tue-Sat, clsd Sun-Mon","205 W 7th St","Wilmington","DE","",NA,2002,"Restaurants","","205 W 7th St, Wilmington, DE",-75.5512217,39.743361,"205 w 7th st, wilmington, de 19801, usa"
"HIV+ Coffeehouse","(Friends Meeting House, enter on Decatur PI) 202/483-3310 7:30pm- 10pm 1st & 3rd Sat, HIV+ & friends","2111 Florida Ave NW","Washington","D.C","",NA,2002,"Info Lines & Services","","2111 Florida Ave NW, Washington, D.C",-77.0475358,38.9136149,"2111 florida ave nw, washington, dc 20008, usa"
"The HOPE Foundation","#210 202/466-5783 monthly socials for positive people, call for info","2120 L St NW","Washington","D.C","",NA,2002,"Info Lines & Services","","2120 L St NW, Washington, D.C",-77.0476151,38.9034434,"2120 l st nw, washington, dc 20037, usa"
"Kasper's Livery Service","#513 202/554-2471, 800/455-2471 limousine service serving DC, MD & VA","201 I St","Washington","D.C","(GO)",NA,2002,"Info Lines & Services","","201 I St, Washington, D.C",-77.0148555,38.8796943,"201 i st sw, washington, dc 20024, usa"
"LLEGO (Latino/a Lesbian/Gay Organization)","#200 202/466-8240 center open 9am- 6pm Mon-Fri, also publishes newsletter 'Noticias de LLEGO'","1420 K St NW","Washington","D.C","",NA,2002,"Info Lines & Services","","1420 K St NW, Washington, D.C",-77.0328167,38.9022879,"1420 k st nw, washington, dc 20005, usa"
"Triangle Club","202/659-8641 various 12-Step groups, call for times","2030 P St NW","Washington","D.C","",NA,2002,"Info Lines & Services","","2030 P St NW, Washington, D.C",-77.0462238,38.9095154,"2030 p st nw, washington, dc 20036, usa"
"1836 California","(btwn 18th & 19th) 202/462-6502 historic (ca 1900) house, sundeck","1836 California St NW","Washington","D.C","(GS)",NA,2002,"Accommodations","","1836 California St NW, Washington, D.C",-77.0427962,38.9175726,"1836 california st nw, washington, dc 20009, usa"
"The Bed & Breakfast at the William Lewis House","(at 13th) 202/462-7574, 800/465-7574 turn-of-the-century, hot tub, full brkfst wknds","1309 R St NW","Washington","D.C","(*),(M),(GO)",NA,2002,"Accommodations","","1309 R St NW, Washington, D.C",-77.0300779,38.9128215,"1309 r st nw, washington, dc 20009, usa"
"The Brenton B&B","(at R St) 202/332-5550, 800/673-9042","1708 16th St NW","Washington","D.C","(M)",NA,2002,"Accommodations","","1708 16th St NW, Washington, D.C",-77.0369047,38.9130064,"1708 16th st nw, washington, dc 20009, usa"
"Bull Moose B&B on Capitol Hill","(at 'A' St) 202/547-1050, 800/261-2768 Victorian row house","101 5th St NE","Washington","D.C","(GS),(NS)",NA,2002,"Accommodations","","101 5th St NE, Washington, D.C",-76.9992493,38.8910788,"101 5th st ne, washington, dc 20002, usa"
"The Carlyle Suites Hotel","(btwn 'R' & 'S' Sts) 202/334-3200, 800/964-5377 art deco, also bar, popular gay Sun brunch","1731 New Hampshire Ave NW","Washington","D.C","(GS),(F),(WC)",NA,2002,"Accommodations","","1731 New Hampshire Ave NW, Washington, D.C",-77.0396197,38.9134253,"1731 new hampshire ave nw, washington, dc 20009, usa"
"Center City Hotel","202/682-5300, 888/250-5396 nr Dupont Circle, Internet access","1201 13th St NW","Washington","D.C","(GF)",NA,2002,"Accommodations","","1201 13th St NW, Washington, D.C",-77.0293244,38.9058853,"1201 13th st nw, washington, dc 20005, usa"
"The Embassy Inn","202/234-7800 , 800/423-9111 small hotel w/ B&B atmosphere","1627 16th St NW","Washington","D.C","(GF)",NA,2002,"Accommodations","","1627 16th St NW, Washington, D.C",-77.0360641,38.912243,"1627 16th st nw, washington, dc 20009, usa"
"Embassy Suites Alexandria","703/684-5900 full brkfst","1900 Diagonal Rd","Alexandria","VA","(GS),(SW)",NA,2002,"Accommodations","","1900 Diagonal Rd, Alexandria, VA",-77.0612435,38.8055418,"1900 diagonal rd, alexandria, va 22314, usa"
"Embassy Suites-Chevy Chase Pavilion","202/362-9300, 800/362-2779","4300 Military Rd NW","Washington","D.C","(GF),(SW),(WC)",NA,2002,"Accommodations","","4300 Military Rd NW, Washington, D.C",-77.0847991,38.9607955,"4300 military rd nw, washington, dc 20015, usa"
"Kalorama Guest House at Kalorama Park","(at Columbia Rd) 202/667-6369 Victorian town house","1854 Mintwood Pl NW","Washington","D.C","(GS)",NA,2002,"Accommodations","","1854 Mintwood Pl NW, Washington, D.C",-77.0447573,38.9212707,"1854 mintwood pl nw, washington, dc 20009, usa"
"Kalorama Guest House at Woodley Park","(off Connecticut Ave) 202/328-0860","2700 Cathedral Ave NW","Washington","D.C","(GS),(NS)",NA,2002,"Accommodations","","2700 Cathedral Ave NW, Washington, D.C",-77.0555242,38.9281502,"2700 cathedral ave nw, washington, dc 20008, usa"
"One Washington Circle Hotel","202/872-1680, 800/424-9671 suites w/kitchens, also restaurant & piano bar","One Washington Cir NW","Washington","D.C","(GF),(SW)",NA,2002,"Accommodations","","One Washington Cir NW, Washington, D.C",-77.0494782,38.9025359,"washington cir nw, washington, dc 20037, usa"
"Radisson Barcelo Hotel Washington","(at 21st St) 202/293-3100, 800/333-3333","2121 P St NW","Washington","D.C","(GF),(F),(SW)",NA,2002,"Accommodations","","2121 P St NW, Washington, D.C",-77.0475686,38.9098823,"2121 p st nw, washington, dc 20037, usa"
"The River Inn","(at K St) 202/337-7600, 800/424-2741 also 'Foggy Bottom Cafe'","924 25th St NW","Washington","D.C","(GF),(WC)",NA,2002,"Accommodations","","924 25th St NW, Washington, D.C",-77.0537066,38.9014915,"924 25th st nw, washington, dc 20037, usa"
"Savoy Suites Hotel","(at Calvert, in Georgetown) 202/337-9700, 800/944-5377 also Italian restaurant","2505 Wisconsin Ave NW","Washington","D.C","(GF),(WC)",NA,2002,"Accommodations","","2505 Wisconsin Ave NW, Washington, D.C",-77.0727526,38.923333,"2505 wisconsin ave, washington, dc 20007, usa"
"Swann House Historic B&B","(at Swann St) 202/265-4414 Victorian mansion in Dupont Circle, swimming, roof deck","1808 New Hampshire Ave NW","Washington","D.C","(GS),(SW)",NA,2002,"Accommodations","","1808 New Hampshire Ave NW, Washington, D.C",-77.0392599,38.9145599,"1808 new hampshire ave nw, washington, dc 20009, usa"
"Washington Plaza","(at 14th & Massachusetts) 202/842-1300, 800/424-1140 full-service hotel, also restaurant","10 Thomas Cir NW","Washington","D.C","(GF)",NA,2002,"Accommodations","","10 Thomas Cir NW, Washington, D.C",-77.0311095,38.9062904,"wylie mansion, 10 thomas cir nw, washington, dc 20005, usa"
